"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"AG12SE",2023-08-14,6,1,1,6,25,26,7,NA,1,1,7,2,4
"AG12SE",2023-08-14,6,1,1,6,95,95,7,NA,2,1,7,2,4
"AG12SE",2023-08-14,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
"AG12SE",2023-08-14,3,2,3,3,0,4,5,NA,4,1,6,5,4.25
"AG12SE",2023-08-14,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"AG12SE",2023-08-14,5,1,1,5,100,50,6,NA,6,1,7,3,4
"AG12SE",2023-08-14,5,1,1,5,80,11,3,NA,7,1,7,3,4
"AG12SE",2023-08-15,3,3,3,3,0,50,6,NA,1,2,5,5,4
"AG12SE",2023-08-15,5,2,1,5,75,75,6,NA,2,2,6,3,3.75
"AG12SE",2023-08-15,5,2,1,5,100,100,7,NA,3,2,6,3,3.75
"AG12SE",2023-08-15,6,1,1,6,51,51,7,NA,4,2,7,2,4
"AG12SE",2023-08-15,6,2,1,6,37,45,6,NA,5,2,6,2,3.75
"AG12SE",2023-08-15,4,2,2,3,0,16,4,NA,6,2,6,5,4.25
"AG12SE",2023-08-15,5,1,1,5,50,50,6,NA,7,2,7,3,4
"AG12SE",2023-08-16,3,2,1,3,50,50,5,NA,1,3,6,5,3.75
"AG12SE",2023-08-16,4,2,1,4,100,75,5,NA,2,3,6,4,3.75
"AG12SE",2023-08-16,4,2,1,3,90,90,5,NA,3,3,6,5,4
"AG12SE",2023-08-16,5,2,1,5,100,60,5,NA,4,3,6,3,3.75
"AG12SE",2023-08-16,2,2,2,3,50,50,4,NA,5,3,6,5,3.75
"AG12SE",2023-08-16,5,1,1,5,100,100,6,NA,6,3,7,3,4
"AG12SE",2023-08-16,5,2,1,5,100,100,7,NA,7,3,6,3,3.75
"AG12SE",2023-08-17,6,1,1,6,100,76,7,NA,1,4,7,2,4
"AG12SE",2023-08-17,5,1,2,5,100,50,6,NA,2,4,7,3,4.25
"AG12SE",2023-08-17,4,3,3,4,100,65,4,NA,3,4,5,4,4
"AG12SE",2023-08-17,4,2,1,4,100,41,5,NA,4,4,6,4,3.75
"AG12SE",2023-08-17,3,2,1,2,50,50,4,NA,5,4,6,6,4
"AG12SE",2023-08-17,5,3,1,4,75,100,7,NA,6,4,5,4,3.75
"AG12SE",2023-08-17,5,1,1,5,100,100,7,NA,7,4,7,3,4
"AG12SE",2023-08-18,6,1,1,6,100,100,7,NA,1,5,7,2,4
"AG12SE",2023-08-18,6,1,1,6,100,100,7,NA,2,5,7,2,4
"AG12SE",2023-08-18,6,1,1,6,70,50,5,NA,3,5,7,2,4
"AG12SE",2023-08-18,5,1,1,5,10,9,4,NA,4,5,7,3,4
"AG12SE",2023-08-18,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA
"AG12SE",2023-08-18,6,1,1,5,7,3,5,NA,6,5,7,3,4.25
"AG12SE",2023-08-18,5,1,1,5,40,50,5,NA,7,5,7,3,4
"AG12SE",2023-08-19,6,1,1,5,0,0,4,NA,1,6,7,3,4.25
"AG12SE",2023-08-19,5,1,1,5,30,7,3,NA,2,6,7,3,4
"AG12SE",2023-08-19,6,1,1,6,0,4,4,NA,3,6,7,2,4
"AG12SE",2023-08-19,6,1,1,6,0,10,4,NA,4,6,7,2,4
"AG12SE",2023-08-19,6,1,1,6,80,10,4,NA,5,6,7,2,4
"AG12SE",2023-08-19,6,1,1,6,75,10,6,NA,6,6,7,2,4
"AG12SE",2023-08-19,6,1,1,6,0,5,5,NA,7,6,7,2,4
"AG12SE",2023-08-20,6,1,1,6,15,15,5,NA,1,7,7,2,4
"AG12SE",2023-08-20,6,1,1,6,60,60,6,NA,2,7,7,2,4
"AG12SE",2023-08-20,6,1,1,6,0,0,4,NA,3,7,7,2,4
"AG12SE",2023-08-20,6,1,1,6,100,100,7,NA,4,7,7,2,4
"AG12SE",2023-08-20,6,1,1,6,100,100,6,NA,5,7,7,2,4
"AG12SE",2023-08-20,5,1,1,5,70,70,5,NA,6,7,7,3,4
"AG12SE",2023-08-20,5,1,1,5,15,15,5,NA,7,7,7,3,4
"AG12SE",2023-08-21,5,2,1,4,50,50,5,NA,1,8,6,4,4
"AG12SE",2023-08-21,5,2,2,4,100,41,4,NA,2,8,6,4,4.25
"AG12SE",2023-08-21,4,2,2,3,50,20,3,NA,3,8,6,5,4.25
"AG12SE",2023-08-21,4,2,1,4,72,10,4,NA,4,8,6,4,3.75
"AG12SE",2023-08-21,5,1,1,6,80,20,7,NA,5,8,7,2,3.75
"AG12SE",2023-08-21,6,1,1,6,0,100,7,NA,6,8,7,2,4
"AG12SE",2023-08-21,5,1,1,5,0,1,5,NA,7,8,7,3,4
"AG12SE",2023-08-22,7,1,1,7,50,15,4,NA,1,9,7,1,4
"AG12SE",2023-08-22,6,1,1,6,50,50,6,NA,2,9,7,2,4
"AG12SE",2023-08-22,6,1,1,6,100,90,6,NA,3,9,7,2,4
"AG12SE",2023-08-22,5,1,1,5,50,50,6,NA,4,9,7,3,4
"AG12SE",2023-08-22,5,1,1,5,100,80,5,NA,5,9,7,3,4
"AG12SE",2023-08-22,7,1,1,7,100,100,7,NA,6,9,7,1,4
"AG12SE",2023-08-22,5,1,1,5,20,20,6,NA,7,9,7,3,4
"AG12SE",2023-08-23,5,1,1,5,20,15,4,NA,1,10,7,3,4
"AG12SE",2023-08-23,3,4,3,4,10,10,6,NA,2,10,4,4,3.5
"AG12SE",2023-08-23,6,2,1,6,100,100,6,NA,3,10,6,2,3.75
"AG12SE",2023-08-23,6,1,1,6,100,100,6,NA,4,10,7,2,4
"AG12SE",2023-08-23,6,2,1,6,100,70,6,NA,5,10,6,2,3.75
"AG12SE",2023-08-23,4,2,1,5,30,30,6,NA,6,10,6,3,3.5
"AG12SE",2023-08-23,5,2,2,4,0,0,4,NA,7,10,6,4,4.25
"AG12SE",2023-08-24,4,1,1,5,0,0,4,NA,1,11,7,3,3.75
"AG12SE",2023-08-24,5,1,1,6,100,100,6,NA,2,11,7,2,3.75
"AG12SE",2023-08-24,6,1,1,6,100,100,7,NA,3,11,7,2,4
"AG12SE",2023-08-24,6,1,1,6,100,100,6,NA,4,11,7,2,4
"AG12SE",2023-08-24,6,1,1,6,100,100,6,NA,5,11,7,2,4
"AG12SE",2023-08-24,1,1,1,1,100,3,4,NA,6,11,7,7,4
"AG12SE",2023-08-24,3,1,1,3,0,0,4,NA,7,11,7,5,4
"AG12SE",2023-08-25,2,1,1,2,0,0,4,NA,1,12,7,6,4
"AG12SE",2023-08-25,5,1,1,5,0,10,4,NA,2,12,7,3,4
"AG12SE",2023-08-25,5,1,1,5,50,51,6,NA,3,12,7,3,4
"AG12SE",2023-08-25,5,1,1,5,100,100,6,NA,4,12,7,3,4
"AG12SE",2023-08-25,4,1,1,4,50,60,5,NA,5,12,7,4,4
"AG12SE",2023-08-25,3,1,1,3,30,30,5,NA,6,12,7,5,4
"AG12SE",2023-08-25,5,1,1,5,100,100,5,NA,7,12,7,3,4
"AG12SE",2023-08-26,6,1,1,6,100,100,7,NA,1,13,7,2,4
"AG12SE",2023-08-26,6,1,1,6,100,100,6,NA,2,13,7,2,4
"AG12SE",2023-08-26,6,1,1,6,100,100,7,NA,3,13,7,2,4
"AG12SE",2023-08-26,6,1,1,6,100,100,7,NA,4,13,7,2,4
"AG12SE",2023-08-26,6,1,1,6,100,50,6,NA,5,13,7,2,4
"AG12SE",2023-08-26,6,1,1,6,100,100,6,NA,6,13,7,2,4
"AG12SE",2023-08-26,6,1,1,6,100,100,7,NA,7,13,7,2,4
"AG12SE",2023-08-27,5,1,1,5,100,50,6,NA,1,14,7,3,4
"AG12SE",2023-08-27,5,1,1,5,10,25,6,NA,2,14,7,3,4
"AG12SE",2023-08-27,5,1,1,6,0,0,4,NA,3,14,7,2,3.75
"AG12SE",2023-08-27,5,1,1,5,10,10,5,NA,4,14,7,3,4
"AG12SE",2023-08-27,5,1,1,5,31,30,5,NA,5,14,7,3,4
"AG12SE",2023-08-27,5,1,1,5,100,100,5,NA,6,14,7,3,4
"AG12SE",2023-08-27,3,1,1,3,60,60,5,NA,7,14,7,5,4
