"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"AN01TO",2023-07-25,6,2,2,6,0,0,4,NA,1,1,6,2,4
"AN01TO",2023-07-25,5,2,2,5,0,0,4,NA,2,1,6,3,4
"AN01TO",2023-07-25,6,2,3,6,5,5,5,NA,3,1,6,2,4.25
"AN01TO",2023-07-25,7,1,2,7,0,0,5,NA,4,1,7,1,4.25
"AN01TO",2023-07-25,7,2,2,7,0,0,5,NA,5,1,6,1,4
"AN01TO",2023-07-25,6,2,2,6,0,0,4,NA,6,1,6,2,4
"AN01TO",2023-07-25,6,2,2,6,0,0,4,NA,7,1,6,2,4
"AN01TO",2023-07-26,5,2,2,5,0,0,4,NA,1,2,6,3,4
"AN01TO",2023-07-26,5,2,2,5,0,0,4,NA,2,2,6,3,4
"AN01TO",2023-07-26,5,2,2,6,0,0,4,NA,3,2,6,2,3.75
"AN01TO",2023-07-26,6,1,1,5,0,0,4,NA,4,2,7,3,4.25
"AN01TO",2023-07-26,6,1,1,7,30,0,4,NA,5,2,7,1,3.75
"AN01TO",2023-07-26,7,1,2,6,25,5,4,NA,6,2,7,2,4.5
"AN01TO",2023-07-26,6,2,2,6,100,100,7,NA,7,2,6,2,4
"AN01TO",2023-07-27,5,2,2,6,5,0,4,NA,1,3,6,2,3.75
"AN01TO",2023-07-27,6,2,2,7,100,76,6,NA,2,3,6,1,3.75
"AN01TO",2023-07-27,6,2,2,5,100,100,6,NA,3,3,6,3,4.25
"AN01TO",2023-07-27,6,2,2,6,100,100,6,NA,4,3,6,2,4
"AN01TO",2023-07-27,5,2,2,5,100,100,6,NA,5,3,6,3,4
"AN01TO",2023-07-27,4,2,2,5,100,100,7,NA,6,3,6,3,3.75
"AN01TO",2023-07-27,4,3,2,5,0,0,4,NA,7,3,5,3,3.5
"AN01TO",2023-07-28,4,2,2,5,0,0,4,NA,1,4,6,3,3.75
"AN01TO",2023-07-28,5,2,2,5,0,0,4,NA,2,4,6,3,4
"AN01TO",2023-07-28,5,2,2,5,0,0,4,NA,3,4,6,3,4
"AN01TO",2023-07-28,5,2,2,5,0,0,4,NA,4,4,6,3,4
"AN01TO",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"AN01TO",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"AN01TO",2023-07-28,6,2,2,6,100,100,6,NA,7,4,6,2,4
"AN01TO",2023-07-29,5,2,2,6,0,0,4,NA,1,5,6,2,3.75
"AN01TO",2023-07-29,6,2,1,6,0,0,4,NA,2,5,6,2,3.75
"AN01TO",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"AN01TO",2023-07-29,4,2,2,5,0,0,5,NA,4,5,6,3,3.75
"AN01TO",2023-07-29,4,3,2,5,0,0,4,NA,5,5,5,3,3.5
"AN01TO",2023-07-29,6,2,2,6,0,0,4,NA,6,5,6,2,4
"AN01TO",2023-07-29,6,2,2,6,50,50,4,NA,7,5,6,2,4
"AN01TO",2023-07-30,6,2,2,6,48,50,4,NA,1,6,6,2,4
"AN01TO",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA
"AN01TO",2023-07-30,6,2,2,6,50,50,5,NA,3,6,6,2,4
"AN01TO",2023-07-30,6,2,2,6,0,0,4,NA,4,6,6,2,4
"AN01TO",2023-07-30,6,2,2,6,50,54,5,NA,5,6,6,2,4
"AN01TO",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA
"AN01TO",2023-07-30,5,2,2,5,100,100,6,NA,7,6,6,3,4
"AN01TO",2023-07-31,5,2,2,5,5,5,4,NA,1,7,6,3,4
"AN01TO",2023-07-31,4,2,2,4,75,75,5,NA,2,7,6,4,4
"AN01TO",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA
"AN01TO",2023-07-31,6,2,2,6,75,75,5,NA,4,7,6,2,4
"AN01TO",2023-07-31,5,2,2,6,10,10,4,NA,5,7,6,2,3.75
"AN01TO",2023-07-31,6,2,2,6,50,50,6,NA,6,7,6,2,4
"AN01TO",2023-07-31,6,2,2,6,100,100,6,NA,7,7,6,2,4
"AN01TO",2023-08-01,5,2,2,6,0,0,4,NA,1,8,6,2,3.75
"AN01TO",2023-08-01,5,2,2,5,50,50,5,NA,2,8,6,3,4
"AN01TO",2023-08-01,5,2,2,5,0,0,4,NA,3,8,6,3,4
"AN01TO",2023-08-01,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,NA
"AN01TO",2023-08-01,6,2,2,6,100,100,6,NA,5,8,6,2,4
"AN01TO",2023-08-01,6,2,2,6,60,60,6,NA,6,8,6,2,4
"AN01TO",2023-08-01,5,2,2,5,100,100,6,NA,7,8,6,3,4
"AN01TO",2023-08-02,5,2,2,5,25,25,5,NA,1,9,6,3,4
"AN01TO",2023-08-02,6,2,2,6,50,50,5,NA,2,9,6,2,4
"AN01TO",2023-08-02,6,2,2,6,0,0,4,NA,3,9,6,2,4
"AN01TO",2023-08-02,6,2,2,6,75,69,5,NA,4,9,6,2,4
"AN01TO",2023-08-02,6,2,2,6,20,20,5,NA,5,9,6,2,4
"AN01TO",2023-08-02,6,2,2,6,100,100,6,NA,6,9,6,2,4
"AN01TO",2023-08-02,NA,NA,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA
"AN01TO",2023-08-03,4,2,2,5,25,25,4,NA,1,10,6,3,3.75
"AN01TO",2023-08-03,5,2,2,5,100,30,5,NA,2,10,6,3,4
"AN01TO",2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,NA,NA
"AN01TO",2023-08-03,5,2,2,5,100,100,6,NA,4,10,6,3,4
"AN01TO",2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA
"AN01TO",2023-08-03,6,2,2,6,100,90,6,NA,6,10,6,2,4
"AN01TO",2023-08-03,6,2,2,5,75,65,5,NA,7,10,6,3,4.25
"AN01TO",2023-08-04,NA,NA,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA
"AN01TO",2023-08-04,6,2,2,6,50,50,6,NA,2,11,6,2,4
"AN01TO",2023-08-04,6,2,2,6,100,50,6,NA,3,11,6,2,4
"AN01TO",2023-08-04,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,NA,NA
"AN01TO",2023-08-04,6,2,2,6,0,0,4,NA,5,11,6,2,4
"AN01TO",2023-08-04,6,2,2,6,100,100,6,NA,6,11,6,2,4
"AN01TO",2023-08-04,6,2,2,6,100,100,6,NA,7,11,6,2,4
"AN01TO",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA
"AN01TO",2023-08-05,5,2,2,6,100,100,6,NA,2,12,6,2,3.75
"AN01TO",2023-08-05,5,2,2,5,100,100,6,NA,3,12,6,3,4
"AN01TO",2023-08-05,6,2,2,6,85,80,5,NA,4,12,6,2,4
"AN01TO",2023-08-05,5,2,2,5,90,90,6,NA,5,12,6,3,4
"AN01TO",2023-08-05,6,2,2,6,0,0,4,NA,6,12,6,2,4
"AN01TO",2023-08-05,5,2,2,5,25,25,5,NA,7,12,6,3,4
"AN01TO",2023-08-06,5,2,2,5,0,0,4,NA,1,13,6,3,4
"AN01TO",2023-08-06,5,2,2,5,75,75,6,NA,2,13,6,3,4
"AN01TO",2023-08-06,5,2,2,5,25,25,5,NA,3,13,6,3,4
"AN01TO",2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,4,13,NA,NA,NA
"AN01TO",2023-08-06,6,2,2,6,100,90,5,NA,5,13,6,2,4
"AN01TO",2023-08-06,5,2,2,5,100,80,5,NA,6,13,6,3,4
"AN01TO",2023-08-06,6,2,2,6,100,100,6,NA,7,13,6,2,4
"AN01TO",2023-08-07,6,2,2,6,25,25,6,NA,1,14,6,2,4
"AN01TO",2023-08-07,6,2,2,6,0,0,4,NA,2,14,6,2,4
"AN01TO",2023-08-07,5,2,2,5,50,50,6,NA,3,14,6,3,4
"AN01TO",2023-08-07,6,2,2,6,75,75,6,NA,4,14,6,2,4
"AN01TO",2023-08-07,6,2,2,6,50,49,6,NA,5,14,6,2,4
"AN01TO",2023-08-07,6,2,2,6,100,100,6,NA,6,14,6,2,4
"AN01TO",2023-08-07,6,2,2,6,75,40,5,NA,7,14,6,2,4
