"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"AN03OT",2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"AN03OT",2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"AN03OT",2023-11-18,2,5,3,3,5,5,4,NA,3,1,3,5,3.25
"AN03OT",2023-11-18,5,2,2,6,49,40,6,NA,4,1,6,2,3.75
"AN03OT",2023-11-18,6,2,2,5,100,90,6,NA,5,1,6,3,4.25
"AN03OT",2023-11-18,6,1,1,6,100,92,7,NA,6,1,7,2,4
"AN03OT",2023-11-18,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA
"AN03OT",2023-11-19,5,2,2,6,70,15,5,NA,1,2,6,2,3.75
"AN03OT",2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"AN03OT",2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
"AN03OT",2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
"AN03OT",2023-11-19,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"AN03OT",2023-11-19,4,4,3,5,100,76,5,NA,6,2,4,3,3.5
"AN03OT",2023-11-19,2,4,4,4,100,50,2,NA,7,2,4,4,3.5
"AN03OT",2023-11-20,3,5,4,3,5,1,3,NA,1,3,3,5,3.75
"AN03OT",2023-11-20,3,4,3,4,30,16,3,NA,2,3,4,4,3.5
"AN03OT",2023-11-20,5,2,2,5,11,6,3,NA,3,3,6,3,4
"AN03OT",2023-11-20,5,3,3,5,27,20,4,NA,4,3,5,3,4
"AN03OT",2023-11-20,6,2,2,6,87,72,6,NA,5,3,6,2,4
"AN03OT",2023-11-20,6,2,2,6,100,92,7,NA,6,3,6,2,4
"AN03OT",2023-11-20,4,4,3,4,54,25,3,NA,7,3,4,4,3.75
"AN03OT",2023-11-21,4,4,5,3,24,6,2,NA,1,4,4,5,4.5
"AN03OT",2023-11-21,5,2,2,6,63,36,5,NA,2,4,6,2,3.75
"AN03OT",2023-11-21,5,3,2,5,71,32,5,NA,3,4,5,3,3.75
"AN03OT",2023-11-21,6,2,2,6,48,26,4,NA,4,4,6,2,4
"AN03OT",2023-11-21,2,5,4,3,33,16,3,NA,5,4,3,5,3.5
"AN03OT",2023-11-21,6,2,2,6,31,18,4,NA,6,4,6,2,4
"AN03OT",2023-11-21,7,1,1,7,100,20,5,NA,7,4,7,1,4
"AN03OT",2023-11-22,1,3,4,2,13,2,4,NA,1,5,5,6,4
"AN03OT",2023-11-22,1,5,5,2,8,2,1,NA,2,5,3,6,3.75
"AN03OT",2023-11-22,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"AN03OT",2023-11-22,7,1,1,7,100,63,6,NA,4,5,7,1,4
"AN03OT",2023-11-22,3,4,4,4,100,59,3,NA,5,5,4,4,3.75
"AN03OT",2023-11-22,2,5,5,2,40,35,1,NA,6,5,3,6,4
"AN03OT",2023-11-22,2,3,3,3,100,95,3,NA,7,5,5,5,3.75
"AN03OT",2023-11-23,5,3,3,4,20,1,4,NA,1,6,5,4,4.25
"AN03OT",2023-11-23,2,5,5,3,17,10,3,NA,2,6,3,5,3.75
"AN03OT",2023-11-23,6,2,3,6,91,96,5,NA,3,6,6,2,4.25
"AN03OT",2023-11-23,4,3,3,5,18,82,6,NA,4,6,5,3,3.75
"AN03OT",2023-11-23,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA
"AN03OT",2023-11-23,7,2,1,6,100,92,6,NA,6,6,6,2,4
"AN03OT",2023-11-23,3,4,3,5,100,98,7,NA,7,6,4,3,3.25
"AN03OT",2023-11-24,5,3,3,5,35,24,6,NA,1,7,5,3,4
"AN03OT",2023-11-24,6,2,2,6,37,20,5,NA,2,7,6,2,4
"AN03OT",2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA
"AN03OT",2023-11-24,6,1,1,7,100,88,7,NA,4,7,7,1,3.75
"AN03OT",2023-11-24,7,1,1,7,100,97,7,NA,5,7,7,1,4
"AN03OT",2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA
"AN03OT",2023-11-24,5,2,3,4,94,86,6,NA,7,7,6,4,4.5
"AN03OT",2023-11-25,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"AN03OT",2023-11-25,3,4,5,3,100,43,4,NA,2,8,4,5,4.25
"AN03OT",2023-11-25,2,5,5,2,75,61,4,NA,3,8,3,6,4
"AN03OT",2023-11-25,6,3,2,6,40,31,3,NA,4,8,5,2,3.75
"AN03OT",2023-11-25,6,1,1,5,66,51,4,NA,5,8,7,3,4.25
"AN03OT",2023-11-25,5,2,2,5,95,86,4,NA,6,8,6,3,4
"AN03OT",2023-11-25,5,2,2,5,100,95,4,NA,7,8,6,3,4
"AN03OT",2023-11-26,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"AN03OT",2023-11-26,2,3,2,4,100,10,4,NA,2,9,5,4,3.25
"AN03OT",2023-11-26,6,2,2,5,65,45,5,NA,3,9,6,3,4.25
"AN03OT",2023-11-26,7,1,1,7,77,74,7,NA,4,9,7,1,4
"AN03OT",2023-11-26,6,2,2,6,0,0,4,NA,5,9,6,2,4
"AN03OT",2023-11-26,5,2,3,5,0,29,5,NA,6,9,6,3,4.25
"AN03OT",2023-11-26,6,3,3,5,0,0,4,NA,7,9,5,3,4.25
"AN03OT",2023-11-27,5,2,2,5,100,3,4,NA,1,10,6,3,4
"AN03OT",2023-11-27,6,1,1,6,40,15,3,NA,2,10,7,2,4
"AN03OT",2023-11-27,5,2,2,5,10,7,3,NA,3,10,6,3,4
"AN03OT",2023-11-27,6,2,1,6,36,23,5,NA,4,10,6,2,3.75
"AN03OT",2023-11-27,6,1,1,6,55,33,5,NA,5,10,7,2,4
"AN03OT",2023-11-27,6,1,1,6,11,6,4,NA,6,10,7,2,4
"AN03OT",2023-11-27,5,1,1,6,53,28,4,NA,7,10,7,2,3.75
"AN03OT",2023-11-28,3,2,2,4,2,0,4,NA,1,11,6,4,3.75
"AN03OT",2023-11-28,4,3,3,4,0,0,4,NA,2,11,5,4,4
"AN03OT",2023-11-28,3,3,3,4,5,2,4,NA,3,11,5,4,3.75
"AN03OT",2023-11-28,4,3,3,4,100,9,5,NA,4,11,5,4,4
"AN03OT",2023-11-28,4,2,2,4,45,5,4,NA,5,11,6,4,4
"AN03OT",2023-11-28,5,3,3,5,20,11,5,NA,6,11,5,3,4
"AN03OT",2023-11-28,5,2,2,5,16,6,4,NA,7,11,6,3,4
"AN03OT",2023-11-29,2,5,5,2,100,63,3,NA,1,12,3,6,4
"AN03OT",2023-11-29,5,2,2,5,100,86,5,NA,2,12,6,3,4
"AN03OT",2023-11-29,6,2,2,6,83,76,6,NA,3,12,6,2,4
"AN03OT",2023-11-29,6,2,2,6,75,33,4,NA,4,12,6,2,4
"AN03OT",2023-11-29,6,1,1,6,6,4,4,NA,5,12,7,2,4
"AN03OT",2023-11-29,3,2,2,5,53,17,3,NA,6,12,6,3,3.5
"AN03OT",2023-11-29,3,1,1,3,10,5,3,NA,7,12,7,5,4
"AN03OT",2023-11-30,3,2,2,4,100,8,5,NA,1,13,6,4,3.75
"AN03OT",2023-11-30,3,2,2,4,9,3,3,NA,2,13,6,4,3.75
"AN03OT",2023-11-30,6,2,1,5,90,26,6,NA,3,13,6,3,4
"AN03OT",2023-11-30,5,2,2,5,100,6,5,NA,4,13,6,3,4
"AN03OT",2023-11-30,5,2,2,5,83,17,5,NA,5,13,6,3,4
"AN03OT",2023-11-30,5,2,2,5,70,9,3,NA,6,13,6,3,4
"AN03OT",2023-11-30,6,2,2,5,100,10,5,NA,7,13,6,3,4.25
"AN03OT",2023-12-01,1,6,6,1,100,0,4,NA,1,14,2,7,4
"AN03OT",2023-12-01,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA,NA,NA
"AN03OT",2023-12-01,5,2,2,5,85,72,5,NA,3,14,6,3,4
