"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"AN11HI",2023-07-18,6,1,1,6,100,90,6,NA,1,1,7,2,4
"AN11HI",2023-07-18,7,1,1,6,10,10,4,NA,2,1,7,2,4.25
"AN11HI",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
"AN11HI",2023-07-18,7,1,1,6,0,0,4,NA,4,1,7,2,4.25
"AN11HI",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"AN11HI",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA
"AN11HI",2023-07-18,7,1,1,6,70,60,6,NA,7,1,7,2,4.25
"AN11HI",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"AN11HI",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"AN11HI",2023-07-19,5,1,1,6,16,16,4,NA,3,2,7,2,3.75
"AN11HI",2023-07-19,6,1,1,6,0,0,4,NA,4,2,7,2,4
"AN11HI",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"AN11HI",2023-07-19,6,1,1,6,10,10,5,NA,6,2,7,2,4
"AN11HI",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"AN11HI",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"AN11HI",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"AN11HI",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"AN11HI",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"AN11HI",2023-07-20,5,1,1,6,0,0,4,NA,5,3,7,2,3.75
"AN11HI",2023-07-20,6,1,1,6,0,0,4,NA,6,3,7,2,4
"AN11HI",2023-07-20,7,1,1,6,71,70,6,NA,7,3,7,2,4.25
"AN11HI",2023-07-21,6,1,1,6,25,25,6,NA,1,4,7,2,4
"AN11HI",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
