"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"BA03RG",2023-07-15,4,3,3,5,10,10,4,NA,1,1,5,3,3.75
"BA03RG",2023-07-15,5,3,3,5,5,6,4,NA,2,1,5,3,4
"BA03RG",2023-07-15,5,3,2,5,5,5,4,NA,3,1,5,3,3.75
"BA03RG",2023-07-15,6,3,2,5,50,41,6,NA,4,1,5,3,4
"BA03RG",2023-07-15,6,2,2,6,30,30,5,NA,5,1,6,2,4
"BA03RG",2023-07-15,6,2,2,6,25,15,5,NA,6,1,6,2,4
"BA03RG",2023-07-15,5,3,3,5,70,21,5,NA,7,1,5,3,4
"BA03RG",2023-07-16,5,2,2,6,0,0,4,NA,1,2,6,2,3.75
"BA03RG",2023-07-16,5,3,3,5,21,21,4,NA,2,2,5,3,4
"BA03RG",2023-07-16,5,2,2,6,0,0,4,NA,3,2,6,2,3.75
"BA03RG",2023-07-16,5,2,2,5,15,16,5,NA,4,2,6,3,4
"BA03RG",2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"BA03RG",2023-07-16,5,3,3,5,100,14,5,NA,6,2,5,3,4
"BA03RG",2023-07-16,5,3,3,5,14,14,4,NA,7,2,5,3,4
"BA03RG",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"BA03RG",2023-07-17,4,3,3,5,0,0,4,NA,2,3,5,3,3.75
"BA03RG",2023-07-17,5,3,3,5,21,19,4,NA,3,3,5,3,4
"BA03RG",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"BA03RG",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"BA03RG",2023-07-17,5,3,3,5,100,100,6,NA,6,3,5,3,4
"BA03RG",2023-07-17,6,2,2,6,90,88,6,NA,7,3,6,2,4
"BA03RG",2023-07-18,5,3,3,5,100,100,6,NA,1,4,5,3,4
"BA03RG",2023-07-18,5,3,3,5,51,48,5,NA,2,4,5,3,4
"BA03RG",2023-07-18,5,3,3,5,31,15,4,NA,3,4,5,3,4
"BA03RG",2023-07-18,5,3,3,5,11,10,4,NA,4,4,5,3,4
"BA03RG",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"BA03RG",2023-07-18,5,3,3,5,55,21,5,NA,6,4,5,3,4
