"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"BI10DE",2023-10-20,6,2,2,5,0,0,3,NA,1,1,6,3,4.25
"BI10DE",2023-10-20,6,2,1,5,30,20,4,NA,2,1,6,3,4
"BI10DE",2023-10-20,5,2,1,5,70,0,2,NA,3,1,6,3,3.75
"BI10DE",2023-10-20,6,1,1,6,100,20,3,NA,4,1,7,2,4
"BI10DE",2023-10-20,6,1,1,6,50,20,3,NA,5,1,7,2,4
"BI10DE",2023-10-20,7,1,1,7,50,75,6,NA,6,1,7,1,4
"BI10DE",2023-10-20,7,1,1,6,100,100,7,NA,7,1,7,2,4.25
"BI10DE",2023-10-21,6,2,2,6,100,0,6,NA,1,2,6,2,4
"BI10DE",2023-10-21,6,1,1,6,100,75,6,NA,2,2,7,2,4
"BI10DE",2023-10-21,6,1,1,6,100,40,5,NA,3,2,7,2,4
"BI10DE",2023-10-21,6,1,1,6,100,75,6,NA,4,2,7,2,4
"BI10DE",2023-10-21,7,1,1,7,100,80,7,NA,5,2,7,1,4
"BI10DE",2023-10-21,7,1,1,7,100,100,7,NA,6,2,7,1,4
"BI10DE",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"BI10DE",2023-10-22,5,1,2,3,100,74,3,NA,1,3,7,5,4.75
"BI10DE",2023-10-22,6,1,1,6,100,40,5,NA,2,3,7,2,4
"BI10DE",2023-10-22,6,1,1,6,100,76,6,NA,3,3,7,2,4
"BI10DE",2023-10-22,6,1,1,5,100,30,5,NA,4,3,7,3,4.25
"BI10DE",2023-10-22,6,1,1,6,100,25,5,NA,5,3,7,2,4
"BI10DE",2023-10-22,6,1,1,6,100,69,6,NA,6,3,7,2,4
"BI10DE",2023-10-22,6,1,1,6,100,70,6,NA,7,3,7,2,4
"BI10DE",2023-10-23,6,2,2,5,100,0,4,NA,1,4,6,3,4.25
"BI10DE",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"BI10DE",2023-10-23,6,1,1,6,100,70,6,NA,3,4,7,2,4
"BI10DE",2023-10-23,6,1,1,6,100,59,5,NA,4,4,7,2,4
"BI10DE",2023-10-23,6,1,1,6,100,70,7,NA,5,4,7,2,4
"BI10DE",2023-10-23,6,1,1,6,100,75,5,NA,6,4,7,2,4
"BI10DE",2023-10-23,5,2,2,5,70,30,3,NA,7,4,6,3,4
"BI10DE",2023-10-24,7,1,1,7,100,50,7,NA,1,5,7,1,4
"BI10DE",2023-10-24,6,1,1,6,100,75,6,NA,2,5,7,2,4
"BI10DE",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"BI10DE",2023-10-24,7,1,1,7,60,30,6,NA,4,5,7,1,4
"BI10DE",2023-10-24,6,1,1,6,100,75,6,NA,5,5,7,2,4
"BI10DE",2023-10-24,7,1,1,6,100,75,6,NA,6,5,7,2,4.25
"BI10DE",2023-10-24,7,1,1,7,100,100,7,NA,7,5,7,1,4
"BI10DE",2023-10-25,6,2,2,6,100,0,4,NA,1,6,6,2,4
"BI10DE",2023-10-25,6,1,1,6,100,75,6,NA,2,6,7,2,4
"BI10DE",2023-10-25,6,1,1,6,100,75,6,NA,3,6,7,2,4
"BI10DE",2023-10-25,5,2,2,5,100,40,4,NA,4,6,6,3,4
"BI10DE",2023-10-25,6,1,1,6,100,100,7,NA,5,6,7,2,4
"BI10DE",2023-10-25,6,1,1,6,100,100,6,NA,6,6,7,2,4
"BI10DE",2023-10-25,7,1,1,7,100,100,7,NA,7,6,7,1,4
"BI10DE",2023-10-26,6,2,2,6,0,0,2,NA,1,7,6,2,4
"BI10DE",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA
"BI10DE",2023-10-26,6,1,1,6,100,20,5,NA,3,7,7,2,4
"BI10DE",2023-10-26,6,1,1,6,100,10,5,NA,4,7,7,2,4
"BI10DE",2023-10-26,6,1,1,6,100,100,7,NA,5,7,7,2,4
"BI10DE",2023-10-26,6,1,1,6,100,77,6,NA,6,7,7,2,4
"BI10DE",2023-10-26,6,2,2,5,50,20,4,NA,7,7,6,3,4.25
"BI10DE",2023-10-27,5,1,1,5,0,0,3,NA,1,8,7,3,4
"BI10DE",2023-10-27,5,2,2,5,100,15,4,NA,2,8,6,3,4
"BI10DE",2023-10-27,6,1,1,6,100,11,5,NA,3,8,7,2,4
"BI10DE",2023-10-27,6,1,1,6,100,51,5,NA,4,8,7,2,4
"BI10DE",2023-10-27,6,2,1,6,71,11,4,NA,5,8,6,2,3.75
"BI10DE",2023-10-27,6,1,1,6,0,0,5,NA,6,8,7,2,4
"BI10DE",2023-10-27,6,1,1,6,50,25,6,NA,7,8,7,2,4
"BI10DE",2023-10-28,6,1,1,6,100,0,5,NA,1,9,7,2,4
"BI10DE",2023-10-28,6,1,1,6,100,76,6,NA,2,9,7,2,4
"BI10DE",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"BI10DE",2023-10-28,6,1,1,6,100,76,6,NA,4,9,7,2,4
"BI10DE",2023-10-28,5,2,2,5,100,25,4,NA,5,9,6,3,4
"BI10DE",2023-10-28,6,1,1,6,100,100,6,NA,6,9,7,2,4
"BI10DE",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA
"BI10DE",2023-10-29,6,1,1,6,100,78,6,NA,1,10,7,2,4
"BI10DE",2023-10-29,5,1,1,5,100,100,6,NA,2,10,7,3,4
"BI10DE",2023-10-29,6,1,1,6,100,100,6,NA,3,10,7,2,4
"BI10DE",2023-10-29,5,1,1,5,100,100,7,NA,4,10,7,3,4
"BI10DE",2023-10-29,5,2,2,5,100,60,5,NA,5,10,6,3,4
"BI10DE",2023-10-29,6,1,1,6,100,100,6,NA,6,10,7,2,4
"BI10DE",2023-10-29,6,1,1,6,100,100,6,NA,7,10,7,2,4
"BI10DE",2023-10-30,5,2,2,5,0,0,3,NA,1,11,6,3,4
"BI10DE",2023-10-30,6,2,2,5,100,100,5,NA,2,11,6,3,4.25
"BI10DE",2023-10-30,6,1,1,6,100,50,6,NA,3,11,7,2,4
"BI10DE",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,NA,NA
"BI10DE",2023-10-30,5,1,1,5,100,30,5,NA,5,11,7,3,4
"BI10DE",2023-10-30,6,1,1,6,100,89,6,NA,6,11,7,2,4
"BI10DE",2023-10-30,6,1,1,6,49,25,5,NA,7,11,7,2,4
"BI10DE",2023-10-31,5,1,1,5,0,0,3,NA,1,12,7,3,4
"BI10DE",2023-10-31,6,1,1,6,100,27,5,NA,2,12,7,2,4
"BI10DE",2023-10-31,6,1,1,6,100,0,5,NA,3,12,7,2,4
"BI10DE",2023-10-31,5,1,1,6,100,50,6,NA,4,12,7,2,3.75
"BI10DE",2023-10-31,6,1,1,6,100,29,5,NA,5,12,7,2,4
"BI10DE",2023-10-31,6,1,1,6,100,80,6,NA,6,12,7,2,4
"BI10DE",2023-10-31,6,1,1,6,100,100,6,NA,7,12,7,2,4
"BI10DE",2023-11-01,5,1,1,5,100,23,5,NA,1,13,7,3,4
"BI10DE",2023-11-01,5,1,1,5,100,100,6,NA,2,13,7,3,4
"BI10DE",2023-11-01,6,1,1,6,100,100,6,NA,3,13,7,2,4
"BI10DE",2023-11-01,6,1,1,6,100,100,7,NA,4,13,7,2,4
"BI10DE",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,NA,NA
"BI10DE",2023-11-01,6,1,1,6,100,100,6,NA,6,13,7,2,4
