"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"BR02HR",2023-10-19,4,2,2,5,20,8,4,NA,1,1,6,3,3.75
"BR02HR",2023-10-19,5,2,2,6,15,17,4,NA,2,1,6,2,3.75
"BR02HR",2023-10-19,5,2,1,5,21,16,4,NA,3,1,6,3,3.75
"BR02HR",2023-10-19,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"BR02HR",2023-10-19,3,2,2,5,57,62,5,NA,5,1,6,3,3.5
"BR02HR",2023-10-19,5,2,1,6,68,68,6,NA,6,1,6,2,3.5
"BR02HR",2023-10-19,6,1,1,5,68,65,6,NA,7,1,7,3,4.25
"BR02HR",2023-10-20,6,2,2,5,16,14,4,NA,1,2,6,3,4.25
"BR02HR",2023-10-20,6,1,1,5,48,47,5,NA,2,2,7,3,4.25
"BR02HR",2023-10-20,5,2,1,5,57,64,6,NA,3,2,6,3,3.75
"BR02HR",2023-10-20,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
"BR02HR",2023-10-20,6,1,1,5,87,82,6,NA,5,2,7,3,4.25
"BR02HR",2023-10-20,6,1,2,5,77,79,6,NA,6,2,7,3,4.5
"BR02HR",2023-10-20,6,1,1,5,75,85,7,NA,7,2,7,3,4.25
"BR02HR",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"BR02HR",2023-10-21,4,1,1,5,0,0,4,NA,2,3,7,3,3.75
"BR02HR",2023-10-21,6,1,1,5,82,71,6,NA,3,3,7,3,4.25
"BR02HR",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"BR02HR",2023-10-21,6,1,2,5,81,82,7,NA,5,3,7,3,4.5
"BR02HR",2023-10-21,6,1,1,5,69,72,6,NA,6,3,7,3,4.25
"BR02HR",2023-10-21,6,1,1,5,78,74,6,NA,7,3,7,3,4.25
"BR02HR",2023-10-22,6,2,1,5,0,0,6,NA,1,4,6,3,4
"BR02HR",2023-10-22,6,1,1,5,68,67,6,NA,2,4,7,3,4.25
"BR02HR",2023-10-22,5,2,2,5,83,88,6,NA,3,4,6,3,4
"BR02HR",2023-10-22,5,1,2,6,55,62,5,NA,4,4,7,2,4
