"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"BT02IG",2023-07-22,5,2,2,5,40,40,6,NA,1,1,6,3,4
"BT02IG",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"BT02IG",2023-07-22,5,1,2,4,18,21,5,NA,3,1,7,4,4.5
"BT02IG",2023-07-22,2,4,5,3,0,0,4,NA,4,1,4,5,4
"BT02IG",2023-07-22,5,2,2,5,25,25,5,NA,5,1,6,3,4
"BT02IG",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA
"BT02IG",2023-07-22,6,2,1,6,85,85,7,NA,7,1,6,2,3.75
"BT02IG",2023-07-23,5,1,1,5,25,26,5,NA,1,2,7,3,4
"BT02IG",2023-07-23,6,1,1,6,44,44,6,NA,2,2,7,2,4
"BT02IG",2023-07-23,5,1,1,5,0,0,5,NA,3,2,7,3,4
"BT02IG",2023-07-23,7,1,1,7,84,83,7,NA,4,2,7,1,4
"BT02IG",2023-07-23,5,1,1,6,76,73,6,NA,5,2,7,2,3.75
"BT02IG",2023-07-23,6,1,1,6,92,92,5,NA,6,2,7,2,4
"BT02IG",2023-07-23,5,1,1,5,0,0,5,NA,7,2,7,3,4
"BT02IG",2023-07-24,5,2,2,5,0,0,4,NA,1,3,6,3,4
"BT02IG",2023-07-24,3,2,2,4,0,0,4,NA,2,3,6,4,3.75
"BT02IG",2023-07-24,5,1,1,5,0,0,5,NA,3,3,7,3,4
"BT02IG",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"BT02IG",2023-07-24,6,1,1,6,100,100,6,NA,5,3,7,2,4
"BT02IG",2023-07-24,6,1,1,7,40,49,5,NA,6,3,7,1,3.75
"BT02IG",2023-07-24,6,1,1,7,0,21,5,NA,7,3,7,1,3.75
"BT02IG",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"BT02IG",2023-07-25,6,1,1,6,0,23,5,NA,2,4,7,2,4
"BT02IG",2023-07-25,7,1,1,7,0,0,4,NA,3,4,7,1,4
"BT02IG",2023-07-25,7,1,1,7,57,62,5,NA,4,4,7,1,4
"BT02IG",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"BT02IG",2023-07-25,6,1,1,6,100,100,6,NA,6,4,7,2,4
"BT02IG",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA
"BT02IG",2023-07-26,6,1,1,6,0,6,6,NA,1,5,7,2,4
"BT02IG",2023-07-26,7,1,1,7,0,19,5,NA,2,5,7,1,4
"BT02IG",2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"BT02IG",2023-07-26,7,1,1,7,11,37,7,NA,4,5,7,1,4
"BT02IG",2023-07-26,5,1,1,5,65,66,6,NA,5,5,7,3,4
"BT02IG",2023-07-26,6,1,1,6,25,20,6,NA,6,5,7,2,4
"BT02IG",2023-07-26,7,1,1,6,0,18,5,NA,7,5,7,2,4.25
"BT02IG",2023-07-27,7,1,1,7,43,45,5,NA,1,6,7,1,4
"BT02IG",2023-07-27,7,2,1,6,32,39,5,NA,2,6,6,2,4
"BT02IG",2023-07-27,7,1,1,7,60,60,4,NA,3,6,7,1,4
"BT02IG",2023-07-27,5,2,2,5,100,14,3,NA,4,6,6,3,4
"BT02IG",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA
"BT02IG",2023-07-27,5,2,3,5,45,47,4,NA,6,6,6,3,4.25
"BT02IG",2023-07-27,3,3,2,2,0,10,2,NA,7,6,5,6,4
"BT02IG",2023-07-28,7,1,1,7,16,1,5,NA,1,7,7,1,4
"BT02IG",2023-07-28,5,3,2,5,100,100,5,NA,2,7,5,3,3.75
"BT02IG",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA
"BT02IG",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA
"BT02IG",2023-07-28,7,1,1,7,68,71,7,NA,5,7,7,1,4
"BT02IG",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA
"BT02IG",2023-07-28,7,1,1,7,100,100,7,NA,7,7,7,1,4
"BT02IG",2023-07-29,7,1,1,7,0,17,6,NA,1,8,7,1,4
"BT02IG",2023-07-29,7,1,1,7,100,58,6,NA,2,8,7,1,4
"BT02IG",2023-07-29,6,1,1,6,90,84,6,NA,3,8,7,2,4
"BT02IG",2023-07-29,6,3,3,5,0,0,5,NA,4,8,5,3,4.25
"BT02IG",2023-07-29,5,1,1,5,53,53,5,NA,5,8,7,3,4
"BT02IG",2023-07-29,3,5,4,2,0,26,4,NA,6,8,3,6,4
"BT02IG",2023-07-29,7,1,1,7,87,67,6,NA,7,8,7,1,4
"BT02IG",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"BT02IG",2023-07-30,7,1,1,7,46,46,6,NA,2,9,7,1,4
"BT02IG",2023-07-30,7,1,1,7,33,36,7,NA,3,9,7,1,4
"BT02IG",2023-07-30,5,1,1,5,0,7,4,NA,4,9,7,3,4
"BT02IG",2023-07-30,6,1,1,6,4,8,6,NA,5,9,7,2,4
"BT02IG",2023-07-30,7,1,1,7,0,12,7,NA,6,9,7,1,4
"BT02IG",2023-07-30,6,1,1,6,8,10,6,NA,7,9,7,2,4
"BT02IG",2023-07-31,6,1,1,6,30,33,6,NA,1,10,7,2,4
"BT02IG",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA
"BT02IG",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,NA,NA
"BT02IG",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,NA
"BT02IG",2023-07-31,6,1,1,6,57,58,7,NA,5,10,7,2,4
"BT02IG",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,6,10,NA,NA,NA
"BT02IG",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,7,10,NA,NA,NA
"BT02IG",2023-08-01,7,1,1,7,0,5,6,NA,1,11,7,1,4
"BT02IG",2023-08-01,7,1,1,7,57,29,6,NA,2,11,7,1,4
