"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"BT08EW",2023-08-27,5,3,1,7,0,10,6,NA,1,1,5,1,3
"BT08EW",2023-08-27,7,1,1,7,100,77,7,NA,2,1,7,1,4
"BT08EW",2023-08-27,6,2,2,6,100,51,6,NA,3,1,6,2,4
"BT08EW",2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"BT08EW",2023-08-27,5,2,3,6,0,0,4,NA,5,1,6,2,4
"BT08EW",2023-08-27,6,1,1,5,0,0,4,NA,6,1,7,3,4.25
"BT08EW",2023-08-27,6,1,1,6,0,14,5,NA,7,1,7,2,4
"BT08EW",2023-08-28,5,2,1,5,0,0,5,NA,1,2,6,3,3.75
"BT08EW",2023-08-28,5,1,2,5,0,1,4,NA,2,2,7,3,4.25
"BT08EW",2023-08-28,3,3,5,3,0,0,3,NA,3,2,5,5,4.5
"BT08EW",2023-08-28,6,2,1,5,1,0,4,NA,4,2,6,3,4
"BT08EW",2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"BT08EW",2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"BT08EW",2023-08-28,7,2,1,6,50,30,3,NA,7,2,6,2,4
"BT08EW",2023-08-29,5,1,1,5,0,0,4,NA,1,3,7,3,4
"BT08EW",2023-08-29,5,1,1,5,0,2,4,NA,2,3,7,3,4
"BT08EW",2023-08-29,6,1,2,5,0,0,3,NA,3,3,7,3,4.5
"BT08EW",2023-08-29,5,1,2,4,0,0,4,NA,4,3,7,4,4.5
"BT08EW",2023-08-29,3,5,5,3,0,6,2,NA,5,3,3,5,4
"BT08EW",2023-08-29,3,5,2,3,30,29,3,NA,6,3,3,5,3.25
"BT08EW",2023-08-29,4,3,4,3,100,100,3,NA,7,3,5,5,4.5
"BT08EW",2023-08-30,6,2,1,6,0,0,5,NA,1,4,6,2,3.75
"BT08EW",2023-08-30,4,2,3,5,0,12,5,NA,2,4,6,3,4
"BT08EW",2023-08-30,6,2,1,6,0,0,6,NA,3,4,6,2,3.75
"BT08EW",2023-08-30,3,2,5,4,0,0,6,NA,4,4,6,4,4.5
"BT08EW",2023-08-30,6,1,1,6,25,24,6,NA,5,4,7,2,4
"BT08EW",2023-08-30,6,2,1,6,73,27,5,NA,6,4,6,2,3.75
"BT08EW",2023-08-30,6,1,1,6,24,27,6,NA,7,4,7,2,4
"BT08EW",2023-08-31,7,1,2,7,0,0,6,NA,1,5,7,1,4.25
"BT08EW",2023-08-31,7,1,1,6,0,0,6,NA,2,5,7,2,4.25
"BT08EW",2023-08-31,7,1,1,7,21,16,6,NA,3,5,7,1,4
"BT08EW",2023-08-31,7,1,1,6,25,12,5,NA,4,5,7,2,4.25
"BT08EW",2023-08-31,3,5,2,3,51,14,3,NA,5,5,3,5,3.25
"BT08EW",2023-08-31,7,1,1,7,24,75,7,NA,6,5,7,1,4
"BT08EW",2023-08-31,7,1,1,6,100,29,6,NA,7,5,7,2,4.25
"BT08EW",2023-09-01,5,3,5,5,100,9,3,NA,1,6,5,3,4.5
"BT08EW",2023-09-01,5,2,1,5,28,7,3,NA,2,6,6,3,3.75
"BT08EW",2023-09-01,6,1,1,7,0,25,6,NA,3,6,7,1,3.75
"BT08EW",2023-09-01,6,1,1,7,0,7,6,NA,4,6,7,1,3.75
"BT08EW",2023-09-01,7,1,1,7,76,28,7,NA,5,6,7,1,4
"BT08EW",2023-09-01,7,1,1,7,100,17,7,NA,6,6,7,1,4
"BT08EW",2023-09-01,7,1,1,6,100,54,7,NA,7,6,7,2,4.25
"BT08EW",2023-09-02,7,1,1,7,100,0,7,NA,1,7,7,1,4
"BT08EW",2023-09-02,7,1,1,7,100,13,6,NA,2,7,7,1,4
"BT08EW",2023-09-02,7,1,1,7,100,100,7,NA,3,7,7,1,4
"BT08EW",2023-09-02,7,1,1,7,85,51,7,NA,4,7,7,1,4
"BT08EW",2023-09-02,7,1,1,7,0,0,7,NA,5,7,7,1,4
"BT08EW",2023-09-02,7,1,1,7,0,0,7,NA,6,7,7,1,4
"BT08EW",2023-09-02,7,1,1,7,0,0,7,NA,7,7,7,1,4
"BT08EW",2023-09-03,7,1,1,7,0,0,7,NA,1,8,7,1,4
"BT08EW",2023-09-03,7,1,1,7,40,9,7,NA,2,8,7,1,4
"BT08EW",2023-09-03,7,1,1,7,0,0,6,NA,3,8,7,1,4
"BT08EW",2023-09-03,7,1,1,6,0,0,6,NA,4,8,7,2,4.25
"BT08EW",2023-09-03,7,1,1,7,76,74,7,NA,5,8,7,1,4
"BT08EW",2023-09-03,6,1,1,5,0,0,5,NA,6,8,7,3,4.25
"BT08EW",2023-09-03,7,1,1,6,46,19,7,NA,7,8,7,2,4.25
"BT08EW",2023-09-04,7,1,1,5,100,11,3,NA,1,9,7,3,4.5
"BT08EW",2023-09-04,7,1,1,7,100,8,6,NA,2,9,7,1,4
"BT08EW",2023-09-04,7,1,1,7,100,15,6,NA,3,9,7,1,4
"BT08EW",2023-09-04,7,1,1,5,100,87,5,NA,4,9,7,3,4.5
"BT08EW",2023-09-04,7,1,1,5,100,71,5,NA,5,9,7,3,4.5
"BT08EW",2023-09-04,7,1,1,6,100,30,6,NA,6,9,7,2,4.25
"BT08EW",2023-09-04,7,1,1,6,100,23,6,NA,7,9,7,2,4.25
"BT08EW",2023-09-05,7,1,1,7,100,48,5,NA,1,10,7,1,4
"BT08EW",2023-09-05,7,1,1,6,100,27,5,NA,2,10,7,2,4.25
"BT08EW",2023-09-05,5,2,1,5,27,14,5,NA,3,10,6,3,3.75
"BT08EW",2023-09-05,7,1,1,6,100,71,6,NA,4,10,7,2,4.25
"BT08EW",2023-09-05,6,1,1,5,100,18,4,NA,5,10,7,3,4.25
"BT08EW",2023-09-05,7,1,1,7,100,25,7,NA,6,10,7,1,4
"BT08EW",2023-09-05,7,1,1,7,100,100,7,NA,7,10,7,1,4
"BT08EW",2023-09-06,6,2,3,5,100,20,5,NA,1,11,6,3,4.5
"BT08EW",2023-09-06,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA
"BT08EW",2023-09-06,7,1,1,6,51,36,6,NA,3,11,7,2,4.25
"BT08EW",2023-09-06,5,3,2,5,0,0,5,NA,4,11,5,3,3.75
"BT08EW",2023-09-06,7,1,1,6,51,14,6,NA,5,11,7,2,4.25
"BT08EW",2023-09-06,NA,NA,NA,NA,NA,NA,NA,NA,6,11,NA,NA,NA
"BT08EW",2023-09-06,7,1,1,7,100,90,7,NA,7,11,7,1,4
"BT08EW",2023-09-07,7,1,1,6,100,61,6,NA,1,12,7,2,4.25
"BT08EW",2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,2,12,NA,NA,NA
"BT08EW",2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,3,12,NA,NA,NA
"BT08EW",2023-09-07,7,1,1,7,100,7,7,NA,4,12,7,1,4
"BT08EW",2023-09-07,7,1,1,7,100,34,7,NA,5,12,7,1,4
"BT08EW",2023-09-07,7,1,1,7,100,26,7,NA,6,12,7,1,4
"BT08EW",2023-09-07,7,1,1,7,97,100,6,NA,7,12,7,1,4
"BT08EW",2023-09-08,7,1,1,7,100,51,6,NA,1,13,7,1,4
"BT08EW",2023-09-08,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA,NA,NA
