"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"BT09VL",2023-07-29,5,2,1,5,0,0,4,NA,1,1,6,3,3.75
"BT09VL",2023-07-29,6,1,1,7,42,50,2,NA,2,1,7,1,3.75
"BT09VL",2023-07-29,6,1,1,7,60,35,6,NA,3,1,7,1,3.75
"BT09VL",2023-07-29,5,1,1,6,14,12,3,NA,4,1,7,2,3.75
"BT09VL",2023-07-29,6,1,1,7,29,29,6,NA,5,1,7,1,3.75
"BT09VL",2023-07-29,6,1,1,7,10,10,4,NA,6,1,7,1,3.75
"BT09VL",2023-07-29,6,1,1,6,100,80,6,NA,7,1,7,2,4
"BT09VL",2023-07-30,7,1,1,7,7,5,5,NA,1,2,7,1,4
"BT09VL",2023-07-30,7,1,1,7,52,51,7,NA,2,2,7,1,4
"BT09VL",2023-07-30,7,1,1,7,100,100,7,NA,3,2,7,1,4
"BT09VL",2023-07-30,7,1,1,7,100,100,6,NA,4,2,7,1,4
"BT09VL",2023-07-30,7,1,1,7,100,100,7,NA,5,2,7,1,4
"BT09VL",2023-07-30,7,1,1,7,51,51,6,NA,6,2,7,1,4
"BT09VL",2023-07-30,7,1,1,7,0,0,4,NA,7,2,7,1,4
"BT09VL",2023-07-31,6,1,1,7,51,24,5,NA,1,3,7,1,3.75
"BT09VL",2023-07-31,7,1,1,7,100,63,7,NA,2,3,7,1,4
"BT09VL",2023-07-31,6,1,1,7,0,0,3,NA,3,3,7,1,3.75
"BT09VL",2023-07-31,7,1,1,7,0,5,5,NA,4,3,7,1,4
"BT09VL",2023-07-31,7,1,1,7,41,31,7,NA,5,3,7,1,4
"BT09VL",2023-07-31,7,1,1,7,0,10,5,NA,6,3,7,1,4
"BT09VL",2023-07-31,7,1,1,7,50,0,3,NA,7,3,7,1,4
"BT09VL",2023-08-01,7,1,1,7,0,10,5,NA,1,4,7,1,4
