"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"CR04EW",2023-10-28,5,2,3,5,70,9,6,NA,1,1,6,3,4.25
"CR04EW",2023-10-28,3,5,5,3,50,35,5,NA,2,1,3,5,4
"CR04EW",2023-10-28,6,3,3,3,100,75,6,NA,3,1,5,5,4.75
"CR04EW",2023-10-28,5,3,5,3,100,75,5,NA,4,1,5,5,5
"CR04EW",2023-10-28,5,3,3,3,100,80,6,NA,5,1,5,5,4.5
"CR04EW",2023-10-28,5,3,3,5,100,100,7,NA,6,1,5,3,4
"CR04EW",2023-10-28,4,3,3,3,20,15,5,NA,7,1,5,5,4.25
"CR04EW",2023-10-29,5,3,3,5,0,0,4,NA,1,2,5,3,4
"CR04EW",2023-10-29,6,3,3,5,15,15,5,NA,2,2,5,3,4.25
"CR04EW",2023-10-29,6,3,2,5,100,100,7,NA,3,2,5,3,4
"CR04EW",2023-10-29,7,2,2,5,100,100,7,NA,4,2,6,3,4.5
"CR04EW",2023-10-29,6,3,3,5,100,100,7,NA,5,2,5,3,4.25
"CR04EW",2023-10-29,3,5,4,4,100,100,7,NA,6,2,3,4,3.5
"CR04EW",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"CR04EW",2023-10-30,5,3,3,5,4,4,5,NA,1,3,5,3,4
"CR04EW",2023-10-30,5,3,3,5,100,33,6,NA,2,3,5,3,4
"CR04EW",2023-10-30,5,3,3,5,100,21,6,NA,3,3,5,3,4
"CR04EW",2023-10-30,5,3,3,5,56,24,6,NA,4,3,5,3,4
"CR04EW",2023-10-30,3,4,4,4,75,50,6,NA,5,3,4,4,3.75
"CR04EW",2023-10-30,6,3,3,5,100,39,6,NA,6,3,5,3,4.25
"CR04EW",2023-10-30,5,3,3,5,52,0,6,NA,7,3,5,3,4
"CR04EW",2023-10-31,4,3,3,3,29,12,5,NA,1,4,5,5,4.25
"CR04EW",2023-10-31,1,6,6,2,29,19,4,NA,2,4,2,6,3.75
"CR04EW",2023-10-31,5,3,3,4,100,25,6,NA,3,4,5,4,4.25
"CR04EW",2023-10-31,4,4,3,3,100,39,5,NA,4,4,4,5,4
"CR04EW",2023-10-31,4,5,4,4,52,24,6,NA,5,4,3,4,3.75
"CR04EW",2023-10-31,5,4,4,4,69,42,6,NA,6,4,4,4,4.25
"CR04EW",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA
"CR04EW",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"CR04EW",2023-11-01,5,4,3,5,100,59,5,NA,2,5,4,3,3.75
"CR04EW",2023-11-01,4,4,3,4,100,100,5,NA,3,5,4,4,3.75
"CR04EW",2023-11-01,5,4,4,4,100,100,7,NA,4,5,4,4,4.25
"CR04EW",2023-11-01,5,4,3,5,100,74,7,NA,5,5,4,3,3.75
"CR04EW",2023-11-01,6,2,2,6,100,100,7,NA,6,5,6,2,4
"CR04EW",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
"CR04EW",2023-11-02,2,6,6,2,0,0,4,NA,1,6,2,6,4
"CR04EW",2023-11-02,3,4,4,3,73,24,5,NA,2,6,4,5,4
"CR04EW",2023-11-02,5,3,4,4,100,70,5,NA,3,6,5,4,4.5
"CR04EW",2023-11-02,4,4,3,4,100,35,5,NA,4,6,4,4,3.75
"CR04EW",2023-11-02,1,5,6,2,63,12,6,NA,5,6,3,6,4
"CR04EW",2023-11-02,3,5,5,3,33,16,5,NA,6,6,3,5,4
"CR04EW",2023-11-02,2,5,5,2,14,5,5,NA,7,6,3,6,4
"CR04EW",2023-11-03,2,5,5,3,0,0,4,NA,1,7,3,5,3.75
"CR04EW",2023-11-03,3,5,5,3,39,21,5,NA,2,7,3,5,4
"CR04EW",2023-11-03,2,6,6,2,100,22,5,NA,3,7,2,6,4
"CR04EW",2023-11-03,3,5,4,4,0,0,5,NA,4,7,3,4,3.5
"CR04EW",2023-11-03,4,4,3,3,35,14,5,NA,5,7,4,5,4
"CR04EW",2023-11-03,4,4,4,4,100,86,7,NA,6,7,4,4,4
"CR04EW",2023-11-03,5,4,3,4,100,100,7,NA,7,7,4,4,4
"CR04EW",2023-11-04,2,6,5,2,0,0,5,NA,1,8,2,6,3.75
"CR04EW",2023-11-04,4,4,3,3,63,33,6,NA,2,8,4,5,4
"CR04EW",2023-11-04,5,4,3,4,67,40,6,NA,3,8,4,4,4
"CR04EW",2023-11-04,3,4,3,3,100,63,7,NA,4,8,4,5,3.75
"CR04EW",2023-11-04,5,4,3,5,100,50,7,NA,5,8,4,3,3.75
"CR04EW",2023-11-04,5,3,5,3,100,72,7,NA,6,8,5,5,5
"CR04EW",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA
"CR04EW",2023-11-05,2,5,5,3,0,0,5,NA,1,9,3,5,3.75
"CR04EW",2023-11-05,2,5,5,2,0,0,5,NA,2,9,3,6,4
"CR04EW",2023-11-05,1,5,5,1,100,67,6,NA,3,9,3,7,4
"CR04EW",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA
"CR04EW",2023-11-05,5,3,3,4,100,100,7,NA,5,9,5,4,4.25
"CR04EW",2023-11-05,5,4,4,4,100,85,7,NA,6,9,4,4,4.25
"CR04EW",2023-11-05,5,3,3,4,100,82,7,NA,7,9,5,4,4.25
"CR04EW",2023-11-06,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"CR04EW",2023-11-06,1,6,6,2,0,0,6,NA,2,10,2,6,3.75
"CR04EW",2023-11-06,5,3,5,4,69,28,7,NA,3,10,5,4,4.75
