"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"CR10BR",2023-08-18,5,3,1,6,100,20,7,NA,1,1,5,2,3.25
"CR10BR",2023-08-18,6,2,2,3,100,100,7,NA,2,1,6,5,4.75
"CR10BR",2023-08-18,6,2,1,6,65,42,5,NA,3,1,6,2,3.75
"CR10BR",2023-08-18,6,1,1,6,100,100,1,NA,4,1,7,2,4
"CR10BR",2023-08-18,6,1,1,6,100,100,6,NA,5,1,7,2,4
"CR10BR",2023-08-18,7,1,1,7,100,73,7,NA,6,1,7,1,4
"CR10BR",2023-08-18,7,1,1,7,100,90,4,NA,7,1,7,1,4
"CR10BR",2023-08-19,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"CR10BR",2023-08-19,5,3,1,4,0,0,7,NA,2,2,5,4,3.75
"CR10BR",2023-08-19,5,4,1,4,0,31,4,NA,3,2,4,4,3.5
"CR10BR",2023-08-19,6,1,1,5,0,20,4,NA,4,2,7,3,4.25
"CR10BR",2023-08-19,6,2,2,6,58,32,4,NA,5,2,6,2,4
"CR10BR",2023-08-19,6,1,1,7,100,100,3,NA,6,2,7,1,3.75
"CR10BR",2023-08-19,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"CR10BR",2023-08-20,7,1,1,7,0,0,4,NA,1,3,7,1,4
"CR10BR",2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"CR10BR",2023-08-20,7,1,2,6,75,50,4,NA,3,3,7,2,4.5
"CR10BR",2023-08-20,6,2,1,7,0,0,4,NA,4,3,6,1,3.5
"CR10BR",2023-08-20,7,1,1,5,10,20,4,NA,5,3,7,3,4.5
"CR10BR",2023-08-20,7,1,1,7,100,100,6,NA,6,3,7,1,4
"CR10BR",2023-08-20,6,2,1,4,100,100,4,NA,7,3,6,4,4.25
"CR10BR",2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"CR10BR",2023-08-21,4,4,2,5,0,0,4,NA,2,4,4,3,3.25
"CR10BR",2023-08-21,7,1,2,7,0,28,4,NA,3,4,7,1,4.25
"CR10BR",2023-08-21,7,1,1,6,100,100,5,NA,4,4,7,2,4.25
"CR10BR",2023-08-21,7,1,1,7,100,100,7,NA,5,4,7,1,4
"CR10BR",2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"CR10BR",2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA
"CR10BR",2023-08-22,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"CR10BR",2023-08-22,7,1,1,6,0,19,4,NA,2,5,7,2,4.25
"CR10BR",2023-08-22,3,3,3,3,0,18,4,NA,3,5,5,5,4
"CR10BR",2023-08-22,5,2,2,7,71,49,6,NA,4,5,6,1,3.5
"CR10BR",2023-08-22,5,3,3,6,100,100,7,NA,5,5,5,2,3.75
"CR10BR",2023-08-22,NA,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,NA
"CR10BR",2023-08-22,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
