"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"EK06BR",2023-10-21,5,4,3,3,100,16,6,NA,1,1,4,5,4.25
"EK06BR",2023-10-21,6,2,1,5,93,70,6,NA,2,1,6,3,4
"EK06BR",2023-10-21,5,4,3,4,100,97,6,NA,3,1,4,4,4
"EK06BR",2023-10-21,5,3,3,5,100,100,7,NA,4,1,5,3,4
"EK06BR",2023-10-21,5,3,2,5,100,100,6,NA,5,1,5,3,3.75
"EK06BR",2023-10-21,2,5,5,3,100,84,6,NA,6,1,3,5,3.75
"EK06BR",2023-10-21,4,5,5,5,100,83,5,NA,7,1,3,3,3.75
"EK06BR",2023-10-22,5,3,3,5,100,68,5,NA,1,2,5,3,4
"EK06BR",2023-10-22,5,3,3,5,100,88,5,NA,2,2,5,3,4
"EK06BR",2023-10-22,3,4,3,3,100,83,3,NA,3,2,4,5,3.75
"EK06BR",2023-10-22,4,4,3,4,100,65,4,NA,4,2,4,4,3.75
"EK06BR",2023-10-22,3,3,5,3,100,52,3,NA,5,2,5,5,4.5
"EK06BR",2023-10-22,3,4,3,3,100,72,5,NA,6,2,4,5,3.75
"EK06BR",2023-10-22,4,4,4,4,100,80,5,NA,7,2,4,4,4
"EK06BR",2023-10-23,4,4,5,5,36,85,5,NA,1,3,4,3,4
"EK06BR",2023-10-23,4,4,3,3,0,0,3,NA,2,3,4,5,4
"EK06BR",2023-10-23,4,3,3,4,0,0,4,NA,3,3,5,4,4
"EK06BR",2023-10-23,4,4,3,4,0,0,3,NA,4,3,4,4,3.75
"EK06BR",2023-10-23,4,4,4,4,36,18,4,NA,5,3,4,4,4
"EK06BR",2023-10-23,4,4,3,4,45,28,5,NA,6,3,4,4,3.75
"EK06BR",2023-10-23,4,3,3,5,100,64,5,NA,7,3,5,3,3.75
"EK06BR",2023-10-24,4,3,3,5,100,86,5,NA,1,4,5,3,3.75
"EK06BR",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"EK06BR",2023-10-24,4,3,2,5,100,100,5,NA,3,4,5,3,3.5
"EK06BR",2023-10-24,4,3,3,5,100,79,5,NA,4,4,5,3,3.75
"EK06BR",2023-10-24,4,5,5,5,50,51,5,NA,5,4,3,3,3.75
"EK06BR",2023-10-24,4,3,2,5,100,70,5,NA,6,4,5,3,3.5
"EK06BR",2023-10-24,5,2,2,4,100,61,4,NA,7,4,6,4,4.25
"EK06BR",2023-10-25,4,3,3,5,33,23,4,NA,1,5,5,3,3.75
"EK06BR",2023-10-25,5,3,3,5,14,19,4,NA,2,5,5,3,4
"EK06BR",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"EK06BR",2023-10-25,4,3,2,4,9,14,3,NA,4,5,5,4,3.75
"EK06BR",2023-10-25,4,3,3,5,17,22,4,NA,5,5,5,3,3.75
"EK06BR",2023-10-25,3,5,4,3,0,0,4,NA,6,5,3,5,3.75
"EK06BR",2023-10-25,4,3,3,4,68,71,5,NA,7,5,5,4,4
"EK06BR",2023-10-26,5,2,2,5,16,28,5,NA,1,6,6,3,4
"EK06BR",2023-10-26,4,5,3,5,62,32,6,NA,2,6,3,3,3.25
