"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"GB06JH",2023-07-24,6,2,1,6,16,8,6,NA,1,1,6,2,3.75
"GB06JH",2023-07-24,6,1,1,6,50,70,6,NA,2,1,7,2,4
"GB06JH",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
"GB06JH",2023-07-24,6,1,1,6,90,70,6,NA,4,1,7,2,4
"GB06JH",2023-07-24,6,1,1,6,80,75,6,NA,5,1,7,2,4
"GB06JH",2023-07-24,6,1,1,6,70,60,6,NA,6,1,7,2,4
"GB06JH",2023-07-24,6,1,1,6,76,64,6,NA,7,1,7,2,4
"GB06JH",2023-07-25,6,1,1,6,20,10,5,NA,1,2,7,2,4
"GB06JH",2023-07-25,6,1,1,6,0,15,5,NA,2,2,7,2,4
"GB06JH",2023-07-25,6,1,1,6,60,70,5,NA,3,2,7,2,4
"GB06JH",2023-07-25,6,1,1,6,50,26,5,NA,4,2,7,2,4
"GB06JH",2023-07-25,6,1,1,6,30,30,6,NA,5,2,7,2,4
"GB06JH",2023-07-25,6,1,1,6,80,54,6,NA,6,2,7,2,4
"GB06JH",2023-07-25,6,1,1,6,73,73,6,NA,7,2,7,2,4
"GB06JH",2023-07-26,6,1,1,6,0,30,5,NA,1,3,7,2,4
"GB06JH",2023-07-26,6,1,1,6,0,30,5,NA,2,3,7,2,4
"GB06JH",2023-07-26,6,1,1,6,0,14,5,NA,3,3,7,2,4
"GB06JH",2023-07-26,6,1,1,6,56,54,6,NA,4,3,7,2,4
"GB06JH",2023-07-26,6,1,1,6,48,42,6,NA,5,3,7,2,4
"GB06JH",2023-07-26,6,1,1,6,100,63,6,NA,6,3,7,2,4
"GB06JH",2023-07-26,6,2,1,5,60,65,5,NA,7,3,6,3,4
"GB06JH",2023-07-27,6,2,1,5,72,44,6,NA,1,4,6,3,4
"GB06JH",2023-07-27,6,1,1,6,63,48,6,NA,2,4,7,2,4
"GB06JH",2023-07-27,6,1,1,6,44,40,6,NA,3,4,7,2,4
"GB06JH",2023-07-27,6,1,1,6,64,52,6,NA,4,4,7,2,4
"GB06JH",2023-07-27,6,1,1,6,83,68,6,NA,5,4,7,2,4
"GB06JH",2023-07-27,6,1,1,6,67,61,6,NA,6,4,7,2,4
"GB06JH",2023-07-27,6,1,1,6,74,78,7,NA,7,4,7,2,4
"GB06JH",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"GB06JH",2023-07-28,6,1,1,6,74,67,6,NA,2,5,7,2,4
"GB06JH",2023-07-28,7,1,1,7,82,82,7,NA,3,5,7,1,4
"GB06JH",2023-07-28,6,1,1,6,78,74,6,NA,4,5,7,2,4
"GB06JH",2023-07-28,6,1,1,6,79,66,6,NA,5,5,7,2,4
"GB06JH",2023-07-28,6,1,1,6,52,38,6,NA,6,5,7,2,4
"GB06JH",2023-07-28,6,1,1,6,75,59,6,NA,7,5,7,2,4
"GB06JH",2023-07-29,6,1,1,6,36,24,6,NA,1,6,7,2,4
"GB06JH",2023-07-29,6,1,1,6,16,18,6,NA,2,6,7,2,4
"GB06JH",2023-07-29,6,1,1,6,80,74,6,NA,3,6,7,2,4
"GB06JH",2023-07-29,6,1,1,7,100,88,7,NA,4,6,7,1,3.75
"GB06JH",2023-07-29,6,1,1,6,68,68,6,NA,5,6,7,2,4
"GB06JH",2023-07-29,6,1,1,6,80,70,6,NA,6,6,7,2,4
"GB06JH",2023-07-29,6,1,1,6,100,80,7,NA,7,6,7,2,4
"GB06JH",2023-07-30,6,1,1,5,0,8,4,NA,1,7,7,3,4.25
"GB06JH",2023-07-30,6,1,1,5,72,26,6,NA,2,7,7,3,4.25
"GB06JH",2023-07-30,6,1,1,6,39,28,5,NA,3,7,7,2,4
"GB06JH",2023-07-30,6,1,1,6,72,61,4,NA,4,7,7,2,4
"GB06JH",2023-07-30,6,1,1,6,76,69,6,NA,5,7,7,2,4
"GB06JH",2023-07-30,6,1,1,5,80,71,6,NA,6,7,7,3,4.25
"GB06JH",2023-07-30,6,1,1,5,59,71,6,NA,7,7,7,3,4.25
"GB06JH",2023-07-31,6,1,1,7,48,38,7,NA,1,8,7,1,3.75
"GB06JH",2023-07-31,6,1,1,6,25,15,5,NA,2,8,7,2,4
"GB06JH",2023-07-31,5,1,1,5,27,16,5,NA,3,8,7,3,4
"GB06JH",2023-07-31,6,1,1,6,74,64,6,NA,4,8,7,2,4
"GB06JH",2023-07-31,6,1,1,6,68,70,6,NA,5,8,7,2,4
"GB06JH",2023-07-31,6,1,1,6,76,64,6,NA,6,8,7,2,4
"GB06JH",2023-07-31,5,1,1,5,33,25,4,NA,7,8,7,3,4
"GB06JH",2023-08-01,6,1,1,5,45,35,5,NA,1,9,7,3,4.25
"GB06JH",2023-08-01,6,1,1,6,68,60,6,NA,2,9,7,2,4
"GB06JH",2023-08-01,6,1,1,5,0,0,6,NA,3,9,7,3,4.25
"GB06JH",2023-08-01,6,1,1,5,66,28,5,NA,4,9,7,3,4.25
"GB06JH",2023-08-01,6,1,1,6,66,59,5,NA,5,9,7,2,4
"GB06JH",2023-08-01,6,1,1,6,43,38,5,NA,6,9,7,2,4
"GB06JH",2023-08-01,6,2,1,5,38,31,6,NA,7,9,6,3,4
"GB06JH",2023-08-02,6,1,1,6,11,2,4,NA,1,10,7,2,4
"GB06JH",2023-08-02,6,1,1,6,52,45,5,NA,2,10,7,2,4
"GB06JH",2023-08-02,6,1,1,6,81,73,6,NA,3,10,7,2,4
"GB06JH",2023-08-02,6,1,1,6,71,62,6,NA,4,10,7,2,4
"GB06JH",2023-08-02,6,1,1,6,73,68,5,NA,5,10,7,2,4
"GB06JH",2023-08-02,6,1,1,6,100,91,6,NA,6,10,7,2,4
"GB06JH",2023-08-02,6,1,1,6,100,78,6,NA,7,10,7,2,4
"GB06JH",2023-08-03,5,1,1,5,7,4,5,NA,1,11,7,3,4
"GB06JH",2023-08-03,6,1,1,6,57,43,6,NA,2,11,7,2,4
"GB06JH",2023-08-03,7,1,1,7,82,80,7,NA,3,11,7,1,4
"GB06JH",2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,NA,NA
"GB06JH",2023-08-03,7,1,1,7,100,94,6,NA,5,11,7,1,4
"GB06JH",2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,6,11,NA,NA,NA
"GB06JH",2023-08-03,6,1,1,5,66,55,6,NA,7,11,7,3,4.25
"GB06JH",2023-08-04,6,1,1,6,31,21,6,NA,1,12,7,2,4
"GB06JH",2023-08-04,5,1,1,5,80,69,5,NA,2,12,7,3,4
"GB06JH",2023-08-04,4,1,1,4,84,68,5,NA,3,12,7,4,4
"GB06JH",2023-08-04,5,1,1,5,74,62,5,NA,4,12,7,3,4
"GB06JH",2023-08-04,5,2,1,5,75,65,6,NA,5,12,6,3,3.75
"GB06JH",2023-08-04,6,1,1,5,54,36,5,NA,6,12,7,3,4.25
"GB06JH",2023-08-04,NA,NA,NA,NA,NA,NA,NA,NA,7,12,NA,NA,NA
"GB06JH",2023-08-05,6,1,1,5,78,65,6,NA,1,13,7,3,4.25
"GB06JH",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA,NA,NA
"GB06JH",2023-08-05,6,1,1,6,100,83,6,NA,3,13,7,2,4
"GB06JH",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,4,13,NA,NA,NA
"GB06JH",2023-08-05,6,1,1,6,100,79,6,NA,5,13,7,2,4
"GB06JH",2023-08-05,NA,NA,NA,NA,NA,NA,NA,NA,6,13,NA,NA,NA
"GB06JH",2023-08-05,6,1,1,5,100,78,5,NA,7,13,7,3,4.25
"GB06JH",2023-08-06,6,1,1,5,53,33,6,NA,1,14,7,3,4.25
"GB06JH",2023-08-06,6,1,1,6,86,71,6,NA,2,14,7,2,4
"GB06JH",2023-08-06,NA,NA,NA,NA,NA,NA,NA,NA,3,14,NA,NA,NA
"GB06JH",2023-08-06,6,1,1,6,83,70,6,NA,4,14,7,2,4
"GB06JH",2023-08-06,6,1,1,6,83,73,6,NA,5,14,7,2,4
"GB06JH",2023-08-06,6,1,1,6,80,68,6,NA,6,14,7,2,4
"GB06JH",2023-08-06,6,1,1,6,76,71,6,NA,7,14,7,2,4
