"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"GB10TO",2023-07-15,5,3,5,5,10,17,6,NA,1,1,5,3,4.5
"GB10TO",2023-07-15,6,2,2,7,82,81,6,NA,2,1,6,1,3.75
"GB10TO",2023-07-15,6,2,2,5,58,14,4,NA,3,1,6,3,4.25
"GB10TO",2023-07-15,6,2,2,6,52,44,6,NA,4,1,6,2,4
"GB10TO",2023-07-15,6,2,2,6,14,17,6,NA,5,1,6,2,4
"GB10TO",2023-07-15,6,1,1,7,11,15,6,NA,6,1,7,1,3.75
"GB10TO",2023-07-15,6,2,2,6,79,74,7,NA,7,1,6,2,4
"GB10TO",2023-07-16,5,1,1,6,0,0,5,NA,1,2,7,2,3.75
"GB10TO",2023-07-16,5,2,2,6,0,0,5,NA,2,2,6,2,3.75
"GB10TO",2023-07-16,6,2,2,6,67,63,6,NA,3,2,6,2,4
"GB10TO",2023-07-16,6,2,1,7,46,28,6,NA,4,2,6,1,3.5
"GB10TO",2023-07-16,6,1,1,6,100,52,6,NA,5,2,7,2,4
"GB10TO",2023-07-16,7,1,1,7,55,24,6,NA,6,2,7,1,4
"GB10TO",2023-07-16,7,1,1,6,54,53,6,NA,7,2,7,2,4.25
"GB10TO",2023-07-17,6,2,2,6,13,14,6,NA,1,3,6,2,4
"GB10TO",2023-07-17,6,2,2,6,62,19,6,NA,2,3,6,2,4
"GB10TO",2023-07-17,6,2,5,3,51,59,6,NA,3,3,6,5,5.5
"GB10TO",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"GB10TO",2023-07-17,6,1,2,6,28,27,6,NA,5,3,7,2,4.25
"GB10TO",2023-07-17,3,1,5,4,32,6,6,NA,6,3,7,4,4.75
"GB10TO",2023-07-17,6,1,1,7,93,94,7,NA,7,3,7,1,3.75
"GB10TO",2023-07-18,6,1,1,7,2,3,6,NA,1,4,7,1,3.75
"GB10TO",2023-07-18,3,5,5,2,87,20,6,NA,2,4,3,6,4.25
"GB10TO",2023-07-18,6,1,1,6,100,33,6,NA,3,4,7,2,4
"GB10TO",2023-07-18,7,1,1,6,100,91,7,NA,4,4,7,2,4.25
"GB10TO",2023-07-18,2,6,5,2,84,71,6,NA,5,4,2,6,3.75
"GB10TO",2023-07-18,4,3,3,4,8,4,6,NA,6,4,5,4,4
"GB10TO",2023-07-18,6,1,2,6,22,13,6,NA,7,4,7,2,4.25
"GB10TO",2023-07-19,6,2,2,6,4,6,6,NA,1,5,6,2,4
"GB10TO",2023-07-19,6,1,1,7,98,17,6,NA,2,5,7,1,3.75
"GB10TO",2023-07-19,6,1,1,6,89,51,6,NA,3,5,7,2,4
"GB10TO",2023-07-19,6,2,2,6,100,46,6,NA,4,5,6,2,4
"GB10TO",2023-07-19,7,1,1,7,79,39,6,NA,5,5,7,1,4
"GB10TO",2023-07-19,7,1,1,7,63,32,6,NA,6,5,7,1,4
"GB10TO",2023-07-19,7,1,1,6,57,32,6,NA,7,5,7,2,4.25
"GB10TO",2023-07-20,6,1,1,6,0,0,7,NA,1,6,7,2,4
"GB10TO",2023-07-20,7,1,1,7,26,10,7,NA,2,6,7,1,4
"GB10TO",2023-07-20,7,1,1,6,14,16,7,NA,3,6,7,2,4.25
"GB10TO",2023-07-20,7,1,1,7,67,12,7,NA,4,6,7,1,4
"GB10TO",2023-07-20,7,1,1,7,37,9,7,NA,5,6,7,1,4
"GB10TO",2023-07-20,7,1,1,7,6,0,7,NA,6,6,7,1,4
"GB10TO",2023-07-20,7,1,1,7,68,67,7,NA,7,6,7,1,4
"GB10TO",2023-07-21,6,2,2,4,64,41,6,NA,1,7,6,4,4.5
"GB10TO",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA
"GB10TO",2023-07-21,7,1,1,7,98,76,7,NA,3,7,7,1,4
"GB10TO",2023-07-21,7,1,1,7,100,81,7,NA,4,7,7,1,4
"GB10TO",2023-07-21,7,1,1,7,100,75,7,NA,5,7,7,1,4
"GB10TO",2023-07-21,7,1,1,7,93,75,7,NA,6,7,7,1,4
"GB10TO",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA
"GB10TO",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"GB10TO",2023-07-22,7,1,1,7,92,79,7,NA,2,8,7,1,4
"GB10TO",2023-07-22,6,1,1,7,83,33,6,NA,3,8,7,1,3.75
"GB10TO",2023-07-22,7,1,1,7,84,79,7,NA,4,8,7,1,4
"GB10TO",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA
"GB10TO",2023-07-22,7,1,1,6,91,85,7,NA,6,8,7,2,4.25
"GB10TO",2023-07-22,7,1,1,7,100,100,7,NA,7,8,7,1,4
"GB10TO",2023-07-23,7,1,1,7,100,72,7,NA,1,9,7,1,4
"GB10TO",2023-07-23,7,1,1,7,100,24,7,NA,2,9,7,1,4
"GB10TO",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"GB10TO",2023-07-23,7,1,1,7,100,84,7,NA,4,9,7,1,4
"GB10TO",2023-07-23,7,1,1,7,100,67,7,NA,5,9,7,1,4
"GB10TO",2023-07-23,7,1,1,7,100,20,7,NA,6,9,7,1,4
"GB10TO",2023-07-23,7,1,1,7,65,7,7,NA,7,9,7,1,4
"GB10TO",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"GB10TO",2023-07-24,7,1,1,7,8,2,7,NA,2,10,7,1,4
"GB10TO",2023-07-24,7,1,1,7,100,58,7,NA,3,10,7,1,4
"GB10TO",2023-07-24,6,2,2,6,23,0,6,NA,4,10,6,2,4
"GB10TO",2023-07-24,7,1,1,7,100,67,7,NA,5,10,7,1,4
"GB10TO",2023-07-24,7,1,1,7,25,5,7,NA,6,10,7,1,4
"GB10TO",2023-07-24,6,1,1,6,5,0,6,NA,7,10,7,2,4
"GB10TO",2023-07-25,6,2,2,6,0,0,6,NA,1,11,6,2,4
"GB10TO",2023-07-25,7,1,1,7,97,88,7,NA,2,11,7,1,4
"GB10TO",2023-07-25,7,1,1,7,89,61,7,NA,3,11,7,1,4
"GB10TO",2023-07-25,7,1,1,7,100,72,7,NA,4,11,7,1,4
"GB10TO",2023-07-25,7,1,1,7,17,0,7,NA,5,11,7,1,4
"GB10TO",2023-07-25,7,1,1,7,100,67,7,NA,6,11,7,1,4
"GB10TO",2023-07-25,7,1,1,7,100,78,7,NA,7,11,7,1,4
"GB10TO",2023-07-26,6,1,1,6,100,81,7,NA,1,12,7,2,4
"GB10TO",2023-07-26,7,1,1,7,75,22,7,NA,2,12,7,1,4
"GB10TO",2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,3,12,NA,NA,NA
"GB10TO",2023-07-26,7,1,1,7,30,8,7,NA,4,12,7,1,4
"GB10TO",2023-07-26,7,1,1,7,22,0,7,NA,5,12,7,1,4
"GB10TO",2023-07-26,7,1,1,7,16,8,7,NA,6,12,7,1,4
"GB10TO",2023-07-26,7,1,1,7,87,65,7,NA,7,12,7,1,4
"GB10TO",2023-07-27,7,1,1,7,0,0,6,NA,1,13,7,1,4
"GB10TO",2023-07-27,7,1,1,7,88,62,7,NA,2,13,7,1,4
"GB10TO",2023-07-27,7,1,1,7,100,16,7,NA,3,13,7,1,4
"GB10TO",2023-07-27,7,1,1,7,78,13,7,NA,4,13,7,1,4
"GB10TO",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,NA,NA
"GB10TO",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,6,13,NA,NA,NA
"GB10TO",2023-07-27,7,1,1,7,90,20,7,NA,7,13,7,1,4
"GB10TO",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA
"GB10TO",2023-07-28,7,1,1,7,100,74,7,NA,2,14,7,1,4
"GB10TO",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,3,14,NA,NA,NA
"GB10TO",2023-07-28,7,1,1,7,94,63,7,NA,4,14,7,1,4
"GB10TO",2023-07-28,7,1,1,7,86,62,7,NA,5,14,7,1,4
"GB10TO",2023-07-28,7,1,1,7,88,62,7,NA,6,14,7,1,4
"GB10TO",2023-07-28,7,1,1,7,87,67,7,NA,7,14,7,1,4
