"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"GL07NB",2023-10-18,5,3,3,4,58,38,7,NA,1,1,5,4,4.25
"GL07NB",2023-10-18,5,5,3,4,100,34,5,NA,2,1,3,4,3.75
"GL07NB",2023-10-18,5,3,3,5,100,33,5,NA,3,1,5,3,4
"GL07NB",2023-10-18,5,3,1,5,98,90,7,NA,4,1,5,3,3.5
"GL07NB",2023-10-18,4,5,5,4,27,25,4,NA,5,1,3,4,4
"GL07NB",2023-10-18,4,5,3,4,13,13,2,NA,6,1,3,4,3.5
"GL07NB",2023-10-18,5,4,3,5,15,10,4,NA,7,1,4,3,3.75
"GL07NB",2023-10-19,5,3,2,5,25,25,5,NA,1,2,5,3,3.75
"GL07NB",2023-10-19,6,2,2,5,100,91,7,NA,2,2,6,3,4.25
"GL07NB",2023-10-19,5,2,2,5,19,10,5,NA,3,2,6,3,4
"GL07NB",2023-10-19,5,3,3,5,100,51,5,NA,4,2,5,3,4
"GL07NB",2023-10-19,5,3,3,6,100,36,6,NA,5,2,5,2,3.75
"GL07NB",2023-10-19,5,2,2,6,86,80,7,NA,6,2,6,2,3.75
"GL07NB",2023-10-19,5,2,2,5,100,48,6,NA,7,2,6,3,4
"GL07NB",2023-10-20,5,3,3,5,1,1,5,NA,1,3,5,3,4
"GL07NB",2023-10-20,6,2,1,5,100,91,7,NA,2,3,6,3,4
"GL07NB",2023-10-20,5,3,2,5,100,6,5,NA,3,3,5,3,3.75
"GL07NB",2023-10-20,5,2,2,5,100,2,5,NA,4,3,6,3,4
"GL07NB",2023-10-20,5,2,3,5,95,18,4,NA,5,3,6,3,4.25
"GL07NB",2023-10-20,5,3,3,5,10,4,4,NA,6,3,5,3,4
"GL07NB",2023-10-20,5,3,3,5,7,2,2,NA,7,3,5,3,4
"GL07NB",2023-10-21,5,3,3,4,0,0,4,NA,1,4,5,4,4.25
"GL07NB",2023-10-21,5,3,3,5,100,26,4,NA,2,4,5,3,4
"GL07NB",2023-10-21,5,3,2,5,100,50,4,NA,3,4,5,3,3.75
"GL07NB",2023-10-21,5,3,2,6,87,25,4,NA,4,4,5,2,3.5
"GL07NB",2023-10-21,6,3,3,5,47,25,4,NA,5,4,5,3,4.25
"GL07NB",2023-10-21,5,2,2,6,79,75,6,NA,6,4,6,2,3.75
"GL07NB",2023-10-21,6,2,1,6,77,60,6,NA,7,4,6,2,3.75
"GL07NB",2023-10-22,6,2,2,6,0,0,4,NA,1,5,6,2,4
"GL07NB",2023-10-22,6,2,2,6,30,20,5,NA,2,5,6,2,4
"GL07NB",2023-10-22,5,2,2,5,51,41,5,NA,3,5,6,3,4
"GL07NB",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA
"GL07NB",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA
"GL07NB",2023-10-22,5,2,2,5,31,27,4,NA,6,5,6,3,4
"GL07NB",2023-10-22,5,2,2,6,20,9,4,NA,7,5,6,2,3.75
"GL07NB",2023-10-23,5,2,2,6,14,9,4,NA,1,6,6,2,3.75
"GL07NB",2023-10-23,5,3,2,6,99,9,5,NA,2,6,5,2,3.5
"GL07NB",2023-10-23,5,2,2,6,96,45,6,NA,3,6,6,2,3.75
"GL07NB",2023-10-23,5,2,2,5,93,87,6,NA,4,6,6,3,4
"GL07NB",2023-10-23,5,2,2,5,86,76,5,NA,5,6,6,3,4
"GL07NB",2023-10-23,5,2,2,5,87,82,5,NA,6,6,6,3,4
"GL07NB",2023-10-23,6,2,2,5,28,28,5,NA,7,6,6,3,4.25
"GL07NB",2023-10-24,5,2,2,5,0,0,4,NA,1,7,6,3,4
"GL07NB",2023-10-24,5,2,2,5,82,75,5,NA,2,7,6,3,4
"GL07NB",2023-10-24,5,2,2,5,100,58,5,NA,3,7,6,3,4
"GL07NB",2023-10-24,5,2,2,6,100,54,6,NA,4,7,6,2,3.75
"GL07NB",2023-10-24,5,2,2,6,100,9,5,NA,5,7,6,2,3.75
"GL07NB",2023-10-24,5,2,2,6,99,98,6,NA,6,7,6,2,3.75
"GL07NB",2023-10-24,5,2,2,6,0,0,4,NA,7,7,6,2,3.75
"GL07NB",2023-10-25,6,2,2,6,25,5,5,NA,1,8,6,2,4
"GL07NB",2023-10-25,5,2,2,5,100,4,5,NA,2,8,6,3,4
"GL07NB",2023-10-25,6,2,2,6,100,16,5,NA,3,8,6,2,4
"GL07NB",2023-10-25,6,2,2,5,90,57,5,NA,4,8,6,3,4.25
"GL07NB",2023-10-25,6,2,2,6,80,8,5,NA,5,8,6,2,4
"GL07NB",2023-10-25,6,2,2,5,31,6,5,NA,6,8,6,3,4.25
"GL07NB",2023-10-25,6,2,2,5,16,16,4,NA,7,8,6,3,4.25
"GL07NB",2023-10-26,6,2,2,6,2,2,4,NA,1,9,6,2,4
"GL07NB",2023-10-26,6,2,2,6,49,24,4,NA,2,9,6,2,4
"GL07NB",2023-10-26,6,2,2,6,100,7,5,NA,3,9,6,2,4
"GL07NB",2023-10-26,5,3,5,5,100,23,5,NA,4,9,5,3,4.5
"GL07NB",2023-10-26,5,2,2,5,18,15,4,NA,5,9,6,3,4
"GL07NB",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA
"GL07NB",2023-10-26,5,2,2,5,27,25,5,NA,7,9,6,3,4
"GL07NB",2023-10-27,5,2,2,5,6,6,4,NA,1,10,6,3,4
"GL07NB",2023-10-27,5,2,2,5,72,60,5,NA,2,10,6,3,4
"GL07NB",2023-10-27,5,2,2,5,100,16,5,NA,3,10,6,3,4
"GL07NB",2023-10-27,5,2,2,5,100,78,6,NA,4,10,6,3,4
"GL07NB",2023-10-27,5,2,2,6,100,75,5,NA,5,10,6,2,3.75
"GL07NB",2023-10-27,6,2,2,6,91,84,6,NA,6,10,6,2,4
"GL07NB",2023-10-27,6,2,2,6,100,100,6,NA,7,10,6,2,4
"GL07NB",2023-10-28,5,2,2,5,0,0,4,NA,1,11,6,3,4
"GL07NB",2023-10-28,6,2,2,6,0,0,4,NA,2,11,6,2,4
"GL07NB",2023-10-28,5,2,2,6,0,0,4,NA,3,11,6,2,3.75
"GL07NB",2023-10-28,5,2,2,6,30,18,4,NA,4,11,6,2,3.75
"GL07NB",2023-10-28,5,2,2,6,18,10,4,NA,5,11,6,2,3.75
"GL07NB",2023-10-28,5,2,2,6,31,10,4,NA,6,11,6,2,3.75
"GL07NB",2023-10-28,6,2,2,6,51,45,5,NA,7,11,6,2,4
"GL07NB",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA
"GL07NB",2023-10-29,6,2,2,6,49,39,5,NA,2,12,6,2,4
"GL07NB",2023-10-29,6,2,2,6,100,93,6,NA,3,12,6,2,4
"GL07NB",2023-10-29,6,2,2,6,98,96,6,NA,4,12,6,2,4
"GL07NB",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,NA,NA
"GL07NB",2023-10-29,6,2,2,6,76,61,5,NA,6,12,6,2,4
"GL07NB",2023-10-29,6,2,2,6,18,15,4,NA,7,12,6,2,4
