"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"GL10GN",2023-10-22,5,2,1,6,100,19,4,NA,1,1,6,2,3.5
"GL10GN",2023-10-22,6,1,1,6,100,58,5,NA,2,1,7,2,4
"GL10GN",2023-10-22,6,1,1,6,100,82,5,NA,3,1,7,2,4
"GL10GN",2023-10-22,6,6,1,6,18,8,4,NA,4,1,2,2,2.75
"GL10GN",2023-10-22,7,1,1,6,100,100,6,NA,5,1,7,2,4.25
"GL10GN",2023-10-22,6,1,1,5,100,70,6,NA,6,1,7,3,4.25
"GL10GN",2023-10-22,5,1,1,5,0,0,4,NA,7,1,7,3,4
"GL10GN",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"GL10GN",2023-10-23,6,1,1,6,55,25,4,NA,2,2,7,2,4
"GL10GN",2023-10-23,5,1,1,5,53,17,4,NA,3,2,7,3,4
"GL10GN",2023-10-23,6,1,1,6,62,35,4,NA,4,2,7,2,4
"GL10GN",2023-10-23,7,1,1,6,100,80,6,NA,5,2,7,2,4.25
"GL10GN",2023-10-23,5,1,1,5,0,0,4,NA,6,2,7,3,4
"GL10GN",2023-10-23,6,1,2,5,51,14,4,NA,7,2,7,3,4.5
"GL10GN",2023-10-24,4,2,2,3,68,33,4,NA,1,3,6,5,4.25
"GL10GN",2023-10-24,6,2,1,6,100,100,5,NA,2,3,6,2,3.75
"GL10GN",2023-10-24,6,1,1,5,100,100,6,NA,3,3,7,3,4.25
"GL10GN",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"GL10GN",2023-10-24,6,1,1,6,100,100,6,NA,5,3,7,2,4
"GL10GN",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"GL10GN",2023-10-24,6,1,1,6,37,20,5,NA,7,3,7,2,4
"GL10GN",2023-10-25,6,1,1,5,66,43,5,NA,1,4,7,3,4.25
"GL10GN",2023-10-25,6,1,1,6,100,100,6,NA,2,4,7,2,4
"GL10GN",2023-10-25,6,1,1,6,100,100,5,NA,3,4,7,2,4
"GL10GN",2023-10-25,6,1,1,6,100,78,5,NA,4,4,7,2,4
"GL10GN",2023-10-25,6,1,1,6,33,21,5,NA,5,4,7,2,4
"GL10GN",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"GL10GN",2023-10-25,6,1,1,6,100,100,6,NA,7,4,7,2,4
"GL10GN",2023-10-26,6,1,1,5,76,53,5,NA,1,5,7,3,4.25
"GL10GN",2023-10-26,7,1,1,6,100,100,6,NA,2,5,7,2,4.25
"GL10GN",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"GL10GN",2023-10-26,6,1,1,6,96,100,7,NA,4,5,7,2,4
"GL10GN",2023-10-26,6,1,1,5,100,60,5,NA,5,5,7,3,4.25
"GL10GN",2023-10-26,5,1,1,5,58,27,4,NA,6,5,7,3,4
"GL10GN",2023-10-26,6,1,1,5,34,21,4,NA,7,5,7,3,4.25
"GL10GN",2023-10-27,4,4,1,4,43,16,3,NA,1,6,4,4,3.25
"GL10GN",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA
"GL10GN",2023-10-27,6,1,1,6,100,100,5,NA,3,6,7,2,4
"GL10GN",2023-10-27,6,1,1,6,100,100,6,NA,4,6,7,2,4
"GL10GN",2023-10-27,6,1,1,5,100,100,7,NA,5,6,7,3,4.25
"GL10GN",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA
"GL10GN",2023-10-27,6,1,1,6,100,100,6,NA,7,6,7,2,4
"GL10GN",2023-10-28,5,1,1,6,6,0,4,NA,1,7,7,2,3.75
"GL10GN",2023-10-28,5,1,1,5,36,16,4,NA,2,7,7,3,4
"GL10GN",2023-10-28,5,1,1,5,76,40,4,NA,3,7,7,3,4
"GL10GN",2023-10-28,6,1,1,6,72,36,4,NA,4,7,7,2,4
"GL10GN",2023-10-28,5,1,1,5,72,37,4,NA,5,7,7,3,4
"GL10GN",2023-10-28,5,1,1,5,73,25,4,NA,6,7,7,3,4
"GL10GN",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA
"GL10GN",2023-10-29,5,1,1,5,18,0,4,NA,1,8,7,3,4
"GL10GN",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA
"GL10GN",2023-10-29,6,1,1,6,70,49,5,NA,3,8,7,2,4
"GL10GN",2023-10-29,6,1,1,6,82,57,5,NA,4,8,7,2,4
"GL10GN",2023-10-29,5,1,1,5,62,41,4,NA,5,8,7,3,4
"GL10GN",2023-10-29,5,1,1,5,81,34,4,NA,6,8,7,3,4
"GL10GN",2023-10-29,5,1,1,5,70,42,4,NA,7,8,7,3,4
