"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"HI01IG",2023-10-20,6,1,1,7,29,30,6,NA,1,1,7,1,3.75
"HI01IG",2023-10-20,7,1,1,6,25,15,7,NA,2,1,7,2,4.25
"HI01IG",2023-10-20,7,1,1,7,90,100,7,NA,3,1,7,1,4
"HI01IG",2023-10-20,7,1,1,7,10,10,3,NA,4,1,7,1,4
"HI01IG",2023-10-20,7,1,1,7,85,80,7,NA,5,1,7,1,4
"HI01IG",2023-10-20,7,1,1,7,10,0,1,NA,6,1,7,1,4
"HI01IG",2023-10-20,7,1,1,7,100,100,7,NA,7,1,7,1,4
"HI01IG",2023-10-21,5,1,1,5,40,60,6,NA,1,2,7,3,4
"HI01IG",2023-10-21,6,1,1,6,10,5,4,NA,2,2,7,2,4
"HI01IG",2023-10-21,6,1,1,6,12,15,3,NA,3,2,7,2,4
"HI01IG",2023-10-21,6,1,1,6,6,5,4,NA,4,2,7,2,4
"HI01IG",2023-10-21,7,1,1,7,90,80,7,NA,5,2,7,1,4
"HI01IG",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"HI01IG",2023-10-21,7,1,1,5,100,0,7,NA,7,2,7,3,4.5
"HI01IG",2023-10-22,5,1,1,5,0,0,4,NA,1,3,7,3,4
"HI01IG",2023-10-22,6,1,1,6,65,50,6,NA,2,3,7,2,4
"HI01IG",2023-10-22,3,3,3,2,30,20,3,NA,3,3,5,6,4.25
"HI01IG",2023-10-22,6,1,1,6,9,3,2,NA,4,3,7,2,4
"HI01IG",2023-10-22,7,1,1,7,80,60,7,NA,5,3,7,1,4
"HI01IG",2023-10-22,7,1,1,7,40,20,5,NA,6,3,7,1,4
"HI01IG",2023-10-22,7,1,1,7,0,0,4,NA,7,3,7,1,4
"HI01IG",2023-10-23,7,1,1,7,100,100,7,NA,1,4,7,1,4
"HI01IG",2023-10-23,6,1,1,6,100,5,5,NA,2,4,7,2,4
"HI01IG",2023-10-23,7,1,1,6,100,80,6,NA,3,4,7,2,4.25
