"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"HL04MR",2023-10-17,6,2,2,5,0,0,4,NA,1,1,6,3,4.25
"HL04MR",2023-10-17,5,2,2,5,25,8,3,NA,2,1,6,3,4
"HL04MR",2023-10-17,6,2,2,6,100,26,6,NA,3,1,6,2,4
"HL04MR",2023-10-17,5,2,3,5,39,25,5,NA,4,1,6,3,4.25
"HL04MR",2023-10-17,5,2,2,5,0,0,4,NA,5,1,6,3,4
"HL04MR",2023-10-17,5,2,2,5,0,0,4,NA,6,1,6,3,4
"HL04MR",2023-10-17,6,2,2,6,90,55,7,NA,7,1,6,2,4
"HL04MR",2023-10-18,5,2,2,5,70,5,6,NA,1,2,6,3,4
"HL04MR",2023-10-18,6,2,2,6,100,26,7,NA,2,2,6,2,4
"HL04MR",2023-10-18,6,2,2,6,100,91,6,NA,3,2,6,2,4
"HL04MR",2023-10-18,7,1,2,7,79,80,7,NA,4,2,7,1,4.25
"HL04MR",2023-10-18,7,1,1,7,0,0,4,NA,5,2,7,1,4
"HL04MR",2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"HL04MR",2023-10-18,7,1,1,7,70,70,7,NA,7,2,7,1,4
"HL04MR",2023-10-19,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"HL04MR",2023-10-19,7,1,1,7,100,100,7,NA,2,3,7,1,4
"HL04MR",2023-10-19,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"HL04MR",2023-10-19,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"HL04MR",2023-10-19,7,1,1,7,89,100,7,NA,5,3,7,1,4
"HL04MR",2023-10-19,7,1,1,7,76,100,7,NA,6,3,7,1,4
"HL04MR",2023-10-19,7,1,1,7,100,100,7,NA,7,3,7,1,4
"HL04MR",2023-10-20,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"HL04MR",2023-10-20,7,1,1,7,89,60,6,NA,2,4,7,1,4
"HL04MR",2023-10-20,7,1,1,7,100,60,6,NA,3,4,7,1,4
"HL04MR",2023-10-20,7,1,1,7,95,85,7,NA,4,4,7,1,4
"HL04MR",2023-10-20,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"HL04MR",2023-10-20,7,2,2,7,46,100,5,NA,6,4,6,1,4
"HL04MR",2023-10-20,7,1,1,7,100,100,7,NA,7,4,7,1,4
"HL04MR",2023-10-21,7,1,1,7,100,90,7,NA,1,5,7,1,4
"HL04MR",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"HL04MR",2023-10-21,7,1,1,7,65,100,6,NA,3,5,7,1,4
"HL04MR",2023-10-21,7,1,1,7,100,91,7,NA,4,5,7,1,4
"HL04MR",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA
"HL04MR",2023-10-21,7,1,1,7,32,100,7,NA,6,5,7,1,4
"HL04MR",2023-10-21,7,1,1,7,100,100,5,NA,7,5,7,1,4
"HL04MR",2023-10-22,7,1,1,7,0,0,7,NA,1,6,7,1,4
"HL04MR",2023-10-22,7,1,1,7,46,100,7,NA,2,6,7,1,4
"HL04MR",2023-10-22,7,1,1,7,79,20,4,NA,3,6,7,1,4
"HL04MR",2023-10-22,7,1,1,7,0,0,4,NA,4,6,7,1,4
"HL04MR",2023-10-22,7,1,1,7,100,100,7,NA,5,6,7,1,4
"HL04MR",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA
"HL04MR",2023-10-22,7,1,1,7,100,0,7,NA,7,6,7,1,4
"HL04MR",2023-10-23,7,1,1,5,80,9,6,NA,1,7,7,3,4.5
"HL04MR",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA
"HL04MR",2023-10-23,6,1,1,6,80,100,6,NA,3,7,7,2,4
"HL04MR",2023-10-23,6,2,2,5,100,20,5,NA,4,7,6,3,4.25
"HL04MR",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA
"HL04MR",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA
"HL04MR",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA
"HL04MR",2023-10-24,7,1,1,7,0,0,4,NA,1,8,7,1,4
"HL04MR",2023-10-24,5,2,3,2,80,30,7,NA,2,8,6,6,5
"HL04MR",2023-10-24,3,2,2,2,100,40,6,NA,3,8,6,6,4.25
"HL04MR",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,NA
"HL04MR",2023-10-24,2,3,4,3,81,100,5,NA,5,8,5,5,4
"HL04MR",2023-10-24,3,3,3,3,70,59,7,NA,6,8,5,5,4
"HL04MR",2023-10-24,5,4,3,5,100,100,7,NA,7,8,4,3,3.75
"HL04MR",2023-10-25,5,3,4,4,50,19,5,NA,1,9,5,4,4.5
"HL04MR",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA
"HL04MR",2023-10-25,5,3,3,5,100,50,6,NA,3,9,5,3,4
"HL04MR",2023-10-25,4,2,2,4,100,100,7,NA,4,9,6,4,4
"HL04MR",2023-10-25,3,3,3,3,100,20,6,NA,5,9,5,5,4
"HL04MR",2023-10-25,5,2,2,4,21,0,7,NA,6,9,6,4,4.25
"HL04MR",2023-10-25,4,4,4,3,100,80,7,NA,7,9,4,5,4.25
"HL04MR",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"HL04MR",2023-10-26,5,3,3,4,81,20,6,NA,2,10,5,4,4.25
"HL04MR",2023-10-26,4,4,3,3,80,20,7,NA,3,10,4,5,4
"HL04MR",2023-10-26,4,4,2,4,0,0,4,NA,4,10,4,4,3.5
"HL04MR",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA
"HL04MR",2023-10-26,5,3,3,4,100,59,5,NA,6,10,5,4,4.25
"HL04MR",2023-10-26,4,3,4,4,100,90,6,NA,7,10,5,4,4.25
"HL04MR",2023-10-27,5,2,2,4,0,0,7,NA,1,11,6,4,4.25
"HL04MR",2023-10-27,5,3,3,5,50,10,6,NA,2,11,5,3,4
"HL04MR",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,3,11,NA,NA,NA
"HL04MR",2023-10-27,3,4,4,3,69,40,7,NA,4,11,4,5,4
"HL04MR",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,NA,NA
"HL04MR",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,6,11,NA,NA,NA
"HL04MR",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,7,11,NA,NA,NA
"HL04MR",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA
"HL04MR",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,2,12,NA,NA,NA
"HL04MR",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,3,12,NA,NA,NA
"HL04MR",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,4,12,NA,NA,NA
"HL04MR",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,NA,NA
