"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"HL20VK",2023-09-28,5,2,3,5,0,16,4,NA,1,1,6,3,4.25
"HL20VK",2023-09-28,5,2,2,5,58,19,5,NA,2,1,6,3,4
"HL20VK",2023-09-28,6,2,2,7,100,100,7,NA,3,1,6,1,3.75
"HL20VK",2023-09-28,6,2,2,7,100,100,7,NA,4,1,6,1,3.75
"HL20VK",2023-09-28,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"HL20VK",2023-09-28,6,2,2,6,28,69,3,NA,6,1,6,2,4
"HL20VK",2023-09-28,7,3,3,5,50,50,5,NA,7,1,5,3,4.5
"HL20VK",2023-09-29,5,4,4,3,0,0,4,NA,1,2,4,5,4.5
"HL20VK",2023-09-29,5,3,2,5,0,14,4,NA,2,2,5,3,3.75
"HL20VK",2023-09-29,6,2,2,5,24,35,3,NA,3,2,6,3,4.25
"HL20VK",2023-09-29,7,1,1,7,100,100,7,NA,4,2,7,1,4
"HL20VK",2023-09-29,6,2,2,6,0,9,4,NA,5,2,6,2,4
"HL20VK",2023-09-29,7,1,1,7,100,100,7,NA,6,2,7,1,4
"HL20VK",2023-09-29,7,1,1,7,100,100,7,NA,7,2,7,1,4
"HL20VK",2023-09-30,7,1,1,7,0,0,4,NA,1,3,7,1,4
"HL20VK",2023-09-30,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"HL20VK",2023-09-30,7,1,1,7,100,100,4,NA,3,3,7,1,4
"HL20VK",2023-09-30,7,1,1,7,100,100,7,NA,4,3,7,1,4
"HL20VK",2023-09-30,7,1,4,7,100,100,7,NA,5,3,7,1,4.75
"HL20VK",2023-09-30,7,1,1,7,100,100,7,NA,6,3,7,1,4
"HL20VK",2023-09-30,7,1,2,7,100,100,7,NA,7,3,7,1,4.25
"HL20VK",2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"HL20VK",2023-10-01,7,1,1,7,0,0,4,NA,2,4,7,1,4
"HL20VK",2023-10-01,5,2,3,5,100,100,7,NA,3,4,6,3,4.25
"HL20VK",2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA
"HL20VK",2023-10-01,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"HL20VK",2023-10-01,7,1,1,7,100,100,7,NA,6,4,7,1,4
"HL20VK",2023-10-01,7,1,1,7,100,100,7,NA,7,4,7,1,4
"HL20VK",2023-10-02,7,1,2,6,100,100,6,NA,1,5,7,2,4.5
"HL20VK",2023-10-02,7,1,2,6,100,85,5,NA,2,5,7,2,4.5
