"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"HN05YS",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"HN05YS",2023-10-28,5,2,2,5,96,89,5,NA,2,1,6,3,4
"HN05YS",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
"HN05YS",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"HN05YS",2023-10-28,3,5,5,3,0,12,2,NA,5,1,3,5,4
"HN05YS",2023-10-28,6,1,1,6,84,26,4,NA,6,1,7,2,4
"HN05YS",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA
"HN05YS",2023-10-29,7,2,2,5,0,0,4,NA,1,2,6,3,4.5
"HN05YS",2023-10-29,4,2,5,3,0,5,2,NA,2,2,6,5,5
"HN05YS",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
"HN05YS",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
"HN05YS",2023-10-29,5,3,3,5,64,9,2,NA,5,2,5,3,4
"HN05YS",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"HN05YS",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"HN05YS",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"HN05YS",2023-10-30,7,2,2,6,100,43,5,NA,2,3,6,2,4.25
"HN05YS",2023-10-30,6,2,2,5,70,73,6,NA,3,3,6,3,4.25
"HN05YS",2023-10-30,6,2,2,6,25,29,5,NA,4,3,6,2,4
"HN05YS",2023-10-30,5,2,2,6,0,11,3,NA,5,3,6,2,3.75
"HN05YS",2023-10-30,6,2,2,6,0,10,2,NA,6,3,6,2,4
"HN05YS",2023-10-30,6,1,1,6,0,8,3,NA,7,3,7,2,4
"HN05YS",2023-10-31,6,1,1,6,0,15,4,NA,1,4,7,2,4
"HN05YS",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"HN05YS",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA
"HN05YS",2023-10-31,6,1,1,6,20,14,3,NA,4,4,7,2,4
"HN05YS",2023-10-31,5,2,2,5,0,24,3,NA,5,4,6,3,4
"HN05YS",2023-10-31,6,3,3,5,64,34,3,NA,6,4,5,3,4.25
"HN05YS",2023-10-31,6,2,1,5,0,47,3,NA,7,4,6,3,4
"HN05YS",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"HN05YS",2023-11-01,6,1,1,5,49,32,4,NA,2,5,7,3,4.25
"HN05YS",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"HN05YS",2023-11-01,3,5,5,3,100,96,3,NA,4,5,3,5,4
"HN05YS",2023-11-01,5,2,2,3,77,22,2,NA,5,5,6,5,4.5
"HN05YS",2023-11-01,6,1,1,6,26,45,4,NA,6,5,7,2,4
"HN05YS",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
"HN05YS",2023-11-02,6,1,1,5,0,9,3,NA,1,6,7,3,4.25
"HN05YS",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA
"HN05YS",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA
"HN05YS",2023-11-02,6,1,1,6,92,66,6,NA,4,6,7,2,4
"HN05YS",2023-11-02,6,1,1,5,39,24,5,NA,5,6,7,3,4.25
"HN05YS",2023-11-02,6,1,1,5,34,0,4,NA,6,6,7,3,4.25
"HN05YS",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA
"HN05YS",2023-11-03,5,4,4,4,0,0,4,NA,1,7,4,4,4.25
"HN05YS",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA
"HN05YS",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA
"HN05YS",2023-11-03,6,1,1,5,27,15,3,NA,4,7,7,3,4.25
"HN05YS",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA
"HN05YS",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA
"HN05YS",2023-11-03,6,1,1,4,0,32,4,NA,7,7,7,4,4.5
"HN05YS",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"HN05YS",2023-11-04,6,1,1,6,100,48,4,NA,2,8,7,2,4
"HN05YS",2023-11-04,6,1,1,6,96,50,4,NA,3,8,7,2,4
"HN05YS",2023-11-04,4,1,1,6,100,75,4,NA,4,8,7,2,3.5
"HN05YS",2023-11-04,4,4,4,4,75,23,3,NA,5,8,4,4,4
"HN05YS",2023-11-04,6,1,1,6,0,0,2,NA,6,8,7,2,4
"HN05YS",2023-11-04,6,1,1,4,0,53,4,NA,7,8,7,4,4.5
"HN05YS",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"HN05YS",2023-11-05,5,1,1,5,0,28,4,NA,2,9,7,3,4
"HN05YS",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"HN05YS",2023-11-05,4,2,2,4,0,23,4,NA,4,9,6,4,4
"HN05YS",2023-11-05,4,4,4,5,53,0,4,NA,5,9,4,3,3.75
"HN05YS",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA
"HN05YS",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA
"HN05YS",2023-11-06,5,1,1,5,0,18,3,NA,1,10,7,3,4
"HN05YS",2023-11-06,5,1,1,5,0,14,5,NA,2,10,7,3,4
"HN05YS",2023-11-06,7,1,1,6,46,20,4,NA,3,10,7,2,4.25
"HN05YS",2023-11-06,6,1,1,6,0,29,3,NA,4,10,7,2,4
"HN05YS",2023-11-06,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA
"HN05YS",2023-11-06,7,1,1,6,0,43,5,NA,6,10,7,2,4.25
"HN05YS",2023-11-06,5,1,1,5,0,51,4,NA,7,10,7,3,4
"HN05YS",2023-11-07,6,1,1,5,0,0,4,NA,1,11,7,3,4.25
"HN05YS",2023-11-07,5,1,1,5,0,11,4,NA,2,11,7,3,4
"HN05YS",2023-11-07,6,1,1,6,51,5,4,NA,3,11,7,2,4
"HN05YS",2023-11-07,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,NA,NA
"HN05YS",2023-11-07,5,1,1,5,0,12,3,NA,5,11,7,3,4
"HN05YS",2023-11-07,6,1,1,6,0,28,3,NA,6,11,7,2,4
"HN05YS",2023-11-07,6,1,1,5,0,0,4,NA,7,11,7,3,4.25
"HN05YS",2023-11-08,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA
"HN05YS",2023-11-08,6,1,1,6,100,20,3,NA,2,12,7,2,4
"HN05YS",2023-11-08,7,1,1,6,0,15,4,NA,3,12,7,2,4.25
"HN05YS",2023-11-08,3,5,5,3,0,41,3,NA,4,12,3,5,4
"HN05YS",2023-11-08,6,1,1,6,22,24,4,NA,5,12,7,2,4
"HN05YS",2023-11-08,7,1,1,6,0,6,4,NA,6,12,7,2,4.25
"HN05YS",2023-11-08,6,1,1,6,0,20,4,NA,7,12,7,2,4
"HN05YS",2023-11-09,4,1,2,4,0,11,4,NA,1,13,7,4,4.25
"HN05YS",2023-11-09,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA,NA,NA
"HN05YS",2023-11-09,6,1,1,5,100,14,4,NA,3,13,7,3,4.25
"HN05YS",2023-11-09,6,1,1,6,27,16,4,NA,4,13,7,2,4
"HN05YS",2023-11-09,7,1,1,6,0,11,4,NA,5,13,7,2,4.25
"HN05YS",2023-11-09,7,1,1,6,0,11,4,NA,6,13,7,2,4.25
"HN05YS",2023-11-09,7,1,1,6,0,0,4,NA,7,13,7,2,4.25
"HN05YS",2023-11-10,6,1,1,6,0,0,4,NA,1,14,7,2,4
"HN05YS",2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA,NA,NA
"HN05YS",2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,3,14,NA,NA,NA
"HN05YS",2023-11-10,7,1,1,6,100,21,4,NA,4,14,7,2,4.25
"HN05YS",2023-11-10,7,1,1,6,0,20,4,NA,5,14,7,2,4.25
"HN05YS",2023-11-10,7,1,1,6,0,5,4,NA,6,14,7,2,4.25
"HN05YS",2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,7,14,NA,NA,NA
