"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"IE07MR",2023-07-27,4,2,2,5,25,26,4,NA,1,1,6,3,3.75
"IE07MR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"IE07MR",2023-07-27,4,2,2,5,100,50,5,NA,3,1,6,3,3.75
"IE07MR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"IE07MR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"IE07MR",2023-07-27,5,2,2,5,100,51,5,NA,6,1,6,3,4
"IE07MR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA
"IE07MR",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"IE07MR",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"IE07MR",2023-07-28,6,2,2,6,100,86,6,NA,3,2,6,2,4
"IE07MR",2023-07-28,5,2,2,6,100,100,6,NA,4,2,6,2,3.75
"IE07MR",2023-07-28,4,3,3,6,100,86,6,NA,5,2,5,2,3.5
"IE07MR",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"IE07MR",2023-07-28,6,1,1,6,100,91,7,NA,7,2,7,2,4
"IE07MR",2023-07-29,5,2,2,5,100,30,5,NA,1,3,6,3,4
"IE07MR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"IE07MR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"IE07MR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"IE07MR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"IE07MR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"IE07MR",2023-07-29,4,3,3,5,100,100,6,NA,7,3,5,3,3.75
"IE07MR",2023-07-30,5,2,2,6,50,51,6,NA,1,4,6,2,3.75
"IE07MR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"IE07MR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA
"IE07MR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA
"IE07MR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"IE07MR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
