"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"IG03RM",2023-09-05,3,4,3,5,0,0,3,NA,1,1,4,3,3.25
"IG03RM",2023-09-05,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"IG03RM",2023-09-05,5,2,2,6,0,0,5,NA,3,1,6,2,3.75
"IG03RM",2023-09-05,5,2,2,6,0,0,6,NA,4,1,6,2,3.75
"IG03RM",2023-09-05,4,2,2,5,50,60,5,NA,5,1,6,3,3.75
"IG03RM",2023-09-05,6,2,1,6,85,100,6,NA,6,1,6,2,3.75
"IG03RM",2023-09-05,6,2,1,6,100,100,7,NA,7,1,6,2,3.75
"IG03RM",2023-09-06,6,2,1,6,0,0,5,NA,1,2,6,2,3.75
"IG03RM",2023-09-06,6,2,2,6,0,0,4,NA,2,2,6,2,4
"IG03RM",2023-09-06,6,2,2,5,3,70,6,NA,3,2,6,3,4.25
"IG03RM",2023-09-06,6,3,2,6,1,8,5,NA,4,2,5,2,3.75
"IG03RM",2023-09-06,6,3,3,6,3,33,5,NA,5,2,5,2,4
"IG03RM",2023-09-06,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"IG03RM",2023-09-06,6,2,2,6,0,51,5,NA,7,2,6,2,4
"IG03RM",2023-09-07,5,2,1,5,0,0,4,NA,1,3,6,3,3.75
"IG03RM",2023-09-07,5,3,2,6,0,0,4,NA,2,3,5,2,3.5
"IG03RM",2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"IG03RM",2023-09-07,6,1,1,6,100,100,7,NA,4,3,7,2,4
"IG03RM",2023-09-07,7,1,1,7,100,100,7,NA,5,3,7,1,4
"IG03RM",2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"IG03RM",2023-09-07,6,1,1,6,78,39,5,NA,7,3,7,2,4
"IG03RM",2023-09-08,5,2,2,6,0,27,5,NA,1,4,6,2,3.75
"IG03RM",2023-09-08,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"IG03RM",2023-09-08,6,2,2,6,0,0,4,NA,3,4,6,2,4
