"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"IN08OE",2023-10-18,7,1,1,6,5,5,7,NA,1,1,7,2,4.25
"IN08OE",2023-10-18,5,2,2,5,66,50,5,NA,2,1,6,3,4
"IN08OE",2023-10-18,7,1,1,6,88,40,6,NA,3,1,7,2,4.25
"IN08OE",2023-10-18,7,1,1,7,15,4,4,NA,4,1,7,1,4
"IN08OE",2023-10-18,6,1,1,7,70,8,4,NA,5,1,7,1,3.75
"IN08OE",2023-10-18,5,2,1,6,75,15,4,NA,6,1,6,2,3.5
"IN08OE",2023-10-18,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA
"IN08OE",2023-10-19,5,1,2,6,50,1,4,NA,1,2,7,2,4
"IN08OE",2023-10-19,7,1,1,6,30,10,4,NA,2,2,7,2,4.25
"IN08OE",2023-10-19,7,1,2,6,65,20,6,NA,3,2,7,2,4.5
"IN08OE",2023-10-19,7,1,1,6,70,10,5,NA,4,2,7,2,4.25
"IN08OE",2023-10-19,6,1,1,6,63,20,5,NA,5,2,7,2,4
"IN08OE",2023-10-19,6,1,1,6,100,25,7,NA,6,2,7,2,4
"IN08OE",2023-10-19,7,1,1,7,55,20,5,NA,7,2,7,1,4
"IN08OE",2023-10-20,5,1,1,6,5,0,4,NA,1,3,7,2,3.75
"IN08OE",2023-10-20,6,2,1,5,20,5,4,NA,2,3,6,3,4
"IN08OE",2023-10-20,7,1,1,6,60,25,6,NA,3,3,7,2,4.25
"IN08OE",2023-10-20,7,1,1,7,100,10,5,NA,4,3,7,1,4
"IN08OE",2023-10-20,7,1,1,7,75,75,7,NA,5,3,7,1,4
"IN08OE",2023-10-20,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"IN08OE",2023-10-20,7,1,1,7,11,1,4,NA,7,3,7,1,4
"IN08OE",2023-10-21,7,1,2,6,0,0,4,NA,1,4,7,2,4.5
"IN08OE",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"IN08OE",2023-10-21,7,3,2,7,44,20,5,NA,3,4,5,1,3.75
"IN08OE",2023-10-21,7,2,1,5,100,75,6,NA,4,4,6,3,4.25
"IN08OE",2023-10-21,7,1,1,7,70,40,3,NA,5,4,7,1,4
"IN08OE",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"IN08OE",2023-10-21,7,1,1,7,11,5,5,NA,7,4,7,1,4
"IN08OE",2023-10-22,7,1,1,6,10,5,4,NA,1,5,7,2,4.25
"IN08OE",2023-10-22,7,1,1,7,40,10,5,NA,2,5,7,1,4
"IN08OE",2023-10-22,7,1,1,7,0,0,4,NA,3,5,7,1,4
"IN08OE",2023-10-22,6,1,1,7,60,30,6,NA,4,5,7,1,3.75
"IN08OE",2023-10-22,5,2,3,5,100,40,6,NA,5,5,6,3,4.25
"IN08OE",2023-10-22,7,2,1,6,0,0,4,NA,6,5,6,2,4
"IN08OE",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
"IN08OE",2023-10-23,6,1,2,5,0,0,4,NA,1,6,7,3,4.5
"IN08OE",2023-10-23,5,1,2,6,50,20,5,NA,2,6,7,2,4
"IN08OE",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA
"IN08OE",2023-10-23,6,1,1,6,40,16,6,NA,4,6,7,2,4
"IN08OE",2023-10-23,7,1,1,7,60,20,6,NA,5,6,7,1,4
"IN08OE",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA
"IN08OE",2023-10-23,6,1,1,7,0,0,4,NA,7,6,7,1,3.75
"IN08OE",2023-10-24,6,1,2,6,90,15,4,NA,1,7,7,2,4.25
"IN08OE",2023-10-24,6,1,1,7,70,10,5,NA,2,7,7,1,3.75
"IN08OE",2023-10-24,7,1,1,7,21,0,4,NA,3,7,7,1,4
"IN08OE",2023-10-24,7,1,1,6,40,10,6,NA,4,7,7,2,4.25
"IN08OE",2023-10-24,7,1,1,7,55,20,7,NA,5,7,7,1,4
"IN08OE",2023-10-24,7,1,1,7,80,20,7,NA,6,7,7,1,4
"IN08OE",2023-10-24,7,1,1,7,10,0,5,NA,7,7,7,1,4
"IN08OE",2023-10-25,5,3,4,5,26,4,4,NA,1,8,5,3,4.25
"IN08OE",2023-10-25,6,2,1,6,80,25,6,NA,2,8,6,2,3.75
"IN08OE",2023-10-25,6,1,1,6,80,44,6,NA,3,8,7,2,4
"IN08OE",2023-10-25,7,1,1,7,70,5,6,NA,4,8,7,1,4
"IN08OE",2023-10-25,7,1,1,7,50,25,7,NA,5,8,7,1,4
"IN08OE",2023-10-25,7,1,2,7,75,40,7,NA,6,8,7,1,4.25
"IN08OE",2023-10-25,7,1,1,7,69,31,7,NA,7,8,7,1,4
"IN08OE",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"IN08OE",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA
"IN08OE",2023-10-26,6,1,1,7,0,0,4,NA,3,9,7,1,3.75
"IN08OE",2023-10-26,5,2,2,6,62,30,7,NA,4,9,6,2,3.75
"IN08OE",2023-10-26,6,2,1,7,100,78,7,NA,5,9,6,1,3.5
"IN08OE",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA
"IN08OE",2023-10-26,7,2,1,6,0,0,4,NA,7,9,6,2,4
"IN08OE",2023-10-27,6,1,1,7,20,10,5,NA,1,10,7,1,3.75
"IN08OE",2023-10-27,7,1,1,7,22,5,6,NA,2,10,7,1,4
"IN08OE",2023-10-27,7,1,1,7,60,20,7,NA,3,10,7,1,4
