"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"IS02AE",2023-08-29,5,1,1,6,0,0,4,NA,1,1,7,2,3.75
"IS02AE",2023-08-29,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"IS02AE",2023-08-29,6,1,1,6,4,5,4,NA,3,1,7,2,4
"IS02AE",2023-08-29,6,1,1,6,0,5,5,NA,4,1,7,2,4
"IS02AE",2023-08-29,6,1,1,6,0,0,4,NA,5,1,7,2,4
"IS02AE",2023-08-29,6,1,1,6,0,5,4,NA,6,1,7,2,4
"IS02AE",2023-08-29,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA
"IS02AE",2023-08-30,5,1,1,6,100,80,5,NA,1,2,7,2,3.75
"IS02AE",2023-08-30,6,1,1,6,47,76,5,NA,2,2,7,2,4
"IS02AE",2023-08-30,6,1,1,6,0,5,4,NA,3,2,7,2,4
"IS02AE",2023-08-30,6,2,1,6,0,0,4,NA,4,2,6,2,3.75
"IS02AE",2023-08-30,6,1,1,6,17,19,5,NA,5,2,7,2,4
"IS02AE",2023-08-30,6,1,1,6,81,78,6,NA,6,2,7,2,4
"IS02AE",2023-08-30,6,1,1,6,0,5,5,NA,7,2,7,2,4
"IS02AE",2023-08-31,6,1,1,6,0,0,5,NA,1,3,7,2,4
"IS02AE",2023-08-31,7,1,1,6,0,5,4,NA,2,3,7,2,4.25
"IS02AE",2023-08-31,6,1,1,6,0,0,4,NA,3,3,7,2,4
"IS02AE",2023-08-31,6,1,1,6,0,6,4,NA,4,3,7,2,4
"IS02AE",2023-08-31,6,1,1,6,100,100,6,NA,5,3,7,2,4
"IS02AE",2023-08-31,6,1,1,6,78,83,6,NA,6,3,7,2,4
"IS02AE",2023-08-31,6,1,1,6,0,10,4,NA,7,3,7,2,4
"IS02AE",2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"IS02AE",2023-09-01,6,1,1,6,0,0,4,NA,2,4,7,2,4
"IS02AE",2023-09-01,6,1,1,6,6,10,5,NA,3,4,7,2,4
"IS02AE",2023-09-01,6,1,1,6,0,0,4,NA,4,4,7,2,4
"IS02AE",2023-09-01,7,1,1,6,59,58,5,NA,5,4,7,2,4.25
"IS02AE",2023-09-01,6,1,1,6,100,100,6,NA,6,4,7,2,4
"IS02AE",2023-09-01,6,1,1,6,100,100,5,NA,7,4,7,2,4
"IS02AE",2023-09-02,6,1,1,6,0,0,5,NA,1,5,7,2,4
"IS02AE",2023-09-02,6,1,1,6,9,0,4,NA,2,5,7,2,4
"IS02AE",2023-09-02,7,1,1,7,69,73,6,NA,3,5,7,1,4
"IS02AE",2023-09-02,6,1,1,6,100,100,6,NA,4,5,7,2,4
"IS02AE",2023-09-02,6,1,1,6,100,100,6,NA,5,5,7,2,4
"IS02AE",2023-09-02,6,1,1,6,100,100,6,NA,6,5,7,2,4
"IS02AE",2023-09-02,6,1,1,5,100,100,5,NA,7,5,7,3,4.25
"IS02AE",2023-09-03,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
"IS02AE",2023-09-03,5,2,1,6,92,0,5,NA,2,6,6,2,3.5
"IS02AE",2023-09-03,6,1,1,6,73,72,5,NA,3,6,7,2,4
"IS02AE",2023-09-03,6,1,1,6,0,0,5,NA,4,6,7,2,4
"IS02AE",2023-09-03,6,1,1,6,0,0,5,NA,5,6,7,2,4
"IS02AE",2023-09-03,6,1,1,6,67,68,6,NA,6,6,7,2,4
"IS02AE",2023-09-03,5,2,1,6,48,51,5,NA,7,6,6,2,3.5
"IS02AE",2023-09-04,5,2,2,5,0,0,4,NA,1,7,6,3,4
"IS02AE",2023-09-04,6,1,1,6,20,10,5,NA,2,7,7,2,4
"IS02AE",2023-09-04,6,1,1,6,75,75,5,NA,3,7,7,2,4
"IS02AE",2023-09-04,6,1,1,7,83,87,5,NA,4,7,7,1,3.75
"IS02AE",2023-09-04,4,1,1,5,0,0,5,NA,5,7,7,3,3.75
"IS02AE",2023-09-04,6,1,1,6,52,58,6,NA,6,7,7,2,4
"IS02AE",2023-09-04,6,1,1,6,100,100,6,NA,7,7,7,2,4
"IS02AE",2023-09-05,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"IS02AE",2023-09-05,5,1,1,6,0,0,5,NA,2,8,7,2,3.75
"IS02AE",2023-09-05,5,1,1,5,50,49,5,NA,3,8,7,3,4
"IS02AE",2023-09-05,6,1,1,6,100,100,5,NA,4,8,7,2,4
"IS02AE",2023-09-05,6,1,1,6,100,100,5,NA,5,8,7,2,4
"IS02AE",2023-09-05,6,1,1,6,100,100,5,NA,6,8,7,2,4
"IS02AE",2023-09-05,6,1,1,6,50,52,5,NA,7,8,7,2,4
"IS02AE",2023-09-06,6,1,1,6,0,0,5,NA,1,9,7,2,4
"IS02AE",2023-09-06,6,1,1,6,0,9,5,NA,2,9,7,2,4
"IS02AE",2023-09-06,6,1,1,6,0,0,5,NA,3,9,7,2,4
"IS02AE",2023-09-06,6,1,1,6,0,0,5,NA,4,9,7,2,4
"IS02AE",2023-09-06,6,1,1,6,0,10,5,NA,5,9,7,2,4
"IS02AE",2023-09-06,6,1,1,6,0,22,6,NA,6,9,7,2,4
"IS02AE",2023-09-06,6,1,1,6,100,100,6,NA,7,9,7,2,4
"IS02AE",2023-09-07,6,1,1,7,0,0,6,NA,1,10,7,1,3.75
"IS02AE",2023-09-07,6,1,1,6,0,0,5,NA,2,10,7,2,4
"IS02AE",2023-09-07,6,1,1,6,11,10,5,NA,3,10,7,2,4
"IS02AE",2023-09-07,6,1,1,6,0,8,5,NA,4,10,7,2,4
"IS02AE",2023-09-07,7,1,1,7,0,7,5,NA,5,10,7,1,4
"IS02AE",2023-09-07,6,1,1,6,0,11,5,NA,6,10,7,2,4
"IS02AE",2023-09-07,6,1,1,6,72,76,6,NA,7,10,7,2,4
"IS02AE",2023-09-08,6,1,1,6,2,0,5,NA,1,11,7,2,4
"IS02AE",2023-09-08,6,1,1,6,0,0,5,NA,2,11,7,2,4
"IS02AE",2023-09-08,6,1,1,6,0,13,5,NA,3,11,7,2,4
"IS02AE",2023-09-08,6,1,1,6,14,11,5,NA,4,11,7,2,4
"IS02AE",2023-09-08,6,1,1,6,0,0,5,NA,5,11,7,2,4
"IS02AE",2023-09-08,6,1,1,5,0,5,5,NA,6,11,7,3,4.25
"IS02AE",2023-09-08,6,1,1,6,78,80,5,NA,7,11,7,2,4
"IS02AE",2023-09-09,6,1,1,6,2,0,5,NA,1,12,7,2,4
"IS02AE",2023-09-09,6,1,1,6,18,26,6,NA,2,12,7,2,4
"IS02AE",2023-09-09,5,1,1,6,84,88,6,NA,3,12,7,2,3.75
"IS02AE",2023-09-09,5,1,1,5,14,19,5,NA,4,12,7,3,4
"IS02AE",2023-09-09,3,1,1,3,20,23,4,NA,5,12,7,5,4
"IS02AE",2023-09-09,5,1,1,4,65,66,4,NA,6,12,7,4,4.25
