"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"JD01HR",2023-08-27,3,4,3,4,75,0,4,NA,1,1,4,4,3.5
"JD01HR",2023-08-27,3,3,2,5,100,50,5,NA,2,1,5,3,3.25
"JD01HR",2023-08-27,4,3,4,4,100,100,4,NA,3,1,5,4,4.25
"JD01HR",2023-08-27,4,3,4,5,100,100,4,NA,4,1,5,3,4
"JD01HR",2023-08-27,4,4,4,5,100,100,5,NA,5,1,4,3,3.75
"JD01HR",2023-08-27,5,3,3,4,100,100,4,NA,6,1,5,4,4.25
"JD01HR",2023-08-27,4,3,3,5,100,100,4,NA,7,1,5,3,3.75
"JD01HR",2023-08-28,3,5,5,4,0,0,4,NA,1,2,3,4,3.75
"JD01HR",2023-08-28,5,3,3,4,100,100,6,NA,2,2,5,4,4.25
"JD01HR",2023-08-28,5,3,3,5,100,75,5,NA,3,2,5,3,4
"JD01HR",2023-08-28,5,2,3,5,100,30,5,NA,4,2,6,3,4.25
"JD01HR",2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"JD01HR",2023-08-28,5,2,3,5,100,100,6,NA,6,2,6,3,4.25
"JD01HR",2023-08-28,5,2,2,6,100,100,6,NA,7,2,6,2,3.75
"JD01HR",2023-08-29,3,4,4,4,100,49,5,NA,1,3,4,4,3.75
"JD01HR",2023-08-29,5,3,2,6,100,49,5,NA,2,3,5,2,3.5
"JD01HR",2023-08-29,5,3,2,5,100,61,6,NA,3,3,5,3,3.75
"JD01HR",2023-08-29,6,2,2,5,50,35,6,NA,4,3,6,3,4.25
"JD01HR",2023-08-29,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"JD01HR",2023-08-29,3,3,3,5,100,100,5,NA,6,3,5,3,3.5
"JD01HR",2023-08-29,5,2,2,6,0,0,4,NA,7,3,6,2,3.75
"JD01HR",2023-08-30,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"JD01HR",2023-08-30,5,2,2,5,100,50,5,NA,2,4,6,3,4
"JD01HR",2023-08-30,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA
"JD01HR",2023-08-30,6,2,2,6,100,60,6,NA,4,4,6,2,4
"JD01HR",2023-08-30,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"JD01HR",2023-08-30,6,2,2,6,0,0,4,NA,6,4,6,2,4
"JD01HR",2023-08-30,5,2,2,6,0,0,4,NA,7,4,6,2,3.75
"JD01HR",2023-08-31,5,2,2,5,75,25,5,NA,1,5,6,3,4
"JD01HR",2023-08-31,6,1,1,6,100,50,6,NA,2,5,7,2,4
"JD01HR",2023-08-31,6,2,2,6,49,38,6,NA,3,5,6,2,4
"JD01HR",2023-08-31,6,1,1,6,100,50,6,NA,4,5,7,2,4
"JD01HR",2023-08-31,6,1,1,6,100,74,6,NA,5,5,7,2,4
"JD01HR",2023-08-31,6,2,2,6,100,100,6,NA,6,5,6,2,4
"JD01HR",2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
"JD01HR",2023-09-01,6,2,2,6,100,40,6,NA,1,6,6,2,4
"JD01HR",2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA
"JD01HR",2023-09-01,6,1,1,6,100,100,6,NA,3,6,7,2,4
"JD01HR",2023-09-01,3,5,5,4,100,100,3,NA,4,6,3,4,3.75
"JD01HR",2023-09-01,4,3,2,5,100,55,5,NA,5,6,5,3,3.5
"JD01HR",2023-09-01,6,2,2,5,99,100,5,NA,6,6,6,3,4.25
"JD01HR",2023-09-01,4,2,2,6,100,30,5,NA,7,6,6,2,3.5
"JD01HR",2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA
"JD01HR",2023-09-02,5,2,2,5,100,100,5,NA,2,7,6,3,4
"JD01HR",2023-09-02,5,2,2,6,100,100,6,NA,3,7,6,2,3.75
"JD01HR",2023-09-02,5,2,2,5,100,100,5,NA,4,7,6,3,4
"JD01HR",2023-09-02,5,2,2,6,100,100,5,NA,5,7,6,2,3.75
"JD01HR",2023-09-02,5,2,2,6,100,100,5,NA,6,7,6,2,3.75
"JD01HR",2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA
"JD01HR",2023-09-03,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"JD01HR",2023-09-03,1,6,5,1,100,100,4,NA,2,8,2,7,3.75
"JD01HR",2023-09-03,4,6,6,3,100,100,3,NA,3,8,2,5,4.25
"JD01HR",2023-09-03,2,5,5,2,100,100,4,NA,4,8,3,6,4
"JD01HR",2023-09-03,2,5,5,2,100,100,5,NA,5,8,3,6,4
"JD01HR",2023-09-03,5,2,2,6,100,100,5,NA,6,8,6,2,3.75
"JD01HR",2023-09-03,4,2,2,5,100,100,6,NA,7,8,6,3,3.75
"JD01HR",2023-09-04,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"JD01HR",2023-09-04,5,2,2,6,0,0,4,NA,2,9,6,2,3.75
"JD01HR",2023-09-04,6,2,2,6,100,50,6,NA,3,9,6,2,4
"JD01HR",2023-09-04,6,2,2,6,50,40,5,NA,4,9,6,2,4
"JD01HR",2023-09-04,6,2,2,6,100,100,6,NA,5,9,6,2,4
"JD01HR",2023-09-04,6,1,1,5,100,100,5,NA,6,9,7,3,4.25
"JD01HR",2023-09-04,6,2,2,6,100,100,6,NA,7,9,6,2,4
"JD01HR",2023-09-05,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"JD01HR",2023-09-05,6,2,2,6,0,0,4,NA,2,10,6,2,4
"JD01HR",2023-09-05,6,2,2,6,0,0,6,NA,3,10,6,2,4
"JD01HR",2023-09-05,6,2,2,6,0,0,4,NA,4,10,6,2,4
"JD01HR",2023-09-05,3,5,5,3,0,0,4,NA,5,10,3,5,4
"JD01HR",2023-09-05,6,2,2,6,100,100,7,NA,6,10,6,2,4
"JD01HR",2023-09-05,6,2,2,6,0,0,6,NA,7,10,6,2,4
"JD01HR",2023-09-06,6,2,2,6,50,50,7,NA,1,11,6,2,4
"JD01HR",2023-09-06,6,2,2,6,0,0,6,NA,2,11,6,2,4
"JD01HR",2023-09-06,6,2,2,6,100,100,5,NA,3,11,6,2,4
"JD01HR",2023-09-06,6,2,2,6,100,100,6,NA,4,11,6,2,4
"JD01HR",2023-09-06,6,2,2,6,0,0,4,NA,5,11,6,2,4
"JD01HR",2023-09-06,5,2,2,4,50,50,4,NA,6,11,6,4,4.25
"JD01HR",2023-09-06,6,2,2,6,100,100,7,NA,7,11,6,2,4
"JD01HR",2023-09-07,6,2,2,5,0,0,4,NA,1,12,6,3,4.25
"JD01HR",2023-09-07,6,2,2,6,0,0,4,NA,2,12,6,2,4
"JD01HR",2023-09-07,4,3,3,5,0,0,4,NA,3,12,5,3,3.75
"JD01HR",2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,4,12,NA,NA,NA
"JD01HR",2023-09-07,5,2,2,5,0,50,5,NA,5,12,6,3,4
"JD01HR",2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,6,12,NA,NA,NA
"JD01HR",2023-09-07,5,2,2,5,100,100,5,NA,7,12,6,3,4
"JD01HR",2023-09-08,6,2,2,6,100,100,5,NA,1,13,6,2,4
"JD01HR",2023-09-08,5,2,2,5,100,100,5,NA,2,13,6,3,4
"JD01HR",2023-09-08,6,2,2,6,100,100,6,NA,3,13,6,2,4
"JD01HR",2023-09-08,6,2,2,6,100,100,5,NA,4,13,6,2,4
"JD01HR",2023-09-08,6,2,2,5,100,100,5,NA,5,13,6,3,4.25
"JD01HR",2023-09-08,6,1,1,7,100,100,7,NA,6,13,7,1,3.75
"JD01HR",2023-09-08,6,1,1,7,100,100,7,NA,7,13,7,1,3.75
"JD01HR",2023-09-09,6,2,2,6,100,100,7,NA,1,14,6,2,4
"JD01HR",2023-09-09,6,2,2,6,70,70,6,NA,2,14,6,2,4
"JD01HR",2023-09-09,6,2,2,6,30,30,7,NA,3,14,6,2,4
"JD01HR",2023-09-09,5,3,5,3,50,50,3,NA,4,14,5,5,5
"JD01HR",2023-09-09,6,2,2,5,100,0,5,NA,5,14,6,3,4.25
"JD01HR",2023-09-09,6,2,2,6,100,100,6,NA,6,14,6,2,4
"JD01HR",2023-09-09,6,2,2,6,100,100,5,NA,7,14,6,2,4
