"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"JH03CR",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"JH03CR",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"JH03CR",2023-10-21,6,2,1,6,100,89,6,NA,3,1,6,2,3.75
"JH03CR",2023-10-21,7,1,1,7,100,100,6,NA,4,1,7,1,4
"JH03CR",2023-10-21,6,1,1,6,79,86,6,NA,5,1,7,2,4
"JH03CR",2023-10-21,6,1,1,6,79,68,5,NA,6,1,7,2,4
"JH03CR",2023-10-21,6,1,2,6,88,94,6,NA,7,1,7,2,4.25
"JH03CR",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"JH03CR",2023-10-22,6,1,1,5,89,82,6,NA,2,2,7,3,4.25
"JH03CR",2023-10-22,6,1,2,6,90,64,5,NA,3,2,7,2,4.25
"JH03CR",2023-10-22,6,2,1,6,75,75,6,NA,4,2,6,2,3.75
"JH03CR",2023-10-22,6,1,1,6,77,63,6,NA,5,2,7,2,4
"JH03CR",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"JH03CR",2023-10-22,6,1,1,6,93,27,6,NA,7,2,7,2,4
"JH03CR",2023-10-23,6,1,2,6,94,85,6,NA,1,3,7,2,4.25
"JH03CR",2023-10-23,6,1,1,7,62,49,5,NA,2,3,7,1,3.75
"JH03CR",2023-10-23,6,1,1,6,92,74,6,NA,3,3,7,2,4
"JH03CR",2023-10-23,6,1,2,6,28,16,6,NA,4,3,7,2,4.25
"JH03CR",2023-10-23,6,1,1,6,75,60,7,NA,5,3,7,2,4
"JH03CR",2023-10-23,6,1,2,6,81,84,6,NA,6,3,7,2,4.25
"JH03CR",2023-10-23,6,1,2,6,100,100,6,NA,7,3,7,2,4.25
"JH03CR",2023-10-24,6,1,2,6,84,67,6,NA,1,4,7,2,4.25
"JH03CR",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"JH03CR",2023-10-24,6,2,2,6,71,71,5,NA,3,4,6,2,4
"JH03CR",2023-10-24,6,1,1,6,64,60,6,NA,4,4,7,2,4
"JH03CR",2023-10-24,6,1,1,6,86,77,6,NA,5,4,7,2,4
"JH03CR",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"JH03CR",2023-10-24,6,1,2,6,49,29,3,NA,7,4,7,2,4.25
"JH03CR",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"JH03CR",2023-10-25,6,1,1,6,100,61,6,NA,2,5,7,2,4
"JH03CR",2023-10-25,6,2,1,6,0,0,4,NA,3,5,6,2,3.75
"JH03CR",2023-10-25,6,1,2,6,0,0,6,NA,4,5,7,2,4.25
"JH03CR",2023-10-25,6,1,1,6,59,31,6,NA,5,5,7,2,4
"JH03CR",2023-10-25,6,1,2,6,0,0,4,NA,6,5,7,2,4.25
"JH03CR",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
