"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"JH12MR",2023-09-05,5,2,2,5,0,6,4,NA,1,1,6,3,4
"JH12MR",2023-09-05,5,1,1,6,0,10,5,NA,2,1,7,2,3.75
"JH12MR",2023-09-05,6,1,2,5,25,10,6,NA,3,1,7,3,4.5
"JH12MR",2023-09-05,6,2,4,4,0,5,6,NA,4,1,6,4,5
"JH12MR",2023-09-05,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"JH12MR",2023-09-05,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA
"JH12MR",2023-09-05,6,2,2,5,90,100,7,NA,7,1,6,3,4.25
"JH12MR",2023-09-06,5,2,2,5,0,0,4,NA,1,2,6,3,4
"JH12MR",2023-09-06,5,2,2,5,6,6,4,NA,2,2,6,3,4
"JH12MR",2023-09-06,5,3,3,4,0,49,7,NA,3,2,5,4,4.25
"JH12MR",2023-09-06,5,2,2,5,0,49,6,NA,4,2,6,3,4
"JH12MR",2023-09-06,6,1,1,5,0,15,5,NA,5,2,7,3,4.25
"JH12MR",2023-09-06,4,3,2,5,0,0,5,NA,6,2,5,3,3.5
"JH12MR",2023-09-06,4,3,4,4,0,20,4,NA,7,2,5,4,4.25
"JH12MR",2023-09-07,3,3,3,4,40,73,4,NA,1,3,5,4,3.75
"JH12MR",2023-09-07,4,2,2,4,0,0,4,NA,2,3,6,4,4
"JH12MR",2023-09-07,4,3,4,5,0,0,4,NA,3,3,5,3,4
"JH12MR",2023-09-07,5,2,2,4,0,0,4,NA,4,3,6,4,4.25
"JH12MR",2023-09-07,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"JH12MR",2023-09-07,4,2,2,4,100,100,6,NA,6,3,6,4,4
"JH12MR",2023-09-07,6,2,2,3,0,15,4,NA,7,3,6,5,4.75
"JH12MR",2023-09-08,5,2,2,5,0,0,3,NA,1,4,6,3,4
"JH12MR",2023-09-08,5,2,2,5,10,20,4,NA,2,4,6,3,4
"JH12MR",2023-09-08,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA
"JH12MR",2023-09-08,4,2,2,4,51,15,4,NA,4,4,6,4,4
"JH12MR",2023-09-08,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"JH12MR",2023-09-08,6,2,2,5,100,100,6,NA,6,4,6,3,4.25
"JH12MR",2023-09-08,5,2,3,3,100,100,3,NA,7,4,6,5,4.75
"JH12MR",2023-09-09,4,2,2,4,0,0,4,NA,1,5,6,4,4
"JH12MR",2023-09-09,5,1,1,5,80,79,5,NA,2,5,7,3,4
"JH12MR",2023-09-09,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"JH12MR",2023-09-09,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA
"JH12MR",2023-09-09,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA
"JH12MR",2023-09-09,6,1,1,5,23,31,6,NA,6,5,7,3,4.25
"JH12MR",2023-09-09,4,2,2,4,0,11,4,NA,7,5,6,4,4
"JH12MR",2023-09-10,4,2,2,4,0,0,3,NA,1,6,6,4,4
"JH12MR",2023-09-10,4,2,2,3,0,10,5,NA,2,6,6,5,4.25
"JH12MR",2023-09-10,3,3,2,3,0,9,3,NA,3,6,5,5,3.75
"JH12MR",2023-09-10,4,2,2,5,0,0,4,NA,4,6,6,3,3.75
"JH12MR",2023-09-10,3,2,2,3,0,0,3,NA,5,6,6,5,4
"JH12MR",2023-09-10,3,2,2,3,0,0,4,NA,6,6,6,5,4
"JH12MR",2023-09-10,5,2,2,5,0,0,4,NA,7,6,6,3,4
"JH12MR",2023-09-11,4,2,2,4,0,0,4,NA,1,7,6,4,4
"JH12MR",2023-09-11,5,2,2,5,0,5,5,NA,2,7,6,3,4
"JH12MR",2023-09-11,NA,NA,NA,NA,NA,NA,NA,NA,3,7,NA,NA,NA
"JH12MR",2023-09-11,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA
"JH12MR",2023-09-11,6,2,1,5,0,16,4,NA,5,7,6,3,4
"JH12MR",2023-09-11,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA
"JH12MR",2023-09-11,4,1,1,5,0,0,4,NA,7,7,7,3,3.75
"JH12MR",2023-09-12,3,3,1,3,4,2,3,NA,1,8,5,5,3.5
"JH12MR",2023-09-12,5,2,1,5,0,0,4,NA,2,8,6,3,3.75
"JH12MR",2023-09-12,5,1,1,4,0,5,5,NA,3,8,7,4,4.25
"JH12MR",2023-09-12,5,2,2,5,100,100,6,NA,4,8,6,3,4
"JH12MR",2023-09-12,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA
"JH12MR",2023-09-12,5,5,2,5,100,100,6,NA,6,8,3,3,3.25
"JH12MR",2023-09-12,5,2,2,6,89,73,6,NA,7,8,6,2,3.75
"JH12MR",2023-09-13,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"JH12MR",2023-09-13,5,1,1,4,0,0,4,NA,2,9,7,4,4.25
"JH12MR",2023-09-13,6,1,1,5,44,11,5,NA,3,9,7,3,4.25
"JH12MR",2023-09-13,5,1,1,4,79,25,5,NA,4,9,7,4,4.25
"JH12MR",2023-09-13,5,2,2,5,0,0,3,NA,5,9,6,3,4
"JH12MR",2023-09-13,5,1,1,3,0,5,4,NA,6,9,7,5,4.5
"JH12MR",2023-09-13,5,1,1,5,0,10,3,NA,7,9,7,3,4
"JH12MR",2023-09-14,5,1,1,5,0,0,4,NA,1,10,7,3,4
"JH12MR",2023-09-14,5,1,1,3,50,51,5,NA,2,10,7,5,4.5
"JH12MR",2023-09-14,6,1,1,5,52,53,5,NA,3,10,7,3,4.25
"JH12MR",2023-09-14,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,NA
