"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"JN06MR",2023-10-18,6,2,2,6,61,33,6,NA,1,1,6,2,4
"JN06MR",2023-10-18,6,2,1,6,100,86,7,NA,2,1,6,2,3.75
"JN06MR",2023-10-18,7,1,2,6,98,86,7,NA,3,1,7,2,4.5
"JN06MR",2023-10-18,6,1,2,6,100,70,6,NA,4,1,7,2,4.25
"JN06MR",2023-10-18,7,1,2,7,85,65,7,NA,5,1,7,1,4.25
"JN06MR",2023-10-18,6,1,1,6,50,26,6,NA,6,1,7,2,4
"JN06MR",2023-10-18,6,1,6,1,100,86,7,NA,7,1,7,7,6.5
"JN06MR",2023-10-19,6,1,1,7,5,5,4,NA,1,2,7,1,3.75
"JN06MR",2023-10-19,6,1,2,6,0,0,4,NA,2,2,7,2,4.25
"JN06MR",2023-10-19,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
"JN06MR",2023-10-19,6,1,1,6,49,35,5,NA,4,2,7,2,4
"JN06MR",2023-10-19,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"JN06MR",2023-10-19,7,1,1,7,0,0,4,NA,6,2,7,1,4
"JN06MR",2023-10-19,6,1,1,6,0,0,4,NA,7,2,7,2,4
"JN06MR",2023-10-20,6,1,1,7,49,34,5,NA,1,3,7,1,3.75
"JN06MR",2023-10-20,6,3,2,6,84,49,6,NA,2,3,5,2,3.75
"JN06MR",2023-10-20,6,1,1,6,100,60,7,NA,3,3,7,2,4
"JN06MR",2023-10-20,6,1,1,6,100,89,7,NA,4,3,7,2,4
"JN06MR",2023-10-20,6,1,1,6,100,91,7,NA,5,3,7,2,4
"JN06MR",2023-10-20,7,1,1,6,100,90,7,NA,6,3,7,2,4.25
"JN06MR",2023-10-20,7,1,1,7,100,84,7,NA,7,3,7,1,4
"JN06MR",2023-10-21,7,1,1,6,9,3,7,NA,1,4,7,2,4.25
"JN06MR",2023-10-21,7,3,2,6,50,30,6,NA,2,4,5,2,4
"JN06MR",2023-10-21,6,1,1,7,50,25,5,NA,3,4,7,1,3.75
"JN06MR",2023-10-21,6,1,2,6,61,31,6,NA,4,4,7,2,4.25
"JN06MR",2023-10-21,7,1,1,6,100,88,7,NA,5,4,7,2,4.25
"JN06MR",2023-10-21,7,1,7,1,70,35,5,NA,6,4,7,7,7
"JN06MR",2023-10-21,6,1,1,6,51,20,5,NA,7,4,7,2,4
"JN06MR",2023-10-22,6,1,1,7,70,50,6,NA,1,5,7,1,3.75
"JN06MR",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"JN06MR",2023-10-22,6,1,1,6,100,95,7,NA,3,5,7,2,4
"JN06MR",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA
"JN06MR",2023-10-22,6,1,1,6,100,86,6,NA,5,5,7,2,4
"JN06MR",2023-10-22,6,1,1,6,81,50,6,NA,6,5,7,2,4
"JN06MR",2023-10-22,6,1,1,7,69,35,6,NA,7,5,7,1,3.75
"JN06MR",2023-10-23,7,1,7,1,10,6,4,NA,1,6,7,7,7
"JN06MR",2023-10-23,7,1,1,7,89,41,6,NA,2,6,7,1,4
"JN06MR",2023-10-23,7,1,1,6,100,76,7,NA,3,6,7,2,4.25
"JN06MR",2023-10-23,6,1,1,6,80,46,6,NA,4,6,7,2,4
"JN06MR",2023-10-23,7,1,1,6,16,7,4,NA,5,6,7,2,4.25
"JN06MR",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA
"JN06MR",2023-10-23,7,1,1,7,100,77,7,NA,7,6,7,1,4
"JN06MR",2023-10-24,7,1,1,7,0,0,6,NA,1,7,7,1,4
"JN06MR",2023-10-24,6,3,3,6,9,0,3,NA,2,7,5,2,4
"JN06MR",2023-10-24,7,1,1,7,79,36,5,NA,3,7,7,1,4
"JN06MR",2023-10-24,7,1,1,6,91,63,6,NA,4,7,7,2,4.25
"JN06MR",2023-10-24,6,1,1,7,100,65,7,NA,5,7,7,1,3.75
"JN06MR",2023-10-24,7,1,1,6,49,51,6,NA,6,7,7,2,4.25
"JN06MR",2023-10-24,7,1,1,6,0,0,3,NA,7,7,7,2,4.25
"JN06MR",2023-10-25,6,1,1,6,0,0,3,NA,1,8,7,2,4
"JN06MR",2023-10-25,7,2,2,6,100,51,6,NA,2,8,6,2,4.25
"JN06MR",2023-10-25,7,1,1,6,91,79,7,NA,3,8,7,2,4.25
"JN06MR",2023-10-25,7,1,1,6,60,40,6,NA,4,8,7,2,4.25
"JN06MR",2023-10-25,7,1,1,6,100,74,7,NA,5,8,7,2,4.25
"JN06MR",2023-10-25,6,1,1,6,100,69,6,NA,6,8,7,2,4
"JN06MR",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA
