"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"JN12NE",2023-09-19,6,3,1,6,90,86,6,NA,1,1,5,2,3.5
"JN12NE",2023-09-19,6,1,2,6,100,100,7,NA,2,1,7,2,4.25
"JN12NE",2023-09-19,7,1,1,6,100,89,6,NA,3,1,7,2,4.25
"JN12NE",2023-09-19,6,1,1,6,91,92,7,NA,4,1,7,2,4
"JN12NE",2023-09-19,6,2,1,6,71,75,6,NA,5,1,6,2,3.75
"JN12NE",2023-09-19,5,1,1,6,60,40,5,NA,6,1,7,2,3.75
"JN12NE",2023-09-19,5,1,1,6,39,20,5,NA,7,1,7,2,3.75
"JN12NE",2023-09-20,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"JN12NE",2023-09-20,5,2,1,5,74,64,5,NA,2,2,6,3,3.75
"JN12NE",2023-09-20,5,1,1,4,71,63,5,NA,3,2,7,4,4.25
"JN12NE",2023-09-20,3,3,2,3,60,50,3,NA,4,2,5,5,3.75
"JN12NE",2023-09-20,1,5,5,2,41,31,2,NA,5,2,3,6,3.75
"JN12NE",2023-09-20,2,5,5,3,51,30,3,NA,6,2,3,5,3.75
"JN12NE",2023-09-20,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"JN12NE",2023-09-21,6,2,1,6,81,90,6,NA,1,3,6,2,3.75
"JN12NE",2023-09-21,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"JN12NE",2023-09-21,7,1,1,7,85,86,7,NA,3,3,7,1,4
"JN12NE",2023-09-21,6,2,2,7,60,51,5,NA,4,3,6,1,3.75
"JN12NE",2023-09-21,5,2,2,6,75,68,6,NA,5,3,6,2,3.75
"JN12NE",2023-09-21,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"JN12NE",2023-09-21,6,2,2,6,89,96,7,NA,7,3,6,2,4
"JN12NE",2023-09-22,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"JN12NE",2023-09-22,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"JN12NE",2023-09-22,5,2,2,6,64,61,6,NA,3,4,6,2,3.75
"JN12NE",2023-09-22,5,3,3,5,66,54,5,NA,4,4,5,3,4
"JN12NE",2023-09-22,5,2,2,5,41,31,5,NA,5,4,6,3,4
"JN12NE",2023-09-22,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"JN12NE",2023-09-22,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA
"JN12NE",2023-09-23,7,1,1,7,60,51,6,NA,1,5,7,1,4
"JN12NE",2023-09-23,6,2,2,6,80,65,6,NA,2,5,6,2,4
"JN12NE",2023-09-23,6,2,2,7,79,72,6,NA,3,5,6,1,3.75
"JN12NE",2023-09-23,6,1,1,6,90,80,7,NA,4,5,7,2,4
"JN12NE",2023-09-23,7,1,1,7,91,82,7,NA,5,5,7,1,4
"JN12NE",2023-09-23,6,2,2,6,88,79,6,NA,6,5,6,2,4
"JN12NE",2023-09-23,6,2,2,6,71,66,5,NA,7,5,6,2,4
"JN12NE",2023-09-24,6,2,2,6,70,59,5,NA,1,6,6,2,4
"JN12NE",2023-09-24,6,2,2,6,85,81,6,NA,2,6,6,2,4
"JN12NE",2023-09-24,6,1,1,6,79,71,6,NA,3,6,7,2,4
"JN12NE",2023-09-24,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA
"JN12NE",2023-09-24,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA
"JN12NE",2023-09-24,6,2,1,7,100,87,7,NA,6,6,6,1,3.5
"JN12NE",2023-09-24,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA
"JN12NE",2023-09-25,7,1,1,7,89,78,7,NA,1,7,7,1,4
"JN12NE",2023-09-25,6,1,1,6,91,87,6,NA,2,7,7,2,4
"JN12NE",2023-09-25,6,1,1,7,100,90,7,NA,3,7,7,1,3.75
"JN12NE",2023-09-25,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA
"JN12NE",2023-09-25,NA,NA,NA,NA,NA,NA,NA,NA,5,7,NA,NA,NA
"JN12NE",2023-09-25,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,NA,NA
"JN12NE",2023-09-25,7,1,1,7,100,83,7,NA,7,7,7,1,4
"JN12NE",2023-09-26,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"JN12NE",2023-09-26,7,1,1,7,100,87,7,NA,2,8,7,1,4
"JN12NE",2023-09-26,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA,NA,NA
"JN12NE",2023-09-26,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,NA
"JN12NE",2023-09-26,7,1,7,7,100,91,7,NA,5,8,7,1,5.5
"JN12NE",2023-09-26,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA
"JN12NE",2023-09-26,NA,NA,NA,NA,NA,NA,NA,NA,7,8,NA,NA,NA
"JN12NE",2023-09-27,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"JN12NE",2023-09-27,7,1,1,7,100,92,7,NA,2,9,7,1,4
"JN12NE",2023-09-27,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"JN12NE",2023-09-27,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA
"JN12NE",2023-09-27,NA,NA,NA,NA,NA,NA,NA,NA,5,9,NA,NA,NA
"JN12NE",2023-09-27,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA
"JN12NE",2023-09-27,NA,NA,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA
