"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"JS08VC",2023-08-23,3,5,5,3,11,9,4,NA,1,1,3,5,4
"JS08VC",2023-08-23,5,3,3,5,73,69,5,NA,2,1,5,3,4
"JS08VC",2023-08-23,6,2,2,6,100,80,7,NA,3,1,6,2,4
"JS08VC",2023-08-23,5,2,2,5,90,88,6,NA,4,1,6,3,4
"JS08VC",2023-08-23,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"JS08VC",2023-08-23,5,2,2,5,100,81,5,NA,6,1,6,3,4
"JS08VC",2023-08-23,5,3,2,5,88,90,5,NA,7,1,5,3,3.75
"JS08VC",2023-08-24,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"JS08VC",2023-08-24,2,5,5,2,0,11,3,NA,2,2,3,6,4
"JS08VC",2023-08-24,2,5,2,5,87,80,5,NA,3,2,3,3,2.5
"JS08VC",2023-08-24,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
"JS08VC",2023-08-24,5,2,2,5,100,100,6,NA,5,2,6,3,4
"JS08VC",2023-08-24,6,2,2,5,100,100,7,NA,6,2,6,3,4.25
"JS08VC",2023-08-24,5,2,1,5,100,100,5,NA,7,2,6,3,3.75
"JS08VC",2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"JS08VC",2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"JS08VC",2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"JS08VC",2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"JS08VC",2023-08-25,5,2,1,6,100,80,5,NA,5,3,6,2,3.5
"JS08VC",2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"JS08VC",2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA
"JS08VC",2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"JS08VC",2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"JS08VC",2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA
"JS08VC",2023-08-26,6,2,1,5,100,100,7,NA,4,4,6,3,4
"JS08VC",2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"JS08VC",2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"JS08VC",2023-08-26,5,1,1,5,100,100,7,NA,7,4,7,3,4
"JS08VC",2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"JS08VC",2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"JS08VC",2023-08-27,5,1,1,5,100,100,7,NA,3,5,7,3,4
"JS08VC",2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA
"JS08VC",2023-08-27,5,1,1,5,60,71,3,NA,5,5,7,3,4
"JS08VC",2023-08-27,5,1,1,5,100,62,5,NA,6,5,7,3,4
"JS08VC",2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
"JS08VC",2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
"JS08VC",2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA
"JS08VC",2023-08-28,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA
"JS08VC",2023-08-28,6,2,1,6,100,100,7,NA,4,6,6,2,3.75
"JS08VC",2023-08-28,6,1,1,6,100,100,6,NA,5,6,7,2,4
"JS08VC",2023-08-28,5,1,1,5,98,91,6,NA,6,6,7,3,4
"JS08VC",2023-08-28,6,1,1,6,100,100,6,NA,7,6,7,2,4
"JS08VC",2023-08-29,5,1,1,5,0,0,3,NA,1,7,7,3,4
"JS08VC",2023-08-29,5,2,1,5,54,56,5,NA,2,7,6,3,3.75
"JS08VC",2023-08-29,5,1,1,5,100,100,6,NA,3,7,7,3,4
"JS08VC",2023-08-29,NA,NA,NA,NA,NA,NA,NA,NA,4,7,NA,NA,NA
"JS08VC",2023-08-29,5,1,1,5,0,0,3,NA,5,7,7,3,4
"JS08VC",2023-08-29,6,1,1,6,75,74,6,NA,6,7,7,2,4
"JS08VC",2023-08-29,6,1,1,6,71,99,6,NA,7,7,7,2,4
"JS08VC",2023-08-30,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"JS08VC",2023-08-30,5,1,1,5,0,27,5,NA,2,8,7,3,4
"JS08VC",2023-08-30,6,1,1,6,0,0,3,NA,3,8,7,2,4
