"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"KR09AE",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"KR09AE",2023-07-22,5,2,2,6,25,20,5,NA,2,1,6,2,3.75
"KR09AE",2023-07-22,5,2,2,5,10,10,5,NA,3,1,6,3,4
"KR09AE",2023-07-22,6,2,1,6,20,10,5,NA,4,1,6,2,3.75
"KR09AE",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"KR09AE",2023-07-22,6,1,1,6,100,99,6,NA,6,1,7,2,4
"KR09AE",2023-07-22,6,1,1,6,100,100,7,NA,7,1,7,2,4
"KR09AE",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"KR09AE",2023-07-23,4,2,3,5,0,0,4,NA,2,2,6,3,4
"KR09AE",2023-07-23,5,2,2,5,10,15,5,NA,3,2,6,3,4
"KR09AE",2023-07-23,6,2,2,6,80,48,5,NA,4,2,6,2,4
"KR09AE",2023-07-23,6,1,2,6,100,95,5,NA,5,2,7,2,4.25
"KR09AE",2023-07-23,6,2,2,6,100,80,5,NA,6,2,6,2,4
"KR09AE",2023-07-23,6,1,1,6,30,30,5,NA,7,2,7,2,4
"KR09AE",2023-07-24,5,2,2,5,0,0,4,NA,1,3,6,3,4
"KR09AE",2023-07-24,5,3,2,5,10,8,4,NA,2,3,5,3,3.75
"KR09AE",2023-07-24,5,2,3,5,24,24,5,NA,3,3,6,3,4.25
"KR09AE",2023-07-24,5,2,2,6,15,10,5,NA,4,3,6,2,3.75
"KR09AE",2023-07-24,5,2,2,5,0,0,4,NA,5,3,6,3,4
"KR09AE",2023-07-24,5,2,2,5,20,15,5,NA,6,3,6,3,4
"KR09AE",2023-07-24,6,2,2,6,10,5,5,NA,7,3,6,2,4
"KR09AE",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"KR09AE",2023-07-25,6,2,2,6,36,26,5,NA,2,4,6,2,4
"KR09AE",2023-07-25,6,2,2,6,29,20,5,NA,3,4,6,2,4
"KR09AE",2023-07-25,5,2,2,4,20,15,5,NA,4,4,6,4,4.25
"KR09AE",2023-07-25,6,1,1,6,30,70,6,NA,5,4,7,2,4
"KR09AE",2023-07-25,6,2,1,6,70,75,6,NA,6,4,6,2,3.75
"KR09AE",2023-07-25,6,2,2,6,25,20,5,NA,7,4,6,2,4
"KR09AE",2023-07-26,6,2,2,6,75,20,5,NA,1,5,6,2,4
"KR09AE",2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"KR09AE",2023-07-26,6,1,1,6,100,35,6,NA,3,5,7,2,4
"KR09AE",2023-07-26,6,2,1,6,80,35,5,NA,4,5,6,2,3.75
"KR09AE",2023-07-26,6,2,2,6,30,19,5,NA,5,5,6,2,4
"KR09AE",2023-07-26,6,2,1,6,80,40,5,NA,6,5,6,2,3.75
"KR09AE",2023-07-26,6,2,2,5,100,95,5,NA,7,5,6,3,4.25
"KR09AE",2023-07-27,5,2,2,5,0,0,4,NA,1,6,6,3,4
"KR09AE",2023-07-27,6,2,2,6,0,0,4,NA,2,6,6,2,4
"KR09AE",2023-07-27,5,2,2,5,40,30,6,NA,3,6,6,3,4
"KR09AE",2023-07-27,5,2,2,5,20,20,5,NA,4,6,6,3,4
"KR09AE",2023-07-27,6,2,1,6,40,36,6,NA,5,6,6,2,3.75
"KR09AE",2023-07-27,5,2,2,5,10,5,5,NA,6,6,6,3,4
"KR09AE",2023-07-27,6,2,2,6,5,3,4,NA,7,6,6,2,4
"KR09AE",2023-07-28,5,2,2,5,0,5,5,NA,1,7,6,3,4
