"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"KT04MT",2023-07-15,6,1,1,6,100,84,7,NA,1,1,7,2,4
"KT04MT",2023-07-15,6,1,1,7,98,98,7,NA,2,1,7,1,3.75
"KT04MT",2023-07-15,7,1,1,7,80,80,6,NA,3,1,7,1,4
"KT04MT",2023-07-15,6,1,1,7,82,75,7,NA,4,1,7,1,3.75
"KT04MT",2023-07-15,6,1,1,6,0,2,5,NA,5,1,7,2,4
"KT04MT",2023-07-15,6,1,1,6,0,0,4,NA,6,1,7,2,4
"KT04MT",2023-07-15,6,1,1,6,0,0,4,NA,7,1,7,2,4
"KT04MT",2023-07-16,6,1,1,6,0,0,4,NA,1,2,7,2,4
"KT04MT",2023-07-16,6,1,1,6,0,0,4,NA,2,2,7,2,4
"KT04MT",2023-07-16,6,1,1,6,0,0,4,NA,3,2,7,2,4
"KT04MT",2023-07-16,6,1,1,6,0,0,4,NA,4,2,7,2,4
"KT04MT",2023-07-16,6,1,1,6,0,0,4,NA,5,2,7,2,4
"KT04MT",2023-07-16,6,1,1,6,0,0,4,NA,6,2,7,2,4
"KT04MT",2023-07-16,6,1,1,6,0,0,4,NA,7,2,7,2,4
"KT04MT",2023-07-17,6,1,1,6,0,0,4,NA,1,3,7,2,4
"KT04MT",2023-07-17,6,1,1,6,0,0,4,NA,2,3,7,2,4
"KT04MT",2023-07-17,7,1,1,6,0,0,4,NA,3,3,7,2,4.25
"KT04MT",2023-07-17,7,1,1,6,20,20,6,NA,4,3,7,2,4.25
"KT04MT",2023-07-17,6,1,1,6,0,0,4,NA,5,3,7,2,4
"KT04MT",2023-07-17,6,1,1,7,8,9,6,NA,6,3,7,1,3.75
"KT04MT",2023-07-17,6,1,1,7,100,96,6,NA,7,3,7,1,3.75
"KT04MT",2023-07-18,6,1,1,6,0,0,4,NA,1,4,7,2,4
"KT04MT",2023-07-18,5,2,1,6,0,0,4,NA,2,4,6,2,3.5
"KT04MT",2023-07-18,6,1,1,6,0,5,4,NA,3,4,7,2,4
"KT04MT",2023-07-18,6,1,1,6,5,10,4,NA,4,4,7,2,4
"KT04MT",2023-07-18,5,1,1,6,20,19,5,NA,5,4,7,2,3.75
"KT04MT",2023-07-18,5,1,1,6,0,0,4,NA,6,4,7,2,3.75
"KT04MT",2023-07-18,5,2,1,6,0,0,4,NA,7,4,6,2,3.5
"KT04MT",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"KT04MT",2023-07-19,6,1,1,6,0,0,4,NA,2,5,7,2,4
"KT04MT",2023-07-19,6,1,1,6,0,0,4,NA,3,5,7,2,4
"KT04MT",2023-07-19,6,1,1,6,0,0,4,NA,4,5,7,2,4
"KT04MT",2023-07-19,6,1,1,6,10,6,5,NA,5,5,7,2,4
"KT04MT",2023-07-19,6,1,1,6,0,0,4,NA,6,5,7,2,4
"KT04MT",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
"KT04MT",2023-07-20,6,1,1,6,0,0,4,NA,1,6,7,2,4
"KT04MT",2023-07-20,7,1,1,6,52,53,7,NA,2,6,7,2,4.25
"KT04MT",2023-07-20,7,1,1,6,99,100,7,NA,3,6,7,2,4.25
"KT04MT",2023-07-20,6,1,1,7,100,80,7,NA,4,6,7,1,3.75
"KT04MT",2023-07-20,6,1,1,6,100,100,7,NA,5,6,7,2,4
"KT04MT",2023-07-20,7,1,1,6,100,87,7,NA,6,6,7,2,4.25
"KT04MT",2023-07-20,6,1,1,6,100,79,7,NA,7,6,7,2,4
"KT04MT",2023-07-21,5,1,1,5,100,31,4,NA,1,7,7,3,4
"KT04MT",2023-07-21,6,1,1,6,100,89,7,NA,2,7,7,2,4
"KT04MT",2023-07-21,6,1,1,6,100,91,6,NA,3,7,7,2,4
"KT04MT",2023-07-21,6,1,1,7,100,77,7,NA,4,7,7,1,3.75
"KT04MT",2023-07-21,7,1,1,7,100,94,7,NA,5,7,7,1,4
"KT04MT",2023-07-21,6,1,1,6,100,100,6,NA,6,7,7,2,4
"KT04MT",2023-07-21,6,1,1,6,100,70,7,NA,7,7,7,2,4
"KT04MT",2023-07-22,6,1,1,6,100,7,6,NA,1,8,7,2,4
"KT04MT",2023-07-22,6,1,1,6,100,91,6,NA,2,8,7,2,4
"KT04MT",2023-07-22,7,1,1,6,100,79,7,NA,3,8,7,2,4.25
"KT04MT",2023-07-22,7,1,1,7,57,35,6,NA,4,8,7,1,4
"KT04MT",2023-07-22,6,1,1,6,0,0,4,NA,5,8,7,2,4
"KT04MT",2023-07-22,6,1,1,6,0,0,4,NA,6,8,7,2,4
"KT04MT",2023-07-22,5,1,1,6,0,0,4,NA,7,8,7,2,3.75
"KT04MT",2023-07-23,6,1,1,6,0,9,5,NA,1,9,7,2,4
"KT04MT",2023-07-23,7,1,1,7,57,12,7,NA,2,9,7,1,4
"KT04MT",2023-07-23,7,1,1,6,83,24,7,NA,3,9,7,2,4.25
"KT04MT",2023-07-23,6,1,1,6,0,0,4,NA,4,9,7,2,4
"KT04MT",2023-07-23,6,1,1,5,0,0,4,NA,5,9,7,3,4.25
"KT04MT",2023-07-23,5,1,1,6,0,0,4,NA,6,9,7,2,3.75
"KT04MT",2023-07-23,5,1,1,6,0,0,4,NA,7,9,7,2,3.75
"KT04MT",2023-07-24,6,1,1,6,100,0,6,NA,1,10,7,2,4
"KT04MT",2023-07-24,6,1,1,6,100,36,7,NA,2,10,7,2,4
"KT04MT",2023-07-24,6,1,1,6,100,33,6,NA,3,10,7,2,4
"KT04MT",2023-07-24,5,1,1,6,14,9,4,NA,4,10,7,2,3.75
"KT04MT",2023-07-24,6,1,1,6,23,13,6,NA,5,10,7,2,4
"KT04MT",2023-07-24,7,1,1,6,77,48,7,NA,6,10,7,2,4.25
"KT04MT",2023-07-24,6,1,1,7,93,88,7,NA,7,10,7,1,3.75
"KT04MT",2023-07-25,6,1,1,5,49,17,7,NA,1,11,7,3,4.25
"KT04MT",2023-07-25,5,1,1,6,14,14,6,NA,2,11,7,2,3.75
"KT04MT",2023-07-25,6,1,1,6,40,40,7,NA,3,11,7,2,4
"KT04MT",2023-07-25,5,1,1,5,10,10,4,NA,4,11,7,3,4
"KT04MT",2023-07-25,6,1,1,6,54,54,6,NA,5,11,7,2,4
"KT04MT",2023-07-25,7,1,1,7,100,80,7,NA,6,11,7,1,4
"KT04MT",2023-07-25,6,1,1,7,100,39,7,NA,7,11,7,1,3.75
"KT04MT",2023-07-26,6,1,1,6,41,15,5,NA,1,12,7,2,4
"KT04MT",2023-07-26,5,2,1,5,12,9,4,NA,2,12,6,3,3.75
"KT04MT",2023-07-26,6,1,1,6,40,40,6,NA,3,12,7,2,4
"KT04MT",2023-07-26,6,1,1,6,55,56,6,NA,4,12,7,2,4
"KT04MT",2023-07-26,7,1,1,6,60,19,6,NA,5,12,7,2,4.25
"KT04MT",2023-07-26,6,1,1,6,21,20,5,NA,6,12,7,2,4
"KT04MT",2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,7,12,NA,NA,NA
"KT04MT",2023-07-27,6,1,1,6,29,0,4,NA,1,13,7,2,4
"KT04MT",2023-07-27,5,1,1,6,20,5,5,NA,2,13,7,2,3.75
"KT04MT",2023-07-27,5,1,1,6,0,0,4,NA,3,13,7,2,3.75
"KT04MT",2023-07-27,5,1,1,5,0,0,4,NA,4,13,7,3,4
"KT04MT",2023-07-27,6,1,1,5,35,16,5,NA,5,13,7,3,4.25
"KT04MT",2023-07-27,6,1,1,6,59,37,6,NA,6,13,7,2,4
"KT04MT",2023-07-27,6,1,1,6,100,88,6,NA,7,13,7,2,4
"KT04MT",2023-07-28,5,1,1,6,25,18,6,NA,1,14,7,2,3.75
"KT04MT",2023-07-28,5,1,1,6,0,0,4,NA,2,14,7,2,3.75
"KT04MT",2023-07-28,6,1,1,6,9,8,5,NA,3,14,7,2,4
"KT04MT",2023-07-28,6,1,1,5,69,47,6,NA,4,14,7,3,4.25
"KT04MT",2023-07-28,6,1,1,6,92,69,7,NA,5,14,7,2,4
"KT04MT",2023-07-28,6,1,1,6,100,35,6,NA,6,14,7,2,4
"KT04MT",2023-07-28,6,1,1,5,100,64,6,NA,7,14,7,3,4.25
"KT04MT",2023-07-29,6,1,1,6,100,0,4,NA,1,15,7,2,4
"KT04MT",2023-07-29,5,1,1,6,86,26,5,NA,2,15,7,2,3.75
"KT04MT",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,3,15,NA,NA,NA
"KT04MT",2023-07-29,6,1,1,7,91,90,7,NA,4,15,7,1,3.75
"KT04MT",2023-07-29,6,1,1,7,100,89,7,NA,5,15,7,1,3.75
"KT04MT",2023-07-29,7,1,1,6,100,100,7,NA,6,15,7,2,4.25
"KT04MT",2023-07-29,7,1,1,6,100,100,6,NA,7,15,7,2,4.25
