"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"LD01AD",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"LD01AD",2023-07-18,3,5,5,2,0,36,4,NA,2,1,3,6,4.25
"LD01AD",2023-07-18,2,5,5,3,3,62,4,NA,3,1,3,5,3.75
"LD01AD",2023-07-18,3,5,4,4,0,65,5,NA,4,1,3,4,3.5
"LD01AD",2023-07-18,4,3,3,4,0,70,5,NA,5,1,5,4,4
"LD01AD",2023-07-18,5,3,3,5,0,76,6,NA,6,1,5,3,4
"LD01AD",2023-07-18,5,3,4,5,0,80,5,NA,7,1,5,3,4.25
"LD01AD",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"LD01AD",2023-07-19,4,5,5,3,0,0,4,NA,2,2,3,5,4.25
"LD01AD",2023-07-19,2,5,5,3,0,5,3,NA,3,2,3,5,3.75
"LD01AD",2023-07-19,3,5,5,3,0,11,5,NA,4,2,3,5,4
"LD01AD",2023-07-19,3,5,4,3,0,21,4,NA,5,2,3,5,3.75
"LD01AD",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"LD01AD",2023-07-19,5,3,2,5,35,51,6,NA,7,2,5,3,3.75
"LD01AD",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"LD01AD",2023-07-20,4,2,2,5,5,8,4,NA,2,3,6,3,3.75
"LD01AD",2023-07-20,5,3,2,4,13,15,6,NA,3,3,5,4,4
"LD01AD",2023-07-20,5,2,2,5,16,27,6,NA,4,3,6,3,4
"LD01AD",2023-07-20,4,2,2,4,18,57,6,NA,5,3,6,4,4
"LD01AD",2023-07-20,4,3,3,3,20,36,5,NA,6,3,5,5,4.25
"LD01AD",2023-07-20,3,3,3,4,30,39,5,NA,7,3,5,4,3.75
"LD01AD",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"LD01AD",2023-07-21,3,3,3,2,0,0,4,NA,2,4,5,6,4.25
