"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"MN09JA",2023-10-28,5,2,2,5,85,65,3,NA,1,1,6,3,4
"MN09JA",2023-10-28,6,2,2,6,85,75,6,NA,2,1,6,2,4
"MN09JA",2023-10-28,4,2,2,4,100,100,4,NA,3,1,6,4,4
"MN09JA",2023-10-28,3,3,3,3,100,15,3,NA,4,1,5,5,4
"MN09JA",2023-10-28,3,3,3,3,85,10,3,NA,5,1,5,5,4
"MN09JA",2023-10-28,5,2,3,4,0,55,4,NA,6,1,6,4,4.5
"MN09JA",2023-10-28,5,2,2,5,0,25,5,NA,7,1,6,3,4
"MN09JA",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"MN09JA",2023-10-29,5,2,2,4,0,12,4,NA,2,2,6,4,4.25
"MN09JA",2023-10-29,3,2,2,3,0,2,4,NA,3,2,6,5,4
"MN09JA",2023-10-29,5,2,2,6,0,8,5,NA,4,2,6,2,3.75
"MN09JA",2023-10-29,3,4,4,3,0,9,4,NA,5,2,4,5,4
"MN09JA",2023-10-29,4,3,2,4,0,15,3,NA,6,2,5,4,3.75
"MN09JA",2023-10-29,5,2,2,5,0,10,5,NA,7,2,6,3,4
"MN09JA",2023-10-30,4,2,2,4,75,19,5,NA,1,3,6,4,4
"MN09JA",2023-10-30,5,2,2,4,92,52,6,NA,2,3,6,4,4.25
"MN09JA",2023-10-30,4,1,1,4,48,36,4,NA,3,3,7,4,4
"MN09JA",2023-10-30,4,2,2,3,31,17,4,NA,4,3,6,5,4.25
"MN09JA",2023-10-30,4,2,2,4,0,5,4,NA,5,3,6,4,4
"MN09JA",2023-10-30,5,2,2,5,0,10,5,NA,6,3,6,3,4
"MN09JA",2023-10-30,4,2,2,4,0,17,4,NA,7,3,6,4,4
"MN09JA",2023-10-31,3,2,2,4,0,11,4,NA,1,4,6,4,3.75
"MN09JA",2023-10-31,4,2,2,4,100,80,4,NA,2,4,6,4,4
"MN09JA",2023-10-31,5,2,2,5,100,70,5,NA,3,4,6,3,4
"MN09JA",2023-10-31,4,2,2,4,100,75,4,NA,4,4,6,4,4
"MN09JA",2023-10-31,4,2,2,5,92,40,4,NA,5,4,6,3,3.75
"MN09JA",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"MN09JA",2023-10-31,4,3,3,4,100,100,4,NA,7,4,5,4,4
"MN09JA",2023-11-01,3,3,4,3,29,8,4,NA,1,5,5,5,4.25
