"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"MR10JR",2023-10-21,6,1,1,5,100,100,7,NA,1,1,7,3,4.25
"MR10JR",2023-10-21,6,1,1,6,100,100,7,NA,2,1,7,2,4
"MR10JR",2023-10-21,6,1,1,7,100,100,7,NA,3,1,7,1,3.75
"MR10JR",2023-10-21,7,1,1,7,100,100,7,NA,4,1,7,1,4
"MR10JR",2023-10-21,7,1,1,7,100,100,3,NA,5,1,7,1,4
"MR10JR",2023-10-21,7,1,1,7,100,100,6,NA,6,1,7,1,4
"MR10JR",2023-10-21,7,1,1,7,100,100,6,NA,7,1,7,1,4
"MR10JR",2023-10-22,7,1,1,7,100,75,6,NA,1,2,7,1,4
"MR10JR",2023-10-22,6,1,1,7,100,100,6,NA,2,2,7,1,3.75
"MR10JR",2023-10-22,5,1,1,5,100,62,5,NA,3,2,7,3,4
"MR10JR",2023-10-22,7,1,1,7,100,100,7,NA,4,2,7,1,4
"MR10JR",2023-10-22,7,1,1,7,48,26,4,NA,5,2,7,1,4
"MR10JR",2023-10-22,7,1,1,7,100,38,5,NA,6,2,7,1,4
"MR10JR",2023-10-22,7,1,1,7,100,76,6,NA,7,2,7,1,4
"MR10JR",2023-10-23,7,1,1,7,100,54,5,NA,1,3,7,1,4
"MR10JR",2023-10-23,7,1,1,7,100,29,4,NA,2,3,7,1,4
"MR10JR",2023-10-23,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"MR10JR",2023-10-23,6,1,1,6,100,51,5,NA,4,3,7,2,4
"MR10JR",2023-10-23,7,1,1,7,49,16,4,NA,5,3,7,1,4
"MR10JR",2023-10-23,7,1,1,7,27,14,4,NA,6,3,7,1,4
"MR10JR",2023-10-23,7,1,1,7,100,26,6,NA,7,3,7,1,4
"MR10JR",2023-10-24,6,1,1,6,100,20,5,NA,1,4,7,2,4
"MR10JR",2023-10-24,6,1,1,6,100,54,5,NA,2,4,7,2,4
"MR10JR",2023-10-24,6,1,1,6,100,50,5,NA,3,4,7,2,4
"MR10JR",2023-10-24,6,1,1,6,100,40,5,NA,4,4,7,2,4
"MR10JR",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"MR10JR",2023-10-24,5,1,1,6,100,50,5,NA,6,4,7,2,3.75
"MR10JR",2023-10-24,7,1,1,6,100,9,6,NA,7,4,7,2,4.25
"MR10JR",2023-10-25,6,1,1,6,100,17,5,NA,1,5,7,2,4
"MR10JR",2023-10-25,6,1,1,7,100,22,6,NA,2,5,7,1,3.75
"MR10JR",2023-10-25,6,1,1,6,81,29,6,NA,3,5,7,2,4
"MR10JR",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA
"MR10JR",2023-10-25,4,1,1,4,100,10,5,NA,5,5,7,4,4
"MR10JR",2023-10-25,4,1,1,5,100,11,4,NA,6,5,7,3,3.75
"MR10JR",2023-10-25,5,1,1,5,100,11,6,NA,7,5,7,3,4
"MR10JR",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
"MR10JR",2023-10-26,6,1,1,6,100,23,6,NA,2,6,7,2,4
"MR10JR",2023-10-26,6,1,1,6,100,54,6,NA,3,6,7,2,4
"MR10JR",2023-10-26,6,1,1,6,100,77,5,NA,4,6,7,2,4
"MR10JR",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA
"MR10JR",2023-10-26,6,1,1,6,100,27,7,NA,6,6,7,2,4
"MR10JR",2023-10-26,6,1,1,6,92,8,6,NA,7,6,7,2,4
"MR10JR",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA
"MR10JR",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA
"MR10JR",2023-10-27,6,1,1,6,100,49,5,NA,3,7,7,2,4
"MR10JR",2023-10-27,6,1,1,6,80,23,6,NA,4,7,7,2,4
