"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"ND04AD",2023-10-20,3,3,2,4,0,17,4,NA,1,1,5,4,3.5
"ND04AD",2023-10-20,3,3,3,4,0,50,5,NA,2,1,5,4,3.75
"ND04AD",2023-10-20,4,2,2,5,100,100,6,NA,3,1,6,3,3.75
"ND04AD",2023-10-20,5,2,2,6,100,100,6,NA,4,1,6,2,3.75
"ND04AD",2023-10-20,5,2,2,6,100,100,6,NA,5,1,6,2,3.75
"ND04AD",2023-10-20,5,1,1,7,80,70,6,NA,6,1,7,1,3.5
"ND04AD",2023-10-20,6,2,2,4,60,70,4,NA,7,1,6,4,4.5
"ND04AD",2023-10-21,6,2,1,7,100,100,6,NA,1,2,6,1,3.5
"ND04AD",2023-10-21,6,1,1,6,100,100,6,NA,2,2,7,2,4
"ND04AD",2023-10-21,7,1,1,7,100,79,5,NA,3,2,7,1,4
"ND04AD",2023-10-21,5,1,2,5,80,51,4,NA,4,2,7,3,4.25
"ND04AD",2023-10-21,6,1,1,6,100,100,6,NA,5,2,7,2,4
"ND04AD",2023-10-21,7,1,1,7,100,100,7,NA,6,2,7,1,4
"ND04AD",2023-10-21,7,1,1,7,100,100,7,NA,7,2,7,1,4
"ND04AD",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"ND04AD",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"ND04AD",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"ND04AD",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"ND04AD",2023-10-22,7,1,1,7,100,100,7,NA,5,3,7,1,4
"ND04AD",2023-10-22,7,1,1,6,100,100,7,NA,6,3,7,2,4.25
"ND04AD",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA
"ND04AD",2023-10-23,6,1,1,6,100,68,6,NA,1,4,7,2,4
"ND04AD",2023-10-23,7,1,1,6,100,9,4,NA,2,4,7,2,4.25
"ND04AD",2023-10-23,7,2,2,7,100,9,4,NA,3,4,6,1,4
"ND04AD",2023-10-23,6,1,1,6,100,30,4,NA,4,4,7,2,4
"ND04AD",2023-10-23,6,2,2,6,51,20,4,NA,5,4,6,2,4
"ND04AD",2023-10-23,5,1,1,5,100,100,3,NA,6,4,7,3,4
"ND04AD",2023-10-23,6,1,1,6,100,100,5,NA,7,4,7,2,4
"ND04AD",2023-10-24,6,1,1,6,100,100,6,NA,1,5,7,2,4
"ND04AD",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"ND04AD",2023-10-24,6,1,1,7,100,5,4,NA,3,5,7,1,3.75
"ND04AD",2023-10-24,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,NA
"ND04AD",2023-10-24,6,1,1,7,100,100,7,NA,5,5,7,1,3.75
"ND04AD",2023-10-24,7,1,1,7,100,100,6,NA,6,5,7,1,4
"ND04AD",2023-10-24,7,1,1,7,100,100,7,NA,7,5,7,1,4
"ND04AD",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
"ND04AD",2023-10-25,4,1,1,6,53,20,4,NA,2,6,7,2,3.5
"ND04AD",2023-10-25,7,1,1,7,82,52,5,NA,3,6,7,1,4
"ND04AD",2023-10-25,7,1,1,7,100,100,6,NA,4,6,7,1,4
"ND04AD",2023-10-25,7,1,1,7,50,54,6,NA,5,6,7,1,4
"ND04AD",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA
"ND04AD",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA
"ND04AD",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA
"ND04AD",2023-10-26,4,4,5,3,0,0,3,NA,2,7,4,5,4.5
"ND04AD",2023-10-26,4,2,2,4,0,0,3,NA,3,7,6,4,4
"ND04AD",2023-10-26,4,3,3,4,0,0,4,NA,4,7,5,4,4
"ND04AD",2023-10-26,4,4,4,4,0,0,2,NA,5,7,4,4,4
"ND04AD",2023-10-26,6,1,1,6,2,1,4,NA,6,7,7,2,4
"ND04AD",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,NA,NA
"ND04AD",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"ND04AD",2023-10-27,6,1,1,6,100,100,6,NA,2,8,7,2,4
"ND04AD",2023-10-27,6,1,1,6,71,69,6,NA,3,8,7,2,4
"ND04AD",2023-10-27,7,1,1,7,100,85,7,NA,4,8,7,1,4
"ND04AD",2023-10-27,7,1,1,7,69,67,7,NA,5,8,7,1,4
"ND04AD",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,6,8,NA,NA,NA
"ND04AD",2023-10-27,7,1,1,7,74,73,6,NA,7,8,7,1,4
"ND04AD",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"ND04AD",2023-10-28,6,1,1,7,100,100,6,NA,2,9,7,1,3.75
"ND04AD",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"ND04AD",2023-10-28,6,1,1,7,100,100,6,NA,4,9,7,1,3.75
"ND04AD",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,5,9,NA,NA,NA
"ND04AD",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA
"ND04AD",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,7,9,NA,NA,NA
"ND04AD",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"ND04AD",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA
"ND04AD",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,NA,NA
"ND04AD",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,NA
"ND04AD",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA
"ND04AD",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,6,10,NA,NA,NA
"ND04AD",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,7,10,NA,NA,NA
"ND04AD",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,1,11,NA,NA,NA
"ND04AD",2023-10-30,7,1,1,7,100,100,6,NA,2,11,7,1,4
"ND04AD",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,3,11,NA,NA,NA
"ND04AD",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,NA,NA
"ND04AD",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,NA,NA
"ND04AD",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,6,11,NA,NA,NA
"ND04AD",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,7,11,NA,NA,NA
"ND04AD",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA
"ND04AD",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,2,12,NA,NA,NA
"ND04AD",2023-10-31,6,1,1,6,100,100,7,NA,3,12,7,2,4
"ND04AD",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,4,12,NA,NA,NA
"ND04AD",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,5,12,NA,NA,NA
"ND04AD",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,6,12,NA,NA,NA
"ND04AD",2023-10-31,NA,NA,NA,NA,NA,NA,NA,NA,7,12,NA,NA,NA
"ND04AD",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,1,13,NA,NA,NA
"ND04AD",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,2,13,NA,NA,NA
"ND04AD",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,3,13,NA,NA,NA
"ND04AD",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,4,13,NA,NA,NA
"ND04AD",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,5,13,NA,NA,NA
"ND04AD",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,6,13,NA,NA,NA
"ND04AD",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,7,13,NA,NA,NA
"ND04AD",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA
"ND04AD",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA,NA,NA
"ND04AD",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,3,14,NA,NA,NA
"ND04AD",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,4,14,NA,NA,NA
"ND04AD",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,5,14,NA,NA,NA
"ND04AD",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,6,14,NA,NA,NA
"ND04AD",2023-11-02,NA,NA,NA,NA,NA,NA,NA,NA,7,14,NA,NA,NA
"ND04AD",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA
"ND04AD",2023-11-03,7,1,1,7,51,54,6,NA,2,15,7,1,4
"ND04AD",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,3,15,NA,NA,NA
"ND04AD",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,4,15,NA,NA,NA
"ND04AD",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,5,15,NA,NA,NA
"ND04AD",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,6,15,NA,NA,NA
"ND04AD",2023-11-03,NA,NA,NA,NA,NA,NA,NA,NA,7,15,NA,NA,NA
