"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"NN01SS",2023-07-22,6,1,1,6,100,100,5,NA,1,1,7,2,4
"NN01SS",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"NN01SS",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA
"NN01SS",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"NN01SS",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"NN01SS",2023-07-22,6,1,1,6,100,100,5,NA,6,1,7,2,4
"NN01SS",2023-07-22,6,2,1,6,100,100,3,NA,7,1,6,2,3.75
"NN01SS",2023-07-23,6,1,1,6,100,100,5,NA,1,2,7,2,4
"NN01SS",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"NN01SS",2023-07-23,7,1,1,7,100,100,6,NA,3,2,7,1,4
"NN01SS",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
"NN01SS",2023-07-23,7,1,1,7,100,100,5,NA,5,2,7,1,4
"NN01SS",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"NN01SS",2023-07-23,7,1,1,7,100,100,6,NA,7,2,7,1,4
"NN01SS",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"NN01SS",2023-07-24,7,1,1,7,100,100,7,NA,2,3,7,1,4
"NN01SS",2023-07-24,7,1,1,7,80,69,6,NA,3,3,7,1,4
"NN01SS",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"NN01SS",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"NN01SS",2023-07-24,7,1,1,6,100,51,6,NA,6,3,7,2,4.25
"NN01SS",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA
"NN01SS",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
