"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"PG11WL",2023-10-18,2,5,5,3,15,4,4,NA,1,1,3,5,3.75
"PG11WL",2023-10-18,4,4,4,3,20,20,4,NA,2,1,4,5,4.25
"PG11WL",2023-10-18,4,3,3,4,0,0,4,NA,3,1,5,4,4
"PG11WL",2023-10-18,4,5,4,3,12,5,4,NA,4,1,3,5,4
"PG11WL",2023-10-18,4,3,3,4,75,5,4,NA,5,1,5,4,4
"PG11WL",2023-10-18,4,2,2,5,16,5,5,NA,6,1,6,3,3.75
"PG11WL",2023-10-18,4,4,3,4,100,30,4,NA,7,1,4,4,3.75
"PG11WL",2023-10-19,5,3,3,5,6,6,4,NA,1,2,5,3,4
"PG11WL",2023-10-19,4,3,3,4,6,0,4,NA,2,2,5,4,4
"PG11WL",2023-10-19,4,3,3,4,61,5,4,NA,3,2,5,4,4
"PG11WL",2023-10-19,4,3,3,4,0,0,4,NA,4,2,5,4,4
"PG11WL",2023-10-19,4,3,3,4,10,3,4,NA,5,2,5,4,4
"PG11WL",2023-10-19,2,5,5,2,5,0,4,NA,6,2,3,6,4
"PG11WL",2023-10-19,4,3,3,3,21,21,4,NA,7,2,5,5,4.25
"PG11WL",2023-10-20,4,3,3,4,50,31,4,NA,1,3,5,4,4
"PG11WL",2023-10-20,4,3,3,4,100,0,3,NA,2,3,5,4,4
"PG11WL",2023-10-20,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"PG11WL",2023-10-20,4,3,3,4,100,20,5,NA,4,3,5,4,4
"PG11WL",2023-10-20,4,4,3,4,100,0,4,NA,5,3,4,4,3.75
"PG11WL",2023-10-20,5,3,2,5,100,35,5,NA,6,3,5,3,3.75
"PG11WL",2023-10-20,5,3,2,4,100,60,5,NA,7,3,5,4,4
"PG11WL",2023-10-21,4,3,3,4,0,0,4,NA,1,4,5,4,4
"PG11WL",2023-10-21,4,3,3,5,100,49,5,NA,2,4,5,3,3.75
"PG11WL",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,3,4,NA,NA,NA
"PG11WL",2023-10-21,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA
"PG11WL",2023-10-21,5,2,2,5,70,59,5,NA,5,4,6,3,4
"PG11WL",2023-10-21,6,3,2,5,100,71,6,NA,6,4,5,3,4
"PG11WL",2023-10-21,5,3,2,5,100,100,7,NA,7,4,5,3,3.75
"PG11WL",2023-10-22,4,3,2,4,11,3,4,NA,1,5,5,4,3.75
"PG11WL",2023-10-22,4,3,2,4,20,4,4,NA,2,5,5,4,3.75
"PG11WL",2023-10-22,4,3,2,4,59,34,4,NA,3,5,5,4,3.75
"PG11WL",2023-10-22,5,3,2,5,100,61,5,NA,4,5,5,3,3.75
"PG11WL",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA
"PG11WL",2023-10-22,5,3,2,5,100,51,5,NA,6,5,5,3,3.75
