"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"RO12MA",2023-10-17,5,3,4,4,55,0,4,NA,1,1,5,4,4.5
"RO12MA",2023-10-17,6,4,2,4,100,100,7,NA,2,1,4,4,4
"RO12MA",2023-10-17,6,2,1,6,100,100,5,NA,3,1,6,2,3.75
"RO12MA",2023-10-17,6,2,1,5,100,100,7,NA,4,1,6,3,4
"RO12MA",2023-10-17,6,3,1,5,100,100,5,NA,5,1,5,3,3.75
"RO12MA",2023-10-17,5,1,2,3,100,48,4,NA,6,1,7,5,4.75
"RO12MA",2023-10-17,5,1,1,5,97,22,4,NA,7,1,7,3,4
"RO12MA",2023-10-18,2,5,6,3,100,0,4,NA,1,2,3,5,4
"RO12MA",2023-10-18,2,3,6,3,100,100,2,NA,2,2,5,5,4.5
"RO12MA",2023-10-18,4,5,4,4,100,100,3,NA,3,2,3,4,3.75
"RO12MA",2023-10-18,5,3,3,4,100,100,3,NA,4,2,5,4,4.25
"RO12MA",2023-10-18,5,4,4,4,100,11,4,NA,5,2,4,4,4.25
"RO12MA",2023-10-18,4,4,5,4,100,0,4,NA,6,2,4,4,4.25
"RO12MA",2023-10-18,5,4,4,4,100,100,3,NA,7,2,4,4,4.25
"RO12MA",2023-10-19,5,2,1,4,100,0,4,NA,1,3,6,4,4
"RO12MA",2023-10-19,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"RO12MA",2023-10-19,4,4,4,5,69,50,5,NA,3,3,4,3,3.75
"RO12MA",2023-10-19,2,3,2,2,55,28,2,NA,4,3,5,6,3.75
"RO12MA",2023-10-19,4,4,4,4,100,100,3,NA,5,3,4,4,4
"RO12MA",2023-10-19,4,3,3,4,71,35,4,NA,6,3,5,4,4
"RO12MA",2023-10-19,4,5,2,2,100,100,5,NA,7,3,3,6,3.75
"RO12MA",2023-10-20,3,4,4,4,100,0,4,NA,1,4,4,4,3.75
"RO12MA",2023-10-20,3,3,4,3,100,100,3,NA,2,4,5,5,4.25
"RO12MA",2023-10-20,5,2,2,5,100,100,6,NA,3,4,6,3,4
"RO12MA",2023-10-20,6,2,1,5,100,100,6,NA,4,4,6,3,4
"RO12MA",2023-10-20,5,1,1,5,100,96,7,NA,5,4,7,3,4
"RO12MA",2023-10-20,6,1,1,4,100,100,4,NA,6,4,7,4,4.5
"RO12MA",2023-10-20,5,1,1,5,100,100,6,NA,7,4,7,3,4
"RO12MA",2023-10-21,5,1,1,5,100,0,4,NA,1,5,7,3,4
"RO12MA",2023-10-21,5,1,1,4,100,0,4,NA,2,5,7,4,4.25
"RO12MA",2023-10-21,5,1,1,5,100,49,4,NA,3,5,7,3,4
"RO12MA",2023-10-21,6,1,1,5,100,24,4,NA,4,5,7,3,4.25
"RO12MA",2023-10-21,4,1,1,5,100,26,4,NA,5,5,7,3,3.75
"RO12MA",2023-10-21,5,1,1,4,100,100,4,NA,6,5,7,4,4.25
"RO12MA",2023-10-21,6,1,1,5,100,100,6,NA,7,5,7,3,4.25
"RO12MA",2023-10-22,4,1,1,4,100,5,4,NA,1,6,7,4,4
"RO12MA",2023-10-22,5,1,1,5,100,23,4,NA,2,6,7,3,4
"RO12MA",2023-10-22,6,1,1,5,98,100,4,NA,3,6,7,3,4.25
"RO12MA",2023-10-22,6,1,1,5,100,48,4,NA,4,6,7,3,4.25
"RO12MA",2023-10-22,6,1,1,6,100,34,4,NA,5,6,7,2,4
"RO12MA",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA
"RO12MA",2023-10-22,NA,NA,NA,NA,NA,NA,NA,NA,7,6,NA,NA,NA
"RO12MA",2023-10-23,5,1,1,3,100,0,4,NA,1,7,7,5,4.5
"RO12MA",2023-10-23,4,1,1,4,100,100,4,NA,2,7,7,4,4
"RO12MA",2023-10-23,5,1,1,4,100,50,4,NA,3,7,7,4,4.25
"RO12MA",2023-10-23,2,1,1,4,95,98,4,NA,4,7,7,4,3.5
"RO12MA",2023-10-23,5,1,1,5,100,100,5,NA,5,7,7,3,4
"RO12MA",2023-10-23,6,1,1,5,100,100,5,NA,6,7,7,3,4.25
"RO12MA",2023-10-23,5,1,1,4,98,100,4,NA,7,7,7,4,4.25
"RO12MA",2023-10-24,3,2,2,1,100,0,4,NA,1,8,6,7,4.5
"RO12MA",2023-10-24,5,1,1,5,100,100,5,NA,2,8,7,3,4
"RO12MA",2023-10-24,5,1,1,4,99,47,4,NA,3,8,7,4,4.25
"RO12MA",2023-10-24,5,1,1,5,100,100,5,NA,4,8,7,3,4
"RO12MA",2023-10-24,5,1,1,5,100,100,5,NA,5,8,7,3,4
"RO12MA",2023-10-24,5,1,5,4,100,100,4,NA,6,8,7,4,5.25
"RO12MA",2023-10-24,3,1,1,4,100,100,4,NA,7,8,7,4,3.75
"RO12MA",2023-10-25,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"RO12MA",2023-10-25,2,1,1,3,100,11,4,NA,2,9,7,5,3.75
"RO12MA",2023-10-25,2,5,5,2,24,9,4,NA,3,9,3,6,4
"RO12MA",2023-10-25,4,1,1,4,0,0,4,NA,4,9,7,4,4
"RO12MA",2023-10-25,5,1,1,5,71,51,4,NA,5,9,7,3,4
"RO12MA",2023-10-25,3,1,1,4,100,21,4,NA,6,9,7,4,3.75
"RO12MA",2023-10-25,5,1,1,4,100,10,4,NA,7,9,7,4,4.25
"RO12MA",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"RO12MA",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA
"RO12MA",2023-10-26,5,1,1,5,100,100,4,NA,3,10,7,3,4
"RO12MA",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,NA
"RO12MA",2023-10-26,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA
"RO12MA",2023-10-26,6,1,1,5,100,100,4,NA,6,10,7,3,4.25
"RO12MA",2023-10-26,5,1,1,5,100,100,4,NA,7,10,7,3,4
"RO12MA",2023-10-27,4,1,1,4,100,0,4,NA,1,11,7,4,4
"RO12MA",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA
"RO12MA",2023-10-27,5,1,1,5,100,100,4,NA,3,11,7,3,4
"RO12MA",2023-10-27,NA,NA,NA,NA,NA,NA,NA,NA,4,11,NA,NA,NA
"RO12MA",2023-10-27,1,5,5,2,100,51,3,NA,5,11,3,6,3.75
"RO12MA",2023-10-27,3,5,5,4,87,100,4,NA,6,11,3,4,3.75
"RO12MA",2023-10-27,3,1,1,4,100,98,4,NA,7,11,7,4,3.75
"RO12MA",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,1,12,NA,NA,NA
"RO12MA",2023-10-28,4,1,1,4,100,100,4,NA,2,12,7,4,4
"RO12MA",2023-10-28,5,1,1,4,100,49,5,NA,3,12,7,4,4.25
"RO12MA",2023-10-28,6,1,1,5,100,49,4,NA,4,12,7,3,4.25
"RO12MA",2023-10-28,6,1,1,5,100,53,4,NA,5,12,7,3,4.25
"RO12MA",2023-10-28,5,1,1,5,100,100,4,NA,6,12,7,3,4
"RO12MA",2023-10-28,6,1,1,5,100,26,4,NA,7,12,7,3,4.25
"RO12MA",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,1,13,NA,NA,NA
"RO12MA",2023-10-29,6,1,1,6,100,100,6,NA,2,13,7,2,4
"RO12MA",2023-10-29,6,1,1,5,100,0,4,NA,3,13,7,3,4.25
"RO12MA",2023-10-29,6,1,1,5,100,0,4,NA,4,13,7,3,4.25
"RO12MA",2023-10-29,6,1,1,5,100,51,4,NA,5,13,7,3,4.25
"RO12MA",2023-10-29,6,1,1,5,100,51,4,NA,6,13,7,3,4.25
"RO12MA",2023-10-29,5,1,1,5,100,0,4,NA,7,13,7,3,4
"RO12MA",2023-10-30,5,1,1,5,100,51,4,NA,1,14,7,3,4
"RO12MA",2023-10-30,5,1,1,5,100,100,4,NA,2,14,7,3,4
"RO12MA",2023-10-30,5,1,1,5,100,49,4,NA,3,14,7,3,4
"RO12MA",2023-10-30,6,1,1,5,100,100,5,NA,4,14,7,3,4.25
"RO12MA",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,5,14,NA,NA,NA
"RO12MA",2023-10-30,6,1,1,5,100,100,6,NA,6,14,7,3,4.25
"RO12MA",2023-10-30,5,1,1,5,100,48,5,NA,7,14,7,3,4
