"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"SB02CR",2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"SB02CR",2023-07-15,4,4,5,4,100,100,4,NA,2,1,4,4,4.25
"SB02CR",2023-07-15,4,3,5,3,55,55,4,NA,3,1,5,5,4.75
"SB02CR",2023-07-15,4,4,4,3,100,100,6,NA,4,1,4,5,4.25
"SB02CR",2023-07-15,4,4,4,4,100,100,7,NA,5,1,4,4,4
"SB02CR",2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA
"SB02CR",2023-07-15,7,2,2,6,100,100,1,NA,7,1,6,2,4.25
"SB02CR",2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"SB02CR",2023-07-16,3,3,3,3,100,32,2,NA,2,2,5,5,4
"SB02CR",2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
"SB02CR",2023-07-16,4,3,4,4,100,0,4,NA,4,2,5,4,4.25
"SB02CR",2023-07-16,4,4,3,3,100,100,6,NA,5,2,4,5,4
"SB02CR",2023-07-16,4,4,4,3,100,100,6,NA,6,2,4,5,4.25
"SB02CR",2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"SB02CR",2023-07-17,4,4,4,4,100,23,6,NA,1,3,4,4,4
"SB02CR",2023-07-17,4,4,4,4,0,0,4,NA,2,3,4,4,4
"SB02CR",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"SB02CR",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"SB02CR",2023-07-17,4,4,3,5,0,0,4,NA,5,3,4,3,3.5
"SB02CR",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"SB02CR",2023-07-17,4,4,3,4,100,100,6,NA,7,3,4,4,3.75
"SB02CR",2023-07-18,4,4,5,4,0,0,4,NA,1,4,4,4,4.25
"SB02CR",2023-07-18,3,3,4,4,100,0,4,NA,2,4,5,4,4
"SB02CR",2023-07-18,4,4,4,4,50,49,5,NA,3,4,4,4,4
"SB02CR",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA
"SB02CR",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"SB02CR",2023-07-18,5,4,4,5,100,100,7,NA,6,4,4,3,4
"SB02CR",2023-07-18,4,4,4,4,100,100,5,NA,7,4,4,4,4
"SB02CR",2023-07-19,4,4,4,4,100,0,4,NA,1,5,4,4,4
"SB02CR",2023-07-19,4,4,4,3,51,47,5,NA,2,5,4,5,4.25
"SB02CR",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"SB02CR",2023-07-19,2,5,6,1,0,0,4,NA,4,5,3,7,4.5
"SB02CR",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA
"SB02CR",2023-07-19,4,4,4,4,100,100,6,NA,6,5,4,4,4
"SB02CR",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
"SB02CR",2023-07-20,4,4,4,4,100,56,7,NA,1,6,4,4,4
"SB02CR",2023-07-20,4,4,4,4,0,0,4,NA,2,6,4,4,4
"SB02CR",2023-07-20,4,4,3,5,0,0,4,NA,3,6,4,3,3.5
"SB02CR",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA
"SB02CR",2023-07-20,4,3,3,4,100,100,6,NA,5,6,5,4,4
"SB02CR",2023-07-20,4,4,4,4,53,57,4,NA,6,6,4,4,4
"SB02CR",2023-07-20,3,5,5,3,50,53,4,NA,7,6,3,5,4
"SB02CR",2023-07-21,4,4,4,4,0,0,4,NA,1,7,4,4,4
"SB02CR",2023-07-21,4,4,4,4,51,53,4,NA,2,7,4,4,4
"SB02CR",2023-07-21,4,4,3,5,100,48,4,NA,3,7,4,3,3.5
"SB02CR",2023-07-21,5,3,3,4,51,52,5,NA,4,7,5,4,4.25
"SB02CR",2023-07-21,4,5,5,4,100,100,4,NA,5,7,3,4,4
"SB02CR",2023-07-21,4,4,4,4,100,100,5,NA,6,7,4,4,4
"SB02CR",2023-07-21,4,4,3,5,100,100,6,NA,7,7,4,3,3.5
"SB02CR",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"SB02CR",2023-07-22,4,3,4,5,0,0,4,NA,2,8,5,3,4
"SB02CR",2023-07-22,5,4,5,4,0,0,4,NA,3,8,4,4,4.5
"SB02CR",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,NA,NA
"SB02CR",2023-07-22,4,3,3,5,100,100,6,NA,5,8,5,3,3.75
"SB02CR",2023-07-22,4,3,4,4,100,100,7,NA,6,8,5,4,4.25
"SB02CR",2023-07-22,4,4,4,5,100,100,7,NA,7,8,4,3,3.75
"SB02CR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"SB02CR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA
"SB02CR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"SB02CR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,4,9,NA,NA,NA
"SB02CR",2023-07-23,4,4,4,3,100,100,5,NA,5,9,4,5,4.25
"SB02CR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA
"SB02CR",2023-07-23,4,5,4,3,100,100,7,NA,7,9,3,5,4
"SB02CR",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
