"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"SL03HL",2023-11-11,3,5,3,4,100,0,4,NA,1,1,3,4,3.25
"SL03HL",2023-11-11,3,3,2,3,90,41,4,NA,2,1,5,5,3.75
"SL03HL",2023-11-11,3,2,2,5,100,100,6,NA,3,1,6,3,3.5
"SL03HL",2023-11-11,5,2,2,5,100,100,6,NA,4,1,6,3,4
"SL03HL",2023-11-11,3,3,5,3,100,100,5,NA,5,1,5,5,4.5
"SL03HL",2023-11-11,3,6,5,3,80,80,7,NA,6,1,2,5,3.75
"SL03HL",2023-11-11,2,5,4,2,100,100,6,NA,7,1,3,6,3.75
"SL03HL",2023-11-12,3,2,2,5,100,0,7,NA,1,2,6,3,3.5
"SL03HL",2023-11-12,5,2,1,5,100,10,7,NA,2,2,6,3,3.75
"SL03HL",2023-11-12,5,2,1,5,100,100,7,NA,3,2,6,3,3.75
"SL03HL",2023-11-12,2,6,5,2,50,50,5,NA,4,2,2,6,3.75
"SL03HL",2023-11-12,2,5,6,2,80,80,3,NA,5,2,3,6,4.25
"SL03HL",2023-11-12,3,5,4,3,100,100,4,NA,6,2,3,5,3.75
"SL03HL",2023-11-12,5,2,2,5,100,100,5,NA,7,2,6,3,4
"SL03HL",2023-11-13,4,4,4,6,0,0,4,NA,1,3,4,2,3.5
"SL03HL",2023-11-13,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA
"SL03HL",2023-11-13,2,3,5,2,0,10,2,NA,3,3,5,6,4.5
"SL03HL",2023-11-13,3,5,5,2,15,40,4,NA,4,3,3,6,4.25
"SL03HL",2023-11-13,6,2,2,6,5,5,4,NA,5,3,6,2,4
"SL03HL",2023-11-13,3,4,5,3,100,100,7,NA,6,3,4,5,4.25
"SL03HL",2023-11-13,5,2,2,6,40,30,6,NA,7,3,6,2,3.75
"SL03HL",2023-11-14,6,2,1,6,13,13,7,NA,1,4,6,2,3.75
"SL03HL",2023-11-14,3,4,5,2,73,20,4,NA,2,4,4,6,4.5
"SL03HL",2023-11-14,4,3,3,4,48,30,6,NA,3,4,5,4,4
"SL03HL",2023-11-14,3,5,5,3,0,0,4,NA,4,4,3,5,4
"SL03HL",2023-11-14,1,6,6,1,80,10,2,NA,5,4,2,7,4
"SL03HL",2023-11-14,2,6,6,1,86,43,3,NA,6,4,2,7,4.25
"SL03HL",2023-11-14,3,5,4,4,25,48,7,NA,7,4,3,4,3.5
"SL03HL",2023-11-15,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"SL03HL",2023-11-15,5,4,3,5,50,30,4,NA,2,5,4,3,3.75
"SL03HL",2023-11-15,5,3,3,5,16,11,4,NA,3,5,5,3,4
