"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"SL06CR",2023-07-22,2,2,3,6,5,5,5,NA,1,1,6,2,3.25
"SL06CR",2023-07-22,3,2,1,5,20,10,6,NA,2,1,6,3,3.25
"SL06CR",2023-07-22,2,3,2,6,100,85,6,NA,3,1,5,2,2.75
"SL06CR",2023-07-22,2,1,2,5,30,30,6,NA,4,1,7,3,3.5
"SL06CR",2023-07-22,2,3,2,5,100,100,6,NA,5,1,5,3,3
"SL06CR",2023-07-22,2,2,2,5,80,80,6,NA,6,1,6,3,3.25
"SL06CR",2023-07-22,3,2,2,5,75,74,6,NA,7,1,6,3,3.5
"SL06CR",2023-07-23,3,2,1,5,0,0,4,NA,1,2,6,3,3.25
"SL06CR",2023-07-23,3,2,2,5,0,0,4,NA,2,2,6,3,3.5
"SL06CR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
"SL06CR",2023-07-23,3,2,2,4,100,100,3,NA,4,2,6,4,3.75
"SL06CR",2023-07-23,2,1,1,3,100,65,2,NA,5,2,7,5,3.75
"SL06CR",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,6,2,NA,NA,NA
"SL06CR",2023-07-23,3,3,4,4,70,40,6,NA,7,2,5,4,4
"SL06CR",2023-07-24,3,5,3,4,0,0,5,NA,1,3,3,4,3.25
"SL06CR",2023-07-24,2,3,2,4,100,45,5,NA,2,3,5,4,3.25
"SL06CR",2023-07-24,2,2,2,3,40,30,6,NA,3,3,6,5,3.75
"SL06CR",2023-07-24,2,3,2,3,30,29,4,NA,4,3,5,5,3.5
"SL06CR",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"SL06CR",2023-07-24,2,2,2,2,20,13,4,NA,6,3,6,6,4
"SL06CR",2023-07-24,2,2,4,2,0,0,4,NA,7,3,6,6,4.5
"SL06CR",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"SL06CR",2023-07-25,2,2,2,4,34,0,4,NA,2,4,6,4,3.5
"SL06CR",2023-07-25,2,2,2,3,0,0,5,NA,3,4,6,5,3.75
"SL06CR",2023-07-25,4,1,1,5,0,0,5,NA,4,4,7,3,3.75
"SL06CR",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,NA,NA
"SL06CR",2023-07-25,1,2,2,2,76,75,6,NA,6,4,6,6,3.75
"SL06CR",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,7,4,NA,NA,NA
"SL06CR",2023-07-26,4,1,2,5,0,0,4,NA,1,5,7,3,4
"SL06CR",2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"SL06CR",2023-07-26,4,2,2,5,0,0,6,NA,3,5,6,3,3.75
"SL06CR",2023-07-26,3,1,1,5,0,0,5,NA,4,5,7,3,3.5
"SL06CR",2023-07-26,5,1,1,5,0,0,6,NA,5,5,7,3,4
"SL06CR",2023-07-26,5,1,1,5,0,0,5,NA,6,5,7,3,4
"SL06CR",2023-07-26,5,1,1,5,0,0,6,NA,7,5,7,3,4
"SL06CR",2023-07-27,5,2,1,5,0,0,6,NA,1,6,6,3,3.75
"SL06CR",2023-07-27,5,2,2,6,70,49,7,NA,2,6,6,2,3.75
"SL06CR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA
"SL06CR",2023-07-27,1,5,5,2,0,0,4,NA,4,6,3,6,3.75
"SL06CR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,5,6,NA,NA,NA
"SL06CR",2023-07-27,5,1,2,5,100,100,7,NA,6,6,7,3,4.25
"SL06CR",2023-07-27,5,2,2,4,80,75,7,NA,7,6,6,4,4.25
"SL06CR",2023-07-28,4,2,2,4,16,13,4,NA,1,7,6,4,4
"SL06CR",2023-07-28,3,1,1,3,73,73,6,NA,2,7,7,5,4
"SL06CR",2023-07-28,4,2,2,4,100,30,5,NA,3,7,6,4,4
"SL06CR",2023-07-28,4,1,1,5,100,100,7,NA,4,7,7,3,3.75
"SL06CR",2023-07-28,5,1,1,5,100,100,7,NA,5,7,7,3,4
"SL06CR",2023-07-28,3,3,2,3,100,100,7,NA,6,7,5,5,3.75
"SL06CR",2023-07-28,4,1,1,4,100,100,7,NA,7,7,7,4,4
"SL06CR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"SL06CR",2023-07-29,4,1,1,5,100,100,7,NA,2,8,7,3,3.75
"SL06CR",2023-07-29,4,1,1,4,100,100,4,NA,3,8,7,4,4
"SL06CR",2023-07-29,5,2,2,5,100,100,7,NA,4,8,6,3,4
"SL06CR",2023-07-29,NA,NA,NA,NA,NA,NA,NA,NA,5,8,NA,NA,NA
"SL06CR",2023-07-29,4,1,1,5,100,100,7,NA,6,8,7,3,3.75
"SL06CR",2023-07-29,5,1,1,4,100,100,7,NA,7,8,7,4,4.25
"SL06CR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"SL06CR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA
"SL06CR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"SL06CR",2023-07-30,5,1,1,5,100,30,7,NA,4,9,7,3,4
"SL06CR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,5,9,NA,NA,NA
"SL06CR",2023-07-30,5,1,1,5,100,100,7,NA,6,9,7,3,4
"SL06CR",2023-07-30,3,1,1,4,75,80,7,NA,7,9,7,4,3.75
"SL06CR",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"SL06CR",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA
"SL06CR",2023-07-31,4,1,1,4,75,34,7,NA,3,10,7,4,4
"SL06CR",2023-07-31,5,1,1,5,100,100,7,NA,4,10,7,3,4
"SL06CR",2023-07-31,5,1,1,5,100,100,7,NA,5,10,7,3,4
"SL06CR",2023-07-31,5,1,1,5,100,100,7,NA,6,10,7,3,4
"SL06CR",2023-07-31,5,1,1,5,100,60,7,NA,7,10,7,3,4
"SL06CR",2023-08-01,5,1,1,5,100,74,7,NA,1,11,7,3,4
"SL06CR",2023-08-01,NA,NA,NA,NA,NA,NA,NA,NA,2,11,NA,NA,NA
"SL06CR",2023-08-01,3,1,1,3,58,57,7,NA,3,11,7,5,4
"SL06CR",2023-08-01,5,1,1,5,29,12,6,NA,4,11,7,3,4
"SL06CR",2023-08-01,3,1,1,4,0,0,4,NA,5,11,7,4,3.75
"SL06CR",2023-08-01,4,2,2,4,0,0,5,NA,6,11,6,4,4
"SL06CR",2023-08-01,3,1,1,3,0,0,7,NA,7,11,7,5,4
"SL06CR",2023-08-02,5,1,1,4,0,0,5,NA,1,12,7,4,4.25
"SL06CR",2023-08-02,4,1,1,5,35,35,7,NA,2,12,7,3,3.75
"SL06CR",2023-08-02,5,2,2,4,100,100,7,NA,3,12,6,4,4.25
"SL06CR",2023-08-02,4,1,1,3,100,100,6,NA,4,12,7,5,4.25
"SL06CR",2023-08-02,3,1,2,4,100,100,6,NA,5,12,7,4,4
"SL06CR",2023-08-02,4,1,1,5,100,75,6,NA,6,12,7,3,3.75
"SL06CR",2023-08-02,4,2,2,4,100,60,6,NA,7,12,6,4,4
"SL06CR",2023-08-03,4,2,2,4,0,0,4,NA,1,13,6,4,4
"SL06CR",2023-08-03,5,2,2,5,100,41,5,NA,2,13,6,3,4
"SL06CR",2023-08-03,5,1,1,5,62,61,7,NA,3,13,7,3,4
"SL06CR",2023-08-03,NA,NA,NA,NA,NA,NA,NA,NA,4,13,NA,NA,NA
"SL06CR",2023-08-03,4,1,1,4,100,56,5,NA,5,13,7,4,4
"SL06CR",2023-08-03,3,1,1,4,96,74,6,NA,6,13,7,4,3.75
"SL06CR",2023-08-03,2,5,5,3,100,39,6,NA,7,13,3,5,3.75
