"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"SM01MR",2023-07-27,6,1,2,6,0,0,4,NA,1,1,7,2,4.25
"SM01MR",2023-07-27,6,1,1,6,70,65,6,NA,2,1,7,2,4
"SM01MR",2023-07-27,6,1,1,6,40,35,6,NA,3,1,7,2,4
"SM01MR",2023-07-27,6,1,1,6,99,89,6,NA,4,1,7,2,4
"SM01MR",2023-07-27,7,1,1,7,0,0,4,NA,5,1,7,1,4
"SM01MR",2023-07-27,7,1,1,6,50,45,6,NA,6,1,7,2,4.25
"SM01MR",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA
"SM01MR",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"SM01MR",2023-07-28,7,1,1,7,30,30,7,NA,2,2,7,1,4
"SM01MR",2023-07-28,6,1,1,6,50,50,7,NA,3,2,7,2,4
"SM01MR",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
"SM01MR",2023-07-28,7,1,1,7,100,100,7,NA,5,2,7,1,4
"SM01MR",2023-07-28,7,1,1,7,100,100,7,NA,6,2,7,1,4
"SM01MR",2023-07-28,7,1,1,7,75,50,6,NA,7,2,7,1,4
"SM01MR",2023-07-29,6,1,2,7,0,0,4,NA,1,3,7,1,4
"SM01MR",2023-07-29,6,1,1,7,30,14,7,NA,2,3,7,1,3.75
"SM01MR",2023-07-29,7,1,1,7,100,71,7,NA,3,3,7,1,4
"SM01MR",2023-07-29,7,1,1,6,55,40,6,NA,4,3,7,2,4.25
"SM01MR",2023-07-29,6,1,1,6,70,52,7,NA,5,3,7,2,4
"SM01MR",2023-07-29,7,1,1,7,100,100,7,NA,6,3,7,1,4
"SM01MR",2023-07-29,7,1,1,7,80,75,7,NA,7,3,7,1,4
"SM01MR",2023-07-30,6,1,1,6,0,0,4,NA,1,4,7,2,4
"SM01MR",2023-07-30,7,1,2,6,30,15,5,NA,2,4,7,2,4.5
"SM01MR",2023-07-30,6,2,1,6,40,20,6,NA,3,4,6,2,3.75
"SM01MR",2023-07-30,7,1,1,7,55,31,7,NA,4,4,7,1,4
"SM01MR",2023-07-30,7,1,1,6,100,100,7,NA,5,4,7,2,4.25
"SM01MR",2023-07-30,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"SM01MR",2023-07-30,7,1,1,6,70,61,7,NA,7,4,7,2,4.25
"SM01MR",2023-07-31,7,1,1,7,75,25,6,NA,1,5,7,1,4
"SM01MR",2023-07-31,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"SM01MR",2023-07-31,7,1,1,7,0,0,4,NA,3,5,7,1,4
"SM01MR",2023-07-31,6,1,1,6,40,19,6,NA,4,5,7,2,4
"SM01MR",2023-07-31,7,1,1,6,50,25,6,NA,5,5,7,2,4.25
"SM01MR",2023-07-31,7,1,1,6,100,80,6,NA,6,5,7,2,4.25
"SM01MR",2023-07-31,6,2,2,6,100,100,7,NA,7,5,6,2,4
"SM01MR",2023-08-01,6,1,1,7,0,0,4,NA,1,6,7,1,3.75
"SM01MR",2023-08-01,6,1,1,6,0,0,4,NA,2,6,7,2,4
"SM01MR",2023-08-01,6,1,1,6,0,0,4,NA,3,6,7,2,4
"SM01MR",2023-08-01,6,1,1,6,0,0,4,NA,4,6,7,2,4
"SM01MR",2023-08-01,7,2,1,7,0,0,4,NA,5,6,6,1,3.75
"SM01MR",2023-08-01,7,1,1,6,70,61,7,NA,6,6,7,2,4.25
"SM01MR",2023-08-01,6,1,1,6,48,29,6,NA,7,6,7,2,4
"SM01MR",2023-08-02,6,2,2,6,100,61,6,NA,1,7,6,2,4
"SM01MR",2023-08-02,6,1,1,6,21,11,6,NA,2,7,7,2,4
"SM01MR",2023-08-02,6,1,1,6,0,0,4,NA,3,7,7,2,4
"SM01MR",2023-08-02,6,1,2,6,100,80,6,NA,4,7,7,2,4.25
"SM01MR",2023-08-02,6,1,1,6,95,78,6,NA,5,7,7,2,4
"SM01MR",2023-08-02,6,1,1,6,50,44,6,NA,6,7,7,2,4
"SM01MR",2023-08-02,6,2,2,6,30,15,6,NA,7,7,6,2,4
"SM01MR",2023-08-03,6,1,1,6,0,0,4,NA,1,8,7,2,4
"SM01MR",2023-08-03,6,1,1,6,25,20,6,NA,2,8,7,2,4
"SM01MR",2023-08-03,6,2,2,6,0,0,6,NA,3,8,6,2,4
"SM01MR",2023-08-03,6,1,1,6,55,43,7,NA,4,8,7,2,4
"SM01MR",2023-08-03,6,1,1,6,75,50,6,NA,5,8,7,2,4
"SM01MR",2023-08-03,6,1,1,6,95,65,6,NA,6,8,7,2,4
"SM01MR",2023-08-03,6,1,1,6,55,34,6,NA,7,8,7,2,4
"SM01MR",2023-08-04,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA
"SM01MR",2023-08-04,6,1,1,6,0,0,4,NA,2,9,7,2,4
