"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"SN07SR",2023-07-19,5,1,1,5,80,80,4,NA,1,1,7,3,4
"SN07SR",2023-07-19,5,1,1,5,100,80,6,NA,2,1,7,3,4
"SN07SR",2023-07-19,6,1,1,5,100,100,6,NA,3,1,7,3,4.25
"SN07SR",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"SN07SR",2023-07-19,6,1,1,6,100,100,7,NA,5,1,7,2,4
"SN07SR",2023-07-19,6,1,1,6,100,100,6,NA,6,1,7,2,4
"SN07SR",2023-07-19,6,1,1,6,100,80,6,NA,7,1,7,2,4
"SN07SR",2023-07-20,6,1,1,6,100,60,5,NA,1,2,7,2,4
"SN07SR",2023-07-20,6,1,1,6,100,80,5,NA,2,2,7,2,4
"SN07SR",2023-07-20,5,1,1,5,30,41,4,NA,3,2,7,3,4
"SN07SR",2023-07-20,6,1,1,6,0,30,3,NA,4,2,7,2,4
"SN07SR",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"SN07SR",2023-07-20,5,1,1,5,100,70,5,NA,6,2,7,3,4
"SN07SR",2023-07-20,6,1,1,6,100,100,5,NA,7,2,7,2,4
"SN07SR",2023-07-21,6,1,1,6,61,52,5,NA,1,3,7,2,4
"SN07SR",2023-07-21,6,1,1,5,100,100,6,NA,2,3,7,3,4.25
"SN07SR",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"SN07SR",2023-07-21,5,1,1,6,100,100,5,NA,4,3,7,2,3.75
"SN07SR",2023-07-21,6,1,1,5,51,54,4,NA,5,3,7,3,4.25
"SN07SR",2023-07-21,6,1,1,4,100,100,5,NA,6,3,7,4,4.5
"SN07SR",2023-07-21,5,1,1,5,100,100,5,NA,7,3,7,3,4
"SN07SR",2023-07-22,5,1,1,5,100,100,5,NA,1,4,7,3,4
