"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"SS09JH",2023-08-18,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"SS09JH",2023-08-18,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"SS09JH",2023-08-18,5,4,3,6,0,2,4,NA,3,1,4,2,3.5
"SS09JH",2023-08-18,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"SS09JH",2023-08-18,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"SS09JH",2023-08-18,4,2,2,5,91,81,6,NA,6,1,6,3,3.75
"SS09JH",2023-08-18,5,5,3,4,100,100,4,NA,7,1,3,4,3.75
"SS09JH",2023-08-19,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"SS09JH",2023-08-19,3,4,3,3,0,0,4,NA,2,2,4,5,3.75
"SS09JH",2023-08-19,5,3,3,3,100,100,3,NA,3,2,5,5,4.5
"SS09JH",2023-08-19,5,3,3,5,100,100,4,NA,4,2,5,3,4
"SS09JH",2023-08-19,5,2,2,4,100,100,5,NA,5,2,6,4,4.25
"SS09JH",2023-08-19,4,4,4,4,77,60,3,NA,6,2,4,4,4
"SS09JH",2023-08-19,4,3,3,5,80,70,5,NA,7,2,5,3,3.75
"SS09JH",2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA
"SS09JH",2023-08-20,2,6,4,3,34,38,4,NA,2,3,2,5,3.25
"SS09JH",2023-08-20,4,3,3,3,100,0,4,NA,3,3,5,5,4.25
"SS09JH",2023-08-20,4,3,3,4,100,7,4,NA,4,3,5,4,4
"SS09JH",2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"SS09JH",2023-08-20,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA
"SS09JH",2023-08-20,3,5,4,3,50,43,4,NA,7,3,3,5,3.75
"SS09JH",2023-08-21,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA
"SS09JH",2023-08-21,3,6,6,3,1,11,4,NA,2,4,2,5,4
"SS09JH",2023-08-21,4,3,3,4,0,10,4,NA,3,4,5,4,4
"SS09JH",2023-08-21,4,4,3,4,5,13,5,NA,4,4,4,4,3.75
"SS09JH",2023-08-21,5,3,5,4,100,82,5,NA,5,4,5,4,4.75
"SS09JH",2023-08-21,4,3,3,4,100,100,5,NA,6,4,5,4,4
"SS09JH",2023-08-21,5,3,3,5,50,54,4,NA,7,4,5,3,4
"SS09JH",2023-08-22,4,3,3,4,0,6,5,NA,1,5,5,4,4
"SS09JH",2023-08-22,3,5,5,3,38,34,3,NA,2,5,3,5,4
"SS09JH",2023-08-22,5,3,3,4,9,13,3,NA,3,5,5,4,4.25
"SS09JH",2023-08-22,6,2,2,6,12,15,3,NA,4,5,6,2,4
"SS09JH",2023-08-22,4,4,3,4,0,10,4,NA,5,5,4,4,3.75
"SS09JH",2023-08-22,4,3,3,4,50,55,4,NA,6,5,5,4,4
"SS09JH",2023-08-22,NA,NA,NA,NA,NA,NA,NA,NA,7,5,NA,NA,NA
"SS09JH",2023-08-23,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
"SS09JH",2023-08-23,4,4,4,4,2,9,4,NA,2,6,4,4,4
"SS09JH",2023-08-23,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA
"SS09JH",2023-08-23,6,3,3,5,85,79,4,NA,4,6,5,3,4.25
"SS09JH",2023-08-23,6,2,2,5,84,71,5,NA,5,6,6,3,4.25
"SS09JH",2023-08-23,6,3,3,6,54,42,6,NA,6,6,5,2,4
"SS09JH",2023-08-23,4,3,3,6,42,43,4,NA,7,6,5,2,3.5
"SS09JH",2023-08-24,6,3,2,5,0,0,4,NA,1,7,5,3,4
"SS09JH",2023-08-24,4,3,3,5,49,18,5,NA,2,7,5,3,3.75
"SS09JH",2023-08-24,5,3,3,5,100,76,5,NA,3,7,5,3,4
"SS09JH",2023-08-24,3,5,3,4,62,44,4,NA,4,7,3,4,3.25
"SS09JH",2023-08-24,3,4,3,4,0,3,4,NA,5,7,4,4,3.5
"SS09JH",2023-08-24,3,5,4,3,0,9,4,NA,6,7,3,5,3.75
"SS09JH",2023-08-24,5,3,3,5,42,35,4,NA,7,7,5,3,4
"SS09JH",2023-08-25,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"SS09JH",2023-08-25,6,3,3,6,0,6,4,NA,2,8,5,2,4
"SS09JH",2023-08-25,4,4,3,3,23,8,4,NA,3,8,4,5,4
"SS09JH",2023-08-25,5,2,2,5,66,40,5,NA,4,8,6,3,4
"SS09JH",2023-08-25,5,3,3,4,100,81,5,NA,5,8,5,4,4.25
"SS09JH",2023-08-25,4,5,3,3,100,100,4,NA,6,8,3,5,3.75
"SS09JH",2023-08-25,3,5,3,3,87,71,5,NA,7,8,3,5,3.5
"SS09JH",2023-08-26,5,2,3,4,0,0,4,NA,1,9,6,4,4.5
"SS09JH",2023-08-26,5,2,2,4,1,5,4,NA,2,9,6,4,4.25
"SS09JH",2023-08-26,5,3,3,5,29,28,5,NA,3,9,5,3,4
"SS09JH",2023-08-26,5,5,3,4,100,95,5,NA,4,9,3,4,3.75
"SS09JH",2023-08-26,NA,NA,NA,NA,NA,NA,NA,NA,5,9,NA,NA,NA
"SS09JH",2023-08-26,6,3,3,5,100,79,5,NA,6,9,5,3,4.25
"SS09JH",2023-08-26,5,2,2,6,100,96,5,NA,7,9,6,2,3.75
"SS09JH",2023-08-27,5,3,3,4,100,0,4,NA,1,10,5,4,4.25
"SS09JH",2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,2,10,NA,NA,NA
"SS09JH",2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,NA,NA
"SS09JH",2023-08-27,6,2,2,7,0,3,5,NA,4,10,6,1,3.75
"SS09JH",2023-08-27,3,5,3,3,0,0,4,NA,5,10,3,5,3.5
"SS09JH",2023-08-27,NA,NA,NA,NA,NA,NA,NA,NA,6,10,NA,NA,NA
"SS09JH",2023-08-27,5,3,3,5,14,16,4,NA,7,10,5,3,4
"SS09JH",2023-08-28,5,3,3,5,0,14,4,NA,1,11,5,3,4
"SS09JH",2023-08-28,5,3,3,4,64,11,4,NA,2,11,5,4,4.25
"SS09JH",2023-08-28,5,2,3,5,25,7,4,NA,3,11,6,3,4.25
"SS09JH",2023-08-28,4,3,3,5,100,37,4,NA,4,11,5,3,3.75
"SS09JH",2023-08-28,5,3,3,6,100,51,4,NA,5,11,5,2,3.75
"SS09JH",2023-08-28,5,3,3,5,48,34,4,NA,6,11,5,3,4
"SS09JH",2023-08-28,4,3,2,4,0,4,4,NA,7,11,5,4,3.75
"SS09JH",2023-08-29,3,5,5,2,0,8,4,NA,1,12,3,6,4.25
"SS09JH",2023-08-29,NA,NA,NA,NA,NA,NA,NA,NA,2,12,NA,NA,NA
"SS09JH",2023-08-29,3,5,5,3,70,23,4,NA,3,12,3,5,4
"SS09JH",2023-08-29,3,5,4,2,70,0,4,NA,4,12,3,6,4
"SS09JH",2023-08-29,4,4,4,5,52,15,4,NA,5,12,4,3,3.75
"SS09JH",2023-08-29,4,5,4,3,0,2,4,NA,6,12,3,5,4
"SS09JH",2023-08-29,NA,NA,NA,NA,NA,NA,NA,NA,7,12,NA,NA,NA
"SS09JH",2023-08-30,4,3,3,4,0,6,4,NA,1,13,5,4,4
"SS09JH",2023-08-30,4,4,4,5,0,21,4,NA,2,13,4,3,3.75
"SS09JH",2023-08-30,4,3,4,4,0,3,4,NA,3,13,5,4,4.25
"SS09JH",2023-08-30,6,3,3,5,6,9,4,NA,4,13,5,3,4.25
"SS09JH",2023-08-30,5,3,3,5,66,46,4,NA,5,13,5,3,4
"SS09JH",2023-08-30,6,2,2,5,100,50,4,NA,6,13,6,3,4.25
"SS09JH",2023-08-30,NA,NA,NA,NA,NA,NA,NA,NA,7,13,NA,NA,NA
"SS09JH",2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA
"SS09JH",2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,2,14,NA,NA,NA
"SS09JH",2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,3,14,NA,NA,NA
"SS09JH",2023-08-31,5,3,3,5,50,19,4,NA,4,14,5,3,4
"SS09JH",2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,5,14,NA,NA,NA
"SS09JH",2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,6,14,NA,NA,NA
"SS09JH",2023-08-31,NA,NA,NA,NA,NA,NA,NA,NA,7,14,NA,NA,NA
"SS09JH",2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,1,15,NA,NA,NA
"SS09JH",2023-09-01,4,5,3,3,6,6,4,NA,2,15,3,5,3.75
"SS09JH",2023-09-01,5,4,3,4,94,15,4,NA,3,15,4,4,4
"SS09JH",2023-09-01,NA,NA,NA,NA,NA,NA,NA,NA,4,15,NA,NA,NA
"SS09JH",2023-09-01,5,3,3,4,0,4,4,NA,5,15,5,4,4.25
"SS09JH",2023-09-01,5,2,2,6,0,6,4,NA,6,15,6,2,3.75
"SS09JH",2023-09-01,6,3,2,5,63,5,4,NA,7,15,5,3,4
"SS09JH",2023-09-02,5,3,3,4,0,5,4,NA,1,16,5,4,4.25
"SS09JH",2023-09-02,4,4,4,4,0,4,4,NA,2,16,4,4,4
"SS09JH",2023-09-02,3,4,3,4,0,3,4,NA,3,16,4,4,3.5
"SS09JH",2023-09-02,4,5,3,4,0,0,4,NA,4,16,3,4,3.5
"SS09JH",2023-09-02,NA,NA,NA,NA,NA,NA,NA,NA,5,16,NA,NA,NA
"SS09JH",2023-09-02,5,4,3,4,0,3,4,NA,6,16,4,4,4
"SS09JH",2023-09-02,2,3,3,3,0,3,4,NA,7,16,5,5,3.75
