"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"TN10PS",2023-07-16,6,1,1,7,75,100,7,NA,1,1,7,1,3.75
"TN10PS",2023-07-16,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"TN10PS",2023-07-16,7,1,1,7,60,70,5,NA,3,1,7,1,4
"TN10PS",2023-07-16,7,1,1,7,25,10,4,NA,4,1,7,1,4
"TN10PS",2023-07-16,7,1,1,7,0,0,4,NA,5,1,7,1,4
"TN10PS",2023-07-16,6,1,1,7,0,0,2,NA,6,1,7,1,3.75
"TN10PS",2023-07-16,7,1,1,7,0,0,3,NA,7,1,7,1,4
"TN10PS",2023-07-17,7,1,1,7,40,35,4,NA,1,2,7,1,4
"TN10PS",2023-07-17,7,1,1,7,40,59,5,NA,2,2,7,1,4
"TN10PS",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
"TN10PS",2023-07-17,7,1,1,7,0,0,4,NA,4,2,7,1,4
"TN10PS",2023-07-17,7,1,1,7,20,10,4,NA,5,2,7,1,4
"TN10PS",2023-07-17,7,1,1,7,0,0,3,NA,6,2,7,1,4
"TN10PS",2023-07-17,7,1,1,7,100,100,7,NA,7,2,7,1,4
"TN10PS",2023-07-18,7,1,1,7,0,20,6,NA,1,3,7,1,4
"TN10PS",2023-07-18,7,1,1,7,0,0,5,NA,2,3,7,1,4
"TN10PS",2023-07-18,7,1,1,7,70,70,6,NA,3,3,7,1,4
"TN10PS",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"TN10PS",2023-07-18,7,1,1,7,0,0,4,NA,5,3,7,1,4
"TN10PS",2023-07-18,7,1,1,7,50,49,7,NA,6,3,7,1,4
"TN10PS",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA
"TN10PS",2023-07-19,7,1,1,7,0,0,4,NA,1,4,7,1,4
"TN10PS",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA
"TN10PS",2023-07-19,7,1,1,7,91,91,7,NA,3,4,7,1,4
"TN10PS",2023-07-19,7,1,1,7,80,71,6,NA,4,4,7,1,4
"TN10PS",2023-07-19,7,1,1,7,60,55,5,NA,5,4,7,1,4
"TN10PS",2023-07-19,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA
"TN10PS",2023-07-19,7,1,1,7,0,20,6,NA,7,4,7,1,4
"TN10PS",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA
"TN10PS",2023-07-20,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"TN10PS",2023-07-20,7,1,1,7,30,25,4,NA,3,5,7,1,4
"TN10PS",2023-07-20,7,1,1,7,79,83,7,NA,4,5,7,1,4
"TN10PS",2023-07-20,7,1,1,7,11,4,4,NA,5,5,7,1,4
"TN10PS",2023-07-20,7,1,1,7,100,100,7,NA,6,5,7,1,4
"TN10PS",2023-07-20,7,1,1,7,100,100,7,NA,7,5,7,1,4
"TN10PS",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
"TN10PS",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,2,6,NA,NA,NA
"TN10PS",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA
"TN10PS",2023-07-21,7,1,1,7,100,100,7,NA,4,6,7,1,4
