"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"UR11KA",2023-08-14,7,1,1,7,20,11,4,NA,1,1,7,1,4
"UR11KA",2023-08-14,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"UR11KA",2023-08-14,7,1,1,7,35,33,7,NA,3,1,7,1,4
"UR11KA",2023-08-14,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"UR11KA",2023-08-14,7,1,1,7,100,100,7,NA,5,1,7,1,4
"UR11KA",2023-08-14,7,1,1,7,100,52,7,NA,6,1,7,1,4
"UR11KA",2023-08-14,7,1,1,7,100,69,7,NA,7,1,7,1,4
"UR11KA",2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"UR11KA",2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"UR11KA",2023-08-15,7,1,1,7,76,73,7,NA,3,2,7,1,4
"UR11KA",2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA
"UR11KA",2023-08-15,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"UR11KA",2023-08-15,7,1,1,7,41,13,4,NA,6,2,7,1,4
"UR11KA",2023-08-15,7,1,1,7,100,75,6,NA,7,2,7,1,4
"UR11KA",2023-08-16,6,1,1,7,23,11,5,NA,1,3,7,1,3.75
"UR11KA",2023-08-16,6,1,1,7,78,13,7,NA,2,3,7,1,3.75
"UR11KA",2023-08-16,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"UR11KA",2023-08-16,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"UR11KA",2023-08-16,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"UR11KA",2023-08-16,6,1,1,6,74,37,5,NA,6,3,7,2,4
"UR11KA",2023-08-16,NA,NA,NA,NA,NA,NA,NA,NA,7,3,NA,NA,NA
