"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"VL08ZK",2023-10-28,7,2,1,7,100,100,7,NA,1,1,6,1,3.75
"VL08ZK",2023-10-28,7,2,1,7,100,100,6,NA,2,1,6,1,3.75
"VL08ZK",2023-10-28,7,1,1,7,100,100,6,NA,3,1,7,1,4
"VL08ZK",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"VL08ZK",2023-10-28,7,1,1,7,100,100,7,NA,5,1,7,1,4
"VL08ZK",2023-10-28,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA
"VL08ZK",2023-10-28,7,1,1,7,100,75,6,NA,7,1,7,1,4
"VL08ZK",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"VL08ZK",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"VL08ZK",2023-10-29,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
"VL08ZK",2023-10-29,7,1,1,7,100,100,7,NA,4,2,7,1,4
"VL08ZK",2023-10-29,7,1,1,7,100,75,6,NA,5,2,7,1,4
"VL08ZK",2023-10-29,7,1,1,7,50,50,3,NA,6,2,7,1,4
"VL08ZK",2023-10-29,6,1,1,7,50,20,3,NA,7,2,7,1,3.75
"VL08ZK",2023-10-30,7,1,1,6,100,25,4,NA,1,3,7,2,4.25
"VL08ZK",2023-10-30,7,1,1,7,100,75,7,NA,2,3,7,1,4
"VL08ZK",2023-10-30,7,1,1,7,100,0,3,NA,3,3,7,1,4
"VL08ZK",2023-10-30,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"VL08ZK",2023-10-30,7,1,1,7,100,100,7,NA,5,3,7,1,4
"VL08ZK",2023-10-30,7,1,1,7,100,100,7,NA,6,3,7,1,4
"VL08ZK",2023-10-30,7,1,1,7,100,100,5,NA,7,3,7,1,4
"VL08ZK",2023-10-31,7,1,1,7,70,85,6,NA,1,4,7,1,4
"VL08ZK",2023-10-31,7,1,1,7,100,100,7,NA,2,4,7,1,4
"VL08ZK",2023-10-31,7,1,1,7,100,100,7,NA,3,4,7,1,4
"VL08ZK",2023-10-31,7,1,1,7,100,50,4,NA,4,4,7,1,4
"VL08ZK",2023-10-31,7,1,1,7,100,100,6,NA,5,4,7,1,4
"VL08ZK",2023-10-31,7,1,1,7,100,100,5,NA,6,4,7,1,4
"VL08ZK",2023-10-31,7,1,1,7,100,100,5,NA,7,4,7,1,4
"VL08ZK",2023-11-01,7,1,1,7,15,15,3,NA,1,5,7,1,4
"VL08ZK",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"VL08ZK",2023-11-01,NA,NA,NA,NA,NA,NA,NA,NA,3,5,NA,NA,NA
"VL08ZK",2023-11-01,7,1,1,7,100,100,7,NA,4,5,7,1,4
"VL08ZK",2023-11-01,7,1,1,7,25,25,5,NA,5,5,7,1,4
"VL08ZK",2023-11-01,7,1,1,7,100,100,6,NA,6,5,7,1,4
"VL08ZK",2023-11-01,7,1,1,7,73,76,5,NA,7,5,7,1,4
"VL08ZK",2023-11-02,7,1,1,6,100,100,2,NA,1,6,7,2,4.25
"VL08ZK",2023-11-02,7,1,1,7,100,100,5,NA,2,6,7,1,4
"VL08ZK",2023-11-02,7,1,1,7,100,100,4,NA,3,6,7,1,4
"VL08ZK",2023-11-02,7,1,1,7,100,25,3,NA,4,6,7,1,4
"VL08ZK",2023-11-02,7,1,1,7,50,50,4,NA,5,6,7,1,4
"VL08ZK",2023-11-02,7,1,1,7,100,100,5,NA,6,6,7,1,4
"VL08ZK",2023-11-02,6,2,1,6,100,100,5,NA,7,6,6,2,3.75
"VL08ZK",2023-11-03,7,1,1,7,75,70,5,NA,1,7,7,1,4
"VL08ZK",2023-11-03,7,1,1,7,100,100,5,NA,2,7,7,1,4
"VL08ZK",2023-11-03,7,1,1,7,100,100,7,NA,3,7,7,1,4
"VL08ZK",2023-11-03,7,1,1,7,100,25,3,NA,4,7,7,1,4
"VL08ZK",2023-11-03,7,1,1,7,100,75,4,NA,5,7,7,1,4
"VL08ZK",2023-11-03,7,1,1,7,100,48,4,NA,6,7,7,1,4
"VL08ZK",2023-11-03,7,1,1,7,100,75,5,NA,7,7,7,1,4
"VL08ZK",2023-11-04,7,1,1,7,100,100,5,NA,1,8,7,1,4
"VL08ZK",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,2,8,NA,NA,NA
"VL08ZK",2023-11-04,NA,NA,NA,NA,NA,NA,NA,NA,3,8,NA,NA,NA
"VL08ZK",2023-11-04,7,1,1,7,52,24,3,NA,4,8,7,1,4
"VL08ZK",2023-11-04,7,1,1,7,100,100,5,NA,5,8,7,1,4
"VL08ZK",2023-11-04,7,1,1,7,100,50,4,NA,6,8,7,1,4
"VL08ZK",2023-11-04,7,1,1,7,100,74,5,NA,7,8,7,1,4
"VL08ZK",2023-11-05,7,2,1,7,0,0,1,NA,1,9,6,1,3.75
"VL08ZK",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA
"VL08ZK",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,3,9,NA,NA,NA
"VL08ZK",2023-11-05,7,1,1,7,100,100,6,NA,4,9,7,1,4
"VL08ZK",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,5,9,NA,NA,NA
"VL08ZK",2023-11-05,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA
"VL08ZK",2023-11-05,7,1,1,7,100,25,3,NA,7,9,7,1,4
"VL08ZK",2023-11-06,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"VL08ZK",2023-11-06,7,1,1,7,100,100,6,NA,2,10,7,1,4
"VL08ZK",2023-11-06,7,1,1,7,100,65,3,NA,3,10,7,1,4
"VL08ZK",2023-11-06,NA,NA,NA,NA,NA,NA,NA,NA,4,10,NA,NA,NA
"VL08ZK",2023-11-06,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA
"VL08ZK",2023-11-06,7,2,1,7,100,100,7,NA,6,10,6,1,3.75
"VL08ZK",2023-11-06,7,1,1,7,100,21,3,NA,7,10,7,1,4
"VL08ZK",2023-11-07,7,1,1,7,100,24,3,NA,1,11,7,1,4
"VL08ZK",2023-11-07,7,1,1,7,100,72,4,NA,2,11,7,1,4
"VL08ZK",2023-11-07,7,1,1,7,100,100,5,NA,3,11,7,1,4
"VL08ZK",2023-11-07,7,1,1,7,100,23,2,NA,4,11,7,1,4
"VL08ZK",2023-11-07,NA,NA,NA,NA,NA,NA,NA,NA,5,11,NA,NA,NA
"VL08ZK",2023-11-07,7,1,1,7,100,100,7,NA,6,11,7,1,4
"VL08ZK",2023-11-07,NA,NA,NA,NA,NA,NA,NA,NA,7,11,NA,NA,NA
"VL08ZK",2023-11-08,7,1,1,7,100,30,3,NA,1,12,7,1,4
"VL08ZK",2023-11-08,7,1,1,7,100,20,3,NA,2,12,7,1,4
"VL08ZK",2023-11-08,7,1,1,7,100,100,7,NA,3,12,7,1,4
"VL08ZK",2023-11-08,7,1,1,7,100,100,6,NA,4,12,7,1,4
"VL08ZK",2023-11-08,7,1,1,7,23,22,2,NA,5,12,7,1,4
"VL08ZK",2023-11-08,7,1,1,7,100,24,3,NA,6,12,7,1,4
"VL08ZK",2023-11-08,7,1,1,7,100,50,3,NA,7,12,7,1,4
"VL08ZK",2023-11-09,7,1,1,7,100,49,3,NA,1,13,7,1,4
"VL08ZK",2023-11-09,7,1,1,7,100,100,7,NA,2,13,7,1,4
"VL08ZK",2023-11-09,7,1,1,7,100,71,5,NA,3,13,7,1,4
"VL08ZK",2023-11-09,7,2,1,7,100,48,4,NA,4,13,6,1,3.75
"VL08ZK",2023-11-09,7,2,1,7,100,100,7,NA,5,13,6,1,3.75
"VL08ZK",2023-11-09,7,2,1,6,100,49,3,NA,6,13,6,2,4
"VL08ZK",2023-11-09,7,2,1,6,100,52,6,NA,7,13,6,2,4
"VL08ZK",2023-11-10,7,2,1,7,100,60,3,NA,1,14,6,1,3.75
"VL08ZK",2023-11-10,7,2,1,7,100,100,7,NA,2,14,6,1,3.75
"VL08ZK",2023-11-10,7,1,1,6,100,100,7,NA,3,14,7,2,4.25
"VL08ZK",2023-11-10,7,2,1,7,100,100,7,NA,4,14,6,1,3.75
"VL08ZK",2023-11-10,7,2,1,7,51,51,4,NA,5,14,6,1,3.75
"VL08ZK",2023-11-10,7,2,1,6,100,49,4,NA,6,14,6,2,4
"VL08ZK",2023-11-10,NA,NA,NA,NA,NA,NA,NA,NA,7,14,NA,NA,NA
