"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"YO06RL",2023-07-17,5,2,1,6,0,0,4,NA,1,1,6,2,3.5
"YO06RL",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"YO06RL",2023-07-17,6,2,1,5,50,30,7,NA,3,1,6,3,4
"YO06RL",2023-07-17,7,2,1,6,19,15,7,NA,4,1,6,2,4
"YO06RL",2023-07-17,5,2,1,5,20,0,4,NA,5,1,6,3,3.75
"YO06RL",2023-07-17,6,2,1,6,30,14,4,NA,6,1,6,2,3.75
"YO06RL",2023-07-17,6,2,1,6,30,0,4,NA,7,1,6,2,3.75
"YO06RL",2023-07-18,6,1,1,6,0,0,4,NA,1,2,7,2,4
"YO06RL",2023-07-18,6,2,1,6,0,0,4,NA,2,2,6,2,3.75
"YO06RL",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA
"YO06RL",2023-07-18,6,2,1,6,20,5,4,NA,4,2,6,2,3.75
"YO06RL",2023-07-18,6,1,1,7,0,0,4,NA,5,2,7,1,3.75
"YO06RL",2023-07-18,6,2,2,6,25,5,5,NA,6,2,6,2,4
"YO06RL",2023-07-18,6,2,1,6,30,6,4,NA,7,2,6,2,3.75
"YO06RL",2023-07-19,6,2,1,6,0,0,4,NA,1,3,6,2,3.75
"YO06RL",2023-07-19,6,2,1,6,0,0,4,NA,2,3,6,2,3.75
"YO06RL",2023-07-19,6,2,2,6,70,5,4,NA,3,3,6,2,4
"YO06RL",2023-07-19,6,2,2,6,0,0,4,NA,4,3,6,2,4
"YO06RL",2023-07-19,6,2,2,6,50,10,5,NA,5,3,6,2,4
"YO06RL",2023-07-19,6,2,2,6,70,20,5,NA,6,3,6,2,4
"YO06RL",2023-07-19,6,2,1,6,100,70,6,NA,7,3,6,2,3.75
"YO06RL",2023-07-20,6,2,2,6,0,0,4,NA,1,4,6,2,4
"YO06RL",2023-07-20,6,2,2,6,100,70,5,NA,2,4,6,2,4
"YO06RL",2023-07-20,6,2,1,6,50,25,5,NA,3,4,6,2,3.75
"YO06RL",2023-07-20,5,2,2,5,0,0,4,NA,4,4,6,3,4
"YO06RL",2023-07-20,5,2,1,5,50,20,5,NA,5,4,6,3,3.75
"YO06RL",2023-07-20,5,2,1,5,49,15,4,NA,6,4,6,3,3.75
"YO06RL",2023-07-20,5,2,2,5,30,10,4,NA,7,4,6,3,4
"YO06RL",2023-07-21,5,2,1,5,0,0,4,NA,1,5,6,3,3.75
"YO06RL",2023-07-21,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA
"YO06RL",2023-07-21,6,2,1,6,20,20,5,NA,3,5,6,2,3.75
"YO06RL",2023-07-21,6,2,1,6,20,10,6,NA,4,5,6,2,3.75
"YO06RL",2023-07-21,6,2,1,6,50,10,5,NA,5,5,6,2,3.75
"YO06RL",2023-07-21,5,2,1,5,30,10,4,NA,6,5,6,3,3.75
"YO06RL",2023-07-21,6,1,1,6,100,100,5,NA,7,5,7,2,4
"YO06RL",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA
"YO06RL",2023-07-22,6,2,1,6,100,0,4,NA,2,6,6,2,3.75
"YO06RL",2023-07-22,6,1,1,6,70,50,6,NA,3,6,7,2,4
"YO06RL",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,4,6,NA,NA,NA
"YO06RL",2023-07-22,7,1,1,7,51,50,7,NA,5,6,7,1,4
"YO06RL",2023-07-22,NA,NA,NA,NA,NA,NA,NA,NA,6,6,NA,NA,NA
"YO06RL",2023-07-22,6,2,2,6,75,60,7,NA,7,6,6,2,4
"YO06RL",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA
"YO06RL",2023-07-23,6,1,1,6,0,25,6,NA,2,7,7,2,4
"YO06RL",2023-07-23,7,1,1,7,0,0,4,NA,3,7,7,1,4
"YO06RL",2023-07-23,6,1,1,6,75,20,5,NA,4,7,7,2,4
"YO06RL",2023-07-23,6,1,1,6,50,15,5,NA,5,7,7,2,4
"YO06RL",2023-07-23,6,2,2,5,0,0,4,NA,6,7,6,3,4.25
"YO06RL",2023-07-23,5,2,2,5,75,50,6,NA,7,7,6,3,4
"YO06RL",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,1,8,NA,NA,NA
"YO06RL",2023-07-24,6,1,1,6,0,0,4,NA,2,8,7,2,4
"YO06RL",2023-07-24,5,1,1,5,25,0,4,NA,3,8,7,3,4
"YO06RL",2023-07-24,6,1,1,6,100,75,6,NA,4,8,7,2,4
"YO06RL",2023-07-24,6,1,1,6,50,30,6,NA,5,8,7,2,4
"YO06RL",2023-07-24,5,2,2,5,30,25,6,NA,6,8,6,3,4
"YO06RL",2023-07-24,5,3,2,4,10,10,6,NA,7,8,5,4,4
"YO06RL",2023-07-25,6,2,2,6,0,0,4,NA,1,9,6,2,4
"YO06RL",2023-07-25,5,2,2,5,30,10,5,NA,2,9,6,3,4
"YO06RL",2023-07-25,4,2,2,4,25,15,5,NA,3,9,6,4,4
"YO06RL",2023-07-25,5,2,2,5,90,30,5,NA,4,9,6,3,4
"YO06RL",2023-07-25,5,2,2,5,0,0,4,NA,5,9,6,3,4
"YO06RL",2023-07-25,5,2,2,5,0,0,4,NA,6,9,6,3,4
"YO06RL",2023-07-25,5,2,2,5,0,0,4,NA,7,9,6,3,4
"YO06RL",2023-07-26,6,2,1,6,0,0,4,NA,1,10,6,2,3.75
"YO06RL",2023-07-26,6,1,1,6,0,15,5,NA,2,10,7,2,4
"YO06RL",2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,NA,NA
"YO06RL",2023-07-26,5,2,2,5,10,0,4,NA,4,10,6,3,4
