"id","date","rsesema_1","rsesema_2","rsesema_3","rsesema_4","socialSituations","socialInteractions","exclusion","rsesema_total","beepCounter","dayCounter","rsesema_2r","rsesema_4r","rses_total"
"AD02OH",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"AD02OH",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"AD02OH",2023-07-24,4,5,5,3,69,10,5,NA,3,1,3,5,4.25
"AD02OH",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"AD02OH",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA
"AD02OH",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA
"AD02OH",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA
"AD02OH",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA
"AD02OH",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA
"AD02OH",2023-07-25,5,3,6,4,89,36,2,NA,3,2,5,4,5
"AD02OH",2023-07-25,6,3,3,5,85,66,3,NA,4,2,5,3,4.25
"AD02OH",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA
"AD02OH",2023-07-25,6,3,5,3,75,32,6,NA,6,2,5,5,5.25
"AD02OH",2023-07-25,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA
"AD06KA",2023-07-15,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"AD06KA",2023-07-15,2,6,4,2,78,85,7,NA,2,1,2,6,3.5
"AD06KA",2023-07-15,2,4,6,1,84,100,7,NA,3,1,4,7,4.75
"AD06KA",2023-07-15,2,6,5,2,86,90,7,NA,4,1,2,6,3.75
"AD06KA",2023-07-15,2,5,4,2,80,89,7,NA,5,1,3,6,3.75
"AD06KA",2023-07-15,2,1,2,1,90,90,7,NA,6,1,7,7,4.5
"AD06KA",2023-07-15,2,6,6,2,82,83,7,NA,7,1,2,6,4
"AD06KA",2023-07-16,3,3,3,4,83,84,7,NA,1,2,5,4,3.75
"AD06KA",2023-07-16,3,3,4,2,87,89,7,NA,2,2,5,6,4.5
"AD06KA",2023-07-16,3,2,3,3,90,91,7,NA,3,2,6,5,4.25
"AD06KA",2023-07-16,3,3,3,2,18,21,6,NA,4,2,5,6,4.25
"AD06KA",2023-07-16,2,3,3,2,70,25,7,NA,5,2,5,6,4
"AD06KA",2023-07-16,2,3,2,3,84,87,5,NA,6,2,5,5,3.5
"AD06KA",2023-07-16,2,2,2,2,4,4,4,NA,7,2,6,6,4
"AD06KA",2023-07-17,5,4,5,2,9,11,3,NA,1,3,4,6,5
"AD06KA",2023-07-17,3,3,4,3,8,14,3,NA,2,3,5,5,4.25
"AD06KA",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA
"AD06KA",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA
"AD06KA",2023-07-17,NA,NA,NA,NA,NA,NA,NA,NA,5,3,NA,NA,NA
"AD06KA",2023-07-17,4,4,4,5,13,9,4,NA,6,3,4,3,3.75
"AD06KA",2023-07-17,2,3,3,3,3,92,4,NA,7,3,5,5,3.75
"AD06KA",2023-07-18,5,3,5,4,4,1,4,NA,1,4,5,4,4.75
"AD06KA",2023-07-18,4,4,4,4,6,7,4,NA,2,4,4,4,4
"AD06KA",2023-07-18,2,6,4,4,14,7,4,NA,3,4,2,4,3
"AD06KA",2023-07-18,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,NA,NA
"AD06KA",2023-07-18,1,7,7,1,2,3,1,NA,5,4,1,7,4
"AD06KA",2023-07-18,1,7,6,1,4,4,4,NA,6,4,1,7,3.75
"AD06KA",2023-07-18,1,7,7,1,0,0,1,NA,7,4,1,7,4
"AD06KA",2023-07-19,2,7,7,1,10,7,1,NA,1,5,1,7,4.25
"AD06KA",2023-07-19,1,7,7,1,5,18,4,NA,2,5,1,7,4
"AD06KA",2023-07-19,1,7,7,1,2,0,1,NA,3,5,1,7,4
"AD06KA",2023-07-19,2,6,6,2,12,13,4,NA,4,5,2,6,4
"AD06KA",2023-07-19,2,6,5,2,16,17,5,NA,5,5,2,6,3.75
"AD06KA",2023-07-19,2,6,6,2,17,18,4,NA,6,5,2,6,4
"AD06KA",2023-07-19,3,1,7,7,90,87,4,NA,7,5,7,1,4.5
"AD06KA",2023-07-20,4,5,5,2,0,0,4,NA,1,6,3,6,4.5
"AD06KA",2023-07-20,2,6,6,2,19,9,4,NA,2,6,2,6,4
"AD06KA",2023-07-20,3,6,5,3,20,23,7,NA,3,6,2,5,3.75
"AD06KA",2023-07-20,2,6,6,2,28,17,4,NA,4,6,2,6,4
"AD06KA",2023-07-20,2,6,6,2,27,21,7,NA,5,6,2,6,4
"AD06KA",2023-07-20,2,6,6,2,13,5,4,NA,6,6,2,6,4
"AD06KA",2023-07-20,2,6,6,3,29,26,5,NA,7,6,2,5,3.75
"AD06KA",2023-07-21,4,4,4,4,3,4,7,NA,1,7,4,4,4
"AD06KA",2023-07-21,4,5,5,3,27,29,7,NA,2,7,3,5,4.25
"AD06KA",2023-07-21,4,4,5,3,25,25,4,NA,3,7,4,5,4.5
"AD06KA",2023-07-21,5,3,3,5,89,77,7,NA,4,7,5,3,4
"AD06KA",2023-07-21,3,5,4,3,21,22,7,NA,5,7,3,5,3.75
"AD06KA",2023-07-21,3,3,5,3,82,86,7,NA,6,7,5,5,4.5
"AD06KA",2023-07-21,3,5,5,3,87,87,7,NA,7,7,3,5,4
"AD06KA",2023-07-22,6,2,2,6,69,72,7,NA,1,8,6,2,4
"AD06KA",2023-07-22,5,3,2,5,90,88,7,NA,2,8,5,3,3.75
"AD06KA",2023-07-22,5,5,3,3,17,23,7,NA,3,8,3,5,4
"AD06KA",2023-07-22,5,3,5,4,100,100,7,NA,4,8,5,4,4.75
"AD06KA",2023-07-22,5,3,3,5,100,100,7,NA,5,8,5,3,4
"AD06KA",2023-07-22,4,3,5,4,100,100,7,NA,6,8,5,4,4.5
"AD06KA",2023-07-22,5,3,3,4,0,0,4,NA,7,8,5,4,4.25
"AD06KA",2023-07-23,5,3,3,5,1,0,7,NA,1,9,5,3,4
"AD06KA",2023-07-23,NA,NA,NA,NA,NA,NA,NA,NA,2,9,NA,NA,NA
"AD06KA",2023-07-23,5,3,3,5,100,99,4,NA,3,9,5,3,4
"AD06KA",2023-07-23,5,3,3,4,100,100,7,NA,4,9,5,4,4.25
"AD06KA",2023-07-23,5,3,4,5,100,100,7,NA,5,9,5,3,4.25
"AD06KA",2023-07-23,5,3,3,4,20,20,4,NA,6,9,5,4,4.25
"AD06KA",2023-07-23,5,3,4,3,0,0,1,NA,7,9,5,5,4.75
"AD06KA",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,1,10,NA,NA,NA
"AD06KA",2023-07-24,6,2,1,6,100,100,7,NA,2,10,6,2,3.75
"AD06KA",2023-07-24,NA,NA,NA,NA,NA,NA,NA,NA,3,10,NA,NA,NA
"AD06KA",2023-07-24,6,2,2,6,100,100,7,NA,4,10,6,2,4
"AD06KA",2023-07-24,6,3,3,5,100,100,7,NA,5,10,5,3,4.25
"AD06KA",2023-07-24,4,4,4,5,100,100,7,NA,6,10,4,3,3.75
"AD06KA",2023-07-24,5,2,3,5,56,56,6,NA,7,10,6,3,4.25
"AD06KA",2023-07-25,3,5,5,2,100,100,7,NA,1,11,3,6,4.25
"AD06KA",2023-07-25,3,5,5,3,100,100,7,NA,2,11,3,5,4
"AD06KA",2023-07-25,2,3,6,6,100,100,7,NA,3,11,5,2,3.75
"AD06KA",2023-07-25,3,5,4,6,100,100,7,NA,4,11,3,2,3
"AD06KA",2023-07-25,4,3,3,4,100,100,7,NA,5,11,5,4,4
"AD06KA",2023-07-25,5,3,3,5,100,100,7,NA,6,11,5,3,4
"AD06KA",2023-07-25,3,5,4,3,28,29,7,NA,7,11,3,5,3.75
"AD06KA",2023-07-26,6,3,5,3,100,100,7,NA,1,12,5,5,5.25
"AD06KA",2023-07-26,4,2,2,5,100,100,7,NA,2,12,6,3,3.75
"AD06KA",2023-07-26,NA,NA,NA,NA,NA,NA,NA,NA,3,12,NA,NA,NA
"AD06KA",2023-07-26,5,3,3,5,100,100,7,NA,4,12,5,3,4
"AD06KA",2023-07-26,5,3,3,4,100,100,7,NA,5,12,5,4,4.25
"AD06KA",2023-07-26,5,3,3,4,29,25,5,NA,6,12,5,4,4.25
"AD06KA",2023-07-26,5,3,3,4,0,0,4,NA,7,12,5,4,4.25
"AD06KA",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,1,13,NA,NA,NA
"AD06KA",2023-07-27,3,3,3,5,100,100,7,NA,2,13,5,3,3.5
"AD06KA",2023-07-27,NA,NA,NA,NA,NA,NA,NA,NA,3,13,NA,NA,NA
"AD06KA",2023-07-27,3,4,4,3,100,100,7,NA,4,13,4,5,4
"AD06KA",2023-07-27,5,4,4,4,100,100,7,NA,5,13,4,4,4.25
"AD06KA",2023-07-27,5,3,3,3,100,100,7,NA,6,13,5,5,4.5
"AD06KA",2023-07-27,5,5,5,2,1,0,7,NA,7,13,3,6,4.75
"AD06KA",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,1,14,NA,NA,NA
"AD06KA",2023-07-28,3,4,3,5,100,100,7,NA,2,14,4,3,3.25
"AD06KA",2023-07-28,NA,NA,NA,NA,NA,NA,NA,NA,3,14,NA,NA,NA
