"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","AD12HU","2023-11-07",1,1,2,"Ich bin durch einen Wald gerannt. Ob ich wovor weggerannt bin, weiß ich nicht. Ich bin zu einem Haus gerannt. Zischen durch gab es Passagen in denen ich tief gefallen bin, plötzlich wieder Waldboden da war und ich weiter laufen konnte. Ich glaube ich wollte zu dem Haus, weil dort meine Freunde und Familie waren. ",1699376220,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,13.75,4,1,NA,"2023-11-06",5.6,6.4,1.2,1.8,80.2,48,6.2,3.75,0.547722557505166,0.547722557505166,0.447213595499958,0.447213595499958,34.2081861547788,25.4558441227157,0.836660026534076,0.176776695296637,0.714285714285714,0,NA,0,0,0,NA,0,NA
"2","AD12HU","2023-11-08",2,-77,-77,"-66",1699478280,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-07",5.5,5.5,2.33333333333333,2.33333333333333,57.8333333333333,41,5.16666666666667,3.91666666666667,0.836660026534076,0.547722557505166,0.816496580927726,0.516397779494322,48.0766748711542,38.9461166228419,0.752772652709081,0.204124145231932,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"3","AD12HU","2023-11-09",1,1,2,"Ich wache an einem unbekannten Ort auf, der Weser bedrohlich noch neutral erscheint und bin dort ziemlich alleine. Nach kurzer Zeit realisiere ich, dass der Raum leer ist, und versuche diesen zu verlassen, weil ich mich unwohl fühle. Gleichzeitig höre ich dauerhaft ein Ticken, wie ich Metronom. Dieses Ticken stresst mich, bis ich anfangen etwas zu diesem Ticken zu komponieren und so diese Musik singe. Das entspannt mich in ermöglicht es mir mich in dem Raum wohl zu fühlen. Ziemlich schnell komme ich in den nächsten Raum, in dem erneut ein anderes Ticken auftaucht und plötzlich gruselige Dinge auf mich zu laufen. Ich fange an zu komponieren und die Situation entspannt sich. Diese Situation wiederholt sich mehrfach. ",1699563780,3,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,14.625,4,2,NA,"2023-11-08",6.14285714285714,6.14285714285714,1.85714285714286,2.14285714285714,92.8571428571429,61.7142857142857,5.71428571428571,4.07142857142857,0.377964473009227,0.690065559342354,0.690065559342354,0.377964473009227,12.1987509118567,28.9753589895178,0.487950036474267,0.313391585264004,1,0,NA,0,0,0,NA,0,NA
"4","AD12HU","2023-11-10",1,2,5,"Ich war in meinem Traum mit meiner Familie Ski fahren und wir hatten sehr viel Spaß. Im Grunde ist weiter nichts passiert. Ich habe mir zwischen durch über verschiedene Dinge (Studium, Hobbys, Arbeit, Musik) Gedanken gemacht und habe während der Abfahrten Musik gehört (meist waren es Arien einer Oper). ",1699652220,4,1,1,3,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,49,16.3333333333333,3,1,1,"2023-11-09",6,6.28571428571429,2.71428571428571,2,93.1428571428571,86.2857142857143,6.28571428571429,4.25,0,0.487950036474267,1.49602648308619,0,18.1422947044429,20.0392472057068,0.487950036474267,0.353553390593274,1,0.333333333333333,1,0.333333333333333,0.0115894039735099,0,0,0,1
"5","AD12HU","2023-11-11",1,2,3,"Ich kann mich nicht mehr an besonders viel erinnern. wir befanden uns an einem Zaun, vermutlich ein Grenzzaun. Ich wollte hinter diesen Zaun und dort war eine Armee. Diese Armee bestand aus Bibern, die eine Uniform trugen. Diese Biber patrouillierten entlang dieses Zaunes und ich sah zu. Dann schnitten wir durch dieses Zaungitter ein loch und krabbelten hindurch. Im Anschluss rannten die Biber zu uns und ich wachte auf. ",1699718580,5,1,1,7,3,3,3,0,0,0,0,0,3,0,0,0,0,3,0,0,3,70,10,7,1,1,"2023-11-10",6,5.83333333333333,2.16666666666667,2,69,49.5,6.16666666666667,4,0,0.752772652709081,0.752772652709081,0,38.9974358131403,41.4137658273188,0.408248290463863,0,0.857142857142857,0.428571428571429,1,0.428571428571429,0.0606060606060606,0,0,0,1
"6","AD12HU","2023-11-12",1,1,1,"Ich bin aufgewacht und habe bemerkt, dass ich zu der Uni Klausur, zu der ich musste zu spät war. Ab diesem Moment habe ich zwanghaft gegrübelt wie ich argumentieren könnte, sodass doch noch alles in Ordnung ist. Ich habe mich sehr schlecht gefühlt. Daraufhin befand ich mich plötzlich auf einer Autobahn mit meiner Mutter, die Vorschlug, dass ich doch erstmal hinfahren solle, um teilzunehmen. Im Anschluss sah ich auf mein Handy, das mir eine vollkommen falsche Route anzeigte. Ich glaube ich war in Schleswig-Holstein. Dann tippte ich etwas ein, sodass dort die richtige Route zu sehen war. In dem Moment fiel mir auf, dass ich dauerhaft ein unglaublich nervtötendes Geräusch hörte. Das war mein Wecker und ich wachte auf. ",1699801020,6,1,3,7,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,119,17,2.33333333333333,3,1,"2023-11-11",6,6,2,2,93.6,92,6,4,0,0,0,0,6.94982014155762,12.0623380818148,0,0,0.714285714285714,0.142857142857143,1,0.142857142857143,0,0,1,0.142857142857143,0.333333333333333
"7","AD12HU","2023-11-13",1,1,1,"Ich war mit verschiedenen Personen meiner Familie sowie meiner besten Freundin und ihrer Mutter im Urlaub in einem Ferienhaus am See. Wir verbrachten durch viel zeit miteinander, indem wir Karten spielten, schwammen und wanderten. Bei einer Wanderung regnet es extrem, sodass die Steinige Strecke sehr rutschig wurde und die Mutter meiner besten Freundin fiel. Auf der linken Seite ging es sehr steil hinab, sodass sie dort hinunter rutschte und mit dem Kopf auf einen Felsen aufschlug (etwa 5 Meter von uns weg) Sie blieb so liegen, dass ich ihr Gesicht und insbesondere ihre Augen sehen konnte (ihre Haarfarbe war in diesem Moment eine andere als in echt und auch ihr Gesicht sah ganz anders aus, als in echt; ob das schon die ganze Zeit so war weiß ich nicht). Ihre Augen waren offen und sahen nicht aus wie die von jemandem der eben verstorben war (irgendwie war mir in diesem Moment direkt klar, dass sie tot sein muss), sondern eher wie die einer Person, die schon sehr lange tot ist. Ich sah einige Zeit nur ihre Augen. Im Anschluss fiel auf, dass nirgendwo Blut war, das hätte da sein müssen. Ich hatte ein unglaublich negatives Gefühl. Wir versuchten Hilfe zu hole, was letztlich irgendwie nicht gelang und ich weiß noch, dass sich die Person aufrichtete. Die Überzeugung sie sei tot und das Bild der Augen blieben. Anschließend gingen wir - alle in der Überzeugung des Todes - Einfach weg und versuchten immer wieder mal die Polizei oder jemand anderen anzurufen. Für die anderen und irgendwann schien das ganze Ereignis plötzlich nebensächlich zu sein. Dann haben wir im Haus an und verbrachten den Abend. Plötzlich fragte ich mich wieso wir die Tote einfach im Wald gelassen haben und war sehr verwirrt. In dem Moment erreichte ich den Rettungsdienst und wachte auf. ",1699896600,7,1,4,14,12,8,7,0,1,4,0,0,1,0,0,0,0,1,4,0,1,300,21.4285714285714,3.5,4,4,"2023-11-12",6,6,2,2,48.2,58.6,6,4,0,0,0,0,42.1449878395996,48.0863806082346,0,0,0.714285714285714,0.857142857142857,0.666666666666667,0.571428571428571,0.119453924914676,0,0.0833333333333333,0.0714285714285714,1
"8","AD12HU","2023-11-14",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-13",6,6,2,2,83.3333333333333,75.6666666666667,6.33333333333333,4,0,0,0,0,28.0059517483933,40.4268887416943,0.577350269189626,0,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"9","AD12HU","2023-11-15",2,-77,-77,"-66",1700080200,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-14",6,6,2,2,53.6,61,6.4,4,0,0,0,0,43.1022041199751,42.0356991139674,0.547722557505166,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"10","AD12HU","2023-11-16",1,2,4,"Ich ging aus unserem Haus heraus und lieg zwei Häuser weiter. Das Haus, war außerordentlich negativ für mich und ich hatte Angst, weil ich wusste, dass dort eine böse Hexe wohnt. Trotzdem ging ich hinein und fühlte mich wie in einer realen Geisterbahn. Ich ging durch den Flur in die verschiedenen Räume Hauses und fühlte mich unwohl. Im Anschluss verließ ich das Haus wieder und ging alleine Spazieren, obwohl ich mich dauerhaft von der Hexe verfolgt fühlte und nachhause wollte ",1700152740,10,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,13.3333333333333,6,1,NA,"2023-11-15",6,6,2,2,74.1666666666667,51,6.16666666666667,4,0,0,0,0,41.0678300701007,43.6348484585429,0.408248290463863,0,0.857142857142857,0,NA,0,0,0,NA,0,NA
