"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","AE03TO","2023-08-20",2,-77,-77,"-66",1692518160,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-19",6,6,1,1.75,52.5,52.5,5.5,3.6875,0,0,0,0.5,34.0342964277702,29.8607881119482,0.577350269189626,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"2","AE03TO","2023-08-21",1,2,3,"In meinem Traum war ich bei einer größeren Veranstaltung in einer Halle, einer Art Turnhalle. Der Ort war mir aber unbekannt. Es waren viele Bekannte, also Freunde von der Familie, und auch Freunde von mir da. Ich musste weiter weg parken und ein gutes Stück dorthin laufen. Dort gab es leckeres Essen und Trinken. Man hat es sich auf dem Boden auf Matten gemütlich gemacht und zusammen gesessen. Bis dahin war die Stimmung sehr gut. Ich habe mich darüber gefreut mit den ganzen Leuten ein Fest zu veranstalten und auch die anderen hatten viel Spaß. Dann gab es allerdings einen Unruhestifter, der Leute von dem Fest angreifen und sogar teilweise umbringen wollte. Ich habe es mir dann zur Aufgabe gemacht diese Person zu finden. Freunde von mir haben mitgeholfen. Es herrschte eine recht angespannte Stimmung. Ich weiß nicht, ob wir es geschafft haben diese Person zu kriegen oder nicht, da fehlt leider ein Stück in meiner Erinnerung. Auf jeden Fall wurde die Stimmung im weiteren Verlauf des Abends wieder entspannter und ich habe meinen besten Freund draußen abgeholt, der zum Fest nachgekommen ist. Als ich mit ihm in die Halle rein kam, wurde es auf einmal ganz still und viele Leute haben uns komisch angeschaut. Das war sehr unangenehm. Ich habe mich dann mit ihm auf eine Matte gesetzt, ihm noch angeboten sich etwas gemütlicheres anzuziehen und dann haben wir gequatscht. Das Drama mit dem Unruhestifter wurde da gar nicht mehr erwähnt und schien vergessen.",1692599520,2,1,3,10,7,6,3,2,5,3,0,2,2,0,0,1,2,0,3,3,4,247,24.7,3.33333333333333,3,3,"2023-08-20",6.16666666666667,6.66666666666667,1.33333333333333,1.83333333333333,77.5,70.8333333333333,6.66666666666667,4,0.408248290463863,0.516397779494322,0.516397779494322,0.408248290463863,23.6114379062352,28.0029760323196,0.516397779494322,0,0.857142857142857,0.7,0.857142857142857,0.6,0.0423529411764706,0.2,0.714285714285714,0.5,1
"3","AE03TO","2023-08-22",1,2,4,"Ich habe eine Wohnung gesucht und eine Zusage für eine Wohnungsbesichtigung bekommen. Ich bin dann mit meinen Eltern zu einer netten Dame Mitte 30 gegangen, der die Wohnung gehörte. Sie wohnte fußläufig von der Wohnung meiner Eltern entfernt, die Gegend war mir bekannt. Ich war natürlich ein wenig nervös, es war meine erste Besichtigung überhaupt. Wir kamen dann dort an, haben geschellt und sind dann durch das Treppenhaus hoch zu der Frau gegangen. Dort war dann genau ein Zimmer, aber wie ich fand mega schön eingerichtet mit vielen Pflanzen. Wir haben dann Platz genommen und erstmal was zu Trinken von der Frau bekommen. Das war irgendein besonderes Getränk und sehr lecker. Dann haben wir über die Wohnung gesprochen, zu deren Besichtigung ich ja da war. Allerdings sind wir gar nicht in die Wohnung gegangen, ich habe sie kein einziges Mal gesehen. Vielmehr war das erstmal nur ein Kennlerngespräch, was ich alles etwas komisch fand. Aber die Frau meinte, dass sie das immer so handhaben würde, da es lukrativer sei. An sich war das Gespräch aber sehr gut. Nach dem Gespräch bin ich dann in demselben Haus mit meiner Mutter weiter hoch gegangen. Da gab es Physiotherapie, aber keine richtige Praxis, sondern nur eine Turnhalle. Meine Mutter hatte Physiotherapie zusammen mit einem kleinen Jungen und haben an dem Tag was Neues ausprobiert. Ich bin dann wieder gegangen und habe meiner besten Freundin von der ganzen Sache erzählt. ",1692680220,3,1,4,11,8,8,7,2,3,6,0,3,0,3,0,0,0,0,9,3,0,240,21.8181818181818,2.75,4,3,"2023-08-21",6.16666666666667,6.33333333333333,1.66666666666667,1.83333333333333,21.6666666666667,8.33333333333333,4.66666666666667,4,0.408248290463863,0.516397779494322,0.516397779494322,0.408248290463863,13.2916013582513,9.83192080250175,0.516397779494322,0,0.857142857142857,0.727272727272727,1,0.727272727272727,0.84,0.181818181818182,0.375,0.272727272727273,0.75
"4","AE03TO","2023-08-23",1,2,4,"1. Traum: Ich wollte mit ein paar Leuten auf ein Konzert gehen. Ich habe mich dann mit einigen meiner guten Freunde schon vorher getroffen, insgesamt waren wir zu viert, unter anderem war meine beste Freundin mit dabei. Wir wollten noch zusammen in die Innenstadt gehen, um etwas einkaufen zu gehen. Die Gegend kam mir bekannt vor. Der Einkaufsladen war recht ausgefallen, sie hatten viele Sachen da. Eine Freundin von mir hat sich dort heimlich ein Stück von einer riesigen, also wirklich gigantischen, Thunfisch Sushi Rolle abgeschnitten und im Laden ohne zu bezahlen gegessen. Ich habe einen winzigen Salzstreuer, wo auch Salz drin war, in meine Seitentasche gepackt und wollte den mitgehen lassen. An der Kasse wurde ich dann allerdings aufgehalten. Man musste durch Check-Ups, die nach Diebesgut gescannt haben. Obwohl ich das wusste, dachte ich, dass der Salzstreuer nicht auffällt. Daraufhin kam ein Sicherheitsmann, der das abgecheckt hat und den Salzstreuer gefunden hat. Ich habe mich versucht zu erklären, der Mann ist dann auch ein bisschen weicher geworden. Der Mann hat mich dann an ein Präventionstraining überschrieben. Ich sollte ein paar Wochen später an einem Vortrag teilnehmen, habe aber extra von ihm den Vortrag bei einem guten Mann bekommen. Das ganze war mir natürlich sehr peinlich und unangenehm, ich habe mich auch gefragt, warum ich das überhaupt gemacht habe. Ich habe das alles nicht ganz verstanden. Meine Freunde haben auf mich gewartet und hinterher gut zugeredet. Bei ihnen habe ich mich dann über den 5-stündigen Vortrag beschwert. Dann haben wir darüber gesprochen, dass wir als Gruppe auf dem Konzert unbedingt zusammen bleiben müssen und waren in freudiger Erwartung.    Traum 2: Ich dachte meine Mutter, die eigentlich zur Kur weg war, hätte diese vorzeitig abgebrochen, weil sie auf einmal unerwartet Zuhause war. Sie meinte dann nur, dass ich ja so lecker gekocht hätte und sie das unbedingt essen müsste. Das fand ich alles sehr komisch und habe nicht verstanden, warum sie da jetzt saß. Ich meinte dann auch zu ihr, dass sie ihre Kur ja nicht einfach abbrechen könnte und sie das durchziehen muss, damit ihr geholfen wird.  Ich habe mich etwas aufgeregt deswegen, aus Sorge. Es hat sich dann aber herausgestellt, dass sie die Kur gar nicht abgebrochen hat, sondern einfach raus gehen durfte. In dem Moment kam dann auch noch eine Zimmernachbarin von ihr zu uns in die Wohnung. Dann kam auf einmal eine ganze Truppe von den Kurleuten. Die haben darüber diskutiert, dass man gerade ja Fasten und man 2 Mahlzeiten am Tag auslassen müsste. Meine Mutter meinte, dass das nicht gehen und sie das nicht schaffen würde. Für sie wurde dann eine Ausnahme gemacht. Das wars dann und meine Mutter hat die Kur wieder fortgesetzt.    Traum 3: Es ging um eine Art Wettkampf, an dem viele Leute in meinem Alter dran teilgenommen haben. Wir wurden in verschiedene Gruppen eingeteilt und sollten Wettbewerbe machen, die auf Zeit gingen, also als Team. Bei einem Wettbewerb musste man sehr steile Wege hoch, aber so Wege wie ein Turnhallenboden. DIe Wege waren wie ein S, also wie Serpentinen, geformt. Man musste auf dem Bauch hoch, sonst wäre man die Steigung nicht hoch gekommen. Das war richtig anstrengend. Dann kam man an dem einen Ende an und musste dann um die Kurve, weiter hoch. Zwischendurch gab es so Blöcke als Hilfe, an denen man sich hochziehen konnte. Da hat man manchmal auf einmal voll viel Schwung bekommen, sodass man fast schon hochgeflogen ist. Ganz am Ende ist man an so Seilen angekommen, an die man sich dann gehängt hat. Ich war sehr zielstrebig und aufgeben kam auch nicht in Frage. Eine weitere Aufgabe bestand darin eine Teetasse auf einem Unterteller möglichst schnell die Treppen runter zu bringen, ohne das sie runterfällt oder was überschwappt. Mein Team hat das ganze recht gut gemeistert. Der gesamte Wettberwerb war von der Telekom organisiert, als Preis gab es freie Datennutzung. Dazu meinte ich noch, dass ich das gar nicht nötig hätte. Wir haben dann auch gewonnen und zusätzlich eine Ski-Fahrt gewonnen. Allerdings war das eine Nackt-Ski-Fahrt, womit meine Gruppe und auch ich kein Problem mit hatte.",1692792660,4,3,11,33,20,16,11,6,11,10,5,0,5,4,1,0,5,0,14,6,10,683,20.6969696969697,3,3.66666666666667,10,"2023-08-22",6,7,1,2,78,68,6.25,4,0,0,0,0,21.3541565040626,27.1293199325011,0.5,0,0.571428571428571,0.606060606060606,0.8,0.484848484848485,0.161764705882353,0.181818181818182,0.55,0.333333333333333,0.909090909090909
"5","AE03TO","2023-08-24",1,2,4,"Meine Familie und ich haben ein Gartenfest in unserem Garten veranstaltet. Der Ort war mir sehr bekannt, da es sich um unseren Schrebergarten handelte, der in meinem Traum allerdings größer war. Außerdem sah das Gartenhaus moderner und frisch angestrichen aus. Ich bin dann mit einer guten Freundin von mir schon vor dem Fest zum Garten gefahren. Meine Mutter war auch bereits dort. Wir hatten Koffer dabei, weil wir länger im Garten bleiben, also dort übernachten wollten. Meine Mutter hat dann auch ziemlich direkt gefragt, ob ich denn auch Socken eingepackt hätte, weil das wichtig wäre. Socken hatte ich tatsächlich nicht eingepackt. Ich habe dann mit meiner Freundin besprochen, dass wir nochmal los müssen, um Socken für mich zu holen. Dann meinte meine Freundin, dass sie schonmal vorfahren würde und ich nachkommen solle. Das habe ich dann auch gemacht. Ich musste dafür nach Essen Steele, wo meine Freundin ebenfalls wohnt. Ich habe mich dann allerdings verfahren und bin woanders hingefahren. Ich habe mich deswegen etwas aufgeregt und dachte mir nur, dass das ja wieder typisch für mich sei. Ich bin dann aber hinterher wieder auf den richtigen Weg gekommen, habe meine Freundin gefunden und mit ihr die Socken geholt. Anschließend sind wir dann wieder zusammen in den Garten gefahren. Als wir wieder dort waren, habe ich mit meiner Mutter darüber gesprochen, was ich denn jetzt anziehen könnte für die Party. Ich wollte dann eigentlich einen Rock anziehen, aber den hatte ich auch nicht dabei. Meine Mutter hatte den nicht eingepackt, sie hatte nämlich meinen Koffer gepackt. Deswegen musste ich dann eine weiße Hose anziehen. Dann kamen weitere Leute in den Garten, unter anderem Freunde von meiner Freundin, ebenfalls mit Koffern. Insgesamt hatte ich eine gute Stimmung und habe mich auf das Fest gefreut. Interessanterweise habe ich dann in meinem Traum meinem besten Freund von genau diesem Traum erzählt. Ich habe in meinem Traum über die Traumstudie nachgedacht und ihn deswegen berichtet.",1692864360,5,2,4,12,9,7,4,2,5,9,0,0,0,1,0,0,0,0,10,0,0,320,26.6666666666667,3,2,4,"2023-08-23",6.16666666666667,7,1,1.83333333333333,21.6666666666667,28.8333333333333,5.16666666666667,4,0.408248290463863,0,0,0.408248290463863,40.2077936060494,26.9697361252695,0.752772652709081,0,0.857142857142857,0.75,0.777777777777778,0.583333333333333,0.138728323699422,0.166666666666667,0.555555555555556,0.416666666666667,1
"6","AE03TO","2023-08-25",2,-77,-77,"-66",1692947880,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-24",6,7,1,2,61,38.3333333333333,5.16666666666667,4,0,0,0,0,31.8119474411737,27.7031887454615,0.752772652709081,0,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"7","AE03TO","2023-08-26",2,-77,-77,"-66",1693084200,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-25",6,7,1,2,82.5714285714286,57.7142857142857,6,4,0,0,0,0,13.1891008394197,32.8111479313271,0.816496580927726,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","AE03TO","2023-08-27",1,2,3,"Ich war mit Freunden von mir was Trinken. Wir haben uns in eine Bar gesetzt. Wir waren ziemlich entspannt und haben uns über alles mögliche unterhalten, auch über politische Themen. Eigentlich wollten wir auf ein Konzert an diesem Abend gehen, aber das wurde leider abgesagt. Wir haben auch viel über Motivation gesprochen und was Leute dazu bewegt zu handeln wie sie handeln. Im Zuge dessen haben wir über ein Szenario diskutiert, was jemanden dazu bringen oder motivieren könnte, mit einem Auto in eine Menschenmenge zu fahren. Also in die Menge, wo wir und viele andere Gäste draußen saßen saßen. Dann haben wir uns darüber unterhalten, was es für Handlungsspielräume in einer solchen Situation gibt. Generell waren diese Unterhaltungen sehr interessant.",1693124880,8,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,120,120,1,1,1,"2023-08-26",6.42857142857143,7,1,1.71428571428571,94.5714285714286,86.4285714285714,6.42857142857143,4.03571428571429,0.534522483824849,0,0,0.487950036474267,9.27105069301106,19.5691691431287,0.534522483824849,0.0944911182523068,1,1,1,1,0.0115702479338843,1,1,1,1
"9","AE03TO","2023-08-28",2,-77,-77,"-66",1693208520,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-27",6.16666666666667,7,1,1.83333333333333,71.3333333333333,46.3333333333333,5.33333333333333,4,0.408248290463863,0,0,0.408248290463863,13.2916013582513,21.7408984788271,0.516397779494322,0,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"10","AE03TO","2023-08-29",2,-77,-77,"-66",1693314120,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-28",6,6.85714285714286,1.14285714285714,2,43.4285714285714,24.8571428571429,5.14285714285714,4,0,0.377964473009227,0.377964473009227,0,12.6076318534601,8.07111250961459,0.377964473009227,0,1,NA,NA,NA,NA,NA,NA,NA,NA
