"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","AJ10TO","2023-11-01",2,-77,-77,"-66",1698818520,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-31",5,5,2.85714285714286,3.42857142857143,85.7142857142857,81.7142857142857,5.42857142857143,4.07142857142857,0.577350269189626,1,0.690065559342354,0.786795792469443,37.7964473009227,37.5131722897184,0.786795792469443,0.188982236504614,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","AJ10TO","2023-11-02",1,2,2,"Leider kann ich mich nur an weniges aus meinem Traum erinerrn. Ich war in dem Laden, indem ich über den Sommer gearbeitet habe. Ein Concept Store der Klamotten, Schmuck, Keramik etc, verkauft. Dort hab ich auf ein Mädchen getroffen was ich auch aus dem echten Leben von der Arbeit kenne und sie hat mir erzählt wie sie gefeuert wurde (was tatsächlich an dem Tag passiert ist). Dann kam ein neuer Traum und ich habe in einem mir unbekannten Haus mit mir unbekannten Mädchen gelebt. Ich weiß noch dass ich sobald ich in meinem Zimmer war in meinem Traum geweint habe weil ich mich so unwohl gefühlt habe. Dann habe ich ein Paket mit Geschenken wie Klamotten und Kerzen von meinem Freund bekommen und habe darüber nachgedacht wann ich ihn wieder besuchen kann (wir haben auch im echten Leben eine Fernbeziehung geführt) ",1698913500,2,2,3,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,141,28.2,1.66666666666667,1.5,1,"2023-11-01",5.16666666666667,5.5,2.33333333333333,2.33333333333333,99.5,47.3333333333333,5.5,3.83333333333333,0.408248290463863,0.547722557505166,0.816496580927726,0.516397779494322,1.22474487139159,41.1031223469296,0.547722557505166,0.302765035409749,0.857142857142857,0.2,1,0.2,0.0211267605633803,0.2,1,0.2,0.333333333333333
"3","AJ10TO","2023-11-03",2,-77,-77,"-66",1698996900,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-02",5.33333333333333,5.33333333333333,2.16666666666667,3,99,61.1666666666667,5.5,3.95833333333333,0.516397779494322,1.211060141639,0.752772652709081,1.09544511501033,2.44948974278318,41.2524746732444,1.37840487520902,0.18819316317727,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"4","AJ10TO","2023-11-04",1,2,2,"Leider kann ich mich an meinen Zusammenhängenden Traum, aber an Teile davon erinnern. Erstens war ich in einer neuen Stadt, und auf dem Weg zu meinem Freund. Auf dem Weg dahin war ich in einer unbekannten Mall und habe mich bei einem Schmuckladen beworben für einen Aushilfs Job aber komischerweise war ich in meinem Traum nicht in der Lage vorher mein Kaugummi auszuspucken was einen sehr schlechten Eindruck gemacht hat. Am Ende ist unklar ob ich den Job bekomme aber ich weiß noch dass ich einer Adresse in der fremden Stadt hatte aber mir unsicher war (vll gerade umgezogen?) und das ich in dem Laden von meiner Lieblingsmarke Ofenhandschuhe gekauft habe. Im zweiten Teil war ich dann auf dem Weg zu meinem Freund mit der Bahn. Ich hatte aber kein Ticket und bin dann zu früh ausgestiegen um Kontrolleure zu vermeiden. Dann als ich ausgestiegen war hab ich Getuschel gehört das man auf diesem Weg immer überfallen wird. So hat es auch jemand bei mir versucht aber ich habe iwie einen Deal mit ihm ausgehandelt und er hat mich gelassen. Dann ist der Dieb nach Hause zu seinem Freund und obwohl ich woanders war habe ich wie ein Geist gesehen dass der Kumpel vom Dieb enttäuscht war und meinte er soll es nochmal probieren, was er aber nicht hat weil wir ja einen Deal hatten. Zum Überfallen haben die beiden iwie eine Flasche Gift gehabt. Irgendwie war ich auf einmal auf einer Insel und musste vor den beiden mich verstecken und kenne die Insel eigentlich sehr gut aber hatte im Traum keine Orientierung. Vorher war ich aber sicher in einer Stadt. Der letzte Traumteil war an einem Hafen wo ich mit der Polizei dann die Diebe gesucht habe und alle möglichen Boote normal an uns vorbei aber auch unter dem Wasser an uns vorbei sind damit wir die Diebe nicht finden. In einem anderen Traum habe ich meinen Freund verloren und seine Freunde haben mir geholfen ihn zu suchen. ",1699085640,4,4,7,17,9,8,3,2,7,1,3,4,1,1,3,1,0,1,2,11,1,339,19.9411764705882,2.42857142857143,1.75,7,"2023-11-03",5.66666666666667,5.83333333333333,2.16666666666667,2.33333333333333,100,99.3333333333333,5.83333333333333,4,0.516397779494322,0.408248290463863,0.408248290463863,0.516397779494322,0,1.63299316185545,0.408248290463863,0,0.857142857142857,0.529411764705882,0.888888888888889,0.470588235294118,0.0302013422818792,0.117647058823529,0.777777777777778,0.411764705882353,1
"5","AJ10TO","2023-11-05",2,-77,-77,"-66",1699160700,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-04",6.14285714285714,6.14285714285714,2,1.85714285714286,100,86,5.71428571428571,4.03571428571429,0.377964473009227,0.377964473009227,0,0.377964473009227,0,26.8079590171775,0.487950036474267,0.0944911182523068,1,NA,NA,NA,NA,NA,NA,NA,NA
"6","AJ10TO","2023-11-06",2,-77,-77,"-66",1699266600,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-05",6,6.14285714285714,1.71428571428571,2.14285714285714,100,75.7142857142857,5.85714285714286,4,0,0.377964473009227,0.487950036474267,0.377964473009227,0,21.9978353913462,0.377964473009227,0.144337567297406,1,NA,NA,NA,NA,NA,NA,NA,NA
"7","AJ10TO","2023-11-07",1,2,3,"Leider kann ich mich sehr wenig an meinen Traum erinerrn, aber ich weiß noch dass ich  eine mir unbekannte sehr große Treppe runtergegangen bin. Am Ende der Treppe war ein Tafel Aufstellschild was zu dieser Schlafstudie gehört hat. Darauf stand wie wir unsere Teilnehmerbezeichnung zusammensetzen und ich habe bemerkt dass ich es die ganze Zeit in meinem Traum falsch gemacht habe ",1699341060,7,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,21,3,1,NA,"2023-11-06",6.2,6,2,2,34.8,26.6,5.8,4.05,0.447213595499958,0,0,0,29.8278393451487,26.5763052360557,0.447213595499958,0.111803398874989,0.714285714285714,0,NA,0,0,0,NA,0,NA
"8","AJ10TO","2023-11-08",2,-77,-77,"-66",1699438140,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-07",6,6.2,1.8,2,65.4,50.2,5.8,4,0,0.447213595499958,0.447213595499958,0,39.2912203933652,32.104516816174,0.447213595499958,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"9","AJ10TO","2023-11-09",2,-77,-77,"-66",1699525800,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-08",6,5.83333333333333,2,1.83333333333333,75.6666666666667,66.1666666666667,5.66666666666667,3.91666666666667,0,0.408248290463863,0,0.408248290463863,12.6121634411653,15.1712447303004,0.516397779494322,0.204124145231932,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"10","AJ10TO","2023-11-10",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-09",6.33333333333333,5.66666666666667,2,1.66666666666667,77.3333333333333,57,6,3.91666666666667,0.577350269189626,0.577350269189626,0,0.577350269189626,2.3094010767585,6,1,0.144337567297406,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
