"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","AJ11OA","2023-07-23",1,2,3,"Ich habe geträumt wie ich einen Marathon gelaufen bin",1690081800,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,1,1,NA,"2023-07-22",5,6.5,2,3.33333333333333,25.5,24.1666666666667,4,4.20833333333333,1.09544511501033,0.547722557505166,1.54919333848297,1.211060141639,25.8901525681098,28.6734488101216,0.894427190999916,0.367990036096994,0.857142857142857,0,NA,0,0,0,NA,0,NA
"2","AJ11OA","2023-07-24",1,2,4,"Ich wollte mit meinen fünf Freunden auf ein Konzert, deswegen haben wir nach einer Unterkunft mit sechs Betten gesucht",1690172820,2,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,19,19,1,1,1,"2023-07-23",6.42857142857143,7,1.14285714285714,1.28571428571429,77,51.1428571428571,4.14285714285714,3.96428571428571,0.786795792469443,0,0.377964473009227,0.487950036474267,36.9278575964903,39.1681357373932,0.899735410842437,0.0944911182523068,1,1,1,1,0.0195530726256983,0,0,0,1
"3","AJ11OA","2023-07-25",1,2,5,"Ich saß mit meinen Freunden am Rande eines Konzertes und auf einmal kam Cro und hat mit uns geredet. Er war sehr locker und entspannt. Dann ist ihm irgendwann die Maske abgefallen, aber er hat es locker gesehen, da nur ich und meine Freunde ihn so gesehen haben",1690259820,3,1,1,4,4,3,2,1,2,1,3,0,0,1,0,0,0,0,2,3,0,52,13,4,1,1,"2023-07-24",6,7,1.14285714285714,1.85714285714286,15,15,4.57142857142857,4,0.577350269189626,0,0.377964473009227,0.377964473009227,37.5277674973257,37.5277674973257,1.13389341902768,0,1,1,0.75,0.75,0.133333333333333,0.25,0.5,0.5,1
"4","AJ11OA","2023-07-26",2,-77,-77,"-66",1690345500,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-25",6.75,7,1.5,1.25,34,34.75,5,4.125,0.5,0,1,0.5,40.8900966005217,41.8359892915179,0.816496580927726,0.25,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"5","AJ11OA","2023-07-27",1,2,4,"Ich habe geträumt, dass meine Freundin doch noch Karten für Coldplay erhält",1690431000,5,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,12,12,1,1,1,"2023-07-26",6.83333333333333,6.83333333333333,1.16666666666667,1,43,41.3333333333333,5.16666666666667,3.95833333333333,0.408248290463863,0.408248290463863,0.408248290463863,0,47.9291143252199,46.3321342770508,1.16904519445001,0.102062072615966,0.857142857142857,1,0,0,0,0,0,0,1
"6","AJ11OA","2023-07-28",1,2,4,"Ich war mit meinen Schulfreunden auf Klassenfahrt in Rom.  Wir hatten sehr viel Spaß und haben uns gut verstanden.",1690523880,6,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,19,19,1,1,1,"2023-07-27",6.75,7,1,1.25,60.5,10,3.75,4,0.5,0,0,0.5,48.727131388307,20,0.957427107756338,0,0.571428571428571,1,1,1,0.1,1,1,1,1
"7","AJ11OA","2023-07-29",1,2,2,"Ich habe geträumt, dass mein Statistikkurs in Gruppen eingeteilt wurde. Entsprechend der geschriebenen Noten wurden drei Gruppen erstellt und die schlechteren Gruppen erhielten extra Nachhilfe. Ich befand mich in der mittleren Gruppen und war etwas enttäuscht. Zudem fand das ganze in der Natur beim Schneewandern statt",1690605120,7,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,16,3,1,NA,"2023-07-28",5.8,6.6,1.4,2.2,16.6,6,2.8,4,0.447213595499958,0.894427190999916,0.547722557505166,0.447213595499958,24.9959996799488,5.78791845139511,0.836660026534076,0.176776695296637,0.714285714285714,0,NA,0,0,0,NA,0,NA
"8","AJ11OA","2023-07-30",2,-77,-77,"-66",1690699380,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-29",5.8,7,1.2,1.8,45.8,38.2,4.8,3.95,0.836660026534076,0,0.447213595499958,0.447213595499958,50.8743550327668,44.5780214904161,1.78885438199983,0.209165006633519,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"9","AJ11OA","2023-07-31",1,2,2,"Ich war im Urlaub in den Bergen, es lag Schnee. Wir waren in einer Jugendherberge untergebracht und haben draußen im Schnee gespielt. Mein Ex Freund war auch unter den Jugendlichen. Am Ende mussten wir dann alle noch kochen und haben einen Wettbewerb daraus gemacht.",1690779960,9,1,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,14.6666666666667,1.5,2,2,"2023-07-30",6.5,6.83333333333333,1.16666666666667,1.16666666666667,34.3333333333333,32.3333333333333,5.5,3.91666666666667,0.836660026534076,0.408248290463863,0.408248290463863,0.408248290463863,38.2500544661922,37.4895541006647,0.836660026534076,0.129099444873581,0.857142857142857,0.666666666666667,1,0.666666666666667,0.0618556701030928,0,0,0,1
"10","AJ11OA","2023-08-01",2,-77,-77,"-66",1690863840,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-31",6.8,6.8,1.2,1,20.6,10.2,5,3.95,0.447213595499958,0.447213595499958,0.447213595499958,0,31.3974521259289,14.4982757595515,1,0.111803398874989,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
