"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","BT08EW","2023-08-27",1,2,2,"Ich war in einer Gruppe in einem Park. Wir mussten den Weg zu einem Wettbewerb finden. Jemand, ich glaube es war der Bruder meines Freundes, wird bevorzugt. Das fand ich sehr unfair. Beim Aufwachen war ich deshalb etwas wütend.",1693112460,1,1,1,2,2,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,39,19.5,2,1,1,"2023-08-27",5.83333333333333,6.33333333333333,1.5,1.83333333333333,33.3333333333333,25.3333333333333,5.33333333333333,3.875,0.752772652709081,0.816496580927726,0.836660026534076,0.752772652709081,51.6397779494322,31.544677311183,1.211060141639,0.440170421541475,0.857142857142857,1,0.5,0.5,0.0394736842105264,0,0,0,1
"2","BT08EW","2023-08-28",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-28",5.2,6,2,3.2,10.2,6.2,3.8,4.1,1.48323969741913,0.707106781186548,1.73205080756888,1.09544511501033,22.2530896731218,13.311649033835,0.836660026534076,0.285043856274785,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"3","BT08EW","2023-08-29",1,2,3,"Ich wollte picknicken. Dafür ging ich zu einer Ausgabestelle für Essenspakete, dort gab es jedoch nicht genug für alle. Deshalb habe ich mich zurückgehalten. (Hier fehlt ein Teil des Traumes). Am Ende habe ich dich auch ein Essenspaket erhalten.",1693287900,3,1,2,3,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,39,13,1.5,2,1,"2023-08-29",4.42857142857143,5.57142857142857,2.42857142857143,4,18.5714285714286,19.5714285714286,3.28571428571429,4.10714285714286,1.13389341902768,1.90237946242268,1.51185789203691,1,37.6069902316805,36.9678109660154,0.755928946018455,0.453163483587483,1,0.333333333333333,1,0.333333333333333,0,0,1,0.333333333333333,0.5
"4","BT08EW","2023-08-30",1,2,4,"Es war der Geburtstag einer Freundin aus der Studienzeit. Dafür waren über 100 Leute gekommen, obwohl wir irgendwo mitten auf dem Land gefeiert haben. Eine Gruppe wollte nach Hause, kam dann aber zurück zur Party: Alle Busse seien überfüllt, heute könne man nicht mehr heimfahren.    Traum 2:  In der Luft lag der Wunsch nach sozialen Veränderungen. Ich war in meiner ehemaligen Hochschulgemeinde. Eine Mitarbeiterin (von der ich schon vor ein paar Tagen träumte, obwohl ich sonst nicht an sie denke), hatte etwas zu essen vorbereitet, aber dafür mussten nun noch 300 Portionen auseinandersortiert werden. Sie hatte alles zusammengeschnissen, was doppelte Arbeit bedeutete. Gemeinsam sind wir dann ein Stockwerk höher. Dort reparierte der Veter meines Freundesdas Dach als sein Engagement. Dabei half ich ihm ein bisschen und habe gleichzeitig zweu Tassen Tee für uns gegen Erkältung gekocht. Die Mitarbeiterin fand das ineffektiv, da ich auch 20 Kannen Tee gekocht hatte, weil es eine Erkältungszeit war. Auch bemängelte sie die Ressourcenverschwendung, einen Beutel für nur eine Tasse zu nutzen. Mit allem Tee und allen Essen (die wir magischerweise auf zwei Tabletts tragen konnten) gingen wir in einen weiteren Raum. Dort war ein Obdachlosentreff mot Vorträgen über Projekte, aber von Kleidung, Vokabular, Verhalten und Vorbereitung wirkte es eher nach einer Fachtagung. Irgendwann wurde um Geldspenden gebeten, woraufhin ich eine Sachspende in die Kasse legte.",1693374000,4,2,5,15,12,6,3,0,3,7,0,2,3,0,0,2,1,2,7,4,4,221,14.7333333333333,3,2.5,5,"2023-08-30",5.28571428571429,6.28571428571429,1.85714285714286,2.42857142857143,17.4285714285714,12.8571428571429,5.57142857142857,3.96428571428571,1.25356634105602,0.487950036474267,1.57359158493889,0.786795792469443,27.0915555284738,13.0438819813297,0.534522483824849,0.267261241912424,1,0.8,0.5,0.4,0.233333333333333,0,0.25,0.2,1
"5","BT08EW","2023-08-31",1,1,2,"1.Traum:   Es geht um irgendeinen Wettkampf oder ähnliches. Dabei ist mein Jugendschwarm in meinem Team und küsst mich, als ich irgendwas gut gemacht habe.    2.Traum:  Das Setting ist ein bisschen Mafiamäßig, also die Farben waren auch ein bisschen entsättigt und die Hintergrundmusik passte zu  der Pate . Ich bin mit einigen Cousinen und Cousins sowie meiner Schwester und meinem Freund zusammen in einem abgelegenen Hochhaus, das nicht fertig gebaut wurde und deshalb ohne Wände ist. Es ist umgeben mit Wasser. Dort haben wir uns vor einer zweiten Gruppe versteckt, die dann jedoch mit Motorbooten ankommt. Der Anführer ruft uns zu, dass wir uns endlich für seine Familie entscheiden sollen. Mein Lieblingscousin sagt mit den Augen zum Boden:  Es tut mir leid.  Die Musik schwillt an, er dreht sich um und geht mit zwei anderen die Treppe runter. Dort werden die drei einfach per Kopfschuss ermordet. Anschließend zündet die Gruppe das Hochhaus an, das plötzlich aus Holz statt Beton ist. Wir fliehen.  Plötzlich sind wir in meiner alten Schule. Dort sind die Menschen wieder draußen und wir müssen fliehen. Wir rennen durch verschiedene Stockwerke, immer wieder hören wir die anderen oder Schüsse. Sie wollen uns bewusst verängstigen, den Schulbetrieb stört das ganze jedoch nicht, als seien wir unsichtbar. Vielen gelingt es, bei einem Ablenkmanöver von mir und meinem Freund in Sicherheit zu kommen durch einen Geheimgang. Wir beide rennen wieder hoch. Dort hatten wir ein Fenster als Fluchtweg überlegt, aber hinter diesem sind Menschen der anderen Gruppe und wir müssen rennen. Mein Freund und ich gehen in ein Klassenzimmer, in dem gerade Elterngespräche stattfinden. Wir geben uns als Eltern aus. Als der Rektor reinkommt, hängen wir uns an ihn, weil in seiner Gegenwart wir sicher sind. Doch die anderen stehen überall und folgen uns. Als wir eine Putzfrau sehen, verstecken wir uns bei ihr. Und da sie mehr Schlüssel hat als der Rektor, kann sie uns einen Hinterausgang aufmachen.  Dort sitzt meine Oma mit leerem Blick. Sie ist viel dementer, als sie es in der Realität ist, wirkt kaum noch anwesend. Bei ihr steht meine Tante und kümmert sich um sie. Trotz dem Schleier, der Oma umgibt, merke ich, dass sie um ihre Enkel trauert, die sich gegen sie entschieden haben. Obwohl sie nicht mehr redet, leuchten ihre Augen, als ich ihr erzähle, dass einige Cousinen und Cousins noch leben. Neben ihr steht ein Osternest, das erst gekauft wirkt, aber auf den zweiten Blick sich als selbstgebastelt von ihrer Nachbarin herausstellt. Jedoch ist auch einige Weihnachtsdeko daran befestigt, was es sehr skurril macht. ",1693463700,5,2,7,33,29,18,9,1,10,9,6,4,3,1,1,5,0,3,10,16,3,422,12.7878787878788,4.71428571428571,3.5,7,"2023-08-31",6.42857142857143,6.42857142857143,1.28571428571429,2,31.5714285714286,20.8571428571429,5.57142857142857,4.03571428571429,1.51185789203691,1.51185789203691,0.487950036474267,1.4142135623731,34.7987410828665,25.8742379689952,1.2724180205607,0.3659625273557,1,0.878787878787879,0.620689655172414,0.545454545454545,0.431506849315068,0.0303030303030303,0.344827586206897,0.303030303030303,1
"6","BT08EW","2023-09-01",1,2,2,"Ich war zu einer Hochzeit eingeladen zusammen mit meinem Freund und zwei Freundinnen aus der Schulzeit. Wir wurden dafür in der kleinen Wohnung der Brauteltern untergebracht, mein Vater war Gastgeber. Auch der Bräutigamsvater kam dort unter und das Brautpaar, sodass für uns vier nur ein Zimmer mit einem 1,40 m Bett übrigblieb. Zu viert haben wir uns die ganze Zeit gegenseitig aufgeweckt und dann irgendwann uns vollkommen müde für einen Mitternachtssnack entschieden und sind dann nacheinander wieder ins Bett, damit immer eine Person schon schlafen kann.  Am nächsten Tag hat der Bräutigamsvater total rumgeschrien und Sachen durch die Gegend geworfen. Er kam aus dem Iran und hat so dann auch auf einer Sprache geschrien, die ich nicht verstand. Irgendwann stürmte er aus dem Raum und schmiss die Tür hinter sich zu. Erst da fiel mir auf, wie unsicher ich mich fühlte. Mein Vater war total am Ende, weil er das Gefühl hatte, als Gastgeber zu versagen und dass alles falsch laufen würde. Ich habe ihn dann getröstet und gleichzeitig ihn gefragt, ob mein Freund und ich nicht im Wohnzimmer auf der Schlafcouch schlafen könnten. Ihm tat der klare Auftrag gut und so konnten wir die nächste Nacht gut durchschlafen.  Am nächsten Tag war es dann Zeit zu heiraten. Ich fragte dann, ob es keinen Gottesdienst gäbe, worauf sie sagten, dass die Braut gerne evangelisch heiraten würde, weil ihr ihr Glaube sehr wichtig ist, aber sie sich wegen dem muslimischen Bräutigamsvater dagegen entschieden hätte. Daraufhin sagte der Bräutigam, dass er iranisch-katholisch sei wie sein Vater und er auch gerne einen Gottesdienst hätte, jedoch er aus seinem Glauben dann die Autorität der Oberen der evangelischen Kirche anerkennen müsste und nicht, wie die Braut, dass einfach ignorieren könnte. Daraufhin erklärte ich, dass er nicht konvertierwn müsste, um evangelisch zu heiraten. Und so wurde spontan ein Gottesdienst für in zwei Stunden organisiert. Auf der Fahrt da hin war ich sehr gerührt und die Kirche sah sehr schön aus. Jedoch musste ich noch auf Toilette. Vor dieser war ein Türsteher, der mit mir gemeinsam rein ging. Er gab mir die Auswahl ein Loch zu nutzen, dass auch meine Schwester schon genutzt haben soll, oder die normale Toilette, die jedoch nicht angeschlossen war. Der Türsteher half mir dann, die Toilette anzuschließen.",1693549440,6,1,7,21,14,12,8,4,8,4,4,3,1,0,0,0,0,1,4,7,1,375,17.8571428571429,3,7,7,"2023-09-01",6.14285714285714,6.57142857142857,1.57142857142857,1.71428571428571,57.7142857142857,21,5.57142857142857,4,0.899735410842437,0.786795792469443,1.51185789203691,0.951189731211342,46.9812525933281,16.8621864932557,1.81265393434993,0.288675134594813,1,0.666666666666667,0.857142857142857,0.571428571428571,0.380952380952381,0.19047619047619,0.571428571428571,0.380952380952381,1
"7","BT08EW","2023-09-02",1,2,5,"Ich war auf einer Veranstaltung von einem Verein, in dem mein Freund ist. Dort war auch der Freund meiner besten Freundin aus der Schulzeit (Schulkammerad) sowie meine Schwester.  Mit meiner Schwester gehe ich raus, um einen Cocktail zu trinken. Wir sind direkt vor der Kirche, bei der ich in Göttingen ein Praktikum gemacht habe und ich fühle mich sehr wohl und scherze viel mit meiner Schwester. Auf einmal sehe ich, wie der Pfarrer der Gemeinde, der eigentlich wegen Burnout und Depression in einer Klinik ist (auch im echten Leben), um die Ecke fährt. Ich freue mich unheimlich und renne ihm entgegen, um ihm um den Hals zu fallen. Er freut sich auch mich zu sehen, wirkt aber auch sehr müde. Ich frage ihn, was er hier mache, da er ja erst zwei Wochen weg gewesen sei. Er meint, er habe sich genug ausgeruht und vieles überdenken können. Er habe Sehnsucht nach Göttingen gehabt und wolle sich nun hier noch etwas erholen und dann in einem Monat Teilzeit anfangen. Immer wieder werden wir von Gemeindemitgliedern unterbrochen,  die auch mit Ludger reden wollen. Er ist damit sichtlich überfordert, weil es viel Smalltalk ist und er als Pfarrer, nicht als Person angesprochen wird. Auch wird ihm immer wieder Druck gemacht, bald zurück zu kommen. Um etwas geschützter weiterreden zu können, gehen wir in einen Biergarten.   Ich muss jedoch auf Toilette. Deshalb gehe ich in ein unteres Stockwerk des Biergartens. Dort stehen essbare Teigschaber mit Vollmilchschokolade. Ich will meiner Schwester, dem Pfarrer und mir je einen mitbringen, da sie aussehen, als müssten sie sonst weggeworfen werden. Jedoch möchte die Bedienung sie verkaufen. Als ich an der Kasse dann nur einen Schaber für meine Schwester kaufe, frage ich, ob man meinen mit Zimt und Zitrone würzen könne, woraufhin ich ein Schoko-Zitrone-Zimt-Eis bekomme.  Ich rede mit den beiden noch eine ganze Weile und geh dann zurück zur Veranstaltung. Dort sind viele Aktivitäten gleichzeitig, ich spiele lange Karten, gehe dann zwischendurch zum Stand-Up-Paddlen. Ich fühle mich sehr leicht, genieße die Bewegung und das Rumalbern.  Dann gehe ich mit meinem Schulkammerad und zwei weiteren Menschen auf eine Exkursion. Dort fahren wir auf einem riesigen Schlitten und werden per Walkie-Talkie navigiert. Wir fahren sehr schnell und ich habe viel Adrenalin. Doch irgendwann bekommen wir die Aweisung, auf die Snowmobile zu wechseln, da der Schlitten außer Kontrolle sei. Ich steige zu meinem Schulkammerad, die Verbindung zur Spielleitung ist verloren. Wir fahren mit den Snowmobilen vor dem Schlitten, wodurch wir aufpassen müssen, dass er uns nicht überrollt. Plötzlich fällt der Motor aus und wir müssen klug lenken, um zu überleben. Und wir wissen nicht mal, wohin wir müssen. Irgendwie schaffen wir es trotzdem alle vier anzukommen, sind dann aber ziemlich fertig.   Wir kommen zurück zu der Veranstaltung. Dort freuen sich alle sehr, mich zu sehen und jeder möchte unbedingt etwas mit mir machen. Gerade machen sie einen Schmucktanz, bei dem man alles mit Schmuck viel schüttelt, zu   Gib mir nur ein Wort . Ich tanze mit viel Freude mit und mir die Angst um mein Leben, die davor noch da war, weg.  Dann gehe ich zur Erholung mal in den Keller. Dort telefoniert jemand mit einem guten Freund von mir aus dem Verein. Ich schalte mich in das Gespräch ein, weil ich ihn bitten wollte, dass meine Schwester für ein Vorstellungsgespräch bei ihm übernachten kann. Den Termin muss ich jedoch mit meiner Schwester klären und so gehe ich hoch. Dort wird mir das Handy abgenommen, weil alle mit dem Freund reden wollen.   Deshalb gehe ich zum Buffet. Dort gibt es süße Kürbispasteten, welche ich genüsslich esse und meinem Schulkammerad empfehle, als er mich fragt, was das sei. Darufhin fragt er, ob ich auch so ein Foodie sei, was ich mit einem:  Ja, voll!  beantworte.",1693632420,7,1,11,42,26,24,16,6,14,13,3,0,5,1,1,0,0,6,14,4,5,623,14.8333333333333,3.81818181818182,11,11,"2023-09-02",7,7,1,1,55,23.4285714285714,6.85714285714286,4,0,0,0,0,51.720402163943,38.5739858058819,0.377964473009227,0,1,0.619047619047619,0.923076923076923,0.571428571428571,0.682926829268294,0.142857142857143,0.538461538461538,0.333333333333333,1
"8","BT08EW","2023-09-03",2,-77,-77,"-66",1693736760,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-03",6.85714285714286,7,1,1.57142857142857,23.1428571428571,14.5714285714286,6.42857142857143,4.10714285714286,0.377964473009227,0,0,0.786795792469443,30.9377254681539,27.1775467549786,0.786795792469443,0.133630620956212,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","BT08EW","2023-09-04",1,2,4,"Ich hab nur noch Schemen. Aber ich war in einer Gruppe, in der ich mich wohl fühlte. Wir haben etwas hergestellt. Dabei konnte ich meine Ideen gut einbringen.",1693802820,9,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,28,28,1,1,1,"2023-09-04",7,7,1,2.14285714285714,100,35,5.28571428571429,4.28571428571429,0,0,0,0.899735410842437,0,31.288975694324,1.11269728052837,0.224933852710609,1,1,1,1,0.0285714285714286,0,0,0,1
"10","BT08EW","2023-09-05",1,2,5,"Power Nap am Mittag:    Ich hatte ein Kleid an, die Haare geflochten und einen Korb in der Hand. Zu einem Lied ( Wäre Gesanges voll unser Mund ) bin ich im Hopserlauf und tanzend über eine Blumenwiese gelaufen und habe einige Blumen gesammelt. Dann war ich auf einer Brücke und habe einem kleinen Fluss unter mir zugeschaut. Insgesamt war ich sehr erhohlt in der Natur, ruhig, aber auch verspielt und kindlich und von einer tiefen Leichtigkeit erfüllt:)",1693908060,10,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,25.6666666666667,3,1,NA,"2023-09-05",6.57142857142857,6.85714285714286,1,1.85714285714286,89.5714285714286,43.2857142857143,5.57142857142857,4.07142857142857,0.786795792469443,0.377964473009227,0,0.899735410842437,27.5914065296736,31.8941702390593,1.13389341902768,0.188982236504614,1,0,NA,0,0,0,NA,0,NA
