"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","CA06FI","2023-08-01",1,2,3,"Ich hatte einen Traum, in dem ich an einem Rennspiel beteiligt war. Ich erinnere mich an keine Details.  Nachdem ich aufgewacht bin habe ich im Halbschlaf noch etwas geträumt. Dort wurde ein Junger Mann, der Mountainbike fuhr, Interviewt. Ich sah parallel wie er auf einem Mountainbike einen Hang herunterfuhr und wie er befragt wurde. Ich kann mich nicht an Gefühle im Traum erinnern.",1690879380,1,2,2,2,1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,1,1,63,31.5,1,1,1,"2023-07-31",3,4.2,3.8,4,58,32.2,5.4,3.75,0,1.09544511501033,1.09544511501033,1,53.103672189407,37.3054955737087,0.547722557505166,0.5,0.714285714285714,0.5,1,0.5,0.031055900621118,0.5,1,0.5,0.5
"2","CA06FI","2023-08-02",1,1,2,"Zunächst hatte ich heute Nacht mehrere kleine Träume, von welchen ich mich nur an den letzten erinnern kann. In diesem war ich in einer Videospielumgebung und habe einen Charakter aus der dritten Person Ansicht wie auch im Spiel normal gesehen. Naraka:Bladepoint ist der Name des Spiels und der Traum fand auf der Karte Holoroth, nördlich des Gebiets Mehtaab, in etwa bei der Moonbeam Gorge statt. Die Umgebung dort ist eine leicht rötliche Wüste mit steilen Abhängen und manchen natürlichen Balken, die Wege zwischen den Klippen bilden. In der Nähe ist außerdem eine tödliche große Holzwalze mit Stacheln. Ich hab mir lediglich die Umgebung im Traum angeschaut. Ich kann mich nicht daran erinnern, Gegner gesehen zu haben oder mit irgendwas interagiert zu haben. Der Traum war sehr neutral und mein Spielercharakter war alleine.  Dann habe ich später noch einmal geschlafen und hatte einen sehr langen, anstrengenden und verstörenden Traum. In diesem hat mir meine Schwester, welche einige Jahre älter als ich ist und bereits zwei eigene Kinder hat, drei Jugendliche vorgestellt (ca. 15), ein Mädchen und zwei Jungen. Später habe ich gesehen wie sie mehrere Videos in ihren WhatsApp Status gestellt hat. In diesen Videos haben die Jugendlichen zu dritt miteinander verkehrt. Dies war sehr untypisch und hat mich extremst verwirrt. Außerdem höchst illegal und ich wollte meine Schwester und die Jugendlichen dazu konfrontieren. Zuerst habe ich aber meiner Mutter davon erzählt, die auch sehr verwirrt war und dann mitgekommen ist.   Das Haus meiner Schwester war im Traum sehr viel größer als in echt und hatte auf mich einen Eindruck, als sei es in Amerika, umgeben von sehr viel Graslandschaft, mit ein paar kleinen Bäumen in der Nähe des Hauses. Dort habe ich mit meiner Nichte und meinem Neffen auf die Rückkehr meiner Schwester gewartet, ich weiß nicht ob sie arbeiten war oder ähnliches aber es trug sich an einem Tag zu.   Meine Nichte () und mein Neffe haben sowohl im als auch außerhalb des Hauses gespielt, bis mir auffiel, dass ein Sturm ankam. Als ich rausging um sie rein zu holen, war dort ein winziger Tornado auf meinem Neffen. Ich rief ihn rein, doch er wollte nicht hören und hat eher ein bisschen gelacht und nicht verstanden wie ernst die Lage ist. In der Ferne sah ich, wie sich ein weiterer, viel größerer Tornado formte und ich glaube rausgegangen zu sein und meinen Neffen an der Hand rein geholt zu haben. Kurz darauf habe ich kurz mit meiner Schwester am Handy gesprochen. An den Inhalt erinnere ich mich nicht genau aber es war ein recht neutrales Gespräch. Daraufhin hatten wir sowieso größere Probleme. Irgendwie wurde ein Metallstück zwischen der Tür und der Wand an der diese befestigt ist, entfernt und jemand schaute rein. Inzwischen war es dunkel und ich weiß nicht mehr, ob der Sturm noch da war. Jedenfalls stand zunächst Hagrid aus Harry Potter an der Tür. An die Interaktion mit ihm kann ich mich nicht erinnern. Ich weiß auch nicht, ob wir ihn reingelassen haben oder nicht.  Ich wollte das Loch irgendwie wieder versiegeln, jedoch hat sich in der Dunkelheit jemand durch geschlichen, obwohl ich jemanden beauftragt habe die Tür zu beobachten. Er tauchte im dunklen Raum plötzlich hinter meinem Neffen auf und sah aus wie ein stereotypischer Obdachloser und schaute, als hätte er böse Absichten. Irgendwie habe ich ihn aus dem Haus befördert bekommen, hatte aber danach keine Zeit mehr, das Loch zu schließen.   Direkt danach erschienen Zombies oder ähnliche Gestalten und wir bekämpften sie aber gingen alle dabei drauf. Dabei hat sich meine Perspektive auf die eines Jugendlichen gewechselt, der auch dabei war. Ich bin mir nicht sicher, ob es einer von denen am Anfang war. Die Kinder und Jugendlichen (ungefähr 7 Leute, keine Ahnung, wo die alle herkamen, einschließlich der Personen vom Anfang und meiner Nichte und meinem Neffen) behielten ihr Bewusstsein, obwohl sie zu Zombies oder so wurden.  Ich sah dann also alles aus der Sicht eines Jugendlichen, wobei die Sicht sehr verschwommen wurde und rötliche Ränder hatte. Daraufhin hörte ich eine Stimme, die mich fragte, ob wir so bleiben wollen. Die Alternative war glaube ich tot, wobei ich nicht mehr genau weiß, ob angeboten wurde, dass sie wieder normale Menschen werden. Jedenfalls entschied sich die Gruppe dazu, so zu bleiben. Als Zombies mit komischen Eiskräften sind sie dann unterwegs gewesen und haben eine Person getroffen. Dann bin ich aufgewacht. Nach dem Traum habe ich mich wieder neutral gefühlt, aber während des Traumes war vor allem die Stelle bei der mein Neffe im kleinen Tornado stand sehr beunruhigend.",1690987260,2,2,6,34,18,14,7,4,11,8,1,7,2,3,0,4,0,2,11,12,2,754,22.1764705882353,5.66666666666667,3,4,"2023-08-01",5.14285714285714,5.14285714285714,3,2.85714285714286,82.4285714285714,79.1428571428571,5.85714285714286,4.03571428571429,0.377964473009227,0.377964473009227,0,0.377964473009227,37.3445986404868,36.3796122914496,0.377964473009227,0.0944911182523068,1,0.529411764705882,0.777777777777778,0.411764705882353,0.0884476534296029,0.117647058823529,0.611111111111111,0.323529411764706,0.666666666666667
"3","CA06FI","2023-08-03",1,2,3,"Ich war in einem Eis oder Wüstengebiet in Monster Hunter, in der Nähe eines kleinen Hügels. Die Umgebung hatte keine starke Ähnlichkeit zu einer tatsächlichen Gegend in Monster Hunter. Ich habe mit meiner Freundin und zwei Randoms gespielt. Einer der Randoms hat afk in der Base rumgestanden und die andere Person hat mit uns zusammen gegen das Monster gekämpft. Nachdem das Monster geflohen ist, habe ich versucht die Person die mitgekommen ist anzugreifen. Wir waren alle Charaktere aus Naraka und hatten auch die Waffen und Greifhaken aus Naraka. Ich kann mich daran erinnern, dass die Person, die ich angreifen wollte, Zai gespielt hat, welche ein sehr nerviger viel zu starker Charakter in Naraka ist. Außerdem hatte sie schwarz-weiße Kleidung an, mit der man sie meistens auch im Spiel sieht. Das Outfit heißt  Robe of Annica . Als ich versucht habe den Greifhaken auf sie einzusetzen hat es nicht funktioniert. Wie mir später aufgefallen ist, lag das daran, dass wir im gleichen Team waren. Kurz darauf bin ich aufgewacht.",1691090040,3,1,1,7,5,4,2,0,2,1,0,4,0,0,0,0,0,0,1,4,0,168,24,7,1,1,"2023-08-02",4,5,3,3.71428571428571,52.5714285714286,32.8571428571429,5.28571428571429,3.92857142857143,1,0,0,0.951189731211342,39.6982667247876,35.187254185896,0.487950036474267,0.188982236504614,1,0.714285714285714,0.8,0.571428571428571,0.0608695652173912,0,0.4,0.285714285714286,1
"4","CA06FI","2023-08-04",2,-77,-77,"-66",1691148480,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-03",4.28571428571429,4.85714285714286,3.14285714285714,3.28571428571429,94.1428571428571,69.7142857142857,5.71428571428571,3.89285714285714,0.755928946018455,0.377964473009227,0.377964473009227,0.487950036474267,14.633620780342,17.2115686454807,0.487950036474267,0.133630620956212,1,NA,NA,NA,NA,NA,NA,NA,NA
"5","CA06FI","2023-08-05",2,-77,-77,"-66",1691242140,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-04",3,4,3.2,4,69.6,42.2,5.4,3.55,0,0,0.447213595499958,0,41.9201622134266,46.4456671822033,0.547722557505166,0.111803398874989,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"6","CA06FI","2023-08-06",1,2,2,"Die Umgebung sah ähnlich aus wie der Vorhof der Realschule in Massen. Ich wollte mit meiner Freundin und jemand anderem mit dem Fahrrad wegfahren. Da es regnete, wollte ich mir eine Jacke anziehen. Ich war jedoch leider zu fett, um in die Jacke zu passen. Meine Freundin und die andere Person sind losgefahren und haben das nicht bemerkt. Ich bin in ein Gebäude gegangen, um nach einer passenden Jacke zu schauen. Kurz darauf kam meine Freundin wieder und war wütend auf mich, weil ich nicht mitgekommen bin. Ich habe versucht ihr die Lage zu erklären, aber es war ihr egal. Ich weiß noch, dass ich traurig war.   Ansonsten war in einem ähnlichen Gebiet ein Traum mit einem Undercover FBI-Agenten, der gegen andere Leute gekämpft hat, als er aus der Umgebung fliehen wollte. Aus meiner Sicht war der Agent der Böse in der Situation und hat auch so geschaut, als ob er nichts Gutes im Sinn hätte. An mehr kann ich mich nicht erinnern",1691328840,6,2,2,8,5,4,3,2,3,2,0,1,0,0,0,0,0,1,2,1,0,163,20.375,4,1,2,"2023-08-05",2.8,3.8,3.2,4.2,69.6,38.6,5.2,3.5,0.447213595499958,0.447213595499958,0.447213595499958,0.447213595499958,44.9533091106762,37.2397636942019,0.836660026534076,0,0.714285714285714,0.625,0.8,0.5,0.077720207253886,0.25,0.6,0.375,1
"7","CA06FI","2023-08-07",2,-77,-77,"-66",1691412000,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-06",2.8,3.6,4.4,4.8,75.6,34.6,5.4,3.9,0.447213595499958,0.547722557505166,0.547722557505166,0.447213595499958,43.3220498129994,38.494155400528,0.547722557505166,0.136930639376292,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"8","CA06FI","2023-08-08",2,-77,-77,"-66",1691511900,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-07",2.42857142857143,2.57142857142857,5.14285714285714,5.14285714285714,91.7142857142857,72.8571428571429,5.71428571428571,3.82142857142857,0.786795792469443,0.786795792469443,1.0690449676497,1.0690449676497,21.9219394345352,28.4161255359732,0.487950036474267,0.237797432802835,1,NA,NA,NA,NA,NA,NA,NA,NA
"9","CA06FI","2023-08-09",1,2,5,"Meine Mutter hat drei Gläser Nutella mitgebracht. Ich war glücklich. Als ich aufwachte, war ich traurig weil wir fast kein Nutella mehr hatten.",1691600760,9,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,23,11.5,2,1,1,"2023-08-08",3.2,3.2,4.8,4.8,88,78.4,5.8,4,0.836660026534076,0.836660026534076,0.836660026534076,0.836660026534076,26.8328157299975,38.5071421946631,0.447213595499958,0,0.714285714285714,0.5,1,0.5,0,0,1,0.5,1
"10","CA06FI","2023-08-10",2,-77,-77,"-66",1691647440,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-09",2.33333333333333,2.33333333333333,5.33333333333333,5.5,64.6666666666667,33.8333333333333,5.66666666666667,3.875,0.816496580927726,0.816496580927726,0.816496580927726,0.836660026534076,43.112256571266,37.4027628213033,0.516397779494322,0.209165006633519,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
