"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","CN10MC","2023-11-15",1,2,4,"Zwei Träume an die ich mich erinnern kann.  Ich konnte es als Außenstehender ,,von oben  beobachten.  1.  Umgebung waren zwei kleine, mir unbekannte Mehrfamilienhäuser. In einem hat wohl einer meiner Schwestern gewohnt, in dem anderen ich und meine Mutter mit ihrem Freund, aber jeweils getrennt. Ich hatte einen Streit mit meiner Mutter wegen einem Essen. Kann mich aber erinnern, dass es kein heftiger Streit war und ich allgemein entspannt und zufrieden war. Ein Gedanke war, dass meine Mutter glücklich sein kann, dass ich über ihr wohne und nicht meine Schwester, weil diese eine eher laute Person ist.  2. Umgebung war meine Arbeit. Charaktere waren zwei Protagonisten aus einer anime Serie (fairy tail) . Sie haben, wie in ihrer Serie üblich gekämpft und gewonnen. Der Gegner war Zimt (als Gewürz im Glas) mit Strichmännchen ähnlichen Armen und Beinen.  Ich wusste, dass es nicht real ist und die Stimmung war deshalb eher gut/lustig/positiv. Es war auch in keiner Weise brutal oder ähnliches. ",1700030160,1,2,2,7,3,3,3,1,1,1,2,0,0,0,0,0,0,0,1,2,0,162,23.1428571428571,3.5,1,2,"2023-11-15",4.66666666666667,6.5,1.33333333333333,2.16666666666667,50.6666666666667,30.5,5,3.66666666666667,1.75119007154183,0.547722557505166,0.516397779494322,0.752772652709081,41.6973220562984,25.5244980362004,1.09544511501033,0.258198889747161,0.857142857142857,0.428571428571429,1,0.428571428571429,0.0983606557377049,0.142857142857143,0.333333333333333,0.142857142857143,1
"2","CN10MC","2023-11-16",1,2,5,"Mehrere kurze Träume, kann mich nicht an alle erinnern.  1. Kulisse war mein Zuhause, es gab eine Art Weihnachtsfeier. Neben mir, meinem Opa und meinem Vater waren noch drei bestimmte Arbeitskollegen und eine Freundin von mir da. Sie hat sich mit einem kleinen Kind beschäftigt welches eine Kollegin mitgebracht hat. Die (Arbeitskollegen) wussten nicht was Weihnachten ist, ich musste es erklären, hab extra viele Weihnachtstassen und Geschirr geholt mit Mustern, eine war besonders betont, die wollte ich letztes Jahr verschenken. Explizit sorgen gemacht ob ich genug hab. Dann hat mein Chef mich gefragt ob ich einen befristeten Vertrag hätte, er dachte das wohl und ich han ihm gesagt ich hätte einen unbegrenzten.  Stimmung war locker und gelassen.     2. Umgebung unbekannt, irgendein edeka. Ich bin dort in meinen Arbeitsanziehsachen hingegangen. Ein Kassierer der gerade Sachen für sich selbst abkassiert hat, hat auch meinen Mars freiwillig mitbezahlt, dann bin ich raus. Kassierer war mir unbekannt. Gefühle waren neutral.    3. Umgebung unbekannt. Es wurde zuerst eine Überraschungsparty für eine Freundin von mir geschmissen, aber von meinem Opa und meinem Vater. Mit  limousine und einem Bogen aus Luftballons. Die selbe Party wurde dann später auch für mich gemacht, auch von dem selben Leuten und die selbe Umgebung.  Ich hab nicht die Party am sich gesehen, sondern nur den ,,Überraschungmoment , wo alles oben beschriebene aufgebaut war.  Gute, positive Stimmung. ",1700138160,2,3,4,14,6,6,2,2,6,4,1,1,0,1,0,0,0,0,5,2,0,227,16.2142857142857,3.5,1.33333333333333,4,"2023-11-16",3.28571428571429,5.71428571428571,1.28571428571429,4.14285714285714,10,7.71428571428571,5.71428571428571,3.60714285714286,1.60356745147455,1.25356634105602,0.755928946018455,1.4638501094228,14.6855938479405,7.45462464322843,0.755928946018455,0.349319065502886,1,0.428571428571429,1,0.428571428571429,0.259259259259259,0.142857142857143,1,0.428571428571429,1
"3","CN10MC","2023-11-17",1,2,3,"1.Umgebung: Mir unbekannt, immer ein bestimmter Raum, eine kleines Badezimmer mit Spiegel und Waschbecken.  Es hat sich immer die selbe routine abgespielt, aber es waren verschiedene Tage.  Es war immer eine Art Treffen mit zwei Freunden die ich gut kenne und ein paar die mir unbekannt sind. Wir haben uns da fertig gemacht und haben dabei immer die Produkte benutzt die an der Spüle in diesem Raum standen, obwohl das verboten war. Dann sind wir in eine riesige Mensa gegangen, mir auch unbekannt, und haben gegessen.    2. Meine Schwester und ich waren mit einem Flugzeug am Fliegen und haben mitten in der Fluft irgendetwas eingesammelt. Haben darüber geredet, dass einer letztens auch mit dem Flugzeug geflogen ist und das selbe machen wollte, er ist aber kopfüber geflogen und fast abgestürzt. ",1700212620,3,2,3,6,5,5,5,1,1,5,0,0,0,3,0,0,0,0,8,0,0,132,22,2,1.5,3,"2023-11-17",6,6,1,3,100,100,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143,0.833333333333333,1,0.833333333333333,0.05,0.166666666666667,0.2,0.166666666666667,1
"4","CN10MC","2023-11-18",1,2,5,"Kann mich an einen erinnern.  Umgebung unbekannt.  Wie eine große Sporthalle in mehrere, kleiner Teile getrennt. Dort war ich mit mehreren mir bekannten Menschen, ein paar Freunde, ein paar Kollegen von der Arbeit, aber auch einigebmir unbekannte Personen. Wir haben in diesen hallen Ballett getanzt oder es zumindest versucht. Manche könnten es besser als andere. Am Ende müssten wir die Schuhe und Anziehsachen wieder wegräumen. Dabei wussten wir nicht genau wohin und ne Kollegin hat mir geholfen. Währenddessen leichte kommunikationsprobleme mit anderen die auch ihre Sachen wegräumen wollten, da diese eine andere Sprache gesprochen haben. Am Ende hat alles geklappt.  Stimmung war ausgelassen, lustig und entspannt. ",1700297460,4,1,2,6,3,3,2,1,2,1,0,1,0,0,0,1,0,0,1,2,0,106,17.6666666666667,3,2,2,"2023-11-18",4.5,5.75,1,3.5,64.5,54.5,5.75,3.6875,1,0.5,0,1,45.5814289669232,48.7476495159852,0.957427107756338,0.125,0.571428571428571,0.5,1,0.5,0.036697247706422,0.166666666666667,0.666666666666667,0.333333333333333,1
"5","CN10MC","2023-11-19",2,-77,-77,"-66",1700419620,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-19",3.33333333333333,6.33333333333333,1,3.83333333333333,53.3333333333333,28.3333333333333,5,3.625,0.816496580927726,0.516397779494322,0,1.32916013582513,34.0568152748707,24.2706956362331,1.67332005306815,0.344601218802256,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"6","CN10MC","2023-11-20",1,2,4,"Einen Traum.  Umgebung unbekannt.  Ne Mischung aus All you can eat buffet und Fabrik. Mein Vater und ich haben Tacos gemacht und gegessen. Wir mussten die jeweiligen Bestandteil aussuchen. Wir haben über die kidney Bohnen und den Mais diskutiert. Es war eine ausgelassene und entspannte Atmosphäre. ",1700496600,6,1,1,5,3,3,3,1,1,3,0,0,0,0,0,0,0,0,3,0,0,46,9.2,5,1,1,"2023-11-20",4.14285714285714,6,1,3.28571428571429,71.7142857142857,39.8571428571429,6,3.60714285714286,1.0690449676497,0,0,1.25356634105602,41.5399979365843,29.5264207754601,1,0.196698948117361,1,0.6,1,0.6,0.075268817204301,0.2,0.333333333333333,0.2,1
"7","CN10MC","2023-11-21",1,2,4,"Zwei Träume  1. Umfeld, Arbeit  Es war eine entspannte Stimmung, keine Kunden im Laden, ich konnte ruhig, ordentlich meine Arbeit machen.ich war glücklich und zufrieden.    2. Umgebung, unbekannter Laden (Anziehsachen)  Ich hab in meinem Traum dort gearbeitet (tue ich in echt nicht). Trotzdem waren dort meine Kollegen von dem richtigen, real life Job. Doch haben die sich gegenüber mir sehr schlecht verhalten. In dem Traum hab ich deswegen gekündigt. ",1700603340,7,2,3,5,1,1,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,69,13.8,1.66666666666667,1.5,1,"2023-11-21",3.33333333333333,6.16666666666667,1,4,61.5,32.6666666666667,6.16666666666667,3.625,0.816496580927726,0.408248290463863,0,1.09544511501033,46.6636903812804,30.0111090542597,0.752772652709081,0.306186217847897,0.857142857142857,0.2,1,0.2,0,0,1,0.2,0.333333333333333
"8","CN10MC","2023-11-22",1,2,3,"Nur an einen erinnern.  Umgebung unbekannt, irgendein großer ovaler Tische in einem Raum.  Hab mit meinen Uni Freunden über das Abitur und unsere Noten geredet. Nicht besonderes, könnte auch so in echt passieren.  Stimmung war dementsprechend entspannt, neutral. ",1700638260,8,1,1,3,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,38,12.6666666666667,3,1,1,"2023-11-22",4,6.14285714285714,1,3.57142857142857,79.5714285714286,35.4285714285714,5.85714285714286,3.67857142857143,1.29099444873581,0.377964473009227,0,0.975900072948533,36.8504054381004,22.9844668044685,0.690065559342354,0.374006620771548,1,0.333333333333333,1,0.333333333333333,0.0282258064516129,0.333333333333333,1,0.333333333333333,1
"9","CN10MC","2023-11-23",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-23",2,3.16666666666667,1,5.66666666666667,8,11.6666666666667,5.33333333333333,2.95833333333333,0,0.983192080250175,0,0.516397779494322,12.5059985606908,10.5955965696447,0.516397779494322,0.18819316317727,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"10","CN10MC","2023-11-24",NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-11-24",2.25,3,2,5.5,30.25,28,5.25,3.1875,0.5,0,0.816496580927726,0.577350269189626,46.8072287864457,48.0485865210067,0.5,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
