"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","CR08LR","2023-07-16",1,1,2,"Ich war alleine zuhause weil meine Familie zusammen im Urlaub war. Und als ich Müll rausbringen sollte kamen zwei fremde junge Männer auf unser Grundstück um sich Papas Auto anzuschauen. Ich habe sie zwar tapfer weggeschickt aber das waren welche die jemanden auch gerne provozieren. Deshalb standen die dann einfach eine lange Zeit vor dem Grundstück. Ich hatte so Herzrasen im traum",1689480960,1,1,1,4,3,2,0,0,2,0,0,3,0,0,0,2,0,0,0,5,0,62,15.5,4,1,1,"2023-07-15",4.42857142857143,5.71428571428571,3,2.71428571428571,11,11.5714285714286,2.71428571428571,3.96428571428571,1.39727626201154,0.951189731211342,1.4142135623731,1.11269728052837,19.7399763593239,20.6708905053874,1.25356634105602,0.3659625273557,1,0.75,0.666666666666667,0.5,0,0,0.666666666666667,0.5,1
"2","CR08LR","2023-07-17",1,2,4,"Ich war bei Julian und Tanja (Influencer) im Haus und hab deren Angestellte kennengelernt, die mir mehr über das Haus erzählt haben, was ich einfach sehr spannend fand. ",1689565260,2,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,28,28,1,1,1,"2023-07-16",5.8,5.4,2.4,2.8,32.8,15.4,4,4.1,0.836660026534076,1.67332005306815,1.67332005306815,1.30384048104053,20.2039600078796,12.6609636284131,1,0.418330013267038,0.714285714285714,1,1,1,0,0,1,1,1
"3","CR08LR","2023-07-18",1,2,4,"Ich habe Zeit mit meiner Mama verbracht. Aber das ganze Setting und die Gespräche waren zu 100% aus Modern Family (Serie). ",1689651180,3,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,21,21,1,1,1,"2023-07-17",5.66666666666667,6.33333333333333,1.66666666666667,2.33333333333333,22.6666666666667,29.5,4.5,4,0.516397779494322,0.516397779494322,0.816496580927726,0.516397779494322,35.1207441075309,36.2422405488402,1.6431676725155,0.223606797749979,0.857142857142857,1,1,1,0.0338983050847458,1,1,1,1
"4","CR08LR","2023-07-19",1,2,4,"Ich bin wieder in der Welt von modern Familiy gewesen und hab mit Phil und Manni einen Wagen im Wasser versenkt und mit Gloria gequatscht. War lustig. ",1689741240,4,1,1,3,2,2,2,1,1,0,2,0,0,0,1,0,0,0,0,3,0,27,9,3,1,1,"2023-07-18",4.71428571428571,4.85714285714286,3,3.85714285714286,13.4285714285714,4.14285714285714,3.28571428571429,4.10714285714286,1.88982236504614,2.03540097839643,1.4142135623731,2.19306265517513,16.9101265800224,10.9609697172676,1.49602648308619,0.349319065502886,1,0.666666666666667,1,0.666666666666667,0.482758620689656,0.333333333333333,0.5,0.333333333333333,1
"5","CR08LR","2023-07-20",1,2,4,"Ich habe Zeit mit meiner Schwester verbracht und durch den Fernseher sind wir in andere Welten und Filme gesprungen. ",1689825540,5,1,1,2,2,2,2,1,1,2,0,0,0,0,0,0,0,0,2,0,0,19,9.5,2,1,1,"2023-07-19",5.2,5.4,1.8,2.6,10,14,4,3.75,1.92353840616713,1.51657508881031,0.447213595499958,0.547722557505166,22.3606797749979,31.3049516849971,1,0.728868986855663,0.714285714285714,1,1,1,0.142857142857143,0.5,0.5,0.5,1
"6","CR08LR","2023-07-21",1,2,4,"Ich saß mit meiner Family am Tisch und es wurde über meinen neuen Freund geredet. Er wurde gut beurteilt. Und gleichzeitig haben wir als Gruppe an einem Wettbewerb teilgenommen. ",1689910260,6,1,2,2,2,2,2,1,1,2,0,0,0,2,0,0,0,0,4,0,0,29,14.5,1,2,2,"2023-07-20",5.5,6.5,1.33333333333333,2.66666666666667,7.66666666666667,0,4,4,0.836660026534076,0.547722557505166,0.516397779494322,1.03279555898864,18.7794213613377,0,1.09544511501033,0.158113883008419,0.857142857142857,1,1,1,NA,0.5,0.5,0.5,1
"7","CR08LR","2023-07-22",2,-77,-77,"-66",1689996120,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-21",5.6,6.4,1.8,3.6,20,2,3.2,4.35,0.894427190999916,0.547722557505166,1.30384048104053,0.547722557505166,44.7213595499958,4.47213595499958,0.836660026534076,0.223606797749979,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"8","CR08LR","2023-07-23",1,2,4,"Ich habe von einem Familientreffen mit der ganzen Familie geträumt. Es war chaotisch und wild. Gleichzeitig aber auch lustig. ",1690084740,8,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,0,0,19,19,1,1,1,"2023-07-22",6.2,6,1.2,2.4,70.6,69,5.8,3.95,0.447213595499958,0,0.447213595499958,0.547722557505166,44.4049546785041,45.3321078265725,1.09544511501033,0.209165006633519,0.714285714285714,1,1,1,0.0144927536231884,1,1,1,1
"9","CR08LR","2023-07-24",2,-77,-77,"-66",1690170660,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-23",6.2,7,1,2,0,0,4.4,4.05,0.447213595499958,0,0,0,0,0,0.894427190999916,0.111803398874989,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"10","CR08LR","2023-07-25",2,-77,-77,"-66",1690263900,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-07-24",5.4,7,2.2,3.2,100,100,6,4.45,2.50998007960223,0,2.68328157299975,2.16794833886788,0,0,1.22474487139159,0.596866819315666,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
