"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","DR10AD","2023-08-02",1,2,3,"Es war kurz vor Weihnachten oder vielleicht sogar an Weihnachten. Auf jeden Fall war es weihnachtlich geschmückt und es war dunkel und kalt draußen.  Wir hatten ein Familienfest, dabei waren meine beiden Onkels mit jeweils ihren Frauen (also meine Tanten), meine Eltern, meine Oma und meine beiden Cousins. Wir waren in einer kleinen Wohnung in einem Hochhaus, die ich jedoch nicht erkannt habe, es war stickig und etwas überheitzt.  Vor dem Weihnachtsessen haben wir Geschenke verteilt und alle bekamen etwas. Meine Geschenke waren ganz ok, wie sie halt bei so Familienfeiern sind, abgesehen von dem Geschenk meiner einen Tante, die auch meine Patentante ist. Ich kann nicht mehr genau sagen, was ich Geschenkt bekommen habe, nur das ich mich gar nicht gefreut habe und es ein echt weiredes Genschenk war. Trotzdem habe ich versucht so zu tun also ob es mit wirklich gefallen würde, habe mich überschwänglich bedankt und dabei die ganze Zeit gelächelt. Oma und Mama haben gemerkt, dass es mir nicht gefallen hat, haben aber mitgespielt und mich bei meinem Theater unterstützt. Meiner Tante ist es nicht aufgefallen.   Das Wohnzimmer wird leere, anscheinend sind die meisten zu einem Spaziergang aufgebrochen. Nur noch Mama, meine Tante und ich stehen im Wohnzimmer. Meine Tante öffnet einen alten Holzschrank, sieht darin verschiedene Porzelanfigürchen und überlegt ob sie mir davon noch eine schenken soll. Dann fällt ihr aber ein, dass das gar nicht ihre Wohnung ist und die Figuren eh viel zu teuer zum verschenken. Mir war es egal und hoffte, dass die anderen schnell zurückkommen würden. Während ich wartete kraulte ich einen viel zu großen Hund mit lahmender Pfote  Als das passierte, erzählte mein älterer Cousin, wie toll er den Spanziergang meisterte und wir gingen zum Abendessentisch.  Dort verkündete mein anderer Onkel, das er seine Partnerin jetzt heiraten wolle.   Meine Cousins (seine Söhne) waren mittelmäßig begeistert und ich ging mit dem jüngeren der beiden mit Weißweinflaschen auf den Balkon um uns zu besaufen. Es war echt kalt draußen.",1690959900,1,1,3,11,9,6,2,1,5,8,0,0,0,2,0,0,0,0,10,0,0,327,29.7272727272727,3.66666666666667,3,3,"2023-08-01",4.5,4.66666666666667,3.83333333333333,3.33333333333333,57.6666666666667,55.3333333333333,5.33333333333333,4.08333333333333,1.6431676725155,1.03279555898864,0.983192080250175,0.516397779494322,26.0895892391327,19.2319179144116,1.36626010212795,0.258198889747161,0.857142857142857,0.818181818181818,0.666666666666667,0.545454545454545,0.036144578313253,0.0909090909090909,0.555555555555556,0.454545454545455,1
"2","DR10AD","2023-08-03",1,2,4,"Ich war Campen auf einer Lichtung mitten im Wald. Es war regnerisch aber nicht wirklich kalt. Ich hatte so ein ovales Wurfzelt in grün, meinen Schlafsack und einen Rucksack mit allen anderen Dingen die ich noch so gebraucht habe. Leider hatte ich meinen Campingkocher vergessen und musste stattdessen Feuer zum kochen und trocknen meiner Sachen machen. Keine Ahnung, wie ich das Feuer anbekommen habe aber auf einmal hatte ich ein schönes Lagerfeuer, mit Steinen umgrenzt damit es nicht größer wurde und ein Gestell aus Stöcken gebastelt, an das ich meinen Topf hängen konnte.   Dort habe ich dann einen Eintopf erwärmt und den Abend unter den Sternen gegessen.  Es war entspannend und ich wurde richtig Müde bis ich leicht frierend in meinem Schlafsack geklettert bin",1691046180,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,20.6666666666667,6,1,NA,"2023-08-02",5.33333333333333,5.16666666666667,3,2.66666666666667,57.6666666666667,50.8333333333333,5.16666666666667,4.04166666666667,0.516397779494322,0.752772652709081,0.632455532033676,0.516397779494322,28.8975200781428,29.7012906565803,1.16904519445001,0.102062072615966,0.857142857142857,0,NA,0,0,0,NA,0,NA
"3","DR10AD","2023-08-04",2,-77,-77,"-66",1691131740,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-03",5.42857142857143,5.28571428571429,2.71428571428571,2.71428571428571,52.1428571428571,60,5.71428571428571,4.03571428571429,0.534522483824849,0.487950036474267,0.755928946018455,0.755928946018455,28.091686619761,31.9217793990247,0.487950036474267,0.267261241912424,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","DR10AD","2023-08-05",1,2,4,"Ich habe einen Urlaub in Den Haag gebucht und ein Airbnb direkt am Strand gefunden. Auf der Hinreise stande ich etwas im Stau und es war echt viel Verkehr auf der Autobahn. Ich brauchte auch ein bisschen bis ich die Adresse gefunden hatte, es war eine versteckte Wohnung im Erdgeschoss und die Eingangstür war um eine Ecke herum. Beim Ausladen der Koffer und meines Fahhrrades fing es an zu Regen und das richtig stark. Ich beeilte mich richtig, zog mich dann schnell in trockene Sachen um, kochte mir einen Tee und stellte mich ans große Fenster um auf die Straße zu gucken. Dabei hatte ich den Eindruck plötzlich nicht mehr in DenHaag zu sein sondern in Camden London. Ich konnte auf en Kanal gucken, sah eine alte Mitschülerin die über die Brücken tantzte und ein Musikviedo drehte, überall an den Wänden waren Banksy-Graffitis und Sherlock Holmes stand davor und versuchte sich zu erklären wie sie dahin kamen. Ich lief eine weile durch die Straßen und guckte mir alles genau an. Es war etwas merkwürdig aber auch ganz schön. Ich bog um eine weitere Ecke um dann wieder an meinem Fenster in Denhaag zu stehen und einen weitern ehemaligen Mitschüler vorbeilaufen zusehen, der durch den Regen nass war. Ich wollte ihm hinterherlaufen, fand ihn aber nicht mehr wieder",1691229180,4,1,3,11,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,217,19.7272727272727,3.66666666666667,3,2,"2023-08-04",5.42857142857143,5.42857142857143,2.57142857142857,2.28571428571429,53.2857142857143,45.5714285714286,6,3.92857142857143,0.534522483824849,0.786795792469443,0.786795792469443,0.487950036474267,34.2184856752131,32.0044639743539,0.816496580927726,0.121987509118567,1,0.181818181818182,0,0,0,0,0,0,0.666666666666667
"5","DR10AD","2023-08-06",1,2,4,"Ich war mit einer alten Schulfreundin essen. Sie hatte mir vorher erzählt, dass sie noch nie Miso Rahmen gegessen habe und als sie mich dann zum ersten Mal in meiner Wohnung besucht hat, sind wir auf die Rü gegangen um dort in die japanische Nudelbar zu gehen. Wir haben gerade noch den letzten freien Tisch bekommen, es war so ein hoher Bartisch direkt an der Tür zur Toilette. Der Kellner brachte uns nicht die Karte sondern sagte uns nur wir sollen den QR Code scannen, was aber bei uns beiden nicht funktionierte Also nahmen wir einfach die Karte vom Nachbartisch. Meine Schulfreundin konnte sich gar nicht entscheiden und braucht gefühlte 20min um sich für ein Getränk zu entscheiden. Als sie dass dann bestellte, bestellte ich gleich für sie eine Suppe mit. Das essen war blitzschnell da aber es war das falsche. Ich hatte für uns beide vegetarisch bestellt aber es kam zwei mal mit Fleisch. Meine Freundin hat das nicht gestört, was mich ziemlich überraschte, weil sie siech eigentlich vegan ernährte. Ich beschwerte mich aber beim Kellner und bekam eine neue mit Tofu. Diese war super lecker und meiner Freundin schmeckte auch ihre sehr gut.  Auf einmal war ich mit einer anderen Freundin (aus dem Kindergarten) in einer Art Trampolinhalle mit ganz vielen Schwimmbecken. Ein Bademeister wies uns an, dass wir in diesem um die Wette schwimmen sollten um das Gebäude wieder verlassen zu dürfen. Meine Freundin sollte zuerst und ich musste noch ein bisschen warten. Es roch stark nach chlor und alles war nass von dem spritzenden wasser. Ich hatte ein wenig Angst, weil ich keine gute Schwimmerin bin und meine Freundin bei den Deutschen Meisterschaften gewonnen hatte. Wie sollte ich den je gewinnen und nach Hause zu dürfen?  Als ich an der Reihe war wurde ich zu einem großen Schwimmbecken mir Gegenstromanalge geführt aber der Wasserstand war total niedrig. Ich versuchte zwar zu schwimmen, schaffte es aber nicht, weil überall um mich herum noch andere Menschen waren und ich meine Arme nicht auschstrecken konnte.",1691311620,5,2,2,12,10,8,3,0,5,5,3,0,2,0,0,0,0,2,5,3,2,336,28,6,1,2,"2023-08-05",4.57142857142857,4.71428571428571,3.42857142857143,3.57142857142857,33.5714285714286,31,5.42857142857143,4.07142857142857,0.975900072948533,0.951189731211342,0.786795792469443,0.786795792469443,21.3608453551285,19.3907194296653,1.13389341902768,0.188982236504614,1,0.833333333333333,0.8,0.666666666666667,0.0967741935483871,0,0.5,0.416666666666667,1
"6","DR10AD","2023-08-07",1,2,3,"Ich war zuhause in meinem Heimatort zu Besuch bei meinen Eltern. Es war ein kühler und sonniger Herbsttag und wir unternehmen eine Fahhradtour an dem Fluss hier entlang, über die Felder und durch einen Wald. Die Stimmung war gut und wir hatten richtig Spaß. Als wir bergab durch den Wald rassten, wurden wir von einer Familie auf Hoverboards überholt, die fast aussahen als ob sie fliegen würden. wir machen an einem kleinen Bach pause, saßen auf einem Baumstamm und tranken heißen Tee aus der mitgebrachten Thermosflasche. Ich lief ein bisschen am Bach entlang und machte schöne Naturfotos. Als ich wieder zurück zu meinen Eltern kam, war mein Vater am Handy in meinte zu meiner Mutter, das er verpasste Anrufe von meiner Tante hatte. Also schauten wir alle auf unsere Handys und sie hatte tatsächlich versucht uns alle zu erreichen. Wir hörten gemeinsam die Mailbox ab und sie hatte angerufen, dass Opa verstorben war.",1691393880,6,1,1,7,6,5,3,0,2,5,0,0,0,3,0,0,0,1,8,0,0,153,21.8571428571429,7,1,1,"2023-08-06",5.28571428571429,5.28571428571429,3,3,55.2857142857143,44.2857142857143,5.57142857142857,4.14285714285714,0.487950036474267,0.487950036474267,1,1,38.1432138381752,30.7447246733175,0.534522483824849,0.377964473009227,1,0.857142857142857,0.833333333333333,0.714285714285714,0.0677419354838709,0,0.333333333333333,0.285714285714286,1
"7","DR10AD","2023-08-08",2,-77,-77,"-66",1691480340,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-07",5.28571428571429,5.28571428571429,2.85714285714286,3.14285714285714,65.2857142857143,52.8571428571429,5.85714285714286,4.14285714285714,0.487950036474267,0.487950036474267,0.377964473009227,0.690065559342354,23.9423911762818,20.2272800233461,0.899735410842437,0.133630620956212,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","DR10AD","2023-08-09",1,1,2,"Ich war zuhause in der Küche. Hatte gerade überlegt, was es zum Abendbrot geben sollte und wann der Rest meine Familie nach Hause kommen würde, als ich bemerkte, dass mein linker unterer Eckzahn wackelte. Es fühlte sich so an als ob ich wieder meine Milchzähne verlieren würde. Ich konnte nicht damit aufhören, mit der Zunge immer wieder dagegen zu kommen und an dem Zahn zu wackeln. Ich fühlte, wie er immer lockere wurde und sich in meinem Zahnfleisch bewegte. Um ihn herum hatte sich schon das Zahnfleisch gelöst aber die Wurzel hin noch fest. Ich versuchte nebenbei Routine Aufgaben in der Küche zu machen, wie abspülen und die Spülmaschine ausräumen. Als ich gerade die Lebensmittel neu in den Kühlschrank sortiere, kam meine Familie nach Hause. Es waren nicht nur wie erwartet meine Eltern, sondern auch meine Tanten und Onkels. Ich hatte keine Lust mehr auf meinen losen Zahn, vor allem beim Essen nicht, also ging ich ins Bad um ihn zu ziehen. Es tat ein bisschen weh aber am schlimmsten war das knackende Geräusch als endlich die Wurzel brach und ich den Zahn in der Hand hielt. Trotzdem hatte ich immer noch das Gefühl, dass Zahnsplitter in meinem Mund seien und alles so trocken war. Ich hatte Angst, mich an den Zahnresten zu verschlucken und wurde von meiner Familie ausgelacht, weil ich mit Zahnlücke wieder wie in der 2. Klasse aussah.",1691561400,8,1,1,8,2,1,0,0,1,2,0,0,0,2,0,0,0,0,4,0,0,231,28.875,8,1,1,"2023-08-08",3.85714285714286,3.85714285714286,4.42857142857143,3.71428571428571,75.1428571428571,69.7142857142857,5.57142857142857,3.96428571428571,1.21498579258791,1.0690449676497,0.786795792469443,0.951189731211342,16.2627239562193,15.5960923066676,0.534522483824849,0.3659625273557,1,0.25,0.5,0.125,0,0,0.5,0.125,1
"9","DR10AD","2023-08-10",2,-77,-77,"-66",1691646660,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-09",3.71428571428571,4.14285714285714,3.71428571428571,3.85714285714286,72.7142857142857,69.8571428571429,4.85714285714286,3.85714285714286,0.755928946018455,0.899735410842437,0.755928946018455,0.899735410842437,11.4994823900076,11.0367351970374,1.21498579258791,0.377964473009227,1,NA,NA,NA,NA,NA,NA,NA,NA
"10","DR10AD","2023-08-11",1,2,4,"Ich war in Barcelona und dort mit einer Freundin verabredet, die dort wohnt. Letztes Jahr habe ich das letzte mal besucht. Diesmal war sie zu ihrem neuen Freund gezogen und ich musste die Adresse mit Google Maps finden. Sie wohnt jetzt mitten im Zentrum nah an Urquinanona in einer großen Pantohousewohnung. Ich war richtig erstaunt als ich den Türcode eingab um erst einmal in einen richtig schönen kühlen Innenhof zu gelangen um dann mehrere Treppen nach oben zu steige. Im Flur standen verschiedene Vitrinen mit historischen Artefakten und großen Portraits in Goldrahmen an der Wand. Ich ließ mir beim hochgehen zeit und bestaunte jedes einzelne Stück und versuchte die Beschreiebungsschilder daneben zu verstehen. Ich fühlte mich viel eher wie in einem Museum.  Als ich fast oben angekommen war, ging plötzlich das Licht aus und ich stand im dunklen da. Dann bemerkte ich kleine Diskokugeln die sich drehten und von selbst leuchteten. Ich dachte erst, dass ist aber eine witzige Deko, aber dann bemerkte ich, dass diese Lichtreflektionen die Alarmanlage austricksten. Keine Ahnung woher ich das wusste, aber es erschien mir die einzig logische Erklärung, also rannte ich schnell nach ganz oben, um meiner Freundin zu erzählen, dass es gleich einen Diebstahlversuch gibt und die Alarmanlagen nicht mehr funktionieren.   Oben angekommen sind wir uns erst in die Arme gefallen und es war wirklich schön, sie nach längerer Zeit noch einmal persönlich zu sehen. Dann wollte sie mir ihren Freund vorstellen, der gerade durch eine Tür kam und da erzählte ich von dem möglichen Einbruch. Wir schlichen zusammen die Treppe wieder hinunter, für die anderen war es auch sofort klar, dass jemand versucht einzubrechen und wir lösten erst einmal die ablenkenden Diskokugeln und versteckten uns danach hinter einer Statur um den Einbruch zu beobachten.",1691735220,10,1,3,12,5,5,4,1,2,1,0,0,0,0,0,0,0,0,1,0,0,292,24.3333333333333,4,3,1,"2023-08-10",4.71428571428571,4.71428571428571,3.42857142857143,3.71428571428571,80.8571428571429,70.4285714285714,5.57142857142857,4.14285714285714,0.487950036474267,0.487950036474267,0.786795792469443,0.755928946018455,14.803474495633,10.7060285642739,0.534522483824849,0.28347335475692,1,0.416666666666667,1,0.416666666666667,0.0567951318458418,0.0833333333333333,0.4,0.166666666666667,0.333333333333333
