"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","EK06BR","2023-10-21",2,-77,-77,"-66",1697866320,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-21",4.57142857142857,4.28571428571429,3.14285714285714,3.71428571428571,99,78.5714285714286,6,3.92857142857143,1.2724180205607,1.11269728052837,1.4638501094228,0.951189731211342,2.64575131106459,29.7089051905157,0.577350269189626,0.188982236504614,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","EK06BR","2023-10-22",1,2,2,"Mein Traum handelte von einem Tagestrip nach Amsterdam mit meiner besten Freundin, meiner Schwester meiner Nichte und einer mir unbekannten Person. Die Stimmung war insgesamt etwas gereizt weil die Interessen bei dem Ausflug stark auseinander gingen und man sich nicht einig werden konnte, was man dort unternehmen sollte.   Geschlafen haben wir dort in einem eher rustikalen Hotel. ",1697949120,2,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,57,28.5,1,2,2,"2023-10-22",3.85714285714286,4.42857142857143,3.42857142857143,4.14285714285714,100,72.5714285714286,4.28571428571429,3.96428571428571,0.899735410842437,0.534522483824849,0.786795792469443,0.899735410842437,0,12.2726952059866,0.951189731211342,0.267261241912424,1,1,1,1,0.0275590551181102,0.5,0.5,0.5,1
"3","EK06BR","2023-10-23",2,-77,-77,"-66",1698042420,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-23",4,4.28571428571429,3.42857142857143,3.85714285714286,31,27.8571428571429,4.14285714285714,3.89285714285714,0,0.487950036474267,0.786795792469443,0.690065559342354,36.2629287289375,34.1488339060481,0.899735410842437,0.133630620956212,1,NA,NA,NA,NA,NA,NA,NA,NA
"4","EK06BR","2023-10-24",2,-77,-77,"-66",1698126720,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-24",4.16666666666667,4.83333333333333,2.83333333333333,3.16666666666667,91.6666666666667,74.5,4.83333333333333,3.75,0.408248290463863,0.983192080250175,1.16904519445001,0.408248290463863,20.4124145231932,17.6493625947228,0.408248290463863,0.273861278752583,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"5","EK06BR","2023-10-25",1,2,4,"Ich habe davon geträumt, dass ich wieder in meiner ersten eigenen Wohnung lebe. In der Wohnung wurde eine Party geschmissen und in meiner Dusche stand Bill Kaulitz und ich habe mich mit ihm angefreundet. An mehr kann ich mich leider nicht erinnern. ",1698210480,5,1,1,3,2,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,2,44,14.6666666666667,3,1,1,"2023-10-25",4,4.66666666666667,3,3.66666666666667,23.5,24.8333333333333,4,3.83333333333333,0.632455532033676,0.816496580927726,0.632455532033676,0.816496580927726,24.3536444911229,24.1281301941669,0.632455532033676,0.129099444873581,0.857142857142857,0.666666666666667,0.5,0.333333333333333,0.040268456375839,0.333333333333333,0.5,0.333333333333333,1
"6","EK06BR","2023-10-26",2,-77,-77,"-66",1698300540,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-26",4.33333333333333,4.33333333333333,2.83333333333333,3.16666666666667,54,40.8333333333333,5.16666666666667,3.66666666666667,0.516397779494322,1.211060141639,0.752772652709081,0.408248290463863,29.9666481275434,13.7027977678526,0.408248290463863,0.465474668125631,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"7","EK06BR","2023-10-27",2,-77,-77,"-66",1698445320,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-27",4.16666666666667,4.33333333333333,3.83333333333333,3,75.5,45.6666666666667,4.33333333333333,3.83333333333333,0.752772652709081,1.50554530541816,1.16904519445001,0.894427190999916,27.8118679703468,16.1327823597378,1.211060141639,0.129099444873581,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"8","EK06BR","2023-10-28",2,-77,-77,"-66",1698471000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-28",3.66666666666667,4.83333333333333,3.16666666666667,4.5,32.3333333333333,30.6666666666667,3.66666666666667,4.04166666666667,0.516397779494322,0.408248290463863,0.752772652709081,0.547722557505166,25.2084641869882,20.8965706915433,0.516397779494322,0.332290033956281,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"9","EK06BR","2023-10-29",2,-77,-77,"-66",1698563220,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-29",3.83333333333333,4.66666666666667,2.83333333333333,3.83333333333333,0,1.66666666666667,2.83333333333333,3.79166666666667,0.408248290463863,0.516397779494322,0.408248290463863,0.752772652709081,0,4.08248290463863,0.408248290463863,0.18819316317727,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"10","EK06BR","2023-10-30",2,-77,-77,"-66",1698650820,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-30",3.66666666666667,4.83333333333333,3.5,4,28.1666666666667,20,3.5,4,0.516397779494322,0.983192080250175,0.836660026534076,1.09544511501033,40.9410144801844,25.3692727526825,1.04880884817015,0.273861278752583,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
