"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","FH01FO","2023-08-12",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-12",3.28571428571429,4,4.57142857142857,4.14285714285714,25,16.1428571428571,3.57142857142857,4,0.755928946018455,1.4142135623731,1.2724180205607,1.0690449676497,27.5801861245835,20.2684366395024,0.975900072948533,0.408248290463863,1,NA,NA,NA,NA,NA,NA,NA,NA
"2","FH01FO","2023-08-13",1,2,3,"In einem Traum war ich mit meiner Schwester im Zimmer und wir hatten einen kleinen Fuchs unterm Bett entdeckt, woraufhin wir uns erschreckten. Wir versuchten es dann aus dem Zimmer zu verscheuchen aber teilweise kam es auf uns angreifend zu (das sorgte für teilweise negative Stimmung im Traum, da wir Angst hatten). Danach bin ich aufgewacht in der Nacht.    In einem anderen Traum war ich mit einigen Leuten aus meiner Schulzeit in einer Drogerie ein paar Snacks kaufen. Wir schauten uns dabei verschiedene Sorten von Schokoladen an und wollten was neues ausprobieren. Die Stimmung war neutral in diesem Traum.     Leider erinnere ich mich nicht an vieles, es sind nur kurze Ausschnitte.",1691904720,2,2,2,8,5,5,5,1,1,5,0,0,0,2,0,0,0,0,7,0,0,111,13.875,4,1,2,"2023-08-13",3.71428571428571,4.28571428571429,3.85714285714286,3.14285714285714,15.2857142857143,10.7142857142857,3.14285714285714,3.75,0.487950036474267,0.755928946018455,0.690065559342354,0.377964473009227,14.3493819345908,11.4559196592022,1.0690449676497,0.144337567297406,1,0.625,1,0.625,0.466666666666667,0.125,0.2,0.125,1
"3","FH01FO","2023-08-14",1,2,3,"Im Traum bin ich wieder in die Schulzeit versetzt worden. Anstatt Unterricht zu machen schauten wir einen Film (es ging um den wilden Westen). Als der Film endete, standen alle meine Klassenkameraden und Kameradinnen auf und jubelten, weil es unserer letzter Tag war, entweder, weil die Ferien begonnen haben oder weil es generell der letzte Schultag überhaupt war.     Ich verabschiedete mich noch von einigen und machte mich dann mit meiner besten Freundin auf den Weg nach Hause. Dabei verließen wir das Schulgelände durch ein Loch im Zaun. Generell sah der Rückweg anders aus als in der realen Welt: wir liefen auf Autobahnen, die aber komplett verlassen und teilweise kaputt waren (wie in einer Apocalypse).     Es schien sehr heiß zu sein, die Sonne schien auf uns, sodass uns auch warm wurde. Wir liefen ein gutes Stück, ich erinnere mich aber nicht, ob wir dabei Gespräche führten. Einmal kam uns dann doch unerwartet ein Auto aus dem nichts entgegen, wobei meine beste Freundin fast angefahren worden ist, aber ich konnte sie rechtzeitig vor dem Auto wegziehen.     An mehr erinnere ich mich nicht. ",1692041640,3,1,3,12,10,8,7,1,2,10,0,0,0,3,0,0,0,0,13,0,0,180,15,4,3,3,"2023-08-14",4.2,4.6,3.2,3.4,29.2,19.6,3.6,3.85,0.447213595499958,0.547722557505166,0.836660026534076,0.547722557505166,31.316130029108,30.5990195921373,1.14017542509914,0.223606797749979,0.714285714285714,0.833333333333333,0.8,0.666666666666667,0.357142857142857,0.0833333333333333,0.2,0.166666666666667,1
"4","FH01FO","2023-08-15",1,2,4,"Ich war erstmal bei mir Zuhause und machte mich fertig, da ich mit meinen Freunden verabredet war. Auf dem Hinweg regnete es sehr, draußen war es bereits etwas dunkel geworden. Ich ging zu Fuß zu dem Café, das nicht weit entfernt von meinem Zuhause war. Dort angekommen traf ich erstmal auf eine Freundin von mir. Während wir uns einen Platz suchten, fielen ihr Geldmünzen aus ihrer Tasche, die wir direkt aufhoben. Ihr war das etwas unangenehm, die Stimmung war aber dennoch gut. Wir setzten uns in den Innenbereich, in der Mitter der Tisch und drum herum unsere gepolsterten Sitzbänke. Wir trafen auf eine weiterer Freundin von mir und setzten uns zu dritt auf eine Bank, ich saß ganz links und wir begrüßten uns alle. Zwei weitere Freunde trafen kurz danach auch ein und wir waren dann vollzählig. Wir alle waren sehr gut drauf. An mehr erinnere ich mich nicht mehr.    In einem anderen Traum war ich mit meinen Schwestern zum Kinoabend verabredetet. Ich erschien pünktlich am Ort und wartete auf sie. Jedoch verging einige Zeit und sie waren spät dran, was mich ärgerte. Ich wartete noch etwas, aber dann beschloss ich, einfach mit meiner Mutter (sie war auf einmal auch da) den Film zu gucken, aber genau dann trafen meine Schwestern noch gerade ein, sodass wir dann doch wie geplant zu dritt reingingen. Der Mitarbeiter an der Kasse war etwas unfreundlich drauf, aber ich ging da nicht drauf ein. Ich war immer noch etwas verärgert über die Verspätung meiner Schwestern und redete nicht viel mit ihnen. Im Saal angekommen, lief der Film bereits (es war ein Kinderfilm, im Saal saßen auch hauptsächlich Jugendliche und Kinder mit ihren Müttern. Der Kinosaal war auch eigentlich kein typischer Saal, es war einfach ein riesiger grauer Raum mit einzelnen Holzstühlen und einer Leinwand. Diesmal saß ich außen rechts, die beiden links von mir. An mehr kann ich mich nicht mehr erinnern. ",1692124560,4,1,3,9,5,5,4,1,2,5,0,0,0,0,0,0,0,0,5,0,0,124,13.7777777777778,3,3,1,"2023-08-15",3,4.16666666666667,4.5,4.5,37,31.1666666666667,4.33333333333333,4.04166666666667,0.894427190999916,0.408248290463863,0.547722557505166,0.547722557505166,35.9555280867908,33.3431652166777,1.03279555898864,0.18819316317727,0.857142857142857,0.555555555555556,1,0.555555555555556,0.128342245989305,0.111111111111111,0.4,0.222222222222222,0.333333333333333
"5","FH01FO","2023-08-16",1,2,2,"Ich war um 10 oder 11 Uhr mit zwei Freunden von mir verabredet.. mir ist aber kurz davor eingefallen, dass ich aber eigentlich eine Klausur zu dieser Zeit schreibe und meldete mich bei ihnen, dass ich mich etwas verspäten würde. Mir war bewusst, dass ich eigentlich hätte absagen sollen, da es nicht nur eine kleine Verspätung wäre sondern mehrerer Stunden dauern würde, bis ich da wäre und solange wollte ich sie auch nicht warten lassen. Ich hab aber doch nicht abgesagt, bin stattdessen mit der Bahn zur Klausur gefahren. Auf einmal war ich dann mit meiner großen Schwester unterwegs (ich weiß nicht, was in der Zwischenzeit passierte). Jedenfalls verbrachte ich dann den Tag mit ihr und es bildete sich ein schlechtes Gewissen in mir, dass ich meinen Freuden nicht Bescheid gab (ich selber fragte mich auch, wieso ich nichts tat, weil ich in der Realität nicht so gehandelt hätte). Als es dann abends wurde, lief ich alleine den Weg nach Hause und begegnete zufällig meine kleine Schwester auf dem Rückweg.   Ich konnte nicht wirklich viel aus diesem Traum mitnehmen, aber ich empfand ein eher negatives Gefühl, weil ich die ganze Zeit über mich stresste, dass ich mich verspäten würde und ich mich schlecht fühlte, meine Freunde so sitzen zu lassen. ",1692208800,5,1,3,10,4,4,2,1,3,4,0,0,0,1,0,0,0,0,5,0,0,210,21,3.33333333333333,3,3,"2023-08-16",4,4.2,4,3.4,30,15.2,3.6,3.9,0.707106781186548,0.447213595499958,1,0.894427190999916,31.2329953734828,18.7803088366512,0.547722557505166,0.285043856274784,0.714285714285714,0.4,1,0.4,0.131578947368421,0.1,0.75,0.3,1
"6","FH01FO","2023-08-17",2,-77,-77,"-66",1692261060,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-17",3,3.66666666666667,4.33333333333333,4,14.6666666666667,5.66666666666667,3,3.75,1,0.577350269189626,0.577350269189626,1,12.7410099024109,5.5075705472861,1,0.25,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"7","FH01FO","2023-08-18",NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-18",3.25,4,4.5,4.5,24.75,7.75,2.75,4.0625,0.957427107756338,0,1,0.577350269189626,14.3381774760021,4.64578662158878,0.957427107756338,0.125,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA
"8","FH01FO","2023-08-19",NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-19",4.66666666666667,4.33333333333333,3.33333333333333,3.33333333333333,66,54.3333333333333,5,3.91666666666667,0.577350269189626,0.577350269189626,0.577350269189626,0.577350269189626,39.1279950930277,39.3107279674815,1,0.144337567297406,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA
"9","FH01FO","2023-08-20",NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-08-20",3.5,4,4.5,4,59.5,49,5,4,0.707106781186548,0,0.707106781186548,0,27.5771644662754,28.2842712474619,0,0,0.285714285714286,NA,NA,NA,NA,NA,NA,NA,NA
"10","FH01FO","2023-08-21",1,2,3,"Ich erinnere mich nur an kurze Ausschnitte: Ich war in einer Gruppe mit meinen Freunden und wir mussten eine Präsentation halten. Wir alle waren vorbereitet, bis auf eine Freundin (ihr war das unangenehm) und die Lehrperson war nicht erfreut darüber. Wir konnten deswegen dann nicht vortragen. Die anderen aus der Gruppe waren auch nicht erfreut darüber, mir war es relativ egal. Danach hatten wir Sportunterricht und ich saß auf der Bank mit einem Bekannten von mir. Wir waren in einem Gespräch und einmal kam der Ball zu uns gerollt, dass ich den dann einfach weggeschossen hatte. Ein Mitspieler (das war irgendein Musikartist) auf dem Feld war nicht erfreut darüber und warf mir deswegen einen bösen Blick zu, da er den Ball annehmen wollte. Im weiteren Verlauf des Spiels stellte sich aber heraus, dass er mehr darüber verärgert war, dass ich mich mit dem Bekannten unterhielt und ihm keine Aufmerksamkeit schenkte. Die Stimmung war ansonsten neutral.",1692642900,10,1,3,10,7,3,2,1,2,5,2,0,0,3,0,0,0,0,8,2,0,155,15.5,3.33333333333333,3,3,"2023-08-21",3.25,5,3.75,3.25,29.5,12.5,4,3.8125,0.5,0.816496580927726,0.957427107756338,0.5,9.1104335791443,3.69684550213647,0,0.239356776939085,0.571428571428571,0.7,0.428571428571429,0.3,0.16,0.1,0.285714285714286,0.2,1
