"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","HI06CR","2023-10-18",1,2,2,"Ich hatte ein FaceTime-Telefonat mit 2 mir unbekannten Frauen. Hier ging es darum, dass  „Frau 1“ mir und „Frau 2“ etwas gekauft hat und das Geld wiederhaben wollte. Bei mir handelte es sich um einen Lippenstift oder Lipgloss für 30€, bei Frau 2 weiß ich es nicht. Ich habe dann verdeutlicht, dass ich mir diesen niemals selbst geholt hätte und ihn nur als Geschenk angenommen habe. Ich war leicht verzweifelt deswegen, weil ich das anscheinend nicht bezahlen wollte. Dann war „Frau 2“ auf einmal real neben mir, nicht mehr per Face Time und hat erst ihre und dann, ohne mich zu fragen, meine Quittung weggeschmissen, obwohl ich diese behalten wollte, um „die Beweise zu vernichten“. Außerdem konnte ich den Kontoauszug von Frau 1 wie auf einem einer Schriftrolle sehen, wie viel Geld sie schon ausgegeben hatte.   Dann hat sich mein Traum geändert und ich hatte Geburtstag. Meine Familie hat eine Quizsendung im Fernsehn geguckt, die ich vom Prinzip her überhaupt nicht verstanden habe und war total darauf fokussiert, was mich traurig gemacht hat. Dann kamen Freunde von mir zu meiner Feier die Treppe zur Wohnung hoch und noch Bekannte von denen, die ich gar nicht da haben wollte. Auch meine Oma kam, sowie Freunde von meinem Vater, was mich aufgewühlt hatte, da ich nur mit meinen Freunden feiern wollte. Ende.",1697654040,1,2,3,7,5,1,1,1,1,1,0,2,0,1,0,1,0,0,2,3,0,220,31.4285714285714,2.33333333333333,1.5,3,"2023-10-19",6.5,5.66666666666667,1.83333333333333,2.33333333333333,66.8333333333333,51.6666666666667,5.5,4.08333333333333,0.547722557505166,0.516397779494322,0.752772652709081,0.516397779494322,35.4198626009005,31.809851723431,1.37840487520902,0.258198889747161,0.857142857142857,0.714285714285714,0.2,0.142857142857143,0.0193548387096774,0.142857142857143,0.2,0.142857142857143,1
"2","HI06CR","2023-10-19",1,2,3,"Ich war mit drei anderen jungen Frauen auf einer Bühne. Wir hatten alle Abendkleider an. Ich konnte mich und die anderen drei von außen, sprich aus der Sicht des Publikums betrachten. Ich erinnere mich nicht mehr worum es ging. ",1697695200,2,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,39,39,1,1,1,"2023-10-20",6.28571428571429,6.42857142857143,1,1.57142857142857,79,42.5714285714286,5.14285714285714,3.82142857142857,0.487950036474267,0.534522483824849,0,0.534522483824849,28.1839197652373,34.238658184656,1.3451854182691,0.237797432802835,1,1,1,1,0.023489932885906,0,0,0,1
"3","HI06CR","2023-10-20",1,2,3,"Ich habe geträumt, dass ich ein Date hatte. Wir waren im Auto und ich saß auf der Fahrerseite, aber ich mein mich nicht daran zu erinnern, dass sich dort ein Lenkrad und alles was dazu gehört, befunden hätte. Dann hat der junge Mann mit dem ich dieses Date hatte, er hatte kein bestimmtes Gesicht, dass ich ihn z.B. in echt kenne, mir erzählt, dass er beim Frisör war. Ich hab dann innerlich meine Augen gerollt, weil ich mir dachte, dass das doch offensichtlich ist. Er wollte dann unbedingt Nachhause, weil es dort Essen gäbe, was mich auch wieder genervt hat. Aber er ist dann nicht gegangen, sondern wir haben weiter geredet, aber über was weiß ich nicht mehr. Ende.",1697781900,3,1,1,4,3,3,1,1,3,0,0,3,0,0,0,0,0,0,0,3,0,119,29.75,4,1,1,"2023-10-21",4.83333333333333,5.66666666666667,1.5,3,30,17.6666666666667,4.5,3.75,0.983192080250175,0.816496580927726,1.22474487139159,0.632455532033676,30.9321838866899,15.0952531170122,0.836660026534076,0.158113883008419,0.857142857142857,0.75,1,0.75,0.0566037735849056,0.25,1,0.75,1
"4","HI06CR","2023-10-21",1,2,3,"Ich habe geträumt, dass meine beste Freundin und ich im Club, in einem Aufzug waren, da wir diesen eben verlassen- und nachhause wollten. Dort waren mit uns noch zwei andere Mädels, die genau wie ich Psychologie studieren. Mit denen hab ich dann geredet und uns ausgetauscht, ob der jeweils andere schon dies und das gemacht hat. ",1697892480,4,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,56,56,1,1,1,"2023-10-22",5.33333333333333,6.5,1,2.66666666666667,30.5,24.5,4.5,3.875,0.516397779494322,0.547722557505166,0,0.516397779494322,26.7787228971062,24.8092724601106,0.547722557505166,0.136930639376292,0.857142857142857,1,1,1,0.0408163265306122,1,1,1,1
"5","HI06CR","2023-10-22",1,2,3,"Ich war mit meinen Eltern im Kino. Wir waren erst im Flur vor den Kinosälen und sind dann auch hineingegangen und haben uns gesetzt. Vor uns waren auch Tische und es sind die ganze Zeit Leute, die dort gearbeitet haben, mit Schubkarren rumgefahren, um Essen zu verkaufen. Die neben uns haben dann so einen wirklich riesigen Chipsteller geholt. So groß, wie in Amerika und ich dachte mir nur so wer kann sowas denn alles essen. Ich wollte keinen. Neben meinen Eltern, also zwei Sitze weiter, saß meine alte Lehrerin meines LKs und wir haben geredet. Nämlich darüber, dass wir uns gegenseitig schonmal im Kino gesehen hätten, in so Filmen, die über Probleme in Nigeria gehen. Dann habe ich gemerkt, dass es keine große Leinwand gibt, sondern nur so Mini-Fernseher und meine Mum und ich einen schlechten Platz haben, da man nicht so gut sehen konnte. Danach habe ich mich gewundert, wie das Kino diese Filme abspielt, ob das per CD oder USB-Stick passiert. Ende",1697953320,5,1,3,8,5,3,3,1,1,3,1,1,0,2,1,1,0,0,5,4,0,166,20.75,2.66666666666667,3,2,"2023-10-23",6.14285714285714,7,1,1.85714285714286,44.5714285714286,14.7142857142857,5,4,0.377964473009227,0,0,0.377964473009227,39.199732749332,8.51888658050033,0.577350269189626,0.144337567297406,1,0.625,0.6,0.375,0.203883495145631,0.125,0.2,0.125,0.666666666666667
"6","HI06CR","2023-10-23",2,-77,-77,"-66",1698032040,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-24",5.66666666666667,6.83333333333333,1,2.5,51.3333333333333,24.5,4.83333333333333,4,0.516397779494322,0.408248290463863,0,0.547722557505166,39.7274044793599,14.1244468918255,0.408248290463863,0.158113883008419,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"7","HI06CR","2023-10-24",1,2,1,"Ich habe geträumt, dass meine Freunde und Familie meinen Geburtstag vergessen haben. Ich erinnere mich wie traurig ich war, dass niemand daran gedacht hat. Keine einzige Nachricht, nicht mal nur per WhatsApp. Ich war dann im Wohnzimmer meiner Eltern mit meiner Mum und hab sie darauf angesprochen. Sie meinte, sie und mein Dad hätten besprochen, dass ich zu viel bekommen würde. Mich hat das total geärgert, weil die Geschenke  Nebensache waren und ich besonders enttäuscht war, dass sie sich anscheinend meinem Geburtstag bewusst waren, aber es einfach ignorierten.  Im Traum hab ich auch aus Verzweiflung geheult, aber nicht in echt jetzt…",1698122220,7,1,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,101,50.5,2,1,1,"2023-10-25",6.14285714285714,6.85714285714286,1,2,49.7142857142857,27.4285714285714,4.71428571428571,4,0.377964473009227,0.377964473009227,0,0.816496580927726,48.4242166886028,23.186613543574,0.755928946018455,0.144337567297406,1,0.5,1,0.5,0.0364583333333334,0.5,1,0.5,1
"8","HI06CR","2023-10-25",1,2,3,"Ich kann mich nicht mehr ganz erinnern, aber ich hab geträumt, dass meine beste Freundin in der Türkei war und mich gefragt/gebeten hat sie dort für ein paar Stunden zu besuchen. Erst war für mich das total selbstverständlich, aber dann habe ich mich informiert und dachte mir, dass sich das zeitlich doch gar nicht lohnt dort hinzufliegen und dann später wieder zurück. Wir hatten vor dort mit dem Auto rumzufahren und irgendwas essen zu gehen, weil das doch so viel billiger sei.",1698218940,8,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,84,42,2,1,1,"2023-10-26",5.5,6.66666666666667,1,2,59.8333333333333,53.1666666666667,6.16666666666667,3.79166666666667,0.547722557505166,0.516397779494322,0,0.632455532033676,39.2958861290424,26.558739929949,0.752772652709081,0.18819316317727,0.857142857142857,0.5,1,0.5,0,0,1,0.5,1
"9","HI06CR","2023-10-26",2,-77,-77,"-66",1698303960,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-10-27",5.83333333333333,6.33333333333333,1.16666666666667,2.5,61.5,24,5,3.95833333333333,0.752772652709081,0.516397779494322,0.408248290463863,0.836660026534076,40.4610924222271,11.3137084989848,0.894427190999916,0.18819316317727,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"10","HI06CR","2023-10-27",1,2,3,"Ich habe geträumt, dass ich unbedingt zum Arzt musste. Das hatte einmal damit zutun, dass mein WLAN nicht funktionierte und auch irgendwas mit meinen Haaren. Meine Mutter hat mich begleitet und wir waren vorher in einem Kaufhaus oder so. Also ein Laden voller Kleider usw.. Da haben wir eine alte Bekannte gesehen, die Mutter meiner Grundschulfreundin und meine Mum hat mich darauf aufmerksam gemacht, dass sie doch eine neue Frisur habe. Dann waren wir beim Arzt und da sah es so aus, dass die Ärzte an der Rezeption saßen und von dort aus einen untersucht haben. Bei mir kam es nur zu einem Gespräch mit dem Arzt, der mir dann schlussendlich die Pille verschrieben hat. ",1698379620,10,1,2,7,6,4,2,1,3,3,3,0,0,0,1,0,0,0,3,4,0,119,17,3.5,2,2,"2023-10-28",5.5,6.33333333333333,1.16666666666667,1.83333333333333,46.6666666666667,32,5.66666666666667,3.70833333333333,0.547722557505166,0.516397779494322,0.408248290463863,0.752772652709081,44.9073119510249,23.6981011897578,1.03279555898864,0.18819316317727,0.857142857142857,0.857142857142857,0.666666666666667,0.571428571428571,0.0625,0.142857142857143,0.5,0.428571428571429,1
