"","id","dateDream","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve","dateEMA","rses_1","rses_2","rses_3","rses_4","propEMAsocSit","propEMAsocInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance","propDreamSocSit","propDreamSocIntOld","propDreamSocIntOld2","propDreamMulti","propDreamTypeV","propDreamSocIntOld3","propDreamSocInt","propDreamSocEvent"
"1","IG03RM","2023-09-05",2,-77,-77,"-66",1693899840,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-05",4.83333333333333,5.66666666666667,1.83333333333333,2.33333333333333,39.1666666666667,43.3333333333333,5.33333333333333,3.66666666666667,1.16904519445001,0.816496580927726,0.752772652709081,0.516397779494322,45.871196481743,49.6655480858378,1.36626010212795,0.204124145231932,0.857142857142857,NA,NA,NA,NA,NA,NA,NA,NA
"2","IG03RM","2023-09-06",1,2,4,"Ich kann mich nicht detailliert an den Traum erinnern, aber ich weiß dass ich in einem weißen Raum war und dort in der Küche am Herd eine Gemüsesuppe gekocht habe mit Klößen. Ich hatte großen Hunger und hab immer größere Klößchen reingemacht. (Ich mache gerade eine Diät und die Suppe hatte ich mir vorgestern gekauft)",1694020680,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,13.75,4,1,NA,"2023-09-06",6,5.66666666666667,2,2.16666666666667,1.16666666666667,27,5,3.95833333333333,0,0.516397779494322,0.632455532033676,0.408248290463863,1.47196014438797,29.2574776766556,0.632455532033676,0.18819316317727,0.857142857142857,0,NA,0,0,0,NA,0,NA
"3","IG03RM","2023-09-07",1,2,4,"Ich habe geträumt dass meine Mitbewohner die hier ein Auslandspraktikum macht nun ihren letzten Tag hat. Obwohl sie den in Realität schon vor einer Woche hatte. Dann haben wir uns fertig gemacht, ich hab mir ein schwarzes Kleid angezogen. Dann sind wir raus gegangen in die Stadt und haben dort zusammen gelacht und Sachen eingekauft. Es war ein bisschen stressig und am Ende als wir nach Hause gelaufen sind war ich sehr müde, sie sehr glücklich. Es war ein schöner aber auch trauriger Tag, weil es der letzte Tag mit ihr war. ",1694105940,3,1,2,6,4,4,4,0,0,4,0,0,0,0,0,0,0,0,4,0,0,92,15.3333333333333,3,2,2,"2023-09-07",5.8,6.4,1.2,2,55.6,47.8,5.4,3.85,0.836660026534076,0.894427190999916,0.447213595499958,0.707106781186548,51.5441558277949,50.2414171774643,1.51657508881031,0.223606797749979,0.714285714285714,0.666666666666667,1,0.666666666666667,0.0836820083682008,0,0,0,1
"4","IG03RM","2023-09-08",1,2,4,"Ich habe geträumt dass ich beim Friseur war. Dann stand ich Zuhause vor einem Spiegel im blauen Bad und meine Haare haben mir gut gefallen sie waren lang und schwarz gefärbt. Dann bin ich zu meiner Mutter gegangen und habe ihr meine Haare gezeigt. Dann habe ich mich aber leicht beschwert da ich dann gemerkt habe dass die Haare nicht nur schwarz sind, sondern es auch blonde, Pinke, rote, blaue etc Strähnen gibt. Plötzlich waren meine Haare komplett bunt, aber es hab auch noch schwarze Strähnen. Meine Mutter hat gelacht und gefragt ob ich sie jetzt doch nicht mehr so schön finde. Aber ich fande sie trotzdem noch schön. ",1694165880,4,1,3,6,3,3,1,0,2,3,0,0,0,0,0,0,0,0,3,0,0,109,18.1666666666667,2,3,1,"2023-09-08",5.66666666666667,6.16666666666667,1.5,2,0,19.1666666666667,5,3.83333333333333,0.516397779494322,0.408248290463863,0.547722557505166,0.632455532033676,0,18.9041441664696,0.632455532033676,0.258198889747161,0.857142857142857,0.5,1,0.5,0.0521739130434782,0,0.666666666666667,0.333333333333333,0.333333333333333
"5","IG03RM","2023-09-09",1,2,3,"Ich kann mich nur grob an die Träume erinnern. Ich war in einem hellen Zimmer alleine, es wirkte so als wäre ich kleiner als heute vielleicht 14 Jahre. Dort waren 3 alte Freunde mit mir aus dem Gymnasium. Sie waren eher für sich, aber schon auch mit mir. Aber ich habe mich ein bisschen alleine gefühlt. Ich habe sie kurz rausgeschickt aus dem Zimmer, da ich mich noch fertig machen wollte. Dann bin ich zu ihnen gegangen. Vom Fenster aus konnte man einen Pool sehen. Am Pool standen mehrere Jungs, darunter auch mein Exfreund. Er sah gut aus. ",1694287320,5,1,1,6,4,3,1,0,2,3,0,0,0,3,0,0,0,0,6,0,0,98,16.3333333333333,6,1,1,"2023-09-09",6.33333333333333,6.5,1.16666666666667,1.33333333333333,17.1666666666667,31,5.33333333333333,3.83333333333333,0.516397779494322,0.547722557505166,0.408248290463863,0.516397779494322,40.5976189778005,35.5921339624361,0.816496580927726,0.204124145231932,0.857142857142857,0.666666666666667,0.75,0.5,0.032258064516129,0,0.5,0.333333333333333,1
"6","IG03RM","2023-09-10",1,2,2,"Ich habe geträumt dass ich in meiner Wohnung eine Party veranstaltet habe also es versprochen habe und ganz viele Leute aus meiner Uni Warner eingeladen, auch welche die ich gar nicht kannte. Dann habe ich aber verschlafen und nur noch 20 Minuten um mich fertig zu machen und meine Wohnung aufzuräumen. Dann haben die Leute schon geschellt und ich musste sie wegschicken und hab gefragt ob sie noch 25 Minuten spazieren können. Ich war super im Stress und hab mich schlecht gefühlt. Dann kam meine frühere beste Freundin und sie hat dann angeboten mir zu helfen. Dann haben wir zusammen aufgeräumt und es war sehr stressig. Dann bin ich aufgewacht ",1694354520,6,1,2,8,5,5,2,1,4,2,0,1,2,0,0,1,2,0,2,2,4,110,13.75,4,2,2,"2023-09-10",6.25,6.75,1.25,1.25,0,9.5,5,3.875,0.957427107756338,0.5,0.5,0.5,0,10.9696551146029,1.15470053837925,0.322748612183951,0.571428571428571,0.625,1,0.625,0.210526315789474,0.125,0.8,0.5,1
"7","IG03RM","2023-09-11",2,-77,-77,"-66",1694441100,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-11",7,7,1.14285714285714,1.14285714285714,29.1428571428571,32.1428571428571,5.85714285714286,4.07142857142857,0,0,0.377964473009227,0.377964473009227,43.8004131313415,40.242715992788,1.21498579258791,0.188982236504614,1,NA,NA,NA,NA,NA,NA,NA,NA
"8","IG03RM","2023-09-12",2,-77,-77,"-66",1694536440,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-12",7,7,1.2,1.6,0,28,5.6,4.2,0,0,0.447213595499958,0.547722557505166,0,32.8557453118933,0.894427190999916,0.209165006633519,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"9","IG03RM","2023-09-13",2,-77,-77,"-66",1694633580,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-13",7,7,1,1,40,38,5.8,4,0,0,0,0,54.7722557505166,44.9444101084885,1.09544511501033,0,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
"10","IG03RM","2023-09-14",2,-77,-77,"-66",1694714640,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2023-09-14",6.8,7,1.2,1.2,60,45.6,6.2,4.05,0.447213595499958,0,0.447213595499958,0.447213595499958,54.7722557505166,44.1452149162285,1.09544511501033,0.209165006633519,0.714285714285714,NA,NA,NA,NA,NA,NA,NA,NA
